"id","startTime","endTime","text","title"
"1",229039,231314,"Come on, come on.","Jaws 2"
"2",347079,349365,"- Where have you been?- Delayed.","Jaws 2"
"3",349411,353072,"That I figured.This is a big deal for me.","Jaws 2"
"4",353119,356946,"Hendricks had the keys to the Jeep.I couldn't find the spares.","Jaws 2"
"5",356992,359824,"Listen, act as if you've been herethe whole time.","Jaws 2"
"6",359865,362401,"- How?- Look bored.","Jaws 2"
"7",363865,368105,"Thank you Amity High School Bandfor that eloquent selection.","Jaws 2"
"8",368154,369812,"We're happy, once again...","Jaws 2"
"9",369862,371935,"Mama, Michael won't talk to me.","Jaws 2"
"10",371987,375764,"- What are you doing here?- Mrs Silvera couldn't come.","Jaws 2"
"11",378192,382978,"And now this year's Miss Amity,Tina Wilcox,","Jaws 2"
"12",383024,389432,"will cut the ribbon, officiallyopening this luxurious new hotel.","Jaws 2"
"13",397601,402091,"This money tree is donatedby Len Peterson,","Jaws 2"
"14",402141,405091,"the builderof Amity Shores Condominiums,","Jaws 2"
"15",405141,407213,"as a gesture of goodwill.","Jaws 2"
"16",407264,409338,"Let's hear it for Len.","Jaws 2"
"17",412846,414302,"Thanks, Len.","Jaws 2"
"18",414345,420624,"$1,500 as a special giftto the Amity Scholarship Fund.","Jaws 2"
"19",425632,427706,"Go ahead, Tina, cut it.","Jaws 2"
"20",431005,432959,"Atta girl.","Jaws 2"
"21",445875,449617,"And now the Amity High School Bandonce again.","Jaws 2"
"22",449665,452199,"Refreshments on the patio, everyone.","Jaws 2"
"23",452663,455778,"Oh, boy. Let's go.","Jaws 2"
"24",467615,469356,"Brody, how are you?","Jaws 2"
"25",469406,471029,"Hello, Martin.","Jaws 2"
"26",471072,474153,"- I think it went well.- Hell of a speech, Larry.","Jaws 2"
"27",474197,475903,"Right on the money.","Jaws 2"
"28",475946,479274,"Thank you. Have you met my son Larry?","Jaws 2"
"29",479319,483394,"- No.- Larry Jr. Larry, over here.","Jaws 2"
"30",483444,485728,"Here we go. Say hello to Len.","Jaws 2"
"31",485776,487730,"- How you doing?- Hi, Larry.","Jaws 2"
"32",487774,490771,"- Nice-looking boy.- Thank you.","Jaws 2"
"33",490815,496762,"Ellen, make sure that the bar is openand everyone's taken care of.","Jaws 2"
"34",496812,498435,"Sure.","Jaws 2"
"35",499000,500163,"Fantastic lady.","Jaws 2"
"36",500707,505250,"- Don't know what I'd do without her.- Really? Neither do I.","Jaws 2"
"37",507295,511127,"- How old is your cousin?- 17. She's a senior.","Jaws 2"
"38",512924,515047,"I'm not crazy about blind dates.","Jaws 2"
"39",515092,518674,"They're OK if they gotlittle white canes and tin cups.","Jaws 2"
"40",518721,522053,"- That's awful!- Ah, what the hell?","Jaws 2"
"41",523099,526846,"- Did your mom put all this together?- Yeah, it's her job.","Jaws 2"
"42",526893,529643,"- Did she make the punch?- No.","Jaws 2"
"43",529686,531893,"Good, it's terrible.","Jaws 2"
"44",561875,563998,"- Get your dance?- Nope.","Jaws 2"
"45",564961,568661,"- Me neither.- Who you gonna ask next?","Jaws 2"
