"id","startTime","endTime","text","title"
"1",2480,9680,"Jimmy Neutron: Boy Genius (2001)(1CD Subtitle - 23,976fps - English)","Jimmy Neutron: Boy Genius"
"2",52360,54160,"you better havea look at this, sir.","Jimmy Neutron: Boy Genius"
"3",56840,59240,"- Commercial flight.- No. Too fast, sir.","Jimmy Neutron: Boy Genius"
"4",59240,62400,"- One of our own?.- Air Force has nothing scheduled.","Jimmy Neutron: Boy Genius"
"5",63480,65280,"We've got ourselves a bogie.","Jimmy Neutron: Boy Genius"
"6",82280,87080,"Orange Leader to Delta Group.Anticipate visual contact...","Jimmy Neutron: Boy Genius"
"7",87160,89280,"now.","Jimmy Neutron: Boy Genius"
"8",90240,92160,"Holy cow pie!.","Jimmy Neutron: Boy Genius"
"9",92360,94640,"Hi! Nice antiques.","Jimmy Neutron: Boy Genius"
"10",94720,96560,"Gotta blast!","Jimmy Neutron: Boy Genius"
"11",96560,100880,"Fusion mix stable, engine cyclingat one million giga joules.","Jimmy Neutron: Boy Genius"
"12",100960,102800,"Cool! We didn't blow up.","Jimmy Neutron: Boy Genius"
"13",102880,108080,"Great! Jimmy, I thinkthey want us to pull over.","Jimmy Neutron: Boy Genius"
"14",108080,110840,"Nope. No time for that, Carl.Stand by with the satellite.","Jimmy Neutron: Boy Genius"
"15",110960,114320,"Okay. What do I do again?.","Jimmy Neutron: Boy Genius"
"16",114400,116120,"you're the deployment system, Carl.","Jimmy Neutron: Boy Genius"
"17",116240,119000,"As soon as we clear the atmosphere,you just throw it.","Jimmy Neutron: Boy Genius"
"18",119000,123400,"- Right.- Prepare to leave the atmosphere!","Jimmy Neutron: Boy Genius"
"19",126200,129280,"Sorry about the toast, dear.I had to make it in the oven.","Jimmy Neutron: Boy Genius"
"20",129360,132240,"- I can't find our toaster anywhere.- Oh, looky!","Jimmy Neutron: Boy Genius"
"21",132240,135960,"Well, this oven toastis brilliant, sugar booger.","Jimmy Neutron: Boy Genius"
"22",136080,138760,"And your yolks areabsolutely perfect too.","Jimmy Neutron: Boy Genius"
"23",138840,141160,"Oh, run away with me, my love.","Jimmy Neutron: Boy Genius"
"24",142680,147200,"We'll take my car. your transmissionneeds a new compression cuff.","Jimmy Neutron: Boy Genius"
"25",147280,150640,"Whatever. Ooh, this is a good one.Quack, quack.","Jimmy Neutron: Boy Genius"
"26",150640,153160,"Would you try calling Jimmy?.He's going to miss the bus again.","Jimmy Neutron: Boy Genius"
"27",153240,157000,"Jimmy! Breakfast!Time to come down!","Jimmy Neutron: Boy Genius"
"28",157080,159960,"Down. down. down. down. down. quackkDown. down. down. down. down. quackk","Jimmy Neutron: Boy Genius"
"29",159960,161960,"Up, up, up!","Jimmy Neutron: Boy Genius"
"30",161960,164640,"Engaging pulse rockets now!","Jimmy Neutron: Boy Genius"
"31",166200,168680,"- No!- Now?.","Jimmy Neutron: Boy Genius"
"32",176640,178360,"Is this supposed to happen?.","Jimmy Neutron: Boy Genius"
"33",179600,183840,"Come on. think. think. think!","Jimmy Neutron: Boy Genius"
"34",191200,192480,"Brain blast!","Jimmy Neutron: Boy Genius"
"35",192560,193920,"Give me your lunch!","Jimmy Neutron: Boy Genius"
"36",196480,197840,"Thanks, boy.","Jimmy Neutron: Boy Genius"
"37",211280,213360,"Don't try that at home.","Jimmy Neutron: Boy Genius"
"38",218640,222080,"Must engage stabilizers!","Jimmy Neutron: Boy Genius"
"39",226040,228040,"Now just a quick stop at my house.","Jimmy Neutron: Boy Genius"
"40",228040,232360,"I don't know, Jimmy. I gotta get toschool on time. Besides, you pro--","Jimmy Neutron: Boy Genius"
"41",232440,234480,"- Right. Gotcha.- I didn't mean--","Jimmy Neutron: Boy Genius"
"42",238120,240240,"See you in homeroom!","Jimmy Neutron: Boy Genius"
"43",240240,243680,"Fasten your seat belt, Goddard.It's gonna be a bumpy ride!","Jimmy Neutron: Boy Genius"
"44",267000,270040,"Well, what do you know.The chimney fell off again.","Jimmy Neutron: Boy Genius"
"45",270040,272920,"That wasn't so bad, huh?.","Jimmy Neutron: Boy Genius"
"46",280320,283000,"James Isaac Neutron!","Jimmy Neutron: Boy Genius"
"47",283000,285000,"I see you up there.","Jimmy Neutron: Boy Genius"
"48",285120,289440,"How many times have we told younot to launch yourself off the roof?.","Jimmy Neutron: Boy Genius"
"49",289520,292400,"Probably nine.Exactly nine.","Jimmy Neutron: Boy Genius"
"50",292480,294880,"They say repetition is goodfor a developing brain.","Jimmy Neutron: Boy Genius"
"51",295000,297680,"Then just whatdo you think you�re doing?.","Jimmy Neutron: Boy Genius"
"52",297680,301320,"I received a message from space butit was garbled in the ionosphere...","Jimmy Neutron: Boy Genius"
"53",301320,305040,"so I had to launch a communicationstoaster-- I mean satellite.","Jimmy Neutron: Boy Genius"
"54",305160,307920,"Well, message from space?. Wow!","Jimmy Neutron: Boy Genius"
"55",307920,310040,"Don't encourage him, Hugh.","Jimmy Neutron: Boy Genius"
"56",310040,314280,"Jimmy, we've repeatedly told younot to talk to strangers.","Jimmy Neutron: Boy Genius"
"57",314280,319840,"Mom, I'm on the verge of contactwith an advanced alien civilization.","Jimmy Neutron: Boy Genius"
"58",319920,323080,"I don't care how advancedthey say they are, Jimmy.","Jimmy Neutron: Boy Genius"
"59",323080,326840,"If your father and I haven'tmet them, they're strangers, right?.","Jimmy Neutron: Boy Genius"
"60",326920,330200,"Well, except for policemen.They're there to help you.","Jimmy Neutron: Boy Genius"
"61",337280,340440,"Oh, you gotta admitthat is pretty neat!","Jimmy Neutron: Boy Genius"
"62",341520,344360,"But very unsafe, honey.That's bad.","Jimmy Neutron: Boy Genius"
"63",356640,359800,"Deactivate pants!","Jimmy Neutron: Boy Genius"
"64",369680,372400,"Engage Gingivitis 2000.","Jimmy Neutron: Boy Genius"
"65",385800,388480,"Robo-Barber prototype, engage!","Jimmy Neutron: Boy Genius"
"66",388680,389840,"On-line.","Jimmy Neutron: Boy Genius"
"67",390800,392240,"Ta-da.","Jimmy Neutron: Boy Genius"
"68",393400,394840,"You rock.","Jimmy Neutron: Boy Genius"
"69",397400,399240,"You go. girl.","Jimmy Neutron: Boy Genius"
"70",405080,406920,"Shoe-bot!","Jimmy Neutron: Boy Genius"
"71",419960,422520,"- Oh.- Sorry.","Jimmy Neutron: Boy Genius"
"72",425720,427520,"Bye, Goddard!","Jimmy Neutron: Boy Genius"
"73",429840,434440,"- Wait! I'm here!- Good-bye, son! Have a good day!","Jimmy Neutron: Boy Genius"
"74",434520,438280,"Oh, Goddard!Not on the porch!","Jimmy Neutron: Boy Genius"
"75",440560,442200,"Hey! Hey, wait!","Jimmy Neutron: Boy Genius"
"76",443640,447960,"Seems like the perfect opportunityto try out the bubble gum mobile!","Jimmy Neutron: Boy Genius"
"77",447960,451320,"No, Jimmy, don't try it!It's too soon.","Jimmy Neutron: Boy Genius"
"78",451400,454280,"Nonsense! All great inventionsneed a test run.","Jimmy Neutron: Boy Genius"
"79",464560,465880,"All right!","Jimmy Neutron: Boy Genius"
"80",487480,491120,"- Right here!- Look! Neutron's got another one.","Jimmy Neutron: Boy Genius"
"81",492080,494160,"Nice invention, ""Nerdtron.""","Jimmy Neutron: Boy Genius"
