"id","startTime","endTime","text","title"
"1",217300,219300,"All were transported?","John Wick: Chapter 2"
"2",375709,379269,"You have my car...","John Wick: Chapter 2"
"3",382589,385089,"The Boogyman!","John Wick: Chapter 2"
"4",742139,744240,"Peace.","John Wick: Chapter 2"
"5",744269,748269,"Can a man like you know peace?","John Wick: Chapter 2"
"6",750049,752549,"Why not?","John Wick: Chapter 2"
"7",760059,762059,"Peace.","John Wick: Chapter 2"
"8",772149,774649,"Enjoy your retirement...","John Wick: Chapter 2"
"9",1151980,1154480,"May I come in?","John Wick: Chapter 2"
"10",1156170,1158170,"Of course.","John Wick: Chapter 2"
"11",2076969,2079969,"Happy hunting!","John Wick: Chapter 2"
"12",2125500,2128400,"Welcome to the Continental of Rome.","John Wick: Chapter 2"
"13",2128619,2131110,"How might I be of assistance?","John Wick: Chapter 2"
"14",2131119,2133619,"I would like a room.","John Wick: Chapter 2"
"15",2170360,2173000,"You are here for the Holy Father?","John Wick: Chapter 2"
"16",2260360,2262360,"Good morning, Mr. Wick!","John Wick: Chapter 2"
"17",2654989,2656489,"Excuse me, Seńorita.","John Wick: Chapter 2"
"18",2657079,2659079,"Mr. Akoni is waiting.","John Wick: Chapter 2"
"19",2710690,2712690,"Thank you for seeing me.","John Wick: Chapter 2"
"20",2762469,2765369,"Why don't you go toentertain our guests...","John Wick: Chapter 2"
"21",2765460,2767960,"while I freshen up my makeup.","John Wick: Chapter 2"
"22",2773869,2776570,"What could I do without you,Cassian?","John Wick: Chapter 2"
"23",3941869,3944869,"Having a tough night?","John Wick: Chapter 2"
"24",3947880,3950880,"Can I buy you a drink?","John Wick: Chapter 2"
"25",3958300,3967300,"Not him... me.Be seeing you.","John Wick: Chapter 2"
"26",3968900,3970900,"Not if I see you first.","John Wick: Chapter 2"
"27",4206399,4209399,"Sorry, I fucked up.","John Wick: Chapter 2"
"28",5598600,5600100,"My God, John.","John Wick: Chapter 2"
"29",5600201,5602201,"You dont get it.","John Wick: Chapter 2"
"30",5866000,5868500,"Go. I'll finish this.","John Wick: Chapter 2"
"31",5951676,5955887,"Be seeing you.","John Wick: Chapter 2"
