"id","startTime","endTime","text","title"
"1",46758,48783,"Repeat after me, okay?","Julie & Julia"
"2",67178,69007,"Oh, Paul,leave me alone.","Julie & Julia"
"3",86564,89226,"- Bon app�tit.- Bon app�tit.","Julie & Julia"
"4",99611,100805,"Butter.","Julie & Julia"
"5",108486,110716,"Oh, my goodness.","Julie & Julia"
"6",111990,114151,"You have to taste this.","Julie & Julia"
"7",116661,117719,"Here.","Julie & Julia"
"8",127105,128470,"I mean... It's...","Julie & Julia"
"9",128540,129802,"- I know.- But I'm...","Julie & Julia"
"10",129874,133275,"I know. I know. I know.","Julie & Julia"
"11",137148,141448,"Look at that! Oh, Paul, it's so beautiful!","Julie & Julia"
"12",148460,149825,"Slow down.","Julie & Julia"
"13",151162,152390,"Sorry.","Julie & Julia"
"14",161506,164407,"This is it. Look, right... Just stop.","Julie & Julia"
"15",167045,170879,"I can't believe we get to live here.","Julie & Julia"
"16",172550,173881,"Paul!","Julie & Julia"
"17",199411,201572,"Is this a mistake?Should we have stayed in Brooklyn?","Julie & Julia"
"18",201646,204581,"We're gonna love Queens.Queens is beautiful.","Julie & Julia"
"19",251229,252992,"Moving truck's here.","Julie & Julia"
"20",264275,265537,"You okay?","Julie & Julia"
"21",265810,268540,"- Everything is falling down.- Hey.","Julie & Julia"
"22",268980,270914,"What are we doing here?","Julie & Julia"
"23",271115,272707,"Repeat after me.","Julie & Julia"
"24",272784,277983,"- Nine hundred square feet.- Nine hundred square feet.","Julie & Julia"
"25",279591,280990,"Plus, it's close to your office.","Julie & Julia"
"26",281059,284153,"Plus, it's close to my office,but we don't have to move.","Julie & Julia"
"27",284229,289292,"We could renege on the lease,repack everything and live in the Jeep.","Julie & Julia"
"28",291202,294069,"You're right. You're right.","Julie & Julia"
"29",296040,298770,"- Eric, what is that noise?- What noise?","Julie & Julia"
"30",301112,303842,"Is it going to be like this every night?","Julie & Julia"
"31",306651,307913,"Maybe.","Julie & Julia"
"32",313925,315119,"Jule?","Julie & Julia"
"33",317595,319358,"It's Versailles.","Julie & Julia"
"34",322100,324933,"I'm so happy you like it, darling.","Julie & Julia"
"35",403247,405613,"Good morning,Lower Manhattan Development Corporation,","Julie & Julia"
"36",405883,407043,"LMDC.","Julie & Julia"
"37",407485,410921,"Lower Manhattan Development Corporation,Julie Powell.","Julie & Julia"
"38",411255,416352,"- My son died in the second tower.- I'm sorry.","Julie & Julia"
"39",420431,421864,"I'm so sorry.","Julie & Julia"
"40",423001,425435,"Are you the person to speak toif I don't like the plan for the memorial","Julie & Julia"
"41",425503,428028,"- that was in this morning's Times?- You can speak to me.","Julie & Julia"
"42",428106,430438,"- Do you have any power?- No.","Julie & Julia"
"43",430541,434409,"I wanna speak to someone with power.I don't like the plan.","Julie & Julia"
"44",434479,436674,"I don't like the plan either.","Julie & Julia"
"45",437215,440446,"You people are a bunch ofheartless bureaucratic goons.","Julie & Julia"
"46",440518,442110,"I am not a heartless bureaucratic goon.","Julie & Julia"
"47",442186,445383,"I am just a person in a cubicle,and I am doing the best I can, ma'am.","Julie & Julia"
"48",445456,448357,"This is my sixth phone calland the only thing anyone ever tells me is","Julie & Julia"
"49",448426,451395,"I have to fill out a form to get in linefor an insurance payment.","Julie & Julia"
"50",451462,455421,"And you do. But, I mean, if you don't wannafill out a form I will fill one out for you,","Julie & Julia"
"51",455500,457559,"but you're still going to have to come inand sign it.","Julie & Julia"
"52",457635,460468,"- To your cubicle?- Yes.","Julie & Julia"
"53",461739,464299,"I feel terrible about what you're goingthrough, Mr. Diamond, but...","Julie & Julia"
"54",464375,467401,"You have no idea what I'm goingthrough, Ms. Powell. You have no idea.","Julie & Julia"
"55",467578,470479,"- Please don't yell at me.- This whole thing is completely inefficient.","Julie & Julia"
"56",470581,472014,"- Please stop yelling at me.- It's ridiculous.","Julie & Julia"
"57",472083,474608,"- My 3-year-old is more capable of helping.- I am your friend.","Julie & Julia"
"58",475920,479481,"And now the doctor says there's fiberglassin his lungs.","Julie & Julia"
"59",479590,484584,"He coughs. He never stops coughing.I don't know what to do.","Julie & Julia"
"60",484729,487061,"His wife says there's so much crapin his lungs he can't breathe,","Julie & Julia"
"61",487131,490396,"and now his insurance is refusing to payfor this drug that might really work.","Julie & Julia"
"62",490468,493869,"- Tell her to call the Health Department.- That's an answering machine.","Julie & Julia"
"63",493938,497339,"Andrea Gomez in the mayor's office.","Julie & Julia"
"64",497675,500576,"Thank you. Thank you.","Julie & Julia"
"65",513157,515455,"Chocolate cream pie.","Julie & Julia"
"66",518496,521465,"- You know what I love about cooking?- What's that?","Julie & Julia"
"67",521532,523966,"I love that after a day when nothing is sure,","Julie & Julia"
"68",524035,530304,"and when I say ""nothing"" I mean nothing,you can come home and absolutely know","Julie & Julia"
"69",530374,534242,"that if you add egg yolks to chocolateand sugar and milk,","Julie & Julia"
"70",534312,537770,"it will get thick. It's such a comfort.","Julie & Julia"
"71",538883,540180,"Bad day?","Julie & Julia"
"72",542320,544254,"When will this pie be ready?","Julie & Julia"
"73",544322,546984,"Soon, but I have to makethe whipped cream first and let it set.","Julie & Julia"
"74",547058,549549,"I'll be here. It's a masterpiece.","Julie & Julia"
"75",552330,554730,"Ritual Cobb salad lunch tomorrow.","Julie & Julia"
"76",555566,557761,"Dreading, dreading, dreading.","Julie & Julia"
"77",560271,561295,"Subway.","Julie & Julia"
"78",561372,562839,"- Hi.- Hi.","Julie & Julia"
"79",562907,564306,"How are you?","Julie & Julia"
"80",566244,567939,"What can I get for you ladies?","Julie & Julia"
"81",568012,570037,"I will have a Cobb salad, no bleu cheese.","Julie & Julia"
"82",570148,573015,"- Cobb salad, no beets.- Cobb salad, no bacon.","Julie & Julia"
"83",573084,575279,"- Cobb salad, no eggs.- Okay, tell them...","Julie & Julia"
"84",575353,580290,"Are you listening carefully, Tracy?Tell them to take the offer up to 185.","Julie & Julia"
"85",580424,581857,"- Here she goes.- Repeat after me, Tracy.","Julie & Julia"
"86",581926,583894,"- 1-8-5.- What's going on?","Julie & Julia"
"87",584929,586988,"And call me the second you hear back.","Julie & Julia"
"88",588065,590590,"My assistant.It's almost not worth having one.","Julie & Julia"
"89",590668,592499,"I know. Yesterday I said to Allison,","Julie & Julia"
"90",592570,594765,"""Go to the pharmacy,get me a pair of black pantyhose.""","Julie & Julia"
"91",594839,596739,"She came back and said,""They didn't have any.""","Julie & Julia"
"92",596808,601177,"I said, ""Did you try another pharmacy?""I mean, really.","Julie & Julia"
"93",601245,604146,"Or Bloomingdale's.What's wrong with trying Bloomingdale's?","Julie & Julia"
"94",604215,606911,"Yeah, I don't get it.If only I could be my own assistant.","Julie & Julia"
"95",606984,608349,"You can be.","Julie & Julia"
"96",609086,612214,"Fire your assistantand don't hire a replacement.","Julie & Julia"
"97",612723,614953,"No, that's not what I mean, Julie.","Julie & Julia"
"98",615026,617119,"Excuse me. Oh...","Julie & Julia"
"99",617595,620359,"- Oh, those are cute.- Oh, thanks. Thanks.","Julie & Julia"
"100",620431,625926,"Okay, tell them 190, 1-9-0. Great.","Julie & Julia"
"101",626103,628663,"""1-9-0."" What? What are you up to?","Julie & Julia"
"102",628739,632675,"$190 million.We're assembling a parcel at Midtown.","Julie & Julia"
"103",632743,635371,"Oh, wow. Oh, oh, that is so great, Cassie.","Julie & Julia"
"104",635446,637073,"A parcel of what?","Julie & Julia"
"105",638282,639408,"Buildings.","Julie & Julia"
"106",639584,642280,"We're gonna tear them all downand put up a high-rise.","Julie & Julia"
"107",642353,643877,"- To your parcel.- Thank you.","Julie & Julia"
"108",647558,649992,"And enough about you, here's to me.","Julie & Julia"
"109",650061,654964,"As of yesterday, I am the senior vicepresident in charge of corporate publicity.","Julie & Julia"
"110",655233,656825,"- No.- Which means I get a raise","Julie & Julia"
"111",656901,660803,"and I can borrow half a million dollarsat 2% if I want to.","Julie & Julia"
"112",660905,662839,"- Great.- If you want to?","Julie & Julia"
"113",663808,666572,"- So how's your job, Julie?- Oh, it's...","Julie & Julia"
"114",666677,668770,"- I can only imagine. Heartbreaking.- So sad.","Julie & Julia"
"115",668846,670677,"- Painful.- Not in a bad way.","Julie & Julia"
"116",670781,673875,"- Excuse me. Oh, God, I forgot.- Excuse me.","Julie & Julia"
"117",674752,675741,"- Hello?- Hello?","Julie & Julia"
"118",675820,676878,"- Hi.- Hi.","Julie & Julia"
"119",676954,680913,"Hey, Jules? I have got to interview youfor this piece that I'm writing.","Julie & Julia"
"120",680992,683688,"Sure, Annabelle, great. I'd be honored.","Julie & Julia"
"121",684862,686295,"Call Julie about interview.","Julie & Julia"
"122",686364,690095,"Find out about dry cleaning.Find out before dinner on Thursday.","Julie & Julia"
"123",690167,691657,"Saturday party.","Julie & Julia"
"124",693437,694461,"No.","Julie & Julia"
"125",694538,697871,"I cannot computer-coach you every daywhile I'm with my girlfriends.","Julie & Julia"
"126",697942,700240,"What is it about? The article?","Julie & Julia"
"127",700511,704379,"It's about our generation turning 30.","Julie & Julia"
"128",705283,710550,"People turning 30. Oh, my life, I am so busy.","Julie & Julia"
"129",710721,713713,"I don't know when I can fit you in.","Julie & Julia"
"130",714825,718591,"May I remind you, I don't want tosee you, you want to see me?","Julie & Julia"
"131",718696,720891,"Yeah. Would a breakfast work?","Julie & Julia"
"132",724769,726669,"I believed her. What kind of idiot am I?","Julie & Julia"
"133",726737,730229,"She said,""It's about our generation turning 30.""","Julie & Julia"
"134",730308,732776,"What'd you expect?Annabelle was always a liar.","Julie & Julia"
"135",733010,736241,"""Julie Powell, once the editor ofthe Amherst literary magazine,","Julie & Julia"
"136",736314,738976,"""the one we all knew would be 'The One,'","Julie & Julia"
"137",739116,742483,"""temped for eight years before giving upon her novel,","Julie & Julia"
"138",742553,745716,"""and now works in a cubicleas a mid-level bureaucrat,","Julie & Julia"
"139",745790,749123,"""attempting to deal withthe aftereffects of 9l11.""","Julie & Julia"
