"id","startTime","endTime","text","title"
"1",140988,144403,"Hence! Home, you idle creatures,get you home!","Julius Caesar"
"2",144635,147537,"This is a holiday. What trade art thou?","Julius Caesar"
"3",147611,149204,"Why, sir, a carpenter.","Julius Caesar"
"4",149276,152854,"Where is thy leather apron and thy rule?What dost thou with thy best apparel on?","Julius Caesar"
"5",152923,154516,"You, sir, what trade are you?","Julius Caesar"
"6",154587,158929,"Truly, sir, in respect of a fine workman,I am but, as you would say, a cobbler.","Julius Caesar"
"7",159003,161589,"But what trade art thou?Answer me directly.","Julius Caesar"
"8",161691,164441,"A trade, sir, that I hope,I may use with a safe conscience,","Julius Caesar"
"9",164507,167442,"which is indeed, sir,a mender of bad soles.","Julius Caesar"
"10",168987,171507,"But wherefore art not in thy shop today?","Julius Caesar"
"11",171610,173814,"Why dost thou lead these menabout the streets?","Julius Caesar"
"12",173882,178072,"Truly, sir, to wear out their shoes,to get myself into more work.","Julius Caesar"
"13",179098,182415,"But indeed, sir,we make holiday to see Caesar","Julius Caesar"
"14",182490,185622,"- and to rejoice in his triumph.- Wherefore rejoice?","Julius Caesar"
"15",186234,188339,"What conquest brings he home?","Julius Caesar"
"16",188667,190805,"What tributaries follow him to Rome,","Julius Caesar"
"17",190874,193721,"to grace in captive bondshis chariot wheels?","Julius Caesar"
"18",194522,196889,"You blocks, you stones,","Julius Caesar"
"19",197275,199544,"you worse than senseless things!","Julius Caesar"
"20",200026,203604,"O you hard hearts,you cruel men of Rome,","Julius Caesar"
"21",204058,205749,"knew you not Pompey?","Julius Caesar"
"22",206521,210067,"Many a time and oft have you climbedup to walls and battlements,","Julius Caesar"
"23",210138,212953,"to towers and windows,yea, to chimney tops,","Julius Caesar"
"24",213338,215248,"your infants in your arms,","Julius Caesar"
"25",215417,218800,"and there have sat the live-long daywith patient expectation","Julius Caesar"
"26",218970,221784,"to see great Pompeypass the streets of Rome.","Julius Caesar"
"27",222297,224664,"And when you saw his chariot but appear,","Julius Caesar"
"28",224729,226834,"have you not made a universal shout,","Julius Caesar"
"29",226905,229622,"that Tiber trembled underneath her banks,","Julius Caesar"
"30",229850,234356,"to hear the replication of your soundsmade in her concave shores?","Julius Caesar"
"31",235033,237553,"And do you now put on your best attire?","Julius Caesar"
"32",237625,239600,"And do you now cull out a holiday?","Julius Caesar"
"33",239673,242706,"And do you now strew flowers in his way","Julius Caesar"
"34",242777,245527,"that comes in triumphover Pompey's blood?","Julius Caesar"
"35",245689,247958,"Be gone! Run to your houses,","Julius Caesar"
"36",248473,250163,"fall upon your knees,","Julius Caesar"
"37",250233,252753,"pray to the gods to intermit the plague","Julius Caesar"
"38",252856,255540,"that needs must light on this ingratitude.","Julius Caesar"
"39",258360,260629,"See where their basest metalbe not moved.","Julius Caesar"
"40",260696,263446,"They vanish tongue-tiedin their guiltiness!","Julius Caesar"
"41",263513,265335,"Go you down that way toward the Capitol.","Julius Caesar"
"42",265400,269524,"This way will I. Disrobe the images if youdo find them decked with ceremonies.","Julius Caesar"
"43",269592,272145,"May we do so?You know, it is the feast of Lupercal.","Julius Caesar"
"44",272216,275893,"It is no matter. Let no images be hungwith Caesar's trophies.","Julius Caesar"
"45",276280,279063,"These growing feathers,plucked from Caesar's wing,","Julius Caesar"
"46",279128,280982,"will make him fly an ordinary pitch.","Julius Caesar"
"47",281048,283382,"Who else would soarabove the view of men","Julius Caesar"
"48",283448,286198,"and keep us all in servile fearfulness?","Julius Caesar"
"49",332695,336655,"- Calpurnia.- Peace, ho! Caesar speaks.","Julius Caesar"
"50",336951,338260,"Calpurnia!","Julius Caesar"
"51",340214,341643,"Here, my lord.","Julius Caesar"
"52",341719,345363,"Stand you directly in Antonius' way,when he doth run his course.","Julius Caesar"
"53",345495,349651,"- Antonius.- Caesar, my lord?","Julius Caesar"
"54",350551,353550,"Forget not, in your speed, Antonius,to touch Calpurnia,","Julius Caesar"
"55",353622,356622,"for our elders say, the barren touchedin this holy chase","Julius Caesar"
"56",356694,358833,"shake off their sterile curse.","Julius Caesar"
"57",363734,366189,"When Caesar says ""do this,""it is performed.","Julius Caesar"
"58",366262,369874,"Set on and leave no ceremony out!","Julius Caesar"
"59",371414,373007,"Caesar!","Julius Caesar"
"60",374934,377454,"- Who calls?- Bid every noise be still!","Julius Caesar"
"61",378198,381678,"- Peace yet again!- Who is it in the press that calls on me?","Julius Caesar"
"62",381749,385132,"I hear a tongue,shriller than all the music, cry ""Caesar.""","Julius Caesar"
"63",385206,388435,"Speak. Caesar is turned to hear.","Julius Caesar"
"64",388662,391531,"Beware the ides of March.","Julius Caesar"
"65",394389,395949,"What man is that?","Julius Caesar"
"66",398517,401451,"A soothsayer bids youbeware the ides of March.","Julius Caesar"
"67",402357,404975,"Set him before me. Let me see his face.","Julius Caesar"
"68",405365,407504,"Fellow, come from the throng.","Julius Caesar"
"69",418133,419758,"Look upon Caesar.","Julius Caesar"
"70",420821,423668,"What sayest thou to me now?Speak once again.","Julius Caesar"
"71",424469,426509,"Beware the ides of March.","Julius Caesar"
"72",429877,432430,"He is a dreamer. Let us leave him.","Julius Caesar"
"73",434036,436272,"Pass. Pass!","Julius Caesar"
"74",471060,473132,"Will you go see the order of the course?","Julius Caesar"
"75",473203,475407,"- Not I.- I pray you do.","Julius Caesar"
"76",475475,480014,"I am not gamesome. I do lack some partof that quick spirit that is in Antony.","Julius Caesar"
"77",480339,483405,"Let me not hinder, Cassius, your desires.I'll leave you.","Julius Caesar"
"78",483475,485963,"Brutus, I do observe you now of late.","Julius Caesar"
"79",486035,490312,"I have not from your eyes that gentlenessand show of love as I was wont to have.","Julius Caesar"
"80",490419,494281,"You bear too stubborn and too strangea hand over your friend that loves you.","Julius Caesar"
"81",494355,496460,"Cassius, be not deceived.If I have veiled my look,","Julius Caesar"
"82",496531,499914,"I turn the trouble of my countenancemerely upon myself.","Julius Caesar"
"83",500019,503281,"Vexed I am of late,with passions of some difference.","Julius Caesar"
"84",503410,504687,"Conceptions only proper to myself,","Julius Caesar"
"85",504755,507689,"which give some soil, perhaps,to my behaviors,","Julius Caesar"
"86",508051,509960,"but let not thereforemy good friends be grieved,","Julius Caesar"
"87",510034,512401,"among which number, Cassius,be you one.","Julius Caesar"
"88",512466,516939,"Nor construe any further my neglectthan that poor Brutus with himself at war","Julius Caesar"
"89",517106,519691,"forgets the shows of love to other men.","Julius Caesar"
"90",522290,525073,"Tell me, good Brutus,can you see your face?","Julius Caesar"
"91",526002,529646,"No, Cassius, for the eye sees not itselfbut by reflection,","Julius Caesar"
"92",529810,531370,"by some other things.","Julius Caesar"
"93",531442,535272,"'Tis just. And it is very much lamented,Brutus, that you have no such mirrors","Julius Caesar"
"94",535346,537418,"as will turn your hidden worthinessinto your eye,","Julius Caesar"
"95",537490,539530,"that you might see your shadow.","Julius Caesar"
"96",539602,541968,"I have heard where manyof the best respect in Rome,","Julius Caesar"
"97",542034,543856,"except immortal Caesar,","Julius Caesar"
"98",543922,547784,"speaking of Brutusand groaning underneath this age's yoke,","Julius Caesar"
"99",547858,550443,"have wishedthat noble Brutus had his eyes.","Julius Caesar"
"100",550513,552139,"Into what dangerswould you lead me, Cassius,","Julius Caesar"
"101",552210,554665,"that you would have me seekinto myself for that which is not in me?","Julius Caesar"
"102",554738,556712,"Therefore, good Brutus,be prepared to hear.","Julius Caesar"
"103",556785,559753,"And since you know you cannotsee yourself so well as by reflection,","Julius Caesar"
"104",559825,562411,"I, your glass, will modestlydiscover to yourself","Julius Caesar"
"105",562481,564750,"that of yourselfwhich you yet know not of.","Julius Caesar"
"106",564817,566759,"And be not jealous on me, gentle Brutus.","Julius Caesar"
"107",566833,569680,"Were I a common laugher anddid use to stale with ordinary oaths","Julius Caesar"
"108",569745,571655,"my love to every new protester,","Julius Caesar"
"109",571729,574446,"or if you know that I profess myselfin banqueting to all the rout,","Julius Caesar"
"110",574513,576335,"then hold me dangerous.","Julius Caesar"
"111",579729,581671,"What means this shouting?","Julius Caesar"
"112",582513,584815,"I do fear the people choose Caesarfor their king.","Julius Caesar"
"113",584881,586375,"Ay, do you fear it?","Julius Caesar"
"114",586640,588266,"Then must I thinkyou would not have it so?","Julius Caesar"
"115",588337,591436,"I would not, Cassius, yet I love him well.","Julius Caesar"
"116",593329,595336,"But what is it you would impart to me?","Julius Caesar"
"117",595409,597002,"If it be aught toward the general good,","Julius Caesar"
"118",597073,598534,"set honor in one eyeand death in the other,","Julius Caesar"
"119",598608,600877,"and I will look on both indifferently.","Julius Caesar"
