"id","startTime","endTime","text","title"
"1",121213,124426,"Boys, let's do this!","Jurassic World"
"2",130663,132042,"Gray?","Jurassic World"
"3",132043,134264,"Honey, what are you doing?","Jurassic World"
"4",134265,136067,"What is this here? Let's go.","Jurassic World"
"5",136068,138414,"Come on, honey.Your flight's in two hours.","Jurassic World"
"6",138415,141707,"Dane County Airport is 36 minutes away,60 with traffic.","Jurassic World"
"7",141709,144709,"How many minutesto get your little butt in the van?","Jurassic World"
"8",146187,147987,"How many of those?","Jurassic World"
"9",147989,150572,"- Feed the monster under your bed?- Yes.","Jurassic World"
"10",153188,155079,"Call me every day...","Jurassic World"
"11",155081,157932,"and text me picsso I don't forget what you look like.","Jurassic World"
"12",157933,159704,"I'm only gonna be gone a week.","Jurassic World"
"13",159704,160848,"Zach.","Jurassic World"
"14",160848,164545,"You're not going off to war here.Please.","Jurassic World"
"15",164545,165653,"Come on.","Jurassic World"
"16",165655,168716,"- I will see you later.- I love you.","Jurassic World"
"17",169687,171671,"- Bye, okay?- Bye.","Jurassic World"
"18",171673,173256,"Are you in, buddy?","Jurassic World"
"19",177281,179219,"I know it hurts, sweetheart.","Jurassic World"
"20",179221,181890,"Are you gonna be okay?","Jurassic World"
"21",186287,187896,"Everything right on there?","Jurassic World"
"22",187897,189820,"I'm so jealous.","Jurassic World"
"23",189822,193025,"You're gonna have so much fun.I love you.","Jurassic World"
"24",193026,194318,"I love you, too.","Jurassic World"
"25",201361,202960,"Okay, great.","Jurassic World"
"26",202961,206360,"All right, let's give theseto your brother, okay?","Jurassic World"
"27",206361,208939,"You hold these, please.Can you hold these?","Jurassic World"
"28",208941,211349,"- Honey, I need you to take care of these.- Yeah.","Jurassic World"
"29",211350,212098,"Hey.","Jurassic World"
"30",212098,214069,"- Alright.- Listen to your mother.","Jurassic World"
"31",214070,215962,"Take care of your brother.Answer your phone.","Jurassic World"
"32",215963,220638,"I'm serious. It's the green button.When you see my name, push it, okay?","Jurassic World"
"33",220639,224752,"And remember...something chases you, run.","Jurassic World"
"34",225756,226319,"Come on.","Jurassic World"
"35",226319,228972,"- All right.- You're funny. Okay, let's go. Come on.","Jurassic World"
"36",228973,229973,"- Bye, guys.- Bye.","Jurassic World"
"37",229974,232449,"- I miss you already.- Yeah.","Jurassic World"
"38",234018,236673,"So much for our last family breakfast.","Jurassic World"
