"id","startTime","endTime","text","title"
"1",51759,52926,"There he is!","Justice League"
"2",52929,54061,"Oh, sorry.","Justice League"
"3",54064,57631,"Superman, Superman,can we ask you some questions?","Justice League"
"4",57732,59098,"It's for our podcast.","Justice League"
"5",59201,60334,"Well, in that case...","Justice League"
"6",60536,62715,"How many people thatyou saved... Have you saved?","Justice League"
"7",62738,64072,"- I...- Never mind.","Justice League"
"8",64073,66040,"Does your thingreally stand for hope?","Justice League"
"9",66043,67141,"Yes. It does.","Justice League"
"10",67144,68643,"But it looks like an ""S.""","Justice League"
"11",68644,70945,"Yes. It's meant to. It's...","Justice League"
"12",70948,73381,"It's meant to wind like a river.","Justice League"
"13",73382,75251,"It comes and goes. My...","Justice League"
"14",77287,80521,"A man I knew used to say thathope is like your car keys.","Justice League"
"15",80522,84191,"Easy to lose, but if you digaround, it's usually close by.","Justice League"
"16",84192,86427,"Did you ever fight a hippo?","Justice League"
"17",86430,87861,"No. Shh. That's dumb.","Justice League"
"18",87864,89496,"But hipposare the most deadly.","Justice League"
"19",91099,93466,"What's the best thingabout Planet Earth?","Justice League"
"20",93468,94670,"Hmm...","Justice League"
"21",182625,184191,"What are you doing?","Justice League"
"22",184193,187996,"No, wait. No, wait. Wait. Wait!","Justice League"
"23",187997,190099,"Please! Please, man. Please!","Justice League"
"24",193735,195204,"What do you want from me?","Justice League"
"25",195638,197538,"Fear.","Justice League"
"26",197539,198941,"They can smell it.","Justice League"
"27",260302,261338,"What the hell?","Justice League"
"28",271180,273750,"- What was that?- A scout.","Justice League"
"29",274750,276151,"From space?","Justice League"
"30",276153,278084,"Like an alien army?","Justice League"
"31",278086,279987,"Alfred, are you seeing this?","Justice League"
"32",279988,283324,"I am.Matches the other sightings.","Justice League"
"33",283326,286526,"And that patternis all over Luthor's notes.","Justice League"
"34",286528,288963,"Prep the jet.We're going north tonight.","Justice League"
"35",288965,291100,"Good. It's time, then.","Justice League"
"36",293668,295773,"It's 'causethey know he's dead, right?","Justice League"
"37",296639,297841,"Superman.","Justice League"
"38",299542,300543,"He's gone.","Justice League"
"39",301577,303045,"Where does that leave us?","Justice League"
"40",482925,484293,"Drop your guns now!","Justice League"
"41",486963,488295,"Excuse me.","Justice League"
"42",492201,493569,"Go!","Justice League"
"43",497874,500076,"Move it! Move! Move!","Justice League"
"44",503345,504579,"Get down!","Justice League"
"45",505781,507781,"Line them up along the wall!","Justice League"
"46",507783,509151,"Keep them quiet!","Justice League"
"47",513056,514554,"Children, stay close to me.","Justice League"
"48",541182,542750,"Who are you?","Justice League"
"49",542751,545755,"The Lasso of Hestia compelsyou to reveal the truth.","Justice League"
"50",546655,548554,"Now, who are you?","Justice League"
"51",548557,551625,"We're a small groupof reactionary terrorists.","Justice League"
"52",551628,553995,"We know that sin has broughton this plague of aliens.","Justice League"
"53",553996,555461,"Why the hostages?","Justice League"
"54",555464,558065,"You're too late.","Justice League"
"55",558067,560033,"The countdown's already begun.","Justice League"
"56",560036,564871,"In a few minutes, four cityblocks...","Justice League"
"57",564874,566676,"While the world watches.","Justice League"
"58",569778,571044,"Hush!","Justice League"
"59",571047,572145,"Shut up!","Justice League"
"60",572148,574448,"This is man's best hope.","Justice League"
"61",574451,576850,"Down with the modern world.","Justice League"
"62",576852,581421,"Back to the Dark Ages,and the safety of holy fear.","Justice League"
"63",583025,584226,"Quiet!","Justice League"
