"id","startTime","endTime","text","title"
"1",132360,134680,"Say, is this the moving-picture ship?","King Kong"
"2",134832,136632,"The Venture? Yeah.","King Kong"
"3",136786,140186,"- Are you going on this crazy voyage?- What's crazy about it?","King Kong"
"4",140336,144216,"I don't know. But everybody is talkingabout that crazy fella running it.","King Kong"
"5",144362,147002,"- Carl Denham?- Guess that's the name.","King Kong"
"6",147155,150155,"He ain't scared of nothing.If he wants a picture of lion","King Kong"
"7",150305,153145,"he just goes up to himand tells him to look pleasant.","King Kong"
"8",153336,156896,"He's a tough egg. Why all this talkabout this voyage being crazy?","King Kong"
"9",157044,161604,"Everybody around the docks is talkingabout the cargo, for one thing.","King Kong"
"10",161790,164710,"And I never did see a shipthis size with such a crew.","King Kong"
"11",164861,167541,"- Not enough men to handle her?- Not enough!","King Kong"
"12",167691,169931,"Three times more thanthe ship needs.","King Kong"
"13",170085,172965,"I don't see where they're gonnahave room enough to sleep.","King Kong"
"14",173115,175795,"Hey, down there.What do you want?","King Kong"
"15",175946,178306,"- Denham aboard?- Who are you?","King Kong"
"16",178458,180378,"My name is Weston,the theatrical agent.","King Kong"
"17",180533,183413,"Well, why didn't you say so?Come on aboard.","King Kong"
"18",184599,189039,"Denham's getting wild. I hope you've gotsome good news for him.","King Kong"
"19",190262,193862,"Well, Mr. Denham, you know the reasonsfor hurrying as well as I do.","King Kong"
"20",194011,196371,"Insurance company found outwe're carrying explosives.","King Kong"
"21",196522,198762,"Marshal will be aboardtomorrow or next day.","King Kong"
"22",198916,202076,"If we make a legal case of it,we'll be tied up for months?","King Kong"
"23",202264,205224,"With enough ammunitionto blow up the harbor.","King Kong"
"24",207130,210690,"What do you think the marshal will sayto these new gas bombs of yours?","King Kong"
"25",210839,214359,"According to you, one of themis enough to knock out an elephant.","King Kong"
"26",214547,217507,"We've got to get where we're goingbefore the monsoon starts.","King Kong"
"27",217697,221377,"- Trust me to see you through a blow.- Oh, now, don't get sore, skipper.","King Kong"
"28",221566,225566,"You can't run into the rainy season whenyou're trying to make an outdoor picture.","King Kong"
"29",225753,227953,"Months wasted, money goneand nothing to show.","King Kong"
"30",228107,230107,"Still you alwaysbring back a picture.","King Kong"
"31",230258,233978,"And everybody says,""There's only one Carl Denham.""","King Kong"
"32",236002,238122,"Weston, I was just going ashoreto call you.","King Kong"
"33",238274,240114,"If I'd known that,I would have waited.","King Kong"
"34",240268,242788,"This is the skipper.Weston, the theatrical agent.","King Kong"
"35",242980,244940,"I guess you met Driscoll,the first mate.","King Kong"
"36",245094,247334,"Well, Weston, how about the girl?","King Kong"
"37",247487,249327,"- It can't be done, Denham.- What?","King Kong"
"38",249480,252080,"It's got to be done.Now, look here, Weston.","King Kong"
"39",252272,254552,"Somebody's interferedwith every girl I try to hire.","King Kong"
"40",254705,257785,"Now all the agents in townhave shut down on me. All but you.","King Kong"
"41",257934,260734,"- You know I'm square.- Everybody knows you're square.","King Kong"
"42",260885,263125,"But you've gota reputation for recklessness","King Kong"
"43",263277,266117,"that can't be glossed over.Then you're so secretive.","King Kong"
"44",266309,267709,"You said it.","King Kong"
