"id","startTime","endTime","text","title"
"1",82914,84216,"MAN (distorted voice): Eggy.","Kingsman: The Golden Circle"
"2",86786,89120,"You mind ifI share your cab?","Kingsman: The Golden Circle"
"3",98628,99631,"Charlie?","Kingsman: The Golden Circle"
"4",103200,105537,"It's ironic, isn't it?","Kingsman: The Golden Circle"
"5",105569,108140,"You look like a gentleman,I look like a pleb.","Kingsman: The Golden Circle"
"6",109108,111311,"If I was you,I'd unlock your cab.","Kingsman: The Golden Circle"
"7",123956,125391,"(beeping)","Kingsman: The Golden Circle"
"8",128728,130329,"(Charlie grunts)","Kingsman: The Golden Circle"
"9",130361,133066,"Pete, get us out of here!","Kingsman: The Golden Circle"
"10",133098,135600,"(Charlie grunting)(tires squealing)","Kingsman: The Golden Circle"
"11",138670,140406,"(grunting)","Kingsman: The Golden Circle"
"12",141639,143841,"(upbeat pop music playingon speakers)","Kingsman: The Golden Circle"
"13",152349,154485,"(electricity crackling)","Kingsman: The Golden Circle"
"14",154520,156322,"You think that shit'sgonna work this time?","Kingsman: The Golden Circle"
"15",157389,159192,"You're way out of your depth.","Kingsman: The Golden Circle"
"16",160591,161593,"(yells)","Kingsman: The Golden Circle"
"17",164729,166430,"(metal scraping)","Kingsman: The Golden Circle"
"18",177877,179478,"(yells)","Kingsman: The Golden Circle"
"19",180444,181614,"(screams)","Kingsman: The Golden Circle"
"20",196996,198364,"(groans)","Kingsman: The Golden Circle"
"21",201865,203367,"(yells)","Kingsman: The Golden Circle"
"22",203735,204770,"(gasps)","Kingsman: The Golden Circle"
"23",205170,206371,"Fuck!","Kingsman: The Golden Circle"
"24",206906,207941,"(yells)","Kingsman: The Golden Circle"
"25",217781,218783,"(grunting)","Kingsman: The Golden Circle"
"26",225191,226390,"(screams)","Kingsman: The Golden Circle"
"27",226758,227926,"(grunts)","Kingsman: The Golden Circle"
"28",248646,249649,"(yells)","Kingsman: The Golden Circle"
"29",250782,251817,"(grunts)","Kingsman: The Golden Circle"
"30",264230,265564,"(yells)","Kingsman: The Golden Circle"
"31",292990,294459,"(panting)","Kingsman: The Golden Circle"
"32",302869,304603,"(engine revving)","Kingsman: The Golden Circle"
"33",305737,307004,"(whirring)","Kingsman: The Golden Circle"
"34",310875,312476,"(tires squealing)","Kingsman: The Golden Circle"
"35",336735,338504,"Take him out!","Kingsman: The Golden Circle"
"36",348848,350415,"Merlin! We've gota Code Purple.","Kingsman: The Golden Circle"
"37",350449,351483,"My driver's down.","Kingsman: The Golden Circle"
"38",351516,353718,"Permission to blowthese fuckers away.","Kingsman: The Golden Circle"
"39",353752,354853,"MERLIN: Denied.","Kingsman: The Golden Circle"
"40",354887,356855,"Cannot be contained.","Kingsman: The Golden Circle"
"41",356889,358524,"Head south,I'm clearing the route.","Kingsman: The Golden Circle"
"42",367033,368401,"(gasping)","Kingsman: The Golden Circle"
"43",402134,403403,"Shit!","Kingsman: The Golden Circle"
