"id","startTime","endTime","text","title"
"1",34100,36600,"Please stop!","Kiss Me Deadly"
"2",36800,38600,"Please...","Kiss Me Deadly"
"3",70000,72300,"You almost wrecked my car.","Kiss Me Deadly"
"4",72500,74500,"Well?","Kiss Me Deadly"
"5",76500,78500,"Get in.","Kiss Me Deadly"
"6",82000,88200,"And now, fellas, we'll hearthat fine new platter by Nat King Cole,","Kiss Me Deadly"
"7",88600,91000,"''I'd Rather Have the Blues''.","Kiss Me Deadly"
"8",105200,108900,"# The night is mighty chilly","Kiss Me Deadly"
"9",110600,115300,"# And conversation seems pretty silly","Kiss Me Deadly"
"10",117100,120500,"# I feel so mean and brought","Kiss Me Deadly"
"11",120800,124900,"# I'd rather have the bluesthan what I've got","Kiss Me Deadly"
"12",128900,133800,"# The room is dark and gloomy","Kiss Me Deadly"
"13",134900,139900,"# You don't know what you're doing to me","Kiss Me Deadly"
"14",141100,144700,"# Your web has got me caught","Kiss Me Deadly"
"15",145000,149700,"# I'd rather have the bluesthan what I've got","Kiss Me Deadly"
"16",153000,157700,"# All night I walk the city","Kiss Me Deadly"
"17",160100,163700,"# Watching the people go by","Kiss Me Deadly"
"18",165400,169700,"# I try to sing a little ditty","Kiss Me Deadly"
"19",170900,176600,"# But all that comes out is a sigh...","Kiss Me Deadly"
"20",179300,183000,"A thumb isn't good enough for you.You've gotta use your whole body.","Kiss Me Deadly"
"21",183300,185700,"Would you have stoppedif I'd used my thumb?","Kiss Me Deadly"
"22",185900,187700,"No.","Kiss Me Deadly"
"23",189700,191800,"What's this all about?","Kiss Me Deadly"
"24",192900,197900,"I'll guess. You were out with some guywho thought ''no'' was a three-letter word.","Kiss Me Deadly"
"25",198200,203400,"I should've thrown you off that cliffback there. I might still do it.","Kiss Me Deadly"
"26",203700,206900,"- Where are you headed?- Los Angeles.","Kiss Me Deadly"
"27",207100,209600,"Drop me off at the first bus stop.","Kiss Me Deadly"
"28",210300,213500,"Do you always go aroundwith no clothes on?","Kiss Me Deadly"
"29",228300,230100,"What's the trouble, officer?","Kiss Me Deadly"
"30",230400,234200,"A woman escaped from an asylumupstate. Young, wearing a trench coat.","Kiss Me Deadly"
"31",234500,237600,"- Seen anybody to fit that description?- No, officer.","Kiss Me Deadly"
"32",237800,240000,"OK, move on.","Kiss Me Deadly"
"33",245400,247900,"Haven't seen a thing, officer.","Kiss Me Deadly"
"34",248900,253000,"- Oh, my wife's been asleep.- All right, move on.","Kiss Me Deadly"
"35",259700,262200,"May I have my hand back now?","Kiss Me Deadly"
"36",265300,269000,"So you're a fugitivefrom the laughing house.","Kiss Me Deadly"
"37",270100,274800,"They forced me to go there.Took away my clothes to make me stay.","Kiss Me Deadly"
"38",275100,276700,"Who?","Kiss Me Deadly"
"39",276900,279300,"I wish I could tell you that.","Kiss Me Deadly"
"40",282300,284400,"I have to tell someone.","Kiss Me Deadly"
"41",285300,289200,"When people are in trouble,they need to talk.","Kiss Me Deadly"
"42",289600,292000,"But you know the old saying.","Kiss Me Deadly"
"43",292200,295000,"What I don't know can't hurt me?","Kiss Me Deadly"
"44",300500,304800,"This wheel doesn't feel right.lt keeps pulling over.","Kiss Me Deadly"
"45",310900,313900,"- Good evening, folks.- Check the right front wheel.","Kiss Me Deadly"
"46",334800,336700,"What'd you find?","Kiss Me Deadly"
"47",338000,340000,"Caught in the spindle.","Kiss Me Deadly"
"48",340300,343300,"We must've picked it upwhen we went off the road back there.","Kiss Me Deadly"
"49",343500,347900,"The only thing I ever pick upwhen I go off the road is poison ivy.","Kiss Me Deadly"
"50",348200,351000,"- Thanks, kid.- Thank you.","Kiss Me Deadly"
"51",362500,366200,"- Would you do me a favour, please?- Wouldn't mind at all.","Kiss Me Deadly"
"52",366500,370100,"Would you put a stamp on thisand drop it in the mailbox for me?","Kiss Me Deadly"
"53",370300,373500,"Yes, ma'am. Anything else, ma'am?","Kiss Me Deadly"
"54",374900,377300,"Did you find outwhat was wrong with the wheel?","Kiss Me Deadly"
"55",377500,383800,"Oh, yeah. You picked up a piece of branchwhen you took that little trip off the road.","Kiss Me Deadly"
"56",396700,399100,"So long. Come back again.","Kiss Me Deadly"
"57",406900,409400,"You're angry with me, aren't you?","Kiss Me Deadly"
"58",410600,414400,"Sorry I nearly wreckedyour pretty little car.","Kiss Me Deadly"
"59",418000,423500,"I was just thinking how much you can tellabout a person from such simple things.","Kiss Me Deadly"
"60",423900,428500,"- Your car, for instance.- What kind of message does it send you?","Kiss Me Deadly"
"61",428800,431400,"You have only one real, lasting love.","Kiss Me Deadly"
"62",431700,433700,"Now who could that be?","Kiss Me Deadly"
"63",434000,435700,"You.","Kiss Me Deadly"
"64",436000,440600,"You're one of those self-indulgent maleswho thinks about nothing but his clothes,","Kiss Me Deadly"
"65",440900,443400,"his car, himself...","Kiss Me Deadly"
"66",443600,446100,"Bet you do push-upsto keep your belly hard.","Kiss Me Deadly"
"67",446300,448900,"You against good health or something?","Kiss Me Deadly"
"68",449200,454700,"I could tolerate flabby muscles in a manif it would make him more friendly.","Kiss Me Deadly"
"69",455100,460700,"You're the kind of person who nevergives in a relationship, who only takes.","Kiss Me Deadly"
"70",461600,466000,"Ah, woman. The incomplete sex.","Kiss Me Deadly"
"71",467500,469900,"And what does she need to complete her?","Kiss Me Deadly"
"72",470100,473000,"Why, man, of course. Wonderful man.","Kiss Me Deadly"
"73",473400,476100,"All right, all right, let it go.","Kiss Me Deadly"
"74",476300,480500,"That bus stop will be coming up soonand I don't even know your name.","Kiss Me Deadly"
"75",480800,486300,"You forget, I'm a loony from the laughinghouse. All loonies are dangerous.","Kiss Me Deadly"
"76",486600,489300,"D'you ever read poetry?","Kiss Me Deadly"
"77",489500,491700,"No, of course you wouldn't.","Kiss Me Deadly"
"78",492000,496700,"Christina Rossetti wrote love sonnets.I was named after her.","Kiss Me Deadly"
"79",497100,500300,"- Christina?- Yes, Mike.","Kiss Me Deadly"
"80",501400,506000,"I got your name fromthe registration certificate, Mr Hammer.","Kiss Me Deadly"
"81",506300,510100,"Get me to that bus stopand you can forget you ever saw me.","Kiss Me Deadly"
"82",516600,520100,"- If we don't make that bus stop...- We will.","Kiss Me Deadly"
"83",522900,525000,"If we don't...","Kiss Me Deadly"
"84",526600,528700,"remember me.","Kiss Me Deadly"
"85",566300,569200,"- She's passed out.- I'll bring her to.","Kiss Me Deadly"
"86",569400,572200,"If you revive her,you know what that would be?","Kiss Me Deadly"
"87",572400,574800,"Resurrection, that's what it would be.","Kiss Me Deadly"
"88",575100,579500,"And do you know what resurrectionmeans? lt means ''raise the dead''.","Kiss Me Deadly"
"89",579800,583400,"Just who do you think you arethat you think you can raise the dead?","Kiss Me Deadly"
"90",583700,587500,"Put him in the car too?- Naturally.","Kiss Me Deadly"
"91",638900,640900,"Mike.","Kiss Me Deadly"
"92",642200,643700,"Mike.","Kiss Me Deadly"
"93",645000,647000,"Hey, Mike.","Kiss Me Deadly"
"94",648500,650200,"Mike.","Kiss Me Deadly"
"95",664200,666600,"- Hi, Velda.- Hi.","Kiss Me Deadly"
"96",671200,673500,"You're never around when I need you.","Kiss Me Deadly"
"97",673700,677000,"You never need me when I'm around.Pat's here.","Kiss Me Deadly"
"98",677200,680800,"Five minutes, that's all you've got. Nurse.","Kiss Me Deadly"
"99",684000,686100,"- Hi, flatfoot.- Hi.","Kiss Me Deadly"
"100",687000,691400,"Three days ago I was figuring I'd haveto finance a new tux to bury the corpse.","Kiss Me Deadly"
"101",691700,694800,"Three days? How am I doin'?","Kiss Me Deadly"
"102",696300,700900,"You're doin' all right. In a coupleof weeks you'll walk out of here.","Kiss Me Deadly"
"103",701800,706700,"Can you remember, Mike?How it happened, the whole thing?","Kiss Me Deadly"
"104",724100,727100,"I never thought I'd smell that again.","Kiss Me Deadly"
"105",729400,731300,"Ooh, look at all the goodies.","Kiss Me Deadly"
"106",731500,733800,"- I have a cab.- Mr Hammer?","Kiss Me Deadly"
"107",734000,737400,"You won't need the cab.We'd like to ask you a few questions.","Kiss Me Deadly"
"108",737700,740200,"That figures. See you later.","Kiss Me Deadly"
"109",746800,750700,"- Why not come in? We may be a while.- I'll wait here.","Kiss Me Deadly"
"110",750900,754600,"We're not getting very far,are we, Mr Hammer?","Kiss Me Deadly"
"111",754900,759300,"Well now, we have most of the facts.All we need is a little more fill-in.","Kiss Me Deadly"
"112",759600,764100,"- I almost get killed and he wants fill-in.- Is it too much to ask for cooperation?","Kiss Me Deadly"
"113",764500,768500,"- And make 'em try it again?- You'll be given full protection.","Kiss Me Deadly"
"114",768800,772100,"Maybe we'll have better luckwith more elementary questions.","Kiss Me Deadly"
"115",772300,774600,"Your full name please, Mr Hammer.","Kiss Me Deadly"
"116",774800,777900,"Michael Hammer,10401 Wilshire Boulevard, Los Angeles.","Kiss Me Deadly"
"117",778100,783800,"- Just what do you do for a living?- He calls himself a private investigator.","Kiss Me Deadly"
"118",784300,787600,"- His speciality is divorce cases.- He's a bedroom dick.","Kiss Me Deadly"
"119",787800,792100,"He gets dirt on the wife, then does a dealwith the wife to get dirt on the husband.","Kiss Me Deadly"
"120",792500,794400,"Plays both ends against the middle.","Kiss Me Deadly"
"121",794600,798300,"How do you achieve all this?You crawl under beds?","Kiss Me Deadly"
"122",798600,802600,"- Nothing so primitive.- He has a secretary, as he calls her.","Kiss Me Deadly"
"123",802900,806200,"- What's her name, Mr Hammer?- Velda Wichman.","Kiss Me Deadly"
"124",806500,811200,"She's a very attractive young woman.Real woo-bait. Lives like a princess.","Kiss Me Deadly"
"125",811500,815900,"He sics her onto the husbands andin no time he's ready for the big squeeze.","Kiss Me Deadly"
"126",816300,819200,"Who do you sic onto the wives,Mr Hammer?","Kiss Me Deadly"
"127",819400,821300,"That's his department.","Kiss Me Deadly"
"128",821500,825400,"All right, you've got me convinced.I'm a real stinker.","Kiss Me Deadly"
"129",825700,828900,"Now if that's all that's on your minds,I'd like to get home.","Kiss Me Deadly"
"130",829200,834000,"Yes, I know. You're anxiousto get back to your life's work.","Kiss Me Deadly"
"131",835300,837400,"You're free to go.","Kiss Me Deadly"
"132",840300,842500,"Open a window.","Kiss Me Deadly"
"133",846300,848600,"Thanks for waiting, Pat.","Kiss Me Deadly"
