"id","startTime","endTime","text","title"
"1",113249,115046,"I love you, Billy.","Kramer vs. Kramer"
"2",118809,121039,"I love you too, Mommy.","Kramer vs. Kramer"
"3",127169,128443,"Night-night.","Kramer vs. Kramer"
"4",131449,132848,"Sleep tight.","Kramer vs. Kramer"
"5",135649,138038,"Don't let the bedbugs bite.","Kramer vs. Kramer"
"6",139729,143039,"I'll see you in the morning light.","Kramer vs. Kramer"
"7",153409,155047,"I love you.","Kramer vs. Kramer"
"8",176169,179286,"They're going to make me an assistantart director. So Kenny says:","Kramer vs. Kramer"
"9",179489,181923,"""You get yourself a Burberry coat.","Kramer vs. Kramer"
"10",182169,185639,"If you're gonna be Madison Avenue,you have to look it.""","Kramer vs. Kramer"
"11",185849,188283,"Saturday afternoon, I go out,and it's cold.","Kramer vs. Kramer"
"12",188529,191441,"I go to this placethat specializes in Burberrys...","Kramer vs. Kramer"
"13",191689,194283,"...and say, "" I want a Burberry coat,37 short.""","Kramer vs. Kramer"
"14",194529,197282,"They put it on,and I look beautiful in it.","Kramer vs. Kramer"
"15",197529,198678,"I say, "" I'll buy it.""","Kramer vs. Kramer"
"16",198889,201005,"And right then, I start to sweat.","Kramer vs. Kramer"
"17",201209,205122,"I take my checkbook out, start tosign the check, and my hand shakes...","Kramer vs. Kramer"
"18",205369,207087,"...because I'm so scared.","Kramer vs. Kramer"
"19",207329,208728,"-Good night.-Where you going?","Kramer vs. Kramer"
"20",208969,212644,"-I gotta get home.-Oh, Jesus, I gotta go.","Kramer vs. Kramer"
"21",212849,214123,"Okay, so let me finish.","Kramer vs. Kramer"
"22",214369,216803,"So I sign it,and my hand starts shaking....","Kramer vs. Kramer"
"23",218249,221685,"Who is this? Danny, right?Taxi!","Kramer vs. Kramer"
"24",221929,226047,"-Come on, I gotta tell you something.-I can't. I gotta get home.","Kramer vs. Kramer"
"25",226289,228883,"Gotta talk to youabout something important.","Kramer vs. Kramer"
"26",229129,232439,"I'm putting you in chargeof the Mid-Atlantic account.","Kramer vs. Kramer"
"27",253369,256361,"By the end of the year, we'llhave them up to 1 0 million.","Kramer vs. Kramer"
"28",256569,259686,"If this campaign works out the wayI know it will...","Kramer vs. Kramer"
"29",259929,261726,"...they'll offer me a partnership.","Kramer vs. Kramer"
"30",261929,263248,"That's terrific!","Kramer vs. Kramer"
"31",263449,267647,"When that happens, I just want youto know I'm taking you along.","Kramer vs. Kramer"
"32",268929,272717,"Wow! Wow! That's terrific.","Kramer vs. Kramer"
"33",289529,291440,"Joanna.","Kramer vs. Kramer"
"34",292049,293687,"I'm home.","Kramer vs. Kramer"
"35",296649,299846,"I forgot my keys. I gotta callthe office before they go.","Kramer vs. Kramer"
"36",300089,303445,"Jo, you're gonna be real proudof me. I got good news.","Kramer vs. Kramer"
"37",305849,308647,"-Ted.-One second. Let me just do this.","Kramer vs. Kramer"
"38",312169,315286,"You know Jack Edwards in accounting?He committed suicide.","Kramer vs. Kramer"
"39",315529,317520,"Yeah, hi. Ted Kramer.","Kramer vs. Kramer"
"40",317769,321444,"I gotta get those photos fromthe retoucher by tomorrow morning.","Kramer vs. Kramer"
"41",321689,324283,"-I'm leaving you.-Honey, please. I can't hear.","Kramer vs. Kramer"
"42",325889,328608,"Okay, you too. Thanks a lot.See you tomorrow.","Kramer vs. Kramer"
"43",329209,330608,"Did you guys eat?","Kramer vs. Kramer"
"44",330849,331725,"I'm leaving you.","Kramer vs. Kramer"
"45",334689,336361,"Here are my keys.","Kramer vs. Kramer"
"46",336609,339601,"Here's my American Express,my Bloomingdale's card...","Kramer vs. Kramer"
"47",339809,343518,"...my checkbook. I've taken$2000 out of our savings account.","Kramer vs. Kramer"
"48",343729,345879,"That's what I had when we got married.","Kramer vs. Kramer"
"49",346129,348768,"-Is this a joke?-Here's the cleaning, laundry ticket.","Kramer vs. Kramer"
"50",349009,351079,"You can pick them both upon Saturday.","Kramer vs. Kramer"
"51",351289,353678,"-You. You have to pick them up.-What's wrong?","Kramer vs. Kramer"
"52",353929,357558,"I paid the rent, the Con Ed bill,and the phone bill, so--","Kramer vs. Kramer"
"53",357809,359481,"You really pick your times to....","Kramer vs. Kramer"
"54",363529,367238,"I'm sorry I was late, but I wasbusy making a living, all right?","Kramer vs. Kramer"
"55",368009,371126,"Come on, okay? Can we stop now?","Kramer vs. Kramer"
"56",371369,373405,"So that's everything.","Kramer vs. Kramer"
"57",378409,380047,"Enough, enough. All right?","Kramer vs. Kramer"
"58",380289,382200,"What are you doing?","Kramer vs. Kramer"
"59",382489,385925,"Where are you going? Just tell mewhat I did that's so terrible.","Kramer vs. Kramer"
"60",386169,387443,"-It's not you.-Then what?","Kramer vs. Kramer"
"61",387689,389645,"It's me. It's my fault.","Kramer vs. Kramer"
"62",390089,391488,"You married the wrong person.","Kramer vs. Kramer"
"63",391729,394084,"-I can't hack it.-Let's just go inside.","Kramer vs. Kramer"
"64",394329,396285,"I can't, I tried.I swear--","Kramer vs. Kramer"
"65",396529,399282,"Joanna, please, just-- I'm sorry.","Kramer vs. Kramer"
"66",399529,404444,"-No, please don't make me go in there.-I just want to talk.","Kramer vs. Kramer"
"67",404689,407123,"If you do, I swear, one day...","Kramer vs. Kramer"
"68",407329,409763,"-...l'll go right out the window.-Oh, please.","Kramer vs. Kramer"
"69",410009,412204,"Come on, now. What about Billy?","Kramer vs. Kramer"
"70",415969,419245,"I'm not taking him with me.I'm no good for him.","Kramer vs. Kramer"
"71",419729,421082,"I'm terrible with him.","Kramer vs. Kramer"
"72",421329,424048,"I have no patience.","Kramer vs. Kramer"
"73",424249,426240,"He's better off without me.","Kramer vs. Kramer"
"74",428329,429762,"Joanna, please.","Kramer vs. Kramer"
"75",434409,436639,"And I don't love you anymore.","Kramer vs. Kramer"
"76",438529,440440,"-Where are you going?-I don't know.","Kramer vs. Kramer"
"77",473449,476646,"Hi, Margaret. This is Ted.Is my wife there?","Kramer vs. Kramer"
"78",476849,479886,"Yeah. Joanna come in?","Kramer vs. Kramer"
"79",480129,484247,"We had a little fight. I thoughtshe might have stopped by.","Kramer vs. Kramer"
"80",484449,487646,"If she comes in, tell her to come upor just give me a ring.","Kramer vs. Kramer"
"81",489449,493442,"Don't worry. She didn't takeher suitcase. She won't get very far.","Kramer vs. Kramer"
"82",494569,497766,"I got work to do.If she comes in, tell her to call me.","Kramer vs. Kramer"
"83",504569,506048,"It's about time.","Kramer vs. Kramer"
"84",508969,511722,"Joanna, that's the most insensitive--Hi, Margaret.","Kramer vs. Kramer"
"85",511969,515644,"-She packed a suitcase?-Look, it's nothing serious, really.","Kramer vs. Kramer"
"86",515889,517766,"She tell you where she was going?","Kramer vs. Kramer"
"87",518009,520648,"-You tell me.-How would I know? I wasn't here.","Kramer vs. Kramer"
"88",520889,524245,"Clearly, you two had manytalks about my shortcomings...","Kramer vs. Kramer"
"89",524449,527361,"...which I haven't been privy to.And I'd love to talk...","Kramer vs. Kramer"
"90",527609,530726,"...but I have a major presentationin the morning...","Kramer vs. Kramer"
"91",530969,533688,"...and I gotta get my work done.So please allow me--","Kramer vs. Kramer"
"92",533929,536443,"You don't realizewe have a serious problem.","Kramer vs. Kramer"
"93",536649,539482,"Wrong. Me. I got the problem.All you gotta do is...","Kramer vs. Kramer"
"94",539729,542004,"...go out the door and go back to bed.","Kramer vs. Kramer"
"95",542409,544843,"-The fact is---For six months...","Kramer vs. Kramer"
"96",545089,548525,"...l've been spitting blood to getthis agency its biggest account.","Kramer vs. Kramer"
"97",548769,550760,"And at five, we got it.","Kramer vs. Kramer"
"98",551529,555841,"At eight, the vice president tells meI'll be the next creative director.","Kramer vs. Kramer"
"99",556049,558517,"I come through this doorto share with my wife...","Kramer vs. Kramer"
"100",558729,562278,"...one of the five best daysof my life, and she looks at me...","Kramer vs. Kramer"
"101",562529,565043,"...and tells me she doesn't wantto live with me!","Kramer vs. Kramer"
"102",570329,572843,"Can't you understandwhat she's done to me?","Kramer vs. Kramer"
"103",574729,578039,"She loused up one of the fivebest days of your life.","Kramer vs. Kramer"
"104",581809,584084,"You're terrific. Boy, you're....","Kramer vs. Kramer"
