"id","startTime","endTime","text","title"
"1",10702,35137,"Kung Fu Panda 2008Sub Edit : LeToan","Kung Fu Panda"
"2",37701,41137,"Legend tells of alegendary warrior...","Kung Fu Panda"
"3",41204,44368,"...whose kung fu skillswere the stuff of legend.","Kung Fu Panda"
"4",45509,50072,"He traveled the land insearch of worthy foes.","Kung Fu Panda"
"5",59923,65623,"I see you like to chew. Maybeyou should chew on my fist!","Kung Fu Panda"
"6",65695,69222,"The warrior said nothing,for his mouth was full.","Kung Fu Panda"
"7",69299,72462,"Then he swallowed.And then he spoke.","Kung Fu Panda"
"8",72537,74835,"Enough talk. Let's fight!","Kung Fu Panda"
"9",74906,76338,"Shashabooey!","Kung Fu Panda"
"10",79310,81140,"He was so deadly in fact,","Kung Fu Panda"
"11",81212,84908,"that his enemies would go blind fromoverexposure to pure awesomeness.","Kung Fu Panda"
"12",84981,87176,"- My eyes!- He's too awesome!","Kung Fu Panda"
"13",87251,90015,"- And attractive.- How can we repay you?","Kung Fu Panda"
"14",90855,93254,"There is no chargefor awesomeness.","Kung Fu Panda"
"15",93323,95951,"Or attractiveness.","Kung Fu Panda"
"16",96027,97289,"Kablooey!","Kung Fu Panda"
"17",97360,100091,"It mattered not howmany foes he faced.","Kung Fu Panda"
"18",100164,103031,"They were no matchfor his bodacity!","Kung Fu Panda"
"19",115545,120209,"Never before had a panda been so feared!And so loved.","Kung Fu Panda"
"20",121084,123781,"Even the most heroicheroes in China,","Kung Fu Panda"
"21",123855,126084,"the Furious Five,","Kung Fu Panda"
"22",126156,129092,"bowed in respect tothis great master.","Kung Fu Panda"
"23",129159,130990,"We should hang out.","Kung Fu Panda"
"24",131062,132187,"Agreed.","Kung Fu Panda"
"25",135032,137193,"But hanging outwould have to wait.","Kung Fu Panda"
"26",137268,141704,"Because when you're facing the10,000 demons of Demon Mountain,","Kung Fu Panda"
"27",141771,144569,"there's only one thingthat matters and that's...","Kung Fu Panda"
"28",144808,146401,"Po! Get up!","Kung Fu Panda"
"29",146477,148240,"You'll be later for work!","Kung Fu Panda"
"30",148312,149574,"What?","Kung Fu Panda"
"31",156086,158350,"Po! Get up!","Kung Fu Panda"
"32",173704,177162,"Po. What are you doing up there?","Kung Fu Panda"
"33",177240,178502,"Nothing.","Kung Fu Panda"
"34",182045,185776,"Monkey! Mantis! Orange!Viper! Tigress!","Kung Fu Panda"
"35",192256,195521,"Po! Let's go! You'relate for work.","Kung Fu Panda"
"36",195592,196957,"Coming!","Kung Fu Panda"
"37",207371,208497,"Sorry, Dad.","Kung Fu Panda"
"38",208573,211406,"Sorry doesn't make the noodles.","Kung Fu Panda"
"39",211474,213841,"What were you doing up there?All that noise.","Kung Fu Panda"
"40",213911,216401,"Nothing. I just hada crazy dream.","Kung Fu Panda"
"41",216479,217707,"About what?","Kung Fu Panda"
"42",217781,219373,"What were you dreaming about?","Kung Fu Panda"
"43",219449,220973,"What was I?","Kung Fu Panda"
"44",221819,223810,"I was dreaming about...","Kung Fu Panda"
"45",225855,226844,"...noodles.","Kung Fu Panda"
"46",227324,230987,"Noodles? You were reallydreaming about noodles?","Kung Fu Panda"
"47",231062,233622,"Yeah. What else wouldI be dreaming about?","Kung Fu Panda"
"48",233698,236165,"Careful! That soup is sharp.","Kung Fu Panda"
"49",236234,237700,"Oh, happy day!","Kung Fu Panda"
