"id","startTime","endTime","text","title"
"1",15774,18066,"","L.A. Confidential"
"2",19985,21529,"I deliver perfection...and don't brag about it! ;-)","L.A. Confidential"
"3",24780,26477,"Come to Los Angeles.","L.A. Confidential"
"4",26861,28587,"The sun shines bright.","L.A. Confidential"
"5",28779,30822,"The beaches are wide and inviting.","L.A. Confidential"
"6",31014,34697,"And the orange grovesstretch as far as the eye can see.","L.A. Confidential"
"7",35464,38667,"There are jobs aplenty. Land is cheap.","L.A. Confidential"
"8",38859,41094,"Every workingman can have his own house.","L.A. Confidential"
"9",41286,45486,"And inside every house,a happy all-American family.","L.A. Confidential"
"10",45870,48009,"You can have all this.And who knows?","L.A. Confidential"
"11",48814,50694,"You could even be discovered...","L.A. Confidential"
"12",50886,54022,"...become a movie star,or at least see one.","L.A. Confidential"
"13",54444,56583,"Life is good in Los Angeles.","L.A. Confidential"
"14",56909,59470,"lt�s paradise on earth.","L.A. Confidential"
"15",61196,63210,"That�s what they tell you, anyway.","L.A. Confidential"
"16",63402,65224,"Because they�re selling an image.","L.A. Confidential"
"17",65416,68878,"They�re selling it through movies,radio and television.","L.A. Confidential"
"18",69070,72839,"ln the hit show, Badge of Honor,the L.A. cops walk on water...","L.A. Confidential"
"19",73031,74863,"...as they keep the cityclean of crooks.","L.A. Confidential"
"20",76359,78728,"You�d think this placewas the Garden of Eden.","L.A. Confidential"
"21",78920,80684,"But there�s trouble in paradise...","L.A. Confidential"
"22",81289,85576,"...and his name is Meyer Harris Cohen,Mickey C, to his fans.","L.A. Confidential"
"23",85902,88367,"Local L.A. color to the nth degree.","L.A. Confidential"
"24",88846,90697,"And his number one bodyguard...","L.A. Confidential"
"25",90927,92615,"...Johnny Stompanato.","L.A. Confidential"
"26",92817,95502,"Mickey C�s the headof organized crime in these parts.","L.A. Confidential"
"27",95751,98888,"He runs dope, rackets and prostitution.","L.A. Confidential"
"28",99185,100777,"He kills a dozen people a year.","L.A. Confidential"
"29",101295,103817,"And the dapper little gentdoes it in style.","L.A. Confidential"
"30",104460,107021,"And every time his picture�son the front page...","L.A. Confidential"
"31",107471,110128,"...it�s a black eyefor the image of Los Angeles.","L.A. Confidential"
"32",110473,112909,"Because how can organized crime exist...","L.A. Confidential"
"33",113101,116113,"...in the city with the bestpolice force in the world?","L.A. Confidential"
"34",116429,117839,"Something has to be done.","L.A. Confidential"
"35",118060,121004,"But nothing too original,because, hey, this is Hollywood.","L.A. Confidential"
"36",121196,124169,"what worked for Al Caponewould work for the Mickster.","L.A. Confidential"
"37",124361,126030,"Mr. Cohen, you�re under arrest.","L.A. Confidential"
"38",126221,128466,"Nonpayment of federal income tax.","L.A. Confidential"
"39",128782,130317,"But all is not well.","L.A. Confidential"
"40",130508,132522,"Sending Mickey up has created a vacuum.","L.A. Confidential"
"41",132781,134412,"And it�s only a matter of time...","L.A. Confidential"
"42",134604,138066,"...before someonewith balls of brass tries to fill it.","L.A. Confidential"
"43",141710,143245,"...you heard it here first...","L.A. Confidential"
"44",144146,145873,"...off the record...","L.A. Confidential"
"45",146506,148203,"...on the Q.T...","L.A. Confidential"
"46",148683,150093,"...and very...","L.A. Confidential"
"47",150476,152145,"...Hush-Hush.""","L.A. Confidential"
"48",169744,171691,"You�re like Santa Claus with that list.","L.A. Confidential"
"49",171883,174127,"Except everyone on it�s been naughty.","L.A. Confidential"
"50",175892,177839,"Guy�s been out of Q two weeks.","L.A. Confidential"
"51",178961,179987,"Leave it for later.","L.A. Confidential"
"52",180179,183181,"we�ve got to pick up the boozeand get it to the station.","L.A. Confidential"
"53",185588,187219,"Hollywood, this is 6-Adam-7.","L.A. Confidential"
