"id","startTime","endTime","text","title"
"1",18829,23829,"Subtitles by explosiveskullResync by GoldenBeard","Lady Bird"
"2",31379,33633,"Do you thinkI look like I'm from Sacramento?","Lady Bird"
"3",35593,37759,"You are from Sacramento.","Lady Bird"
"4",37761,40344,"You don't have to do that.","Lady Bird"
"5",40347,43642,"Well, it's nice to make thingsneat and clean.","Lady Bird"
"6",47731,49398,"- You ready to go home?- Ready.","Lady Bird"
"7",50566,53737,"Her hand movedbehind his head and supported it.","Lady Bird"
"8",55070,57448,"Her fingers movedgently in his hair.","Lady Bird"
"9",58950,61118,"She looked upand across the barn,","Lady Bird"
"10",62621,70042,"and her lips came togetherand smiled mysteriously.","Lady Bird"
"11",70043,71668,"You've been listening to...","Lady Bird"
"12",71670,73109,"...The Grapes of Wrath,","Lady Bird"
"13",73546,75632,"by John Steinbeck. If you...","Lady Bird"
"14",79177,82054,"Our college triptook 21 hours and five minutes.","Lady Bird"
"15",88353,91649,"Hey, wait. Let's just sitwith what we heard.","Lady Bird"
"16",93567,95817,"- Are you serious?- Well, we don't have to constantly","Lady Bird"
"17",95819,97539,"be entertaining ourselves, do we?","Lady Bird"
"18",105954,107998,"I wish I couldlive through something.","Lady Bird"
"19",109290,111043,"- Aren't you?- Nope.","Lady Bird"
"20",112253,116170,"The only exciting thing about2002 is that it's a palindrome.","Lady Bird"
"21",116173,119341,"Okay, fine. Well, yours is theworst life of all, so you win.","Lady Bird"
"22",119343,120968,"- Oh, so now you're mad...- No, it's just...","Lady Bird"
"23",120969,122302,"- because I wanted to listen to music?- You're being ridiculous,","Lady Bird"
"24",122304,124638,"- because you have a great life.- I'm sorry I'm not perfect.","Lady Bird"
"25",124640,127349,"No one's asking you to be perfect.Just considerate would do.","Lady Bird"
"26",127350,129768,"I don't even want to go toschool in this state anyway.","Lady Bird"
"27",129770,132938,"I hate California.I want to go to the East Coast.","Lady Bird"
"28",132941,135774,"Your dad and I will barely beable to afford in-state tuition.","Lady Bird"
"29",135776,138068,"- There are loans, scholarships.- Your very smart brother...","Lady Bird"
"30",138070,140987,"- he can't even find a job.- He and Shelly work. They have jobs.","Lady Bird"
"31",140990,143198,"They bag at the grocery store.That is not a career.","Lady Bird"
"32",143199,145117,"And they went to Berkeley.","Lady Bird"
"33",145120,147411,"Your father's company is layingoff people right and left.","Lady Bird"
"34",147413,148997,"Did you even know that?No, of course you don't,","Lady Bird"
"35",148998,155127,"because you don't thinkabout anybody but yourself.","Lady Bird"
