"id","startTime","endTime","text","title"
"1",26440,27440,"♪ Yeah","Let's Be Cops"
"2",28280,32414,"♪ I want it that way","Let's Be Cops"
"3",32439,33600,"♪ Tell me why","Let's Be Cops"
"4",33719,37335,"♪ Ain't nothin' but a heartache","Let's Be Cops"
"5",37359,38485,"♪ Tell me why","Let's Be Cops"
"6",38600,42094,"♪ Ain't nothin' but a mistake","Let's Be Cops"
"7",42119,43375,"♪ Tell me why","Let's Be Cops"
"8",43399,47290,"♪ I never want to hear you say","Let's Be Cops"
"9",47640,51121,"(SINGING OUT OF TUNE)want it that way","Let's Be Cops"
"10",51320,52920,"Don't look at me whenyou sing that part.","Let's Be Cops"
"11",53119,55201,"Feel it!Ugh.","Let's Be Cops"
"12",55359,57930,"That way","Let's Be Cops"
"13",58600,61331,"(LAUGHING) Man,that was pretty fun.","Let's Be Cops"
"14",61479,62765,"What happened, man?","Let's Be Cops"
"15",62920,65810,"It's not a solo group. Ineeded you up there with me.","Let's Be Cops"
"16",66000,68048,"That's why none of thosekids had solo careers.","Let's Be Cops"
"17",68200,69531,"I meant us.","Let's Be Cops"
"18",69680,71174,"What are you talking about?","Let's Be Cops"
"19",71200,72611,"Remember when wefirst moved here...","Let's Be Cops"
"20",72840,74649,"and we said if we didn't makeit by the time we were 30...","Let's Be Cops"
"21",74840,76045,"we would move back to Ohio?","Let's Be Cops"
"22",76200,77804,"Remember that?Yeah.","Let's Be Cops"
"23",77960,79724,"We're 30 as shit right now.","Let's Be Cops"
"24",79879,81802,"And tomorrow you're gonnasell your game, J.","Let's Be Cops"
"25",82200,83963,"That's a guarantee, dude.","Let's Be Cops"
"26",84120,87329,"And also, they're runningmy commercial again.","Let's Be Cops"
"27",87680,89135,"Why would you wantthem to run that?","Let's Be Cops"
"28",89159,90240,"What do you mean?It's great exposure.","Let's Be Cops"
"29",90359,91414,"Is it?","Let's Be Cops"
"30",91439,92495,"I have.","Let's Be Cops"
"31",92520,94055,"I have.I have.","Let's Be Cops"
"32",94079,96081,"Genital herpes.","Let's Be Cops"
"33",99200,101884,"Dude, I got $11,000from that commercial.","Let's Be Cops"
"34",102079,103650,"I've been livingoff that for 2 years.","Let's Be Cops"
"35",108400,110527,"Oh, just go talk to her,you pussy.","Let's Be Cops"
"36",111319,113084,"You want me to open for you?I do not.","Let's Be Cops"
"37",113240,114570,"I'll be happy to open for you.","Let's Be Cops"
"38",114759,116728,"The last girl you had sexwith was 55 years old.","Let's Be Cops"
"39",116879,118609,"Don't bring Janeinto this, dude.","Let's Be Cops"
"40",119200,120884,"What was I supposed to say?","Let's Be Cops"
"41",121159,123844,"""Hi, I'm a 30-year-old assistantat a video game company.""","Let's Be Cops"
"42",124040,125530,"""Wanna meet my roommate?""","Let's Be Cops"
"43",125879,127688,"L.A. doesn't worklike that, dude.","Let's Be Cops"
"44",129560,131085,"(CROWD LAUGHING)","Let's Be Cops"
"45",134240,135570,"(ENGINE STALLS)","Let's Be Cops"
"46",136240,137604,"(GRUNTS) Fucking piece of shit!","Let's Be Cops"
"47",138240,140414,"Come on, do not do thisto me right now, Bro.","Let's Be Cops"
"48",140439,142248,"(ENGINE SPUTTERS)(GRUNTS ANGRILY)","Let's Be Cops"
"49",142520,143895,"Piece of shit!","Let's Be Cops"
"50",143920,145251,"(HORN HONKING)","Let's Be Cops"
"51",145759,147250,"What the...!I hear you, dude!","Let's Be Cops"
"52",147360,148534,"One second!","Let's Be Cops"
"53",148560,150961,"I don't need the lights in my face.I hear you!","Let's Be Cops"
"54",151120,152962,"Should I reverse into him?Absolutely not.","Let's Be Cops"
"55",153400,154526,"Just go!What?","Let's Be Cops"
"56",156079,157134,"(CRASHES)","Let's Be Cops"
"57",157159,158286,"(CROWD MURMURING)","Let's Be Cops"
"58",158560,160926,"Oh, no, you gotta be kidding me.","Let's Be Cops"
"59",164439,166920,"Oh, dude, it's bad.That's real damage.","Let's Be Cops"
"60",167360,168963,"Hey, dude!","Let's Be Cops"
"61",172639,173854,"Don't touch car.","Let's Be Cops"
"62",173879,175609,"You hit my car.Are you kidding me?","Let's Be Cops"
"63",175759,177045,"Ryan, chill.I'll get proof.","Let's Be Cops"
"64",177840,179079,"(CAMERA CLICKS)","Let's Be Cops"
"65",181280,182455,"(SHATTERS)(CROWD EXCLAIMS)","Let's Be Cops"
"66",182479,183615,"What the fuck?","Let's Be Cops"
"67",183639,185449,"You need to watchwho you take picture of.","Let's Be Cops"
"68",185599,186680,"Don't touch my friend, man!","Let's Be Cops"
"69",186879,188769,"What? I said getaway from my friend.","Let's Be Cops"
"70",189120,190564,"(CLUB MUSIC PLAYING)","Let's Be Cops"
"71",193560,194561,"JUSTIN: Ryan.","Let's Be Cops"
"72",196439,197521,"(SPEAKING OTHER LANGUAGE)","Let's Be Cops"
"73",203120,204689,"I need yourinsurance information.","Let's Be Cops"
"74",204840,206079,"Hey! Whoa, whoa!","Let's Be Cops"
"75",206439,207646,"Hey, get their plates, man!","Let's Be Cops"
"76",209680,211603,"They don't have plates!Damn it.","Let's Be Cops"
"77",211759,213759,"RYAN: Hey, nobody move. Youguys are all witnesses.","Let's Be Cops"
"78",217319,218480,"(JUSTIN CLEARS THROAT)","Let's Be Cops"
"79",218639,219935,"JUSTIN: What's up, guys?","Let's Be Cops"
"80",219960,221485,"How's everybody doing?","Let's Be Cops"
"81",221639,222800,"Everybody's good?","Let's Be Cops"
"82",223159,224889,"Cool. Cool. Um...","Let's Be Cops"
"83",226000,227331,"(MUSIC PLAYING)","Let's Be Cops"
"84",228319,229810,"This...","Let's Be Cops"
"85",230000,232287,"is a character-drivenaction game.","Let's Be Cops"
"86",232479,234209,"But don't think of it as a game.","Let's Be Cops"
"87",234360,237204,"Think of it asa real life experience.","Let's Be Cops"
"88",237360,239203,"You are a cop,put in real life...","Let's Be Cops"
"89",239319,240969,"TODD: Okay, stop. Stop.","Let's Be Cops"
"90",241120,242325,"Shut that shit off.","Let's Be Cops"
"91",242800,244131,"Okay.(MUSIC STOPS)","Let's Be Cops"
"92",244879,246848,"Spare me the corny gimmicks.","Let's Be Cops"
"93",247000,248683,"What's the game about?","Let's Be Cops"
"94",249439,250725,"Um, it's called ""Patrolman.""","Let's Be Cops"
"95",250879,252040,"Patrol-Man. Huh.","Let's Be Cops"
"96",252680,255159,"I like that. What kind ofsuperpowers does he have?","Let's Be Cops"
"97",255319,256730,"Check out this girl's pussy.","Let's Be Cops"
"98",256879,260884,"Oh, no, it's a cop, so he doesn'thave any superpowers or anything.","Let's Be Cops"
"99",261040,262689,"CREATIVE EXECUTIVE: What does he have?","Let's Be Cops"
"100",262839,265571,"Is he a vampire,or anything original?","Let's Be Cops"
"101",265720,267483,"TODD: You knowwhat's original?","Let's Be Cops"
"102",267639,268935,"Firefighters.","Let's Be Cops"
"103",268959,271454,"Yes.Firefighters? Okay.","Let's Be Cops"
"104",271480,272735,"Who wants to be a cop?","Let's Be Cops"
"105",272759,274615,"I wanna shoot at cops.I don't wanna be one.","Let's Be Cops"
"106",274639,275800,"Good point.","Let's Be Cops"
"107",275920,277095,"If I can just showyou guys the game.","Let's Be Cops"
"108",277120,278175,"Cops are actually really cool.","Let's Be Cops"
"109",278199,279360,"No, they're not.Shut up.","Let's Be Cops"
"110",279519,281045,"You know what's really cool?","Let's Be Cops"
"111",281199,282201,"Zombies.","Let's Be Cops"
"112",282360,285363,"I want you to start working on""Firefighters versus Zombies.""","Let's Be Cops"
"113",285519,286884,"That's genius.Boom!","Let's Be Cops"
"114",287040,289360,"What if it was a war betweenfirefighters and zombies?","Let's Be Cops"
"115",289519,290725,"Post-apocalyptic.","Let's Be Cops"
"116",290840,294605,"Set it in New York City and destroy Manhattan.Hey. You writing this down?","Let's Be Cops"
"117",294879,297007,"(ALL CHATTERING EXCITEDLY)","Let's Be Cops"
"118",299199,300769,"RYAN: All right,we can win this!","Let's Be Cops"
"119",300920,304401,"Razor-15! 1-4-5! Hut!","Let's Be Cops"
"120",305000,307081,"BOY: 1 Mississippi, 2Mississippi, 3 Mississippi...","Let's Be Cops"
"121",307519,308521,"I'm open!","Let's Be Cops"
"122",308680,310480,"5 Mississippi, 6 Mississippi,7 Mississippi...","Let's Be Cops"
"123",310600,312045,"Come on, I'm wide open!","Let's Be Cops"
"124",315800,318055,"Rock you like a hurricane","Let's Be Cops"
"125",318079,319081,"(GRUNTS)","Let's Be Cops"
"126",319240,320605,"Are you ready, baby?","Let's Be Cops"
"127",320920,322410,"Here I am","Let's Be Cops"
"128",323439,326444,"Rock you like a hurricane","Let's Be Cops"
"129",326920,328081,"Eat shit, Joey.","Let's Be Cops"
"130",329199,331964,"Rock you like a hurricane","Let's Be Cops"
"131",332399,334163,"Here I am","Let's Be Cops"
"132",334360,335930,"Whoa, ho-ho!","Let's Be Cops"
"133",336199,337247,"Yes!","Let's Be Cops"
"134",337439,338600,"This is good.Everybody, huddle up!","Let's Be Cops"
"135",338759,341047,"Tommy, you gottablock a little bit.","Let's Be Cops"
"136",341199,342769,"Use your heart.You block like a bitch.","Let's Be Cops"
"137",342920,343920,"You're a ball hog!","Let's Be Cops"
"138",344079,345081,"Man up!","Let's Be Cops"
"139",345279,346930,"Joey, did you see that shit?","Let's Be Cops"
"140",347079,348490,"Dude, that shit was tight.Right?","Let's Be Cops"
"141",348639,349721,"Shut up, Joey.","Let's Be Cops"
"142",349879,351134,"Hey, don't tell him to shut up.","Let's Be Cops"
"143",351159,352968,"Come on.We're out of here.","Let's Be Cops"
"144",353439,354441,"Where are you guys going?","Let's Be Cops"
"145",354600,355930,"Home!","Let's Be Cops"
"146",356079,357855,"What the fuck, Ron?","Let's Be Cops"
"147",357879,359449,"It is a tie game!","Let's Be Cops"
"148",359600,362125,"You will not go prowith that attitude, Ron!","Let's Be Cops"
