"id","startTime","endTime","text","title"
"1",101385,102677,"Riggs, Homicide.","Lethal Weapon 3"
"2",102846,104430,"- Nobody's dead.- Night's young.","Lethal Weapon 3"
"3",104197,105698,"This is Sergeant Murtaugh.","Lethal Weapon 3"
"4",105865,107408,"- Threat or scare?- The real thing.","Lethal Weapon 3"
"5",107575,108992,"This gentleman saw the device.","Lethal Weapon 3"
"6",109161,112287,"On Level 1, near the gas pumps.I wrote the license plate down.","Lethal Weapon 3"
"7",112456,114122,"That's okay, sir. Thanks a lot.","Lethal Weapon 3"
"8",114290,116417,"- Have you evacuated the building?- It's clean.","Lethal Weapon 3"
"9",116585,118002,"- Bomb squad?- On their way.","Lethal Weapon 3"
"10",118170,120337,"- It's under control. Let's go.- Bomb squad?","Lethal Weapon 3"
"11",120504,122381,"Rog, I think we ought to check this out.","Lethal Weapon 3"
"12",122549,125009,"- Hey. Hey, hey, hey, Riggs.- What?","Lethal Weapon 3"
"13",125385,127510,"- Bomb squad's on their way.- There's no bomb.","Lethal Weapon 3"
"14",127679,130139,"- How can you be sure?- Because it's a full moon.","Lethal Weapon 3"
"15",130306,132515,"Moon, lunar, lunatics.They're everywhere.","Lethal Weapon 3"
"16",132683,134352,"- Hey, is that Greek?- No, no. Latin.","Lethal Weapon 3"
"17",134519,136687,"Latin. Man, you surprisethe shit out of me.","Lethal Weapon 3"
"18",136854,139064,"There's no bomb.It's probably a false alarm.","Lethal Weapon 3"
"19",139231,141525,"It happens. Probably sawa radio on the back seat.","Lethal Weapon 3"
"20",141693,144444,"Hey, hey. Let's not mess with this.Wait for the bomb squad.","Lethal Weapon 3"
"21",144612,146822,"You're right.You sit tight, I'll be right back.","Lethal Weapon 3"
"22",146990,149574,"- Hey, hey, hey, Riggs.- What's the matter with you?","Lethal Weapon 3"
"23",149742,151993,"- There's a bomb in that building.- There's not.","Lethal Weapon 3"
"24",152162,153788,"- There's a bomb!- There is not.","Lethal Weapon 3"
"25",153956,156456,"There's a bomb in that building!Know how come I know?","Lethal Weapon 3"
"26",156625,158501,"- How?- I got eight days to retirement.","Lethal Weapon 3"
"27",158668,160502,"And I will not make a stupid mistake.","Lethal Weapon 3"
"28",160670,161753,"There is no bomb.","Lethal Weapon 3"
"29",161921,165716,"I will bet vital parts of my anatomyto the fact. Now, look. Look.","Lethal Weapon 3"
"30",165884,168259,"Trust me. Okay? Trust me.","Lethal Weapon 3"
"31",171764,174057,"That's usually my first mistake.","Lethal Weapon 3"
"32",174725,176185,"- Hey, Riggs.- Yo.","Lethal Weapon 3"
"33",176353,177895,"Hey, wait. I'm coming.","Lethal Weapon 3"
"34",178062,179396,"- Hey, Rog?- Yeah?","Lethal Weapon 3"
"35",179563,182108,"- Your insurance paid up?- Yeah, of course. Why?","Lethal Weapon 3"
"36",182567,186194,"- There could be a bomb in here.- Oh, God.","Lethal Weapon 3"
"37",188073,189115,"I hate it when I'm right.","Lethal Weapon 3"
"38",190491,193743,"- You ought to learn to trust your instincts.- Oh, God.","Lethal Weapon 3"
"39",193912,196538,"First impressioncan often be the right one.","Lethal Weapon 3"
"40",197873,201335,"Leak in his diff. About to drop hisdrive shaft. No wonder there's a bomb.","Lethal Weapon 3"
"41",201502,203295,"Just don't touch it.","Lethal Weapon 3"
"42",204631,206090,"Just looking.","Lethal Weapon 3"
"43",207300,208884,"Right.","Lethal Weapon 3"
"44",211430,215098,"What are you gonna do?Don't open the door. Don't open the door!","Lethal Weapon 3"
"45",219271,220771,"Son of a bitch, just look at it.","Lethal Weapon 3"
"46",220938,223774,"- Just look at it.- That's all I'm gonna do, is look.","Lethal Weapon 3"
"47",226527,228862,"Oh, my. There's more plastic than Cher.","Lethal Weapon 3"
"48",229156,232615,"I love this job. This is amateur night.Open the door. I can't hear you.","Lethal Weapon 3"
"49",233034,234617,"Open the door.","Lethal Weapon 3"
"50",234995,236328,"Don't do nothing.","Lethal Weapon 3"
"51",237622,239247,"Not that one! Mm-mm!","Lethal Weapon 3"
"52",239415,240707,"You son of a bitch.","Lethal Weapon 3"
"53",240876,244044,"Well, this is a pretty shonky job.I can dismantle it.","Lethal Weapon 3"
"54",244211,246881,"It looks like Beirut to me.Let's get the hell out of here.","Lethal Weapon 3"
"55",250634,253804,"Everybody's outside. Just me, youand this cat are dumb enough to be here.","Lethal Weapon 3"
"56",253972,256223,"Nearly a cat-tastrophe, huh? Heh.","Lethal Weapon 3"
"57",257184,260185,"- Relax, Rog. Relax. Right.- Don't do nothing.","Lethal Weapon 3"
"58",260353,262312,"We got nine minutesand seven seconds left.","Lethal Weapon 3"
"59",262480,263980,"- Know what we could do?- What?","Lethal Weapon 3"
"60",264149,267026,"- We could drive this out.- Fine, it's your turn to drive.","Lethal Weapon 3"
"61",267194,269069,"No keys. Tsk, tsk. I could hot-wire it.","Lethal Weapon 3"
"62",269237,272490,"Aah! Don't even say ""hot-wire""around this stuff, man.","Lethal Weapon 3"
"63",272656,275742,"- You're right, you're right.- Why am I doing this? Why am I...?","Lethal Weapon 3"
"64",275911,278913,"Looks like we're gonna have to do itthe old-fashioned way.","Lethal Weapon 3"
"65",279081,283500,"Riggs, what are you thinking?What are you thinking, Riggs? Riggs.","Lethal Weapon 3"
"66",283668,285920,"- I'm thinking we should cut the blue wire.- Wait!","Lethal Weapon 3"
"67",286088,288004,"- That's not what I think.- You think red?","Lethal Weapon 3"
"68",288173,289423,"No. No.","Lethal Weapon 3"
"69",289591,292050,"I'm thinking that it'seight minutes and 42 seconds.","Lethal Weapon 3"
"70",292218,295805,"We can go upstairs, wait forthe bomb squad, have a cappuccino.","Lethal Weapon 3"
"71",295971,299600,"The bomb squad never gets here on time.It's eight minutes and 31 seconds.","Lethal Weapon 3"
"72",299768,302103,"- Rog, please.- Forget the cappuccino.","Lethal Weapon 3"
"73",302269,305605,"- You know what they're gonna say?- ""Get the fuck out of here. ""","Lethal Weapon 3"
"74",305774,309567,"After that, they're gonna say, ""Cut theblue wire,"" which I'm gonna do right now.","Lethal Weapon 3"
"75",310112,312321,"- Hey, hey. Wait, wait. Riggs. Wait.- What?","Lethal Weapon 3"
"76",312488,314740,"- How can you be so sure?- Oh, it's just a hunch.","Lethal Weapon 3"
"77",314908,317117,"- A hunch?- Remember the bomb under your toilet?","Lethal Weapon 3"
"78",317285,320370,"- Oh, shit. How could I forget?- Red wire, blue wire, same thing.","Lethal Weapon 3"
"79",320538,323749,"This is more simplified.A bit more powerful, but more simplified.","Lethal Weapon 3"
"80",323917,327293,"- From where I was sitting, I couldn't see.- Forget it. Come on, trust me.","Lethal Weapon 3"
"81",327461,328711,"Yeah, so I gotta trust you?","Lethal Weapon 3"
"82",328879,331632,"Guess not.Well, I'm cutting the red wire, okay?","Lethal Weapon 3"
"83",331800,333968,"Oh! Oh!","Lethal Weapon 3"
"84",334136,337555,"- What? What?- A minute ago you said blue.","Lethal Weapon 3"
"85",338389,340807,"- Did I say blue?- Riggs, you said blue.","Lethal Weapon 3"
"86",341308,342725,"- Well, I meant red.- You sure?","Lethal Weapon 3"
"87",343060,344769,"We can do it your way if you'd like.","Lethal Weapon 3"
"88",344937,347064,"- My way? I don't have...!- Quiet!","Lethal Weapon 3"
"89",347231,350567,"- I'm sure, okay?- Shit.","Lethal Weapon 3"
"90",352528,354362,"You ready?","Lethal Weapon 3"
"91",354531,356240,"- Rog?- What?","Lethal Weapon 3"
"92",356740,359951,"Won't you kind of miss all this good stuffwhen you retire?","Lethal Weapon 3"
"93",360120,362913,"Aren't you gonna miss it a little bit? Huh?","Lethal Weapon 3"
"94",364958,366375,"I'm cutting the wire.","Lethal Weapon 3"
"95",367168,368209,"Snip. See? All done.","Lethal Weapon 3"
"96",370838,372714,"- Rog.- Yeah?","Lethal Weapon 3"
"97",373925,376509,"- Grab the cat.- Grab the cat?","Lethal Weapon 3"
"98",376677,379596,"Get back! Take cover!","Lethal Weapon 3"
"99",439531,440990,"Where are they?","Lethal Weapon 3"
"100",446456,447872,"Bravo.","Lethal Weapon 3"
"101",452836,454170,"Oops.","Lethal Weapon 3"
"102",455715,457382,"Right. Oops.","Lethal Weapon 3"
"103",459843,461720,"Right.","Lethal Weapon 3"
"104",466725,469728,"Seven days to retirement,I'm busted down to patrolman.","Lethal Weapon 3"
"105",469896,472355,"I should've cut the red wire.","Lethal Weapon 3"
"106",472524,474608,"- You did.- No, I didn't. I cut the blue wire.","Lethal Weapon 3"
"107",474776,477860,"That's what I meant.We should've waited for the bomb squad.","Lethal Weapon 3"
"108",478028,479697,"Am I gonna have to listen to this?","Lethal Weapon 3"
"109",479863,482408,"- Every day until I retire.- That'll be a week too long.","Lethal Weapon 3"
"110",482574,483867,"Ah, shit.","Lethal Weapon 3"
"111",484035,486286,"- My feet are killing me.- They're killing me too.","Lethal Weapon 3"
"112",486454,488872,"- How?- I gotta listen to you bitch about them!","Lethal Weapon 3"
"113",489040,493418,"- Because you should've cut the red wire!- I did cut the red wire!","Lethal Weapon 3"
"114",493961,497172,"What's this? It's kind of soft.It's not a bulletproof vest.","Lethal Weapon 3"
