"id","startTime","endTime","text","title"
"1",238989,240698,"So you were raised in a zoo?","Life of Pi"
"2",240866,242074,"Born and raised.","Life of Pi"
"3",242241,245703,"In Pondicherry, in what wasthe French part of India.","Life of Pi"
"4",245871,247747,"My father owned the zoo...","Life of Pi"
"5",247914,251207,"and I was delivered on shortnotice by a herpetologist...","Life of Pi"
"6",251376,254878,"who was there to checkon the Bengal monitor lizard.","Life of Pi"
"7",255463,257423,"Mother and I were both healthy...","Life of Pi"
"8",257591,259216,"but the poor lizard escaped...","Life of Pi"
"9",259384,262427,"and was trampledby a frightened cassowary.","Life of Pi"
"10",264680,266891,"The way of karma, huh?","Life of Pi"
"11",267391,269435,"The way of God.","Life of Pi"
"12",270228,272146,"That's quite a story.","Life of Pi"
"13",272605,274023,"I had assumed your father was a","Life of Pi"
"14",274149,275524,"mathematician because of your name.","Life of Pi"
"15",275692,278778,"Far from it, I was namedafter a swimming pool.","Life of Pi"
"16",279612,281781,"There is a swimming pool named ""Pi""?","Life of Pi"
"17",283074,285201,"You see, my uncle Francis was born","Life of Pi"
"18",285326,287452,"with too much water in his lungs.","Life of Pi"
"19",287788,289872,"They say the doctorsswung Francis around","Life of Pi"
"20",289997,292082,"by the ankles toclear the water out...","Life of Pi"
"21",292250,294918,"and that's what gave him thehuge chest and skinny legs...","Life of Pi"
"22",295086,297379,"that made him such a great swimmer.","Life of Pi"
"23",298298,300007,"Is Francis actually your uncle?","Life of Pi"
"24",300132,301884,"He said he wasfriends with your father.","Life of Pi"
"25",302052,305053,"He's my honorary uncle,I call him Mamaji.","Life of Pi"
"26",305221,307973,"My father's best friend,my swimming guru.","Life of Pi"
"27",308307,311726,"I trained with him threetimes a week at the ashram.","Life of Pi"
"28",311894,314939,"His Lessons would save mylife in the end.","Life of Pi"
"29",315606,320110,"A mouthful of water will notharm you, but panic will.","Life of Pi"
"30",321446,324615,"Remember to breathe now,don't hold your breath.","Life of Pi"
"31",324992,326449,"Good boy.","Life of Pi"
"32",329913,331622,"I hope you don't mind vegetarian.","Life of Pi"
"33",331790,334125,"No, no. Not at all.","Life of Pi"
"34",334292,336252,"And your name?Huh?","Life of Pi"
"35",336670,339422,"You were going to tell me howyou got your name, I think.","Life of Pi"
"36",339588,343591,"Oh, yes. I got it from somethingMamaji once told my father.","Life of Pi"
"37",343759,345468,"You see, most travellers collect","Life of Pi"
"38",345553,347178,"postcards or teacupson their journeys...","Life of Pi"
"39",347346,348346,"but not Mamaji.","Life of Pi"
"40",348514,350598,"Mamaji collects swimming pools.","Life of Pi"
"41",350766,353476,"He swims in every pool he comes upon.","Life of Pi"
"42",361694,363487,"One day, Mamajisaid to my father that,","Life of Pi"
"43",363612,365447,"of all the pools in the world...","Life of Pi"
"44",365615,368951,"the most beautiful wasa public pool in Paris.","Life of Pi"
"45",369119,370702,"That the water there was so clear,","Life of Pi"
"46",370786,372997,"you could make yourmorning coffee with it.","Life of Pi"
"47",373165,376500,"That a single swimthere changed his life.","Life of Pi"
"48",390307,392141,"Before I was born, he said...","Life of Pi"
"49",392308,394894,"""If you want your sonto have a clean soul...","Life of Pi"
"50",395062,399481,"""you must take him one day toswim in the Piscine Monitor.""","Life of Pi"
"51",399649,403485,"I never understood why my fathertook this so much to heart.","Life of Pi"
"52",404153,409158,"But he did, and I was named""Piscine Molitor Patel.""","Life of Pi"
"53",409992,412369,"Imagine me tryingto explain that name.","Life of Pi"
"54",412536,415206,"I barely made it tothe age of 11 before...","Life of Pi"
"55",415372,417415,"Hey, Piscine!","Life of Pi"
"56",418334,421211,"Are you pissing right now?","Life of Pi"
"57",421838,423379,"Look at him, he's pissing!","Life of Pi"
"58",423548,427718,"With one word, my name went froman elegant French swimming pool...","Life of Pi"
"59",427886,429677,"to a stinking Indian latrine.","Life of Pi"
"60",429762,431680,"I was ""Pissing"" everywhere.","Life of Pi"
"61",431848,434516,"No Pissing in the schoolyard!","Life of Pi"
"62",435894,437685,"Even the teachers started doing it.","Life of Pi"
