"id","startTime","endTime","text","title"
"1",57307,60652,"Now the story goes thatJohn Denver, he was","Logan"
"2",60726,64230,"playin' at this little ol' place calledthe Cellar Door in Washington, D.C...","Logan"
"3",64855,67734,"...aroundChristmas time in 1970.","Logan"
"4",68067,71662,"His opening act wasthis husband and wife duo,","Logan"
"5",71905,74408,"named Bill Danoffand Taffy Nivert","Logan"
"6",74490,76914,"and they calledthemself Fat City.","Logan"
"7",76993,79167,"That'skind of a funny name.","Logan"
"8",79495,83251,"Yeah, that is kind of a funny name.Socket, uh, 5/8ths.","Logan"
"9",87545,90390,"Now, one night, they decideto go on back to the house","Logan"
"10",90465,92558,"and have a littlejam session.","Logan"
"11",94218,96061,"On the way,they got into an accident","Logan"
"12",96138,98390,"and John Denver,he broke his thumb.","Logan"
"13",98723,100942,"And when they finallygot back to the house,","Logan"
"14",101018,102520,"and Bill and Taffyplayed him,","Logan"
"15",102728,105731,"played John Denver this songthey'd been working on,","Logan"
"16",106564,108237,"he flipped for it, man.","Logan"
"17",108525,110618,"And they worked onthat thing till dawn.","Logan"
"18",110694,111694,"Screwdriver.","Logan"
"19",112028,114031,"Flat head or Phillips?Flat.","Logan"
"20",114865,116537,"So that's whyyou like the song.","Logan"
"21",116866,119871,"Well, I like the songbecause of the song.","Logan"
"22",120203,122376,"I mean, I guess I also like it","Logan"
"23",122496,124215,"'cause it's gota story behind it.","Logan"
"24",125375,127298,"You know,Bill Danoff later said that","Logan"
"25",127376,129219,"he ain't never evenbeen to West Virginia.","Logan"
"26",129545,131139,"Well, I likethe song, too,","Logan"
"27",131213,134514,"but I don't really thinkit'll work for the pageant.","Logan"
"28",134717,135889,"Pliers.","Logan"
"29",136218,137390,"Regular or needle-nose?","Logan"
"30",137471,138562,"Needle.","Logan"
"31",143560,145562,"So you comin'to my rehearsal?","Logan"
"32",146228,148731,"Yeah. I'm gonna pickyou up right after work.","Logan"
"33",149066,150533,"Just so you know,I asked Mommy","Logan"
"34",150609,153031,"if she and Moody wouldpay for your cell phone.","Logan"
"35",153235,155909,"She said even if they did,you wouldn't take it.","Logan"
"36",156239,158240,"Sadie bug, she's right.","Logan"
"37",158574,160247,"The only thing","Logan"
"38",161243,164418,"I need a cell phone foris takin' pictures of you.","Logan"
"39",164538,165756,"Gun show!","Logan"
"40",172254,173927,"Hey, Daddy.Nope.","Logan"
"41",206330,207456,"All right.","Logan"
"42",234942,236319,"What say, Cal?","Logan"
"43",236610,239615,"Hey, hey, Jimmy. Come on in.Shut that door, would you?","Logan"
"44",243659,246163,"Yeah.Have a seat.","Logan"
"45",248789,251794,"Jimmy, I'm just gonna say it.I got to let you go.","Logan"
"46",254503,256882,"Cal, I... I didn’teven do nothin', man.","Logan"
"47",256964,258591,"I know you didn't do nothin'.","Logan"
"48",258675,260598,"But last week, someonein H.R. saw you leaving,","Logan"
"49",260677,264307,"walking out to your truckand they saw you was limpin'.","Logan"
"50",266641,267937,"So?","Logan"
"51",268018,270288,"My leg ain't got nothin' to dowith drivin' that Case out there.","Logan"
"52",270312,271312,"I know that.","Logan"
"53",271353,273954,"I know, but the folks over in thebig office, they feel different.","Logan"
"54",273981,275668,"And they said you didn'tlist it on your paperwork","Logan"
"55",275692,276988,"when you was first brought on.","Logan"
"56",277194,278446,"No.They are callin' it","Logan"
"57",278528,280279,"a ""pre-existing condition""","Logan"
"58",280362,282206,"and that it isa liability issue.","Logan"
"59",282281,283843,"Okay, this big then.What is that, two to three feet?","Logan"
"60",283867,288043,"This big and you let me drive mytruck around the track tonight.","Logan"
"61",288704,290865,"Look, it's a four-wheel drive.It isn't gonna hurt you.","Logan"
"62",330247,332420,"Almost heaven","Logan"
"63",333082,335084,"West Virginia","Logan"
"64",336086,341091,"Blue Ridge MountainsShenandoah River","Logan"
"65",349391,351271,"Purple Lady,you know my brother, Jimmy?","Logan"
"66",351393,354317,"Oh,Jimmy Logan, that ball player","Logan"
"67",354396,356319,"that was gonna be a big deal?","Logan"
"68",356439,358441,"Hey, Purple Lady.","Logan"
"69",358942,361911,"My husband, the Major,when he was still alive,","Logan"
"70",361987,364206,"he loved LSU football.","Logan"
"71",364281,366954,"Whenever they'd show the gameshere local, we'd watch.","Logan"
"72",367242,369745,"Of course for me,it was all about the uniforms.","Logan"
"73",369952,372547,"Their jerseys are the moststriking shade of purple.","Logan"
"74",372622,373668,"Purple.","Logan"
"75",373747,377548,"Yes. Purple and gold.Royal colors.","Logan"
"76",377627,378673,"Yeah, I got off early,","Logan"
"77",378752,380730,"so I figured I'd take Sadieon over to her dance thing,","Logan"
"78",380754,382098,"so you didn'thave to drive her.","Logan"
"79",382632,384053,"Well, that'sgreat and all,","Logan"
"80",384134,385944,"you wanting to see yourdaughter dance and everything.","Logan"
"81",385968,387641,"But it was yesterday.","Logan"
"82",388305,389305,"Shit.","Logan"
"83",389598,390769,"Excuse you.","Logan"
"84",390973,392475,"I got her there fine,by the way.","Logan"
"85",392766,394394,"See, most people think","Logan"
"86",394476,396605,"if you're gonna go toCharleston, then, duh,","Logan"
"87",396812,398735,"you get on the 85 to Danville,","Logan"
"88",398814,401819,"then the I-19to Charleston. 54 miles.","Logan"
"89",402151,403699,"But, bein' 4:00 p.m.,","Logan"
"90",403778,406326,"I knew not the best timeof day to be on the road.","Logan"
"91",406615,407867,"And they're still doing","Logan"
"92",407949,410793,"all that shoulderwork on the I-19.","Logan"
"93",410994,413088,"Plus, then you gotthe sun right in your eyes","Logan"
"94",413163,415961,"For that wholestretch outside of Julian.","Logan"
"95",416499,418922,"So, yeah,I took the 85 to Danville,","Logan"
