"id","startTime","endTime","text","title"
"1",201116,202283,"Quilty!","Lolita"
"2",207915,209373,"Quilty!","Lolita"
"3",213295,215838,"What, what? Who's there?","Lolita"
"4",216007,217507,"Are you Quilty?","Lolita"
"5",219134,221135,"No, I'm Spartacus.","Lolita"
"6",221304,223388,"Have you come to free the slavesor something?","Lolita"
"7",223555,225014,"Are you Quilty?","Lolita"
"8",225515,227516,"Yeah. I'm Quilty, yeah, sure.","Lolita"
"9",233149,234524,"Say, what you, uh...?","Lolita"
"10",235360,238736,"What you putting your gloves on for?Your hands cold or something?","Lolita"
"11",238905,241406,"Shall we have a little chatbefore we start?","Lolita"
"12",241699,243074,"Before we start?","Lolita"
"13",244368,245826,"Wow.","Lolita"
"14",246537,247704,"Alrighty.","Lolita"
"15",248247,249455,"Alrighty.","Lolita"
"16",249623,252084,"No, no. Listen, listen, listen...","Lolita"
"17",252252,255378,"...let's have a game, a little lovely gameof Roman Ping-Pong...","Lolita"
"18",255545,258589,"...like two civilized senators.","Lolita"
"19",260384,261634,"Roman ping....","Lolita"
"20",265473,267432,"You're supposed to say, ""Roman pong.""","Lolita"
"21",269101,271228,"Okay, you serve. I don't mind.","Lolita"
"22",271521,272980,"I just don't mind.","Lolita"
"23",273648,274730,"Come on.","Lolita"
"24",279862,281529,"Ah....","Lolita"
"25",283408,285492,"Bet you didn't know I had that.","Lolita"
"26",287327,288536,"Roman Ping-Pong.","Lolita"
"27",292625,295043,"Kind of tricky serve to handle,eh, captain?","Lolita"
"28",295211,297629,"Kind of tricky.One of the champs taught me that.","Lolita"
"29",301259,303175,"My motto is ""be prepared.""","Lolita"
"30",307139,309348,"Say, you Jack Brewster? Are you?","Lolita"
"31",310518,311851,"You know who I am.","Lolita"
"32",312728,315314,"What's that? That's 3, 3-love.","Lolita"
"33",315480,318399,"Gee, I'm really winning.You want to get a rally going there.","Lolita"
"34",319569,323447,"You know, I'm not accusing you, captain,but it's sort of absurd...","Lolita"
"35",323613,327117,"...the way people invade this house,without even knocking.","Lolita"
"36",327326,328576,"Four-1.","Lolita"
"37",329995,333540,"Change service. I'll take the service again,if you don't mind.","Lolita"
"38",333707,337127,"I sort of like to have it up this end,you know.","Lolita"
"39",338254,340047,"They use the telephone.","Lolita"
"40",342507,343716,"Jeez.","Lolita"
"41",344134,345886,"What's that? That must be....","Lolita"
"42",346053,348930,"Gee, I'm really winning here.I'm really winning.","Lolita"
"43",349098,351432,"I hope I don't get overcome with power.","Lolita"
"44",351600,354060,"That's about, uh, 6-1 maybe.","Lolita"
"45",354269,357271,"Let's say 6-1.No, 6-2, I'll give you another point.","Lolita"
"46",357439,359191,"Six-2, but I'm still winning.","Lolita"
"47",359524,362110,"You really don't remember me, do you?","Lolita"
"48",363153,366990,"Have you ever noticed how the champs,different champs, use their bats?","Lolita"
"49",367158,369910,"You know, some of them hold themlike this, and everything.","Lolita"
"50",370452,372536,"Do you recall a girl...","Lolita"
"51",373956,375915,"...called Dolores Haze?","Lolita"
"52",378127,379668,"I remember one guy didn't have a hand.","Lolita"
"53",379836,381922,"He had a bat instead of a hand.He was a real wacky--","Lolita"
"54",383298,384507,"Lolita!","Lolita"
"55",387552,389971,"Lolita, heh.","Lolita"
"56",390139,393975,"Yeah, yeah, I rememberthat name all right.","Lolita"
"57",394143,396937,"Maybe she made some telephone calls,who cares?","Lolita"
"58",397980,399146,"Gee.","Lolita"
"59",403860,407029,"Hey, you're a sort of bad loser, captain.","Lolita"
"60",408240,412244,"I never found a guy who'd sort ofpull a gun on me when he lost a game.","Lolita"
"61",413620,415122,"Didn't anyone ever tell you...","Lolita"
"62",415288,418875,"...it's not really who wins,it's how you play, like the champs.","Lolita"
"63",423338,426966,"Listen, I don't think I wantto play anymore. I wanna get a drink.","Lolita"
"64",428718,430846,"Gee, I'm just dying for a drink.","Lolita"
"65",431596,433723,"I'm just dying to have a drinkie.","Lolita"
"66",436310,438269,"You're dying anyway, Quilty.","Lolita"
"67",439521,440730,"Jeez.","Lolita"
"68",441356,445651,"All my friends alwaysput their smokies out in the drink.","Lolita"
"69",446446,447446,"It's so unsanitary.","Lolita"
"70",447612,449531,"Quilty, I want you to concentrate.","Lolita"
"71",450408,451867,"You're going to die.","Lolita"
"72",452367,454952,"Try to understandwhat is happening to you.","Lolita"
"73",456456,459624,"You are either Australian...","Lolita"
"74",459792,461500,"...or a German refugee.","Lolita"
"75",462627,464838,"This is a gentile's house.","Lolita"
"76",465423,467173,"You'd better run along.","Lolita"
"77",467507,472220,"Think of what you did, Quilty,and think of what is happening to you now.","Lolita"
"78",473723,475223,"Say, that's a....","Lolita"
"79",475391,477975,"That's a darling little gun you got there.","Lolita"
"80",478144,479853,"That's a darling little thing.","Lolita"
"81",480021,484690,"How much a guy like you wantfor a darling little gun like that?","Lolita"
"82",484858,485983,"Read this.","Lolita"
"83",486276,488194,"What's this, the deed to the ranch?","Lolita"
"84",488362,490071,"It's your death sentence.","Lolita"
"85",490656,491697,"Read it.","Lolita"
"86",492449,494033,"I can't read, mister.","Lolita"
"87",494201,496870,"I never did none of that therebook learning, you know.","Lolita"
"88",497038,498370,"Read it, Quilty.","Lolita"
"89",505420,508548,"Because you took advantage of a sinner","Lolita"
"90",509257,511300,"Because you took advantage","Lolita"
"91",512052,513636,"Because you took","Lolita"
"92",514054,517432,"Because you took advantageOf my disadvantage","Lolita"
"93",517892,522520,"Say, that's a dag-blasteddarn good poem you done there.","Lolita"
"94",523898,525440,"When I stood Adam-naked--","Lolita"
"95",525607,527484,"Oh, Adam-naked!","Lolita"
"96",527652,530236,"You should be ashamed of yourself,captain.","Lolita"
"97",530738,534115,"Before a federal lawAnd all its stinging stars","Lolita"
"98",534533,536368,"Tarnation! You old horn toad.","Lolita"
"99",536536,539788,"That's mighty pretty.That's a pretty poem.","Lolita"
"100",540456,542666,"Because you took advantage","Lolita"
"101",542958,544875,"It's getting a bit repetitious, isn't it?","Lolita"
"102",545043,548587,"Because-- Here's another one.Because you cheated me","Lolita"
"103",549381,551716,"Because you took her at an age","Lolita"
"104",552509,554844,"-When young lads---That's enough.","Lolita"
"105",555011,559474,"Say, what you took it away for, mister?That was getting kind of smutty there. Heh.","Lolita"
