"id","startTime","endTime","text","title"
"1",60505,62173,"Six times three.","Lone Survivor"
"2",64371,65940,"Hurry up, hurry up, hurry up.","Lone Survivor"
"3",67338,68338,"Hurry up.","Lone Survivor"
"4",69672,71840,"It's eighteen. Ooh!","Lone Survivor"
"5",84672,86007,"Ring the bell three times,","Lone Survivor"
"6",86072,88775,"put your helmet on the ground.You're done.","Lone Survivor"
"7",96173,98108,"Commence! You don't makeit, you do it again!","Lone Survivor"
"8",98173,99874,"You ever been tested thishard ever in your life?","Lone Survivor"
"9",99939,100973,"Never.","Lone Survivor"
"10",103174,105842,"Winning here is aconscious decision.","Lone Survivor"
"11",108107,110275,"Make up your mindif you want to pass","Lone Survivor"
"12",112007,113842,"or choose to fail.","Lone Survivor"
"13",114874,116709,"All right now, gentlemen,I'm gonna introduce y'all","Lone Survivor"
"14",116773,119610,"to something called ""notbeing able to breathe.""","Lone Survivor"
"15",123007,125143,"Andrew! Come back.","Lone Survivor"
"16",125208,126708,"Come back to the light.","Lone Survivor"
"17",132108,134376,"All this shaking and allthis cold. Harness it.","Lone Survivor"
"18",134441,135675,"Turn it into aggression.","Lone Survivor"
"19",147175,149877,"You just proved to yourbodies, through your mind,","Lone Survivor"
"20",151209,153978,"that you can push yourself furtherthan you thought possible.","Lone Survivor"
"21",165009,166344,"Go get wet! Run!","Lone Survivor"
"22",168510,170111,"I'm at my limit, so...","Lone Survivor"
"23",171010,172344,"...that's it.","Lone Survivor"
"24",176010,177878,"You sure you want to be here?Yes, I do.","Lone Survivor"
"25",177943,179177,"Are you absolutely sure?","Lone Survivor"
"26",179243,180510,"I'm positive!","Lone Survivor"
"27",189511,191011,"Whatever you have to do!","Lone Survivor"
"28",193111,194778,"Just find an excuse to win.","Lone Survivor"
"29",196944,198278,"Keep going.","Lone Survivor"
"30",200111,201879,"It pays to be a winner!","Lone Survivor"
"31",208677,211181,"I like having my buddiesthat I can depend on.","Lone Survivor"
"32",211245,213480,"And I would like for themto be able to depend on me.","Lone Survivor"
"33",214011,215746,"These guys are ourband of brothers.","Lone Survivor"
"34",218677,222015,"♪ Silent night","Lone Survivor"
"35",222678,225681,"♪ Holy night","Lone Survivor"
"36",226678,229681,"♪ All is calm","Lone Survivor"
"37",230678,233349,"♪ All is bright.","Lone Survivor"
"38",298515,300683,"There's a storm inside of us.","Lone Survivor"
"39",307448,310118,"I've heard many teamguys speak of this.","Lone Survivor"
"40",313749,315083,"A burning.","Lone Survivor"
"41",319749,321083,"A river.","Lone Survivor"
"42",323649,325218,"A drive.","Lone Survivor"
"43",333350,335251,"An unrelenting desireto push yourself","Lone Survivor"
"44",335317,337919,"harder and further thananyone could think possible.","Lone Survivor"
"45",345285,348121,"Pushing ourselves intothose cold, dark corners.","Lone Survivor"
"46",351051,353052,"Where the bad things live.","Lone Survivor"
"47",355517,357519,"Where the bad things fight.","Lone Survivor"
"48",361618,363653,"We wanted that Fightat the highest volume.","Lone Survivor"
"49",370919,372352,"Aloud fight.","Lone Survivor"
"50",374319,376854,"The loudest, coldest, darkest,","Lone Survivor"
"51",376919,379321,"most unpleasant of theunpleasant fights.","Lone Survivor"
"52",516358,517892,"Is this doable?","Lone Survivor"
"53",522925,524093,"It's expensive.","Lone Survivor"
"54",525192,526693,"How much?","Lone Survivor"
"55",526926,530763,"It's an Arabian horse, man.She got good taste.","Lone Survivor"
"56",531525,532860,"I know.","Lone Survivor"
"57",533626,534626,"How much?","Lone Survivor"
"58",535659,538328,"I'll find out. Expensive.","Lone Survivor"
"59",539192,540227,"You're fucked, man.","Lone Survivor"
"60",543693,545028,"I know.","Lone Survivor"
"61",562627,564129,"I'm up.","Lone Survivor"
"62",567227,568394,"Going down.","Lone Survivor"
"63",673999,675333,"Murphy by 1.1.","Lone Survivor"
"64",676699,678367,"More than that. Morethan that, Marcus.","Lone Survivor"
"65",678432,680433,"Fucking dude, I was beinggenerous. Trust me.","Lone Survivor"
"66",680899,681967,"Who won?","Lone Survivor"
"67",682532,685101,"Murph. Murph, barely.By one second.","Lone Survivor"
"68",685165,686165,"Barely.","Lone Survivor"
"69",686766,688099,"Barely. Head shave?","Lone Survivor"
"70",688165,690902,"Head shave or what? I don't know, youknow? It's something to think about.","Lone Survivor"
"71",690966,693033,"If I shave his head, Ihave to focus on his face.","Lone Survivor"
"72",693600,696002,"Face, ears. Oddly-shaped head.","Lone Survivor"
"73",696700,698435,"Well, I don't wanna be lookingat him that close, either,","Lone Survivor"
"74",698500,700858,"but he has been running his mouthabout beating you. Really?","Lone Survivor"
"75",701066,702400,"Fuck, a head shave is fair.","Lone Survivor"
"76",702967,704600,"Axe? Better shave him.","Lone Survivor"
"77",704666,708503,"Make him go eat with the E-3s, workin the chow hall until it grows back.","Lone Survivor"
"78",708567,709701,"Frankie, what do you think?","Lone Survivor"
"79",709767,711126,"Why the fuck wouldn'twe shave him?","Lone Survivor"
"80",711333,712333,"That's valid.","Lone Survivor"
"81",712400,714135,"Patton, not that we care,but what do you think?","Lone Survivor"
"82",714200,716870,"Let me see you make atactical decision right now.","Lone Survivor"
"83",716934,719001,"Well, I could goboth ways on this.","Lone Survivor"
"84",719267,720668,"He did lose, but he was close.","Lone Survivor"
"85",720900,722903,"And you're Mike Murphy.","Lone Survivor"
"86",722968,724468,"You are Mike Murphy.","Lone Survivor"
"87",724534,725635,"The Mike Murphy.","Lone Survivor"
"88",725701,727302,"I would've expected abigger separation.","Lone Survivor"
"89",727367,729636,"That is a good point.Backhanded compliment.","Lone Survivor"
"90",729702,731603,"Patton. Grab my razor.","Lone Survivor"
"91",731668,732668,"Razor, copy that.","Lone Survivor"
"92",733868,735001,"Listen up.","Lone Survivor"
"93",735067,737737,"Red Wings' a go.Tonight, 1800.","Lone Survivor"
"94",741568,742602,"Beautiful.","Lone Survivor"
"95",742735,743769,"Am I going?","Lone Survivor"
"96",743835,745369,"PLO in an hour.","Lone Survivor"
"97",749235,750235,"Maybe I'll go.","Lone Survivor"
"98",750301,753606,"It's a maybe. I'll give youa maybe. Stay optimistic.","Lone Survivor"
"99",755569,756937,"Boys. Hey, what's up?","Lone Survivor"
"100",757636,758937,"What the fuck amI doing wrong?","Lone Survivor"
"101",760569,761870,"Oh, come on.","Lone Survivor"
"102",761936,763814,"I'll tell you what, Shane,here's your first op.","Lone Survivor"
"103",764569,765670,"You ready?","Lone Survivor"
"104",766937,768037,"Clean all this up.","Lone Survivor"
"105",778637,782106,"The objective of this mission isto capture and kill Ahmad Shah.","Lone Survivor"
"106",783504,785706,"Bad guy. SeniorTaliban commander","Lone Survivor"
"107",785770,788806,"responsible for killing Marinesin eastern Afghanistan.","Lone Survivor"
"108",788871,790104,"A Tier I target.","Lone Survivor"
"109",790170,794507,"If you want a positive I.D.,note that Shah has no earlobes.","Lone Survivor"
"110",797671,799238,"Taraq.","Lone Survivor"
"111",799303,802073,"His right-hand man. Seems to domost of his chief shit for him.","Lone Survivor"
"112",809071,811273,"We're going in with afour-man Recon team.","Lone Survivor"
"113",811505,814341,"Axelson, you'll be point.Myself, I'll be second.","Lone Survivor"
"114",814404,817074,"Dietz, comms.Marcus, rear, med.","Lone Survivor"
"115",817772,819072,"Axe, give us our route.","Lone Survivor"
"116",819138,821441,"We're gonna be moving up theback side of this Mountain here,","Lone Survivor"
