"id","startTime","endTime","text","title"
"1",17093,18386,"Finally...","Lost in Space"
"2",18845,21973,"the warring nations of Earth hadforgotten their differences...","Lost in Space"
"3",22473,25351,"and banded togetherto save our planet.","Lost in Space"
"4",26144,29981,"The United Global Space Forcewas searching the galaxy...","Lost in Space"
"5",30481,33776,"for worlds rich with drinkablewater and breathable air.","Lost in Space"
"6",34318,37447,"The hypergate was our best hopeto colonize space...","Lost in Space"
"7",37905,38865,"our best hope for survival.","Lost in Space"
"8",39365,41075,"But as we preparedto launch ourselves...","Lost in Space"
"9",41576,43286,"into the black of space...","Lost in Space"
"10",43744,47457,"terrorists, calling themselves'The Global Sedition...'","Lost in Space"
"11",47915,49750,"were preparing to strike.","Lost in Space"
"12",55965,58926,"Grissom base, this is Cargo 7requesting landing clearance.","Lost in Space"
"13",59385,60928,"Roger, transport.This is Grissom gate control.","Lost in Space"
"14",61387,62138,"Please download security codes.","Lost in Space"
"15",62638,63389,"Downloading.","Lost in Space"
"16",63848,66350,"Transport, I've got two blipsinside your radar signature.","Lost in Space"
"17",66809,67685,"They're hiding in your shadow.","Lost in Space"
"18",68144,69312,"I don't see anything.","Lost in Space"
"19",74483,77195,"This is gate control.Battle stations.","Lost in Space"
"20",80573,81490,"Battle stations.","Lost in Space"
"21",81991,84202,"Two Sedition fightersare attacking the hypergate.","Lost in Space"
"22",84702,85745,"Battle stations.","Lost in Space"
"23",86287,87830,"Gate control, this is Eagle One.I'm locked and loaded.","Lost in Space"
"24",88289,89707,"Ready to fly.","Lost in Space"
"25",90208,92293,"Roger, Eagle One.You're clear to launch.","Lost in Space"
"26",97340,99008,"Jeb, where are you, buddy?","Lost in Space"
"27",100593,102929,"This cold war just got hot.","Lost in Space"
"28",103429,104263,"They're Sedition raiders.","Lost in Space"
"29",104764,107224,"It's anothermutant suicide squad.","Lost in Space"
"30",108643,110394,"Here we go. Man-to-man.Split them up.","Lost in Space"
"31",110895,114649,"Last one to kill a bad guybuys the beer.","Lost in Space"
"32",118069,119820,"I'm gonna go through the gate,get in front of him.","Lost in Space"
"33",120279,122698,"That's not standard procedure,Don.","Lost in Space"
"34",126243,127745,"Better get inside his shields.","Lost in Space"
"35",137254,138506,"You gen-techs are ugly up close.","Lost in Space"
"36",139006,139882,"Target lock.","Lost in Space"
"37",140383,141509,"Show time.","Lost in Space"
"38",149475,151227,"Bogey One dispatched.","Lost in Space"
"39",152269,154980,"Don, he's right on my tail.","Lost in Space"
"40",155439,156816,"Damn! Can't shake him.","Lost in Space"
"41",162446,163406,"I've been hit!","Lost in Space"
"42",163906,165032,"Weapons are off-line.","Lost in Space"
"43",165950,167159,"I'm gonna jettisonthe main drive core.","Lost in Space"
"44",167660,168911,"There you are.","Lost in Space"
"45",176252,177795,"Am I good or what?","Lost in Space"
"46",178254,180506,"Warning. Failurein redundant drive systems.","Lost in Space"
"47",181006,182758,"Gate control,this is Ranger One.","Lost in Space"
"48",183259,185136,"Engines will not respond.","Lost in Space"
"49",186095,189140,"Don, I'm fallingtowards the hypergate.","Lost in Space"
"50",189557,191726,"Breaking thrusters won't fire!","Lost in Space"
"51",192393,194311,"Impact in 30 seconds.","Lost in Space"
"52",194770,195730,"Ranger One, this is base.","Lost in Space"
"53",196272,198190,"Rescue crafthave been dispatched.","Lost in Space"
"54",200317,203320,"Grissom, those pods will neverreach him in time.","Lost in Space"
"55",203821,204572,"I'm going in.","Lost in Space"
"56",205030,207366,"Major West, you are notauthorized to jeopardize--","Lost in Space"
"57",207867,208993,"Never liked that station anyway.","Lost in Space"
"58",209493,212705,"Warning. Proximity alert.","Lost in Space"
"59",216792,217543,"Hang on, Jeb. I'm coming in.","Lost in Space"
"60",218002,220171,"Abort. Abort!","Lost in Space"
"61",220713,223257,"I'll give you a little kiss.Don't take this the wrong way.","Lost in Space"
"62",223757,226010,"Impact in five seconds.","Lost in Space"
"63",244778,246030,"Does this meanwe're going steady?","Lost in Space"
"64",246489,249366,"You're not getting outof buying those beers that easy.","Lost in Space"
"65",263130,265966,"With intrepid pioneering spirit,the Robinson family...","Lost in Space"
"66",266425,268844,"will journey to the distantworld of Alpha Prime.","Lost in Space"
"67",269303,271972,"What kind of future canour children look forward to?","Lost in Space"
"68",272431,274099,"A future in paradise.","Lost in Space"
"69",274600,275559,"The Jupiter mission...","Lost in Space"
"70",276018,279146,"made possible by the Army andSilicon Graphics Corporation.","Lost in Space"
"71",279605,283609,"S.G.I. Saving the futurefor our children.","Lost in Space"
"72",284109,285694,"Give me a break.","Lost in Space"
"73",286195,287863,"Holo-callfrom Houston middle school.","Lost in Space"
"74",288322,289156,"Hello?","Lost in Space"
"75",289657,290908,"Hello, Principal Cartwright.","Lost in Space"
"76",291408,293160,"What has he done this time?","Lost in Space"
"77",293619,298082,"He hacked our main power gridto run his experiment.","Lost in Space"
"78",298958,300501,"The school was in chaos.","Lost in Space"
"79",301293,302253,"Yeah, right.","Lost in Space"
"80",302753,304630,"We didn't even have lights.","Lost in Space"
"81",308467,311804,"This is no laughing matter,Professor Robinson.","Lost in Space"
"82",312262,315307,"Will is terribly gifted.","Lost in Space"
"83",315766,318018,"The changing shape of education.","Lost in Space"
"84",318519,321063,"His little time machines,though pure fancy...","Lost in Space"
"85",321563,324441,"are the productsof a truly brilliant mind.","Lost in Space"
"86",326276,327820,"No more monkey business.","Lost in Space"
"87",328278,329571,"I mean it.","Lost in Space"
"88",330030,332157,"The boy is starvedfor attention.","Lost in Space"
"89",332700,335577,"I know your life is anythingbut normal right now...","Lost in Space"
"90",336036,337371,"but wasn't there some way...","Lost in Space"
"91",337871,340874,"his father could haveattended the science fair?","Lost in Space"
"92",341375,342918,"As you are aware...","Lost in Space"
"93",343419,345879,"Alpha Prime is the only otherhabitable planet...","Lost in Space"
"94",346338,350134,"yet detectedby deep space recon.","Lost in Space"
"95",351051,354179,"My crew will sleep awayour 10-yearjourney there...","Lost in Space"
"96",354680,356390,"in suspended animation.","Lost in Space"
"97",357349,360394,"Once we have rendezvoused withthe research colony on Alpha...","Lost in Space"
"98",360853,363063,"I will superviseconstruction of a hypergate.","Lost in Space"
"99",363522,366233,"By then,technicians here on Earth...","Lost in Space"
"100",366734,369695,"will have completedthe companion hypergate...","Lost in Space"
"101",370195,372281,"in our planet's orbit.","Lost in Space"
"102",373824,375534,"Once both gates are complete...","Lost in Space"
"103",376368,380789,"ships will be able to passinstantaneously between them.","Lost in Space"
"104",381248,384752,"Immediate colonizationof Alpha Prime will be possible.","Lost in Space"
"105",385252,387796,"Can't you just usethe Jupiter's hyper-engine...","Lost in Space"
"106",388297,390257,"to zap straight to Alpha Prime?","Lost in Space"
"107",390966,393343,"Hyperspace existsbeneath normal space.","Lost in Space"
"108",393844,397347,"If you try to enter hyperspacewithout a gate...","Lost in Space"
"109",398265,399600,"your exit factor is random.","Lost in Space"
"110",400100,401685,"There's no tellingwhere you'd come out.","Lost in Space"
"111",402394,405147,"Ninety-eight percent ofthe galaxy is still uncharted.","Lost in Space"
"112",405647,408400,"There's a lot of spaceto get lost in.","Lost in Space"
"113",410652,412863,"How is Captain Danielsrecovering from the flu?","Lost in Space"
"114",413322,414740,"Will he pilot the mission?","Lost in Space"
"115",415240,416783,"Ladies and gentlemen.","Lost in Space"
"116",417242,421079,"You came to get your first lookat the Jupiter 1.","Lost in Space"
"117",421538,423207,"Don't you thinkyou've waited long enough?","Lost in Space"
"118",424291,425792,"Let's move into the launch dome.","Lost in Space"
"119",426293,427127,"One more question, Professor.","Lost in Space"
"120",427586,429838,"Now that the mission'sbeen pushed up...","Lost in Space"
"121",430339,432841,"how do your children feelabout leaving the earth behind?","Lost in Space"
"122",433342,436011,"They couldn't be more excited.","Lost in Space"
"123",437179,438889,"This mission sucks!","Lost in Space"
"124",439389,441266,"I don't wanna leave early.I don't wanna go at all.","Lost in Space"
"125",441725,443101,"We will discuss this at dinner.","Lost in Space"
"126",444102,447147,"For the last three years, I'vemissed everything training...","Lost in Space"
"127",447606,450359,"so I can spend the next 10 yearsmissing everything else.","Lost in Space"
"128",451652,453195,"I'm not staying home for dinner.","Lost in Space"
"129",453654,454905,"I'm seeing my friends.","Lost in Space"
"130",455364,456698,"Penny.","Lost in Space"
"131",457199,460786,"I'm going out to say good-byeto my entire life.","Lost in Space"
