"id","startTime","endTime","text","title"
"1",287514,289840,"Lovely morning song of Paris,","Love Me Tonight"
"2",290189,291909,"you are much too loud for me.","Love Me Tonight"
"3",298320,301240,"It's not a sonata by Mozart.The song of Paris has its faults.","Love Me Tonight"
"4",302072,305392,"[...]","Love Me Tonight"
"5",306450,310130,"But at least it's not Viennese waltz.","Love Me Tonight"
"6",311245,314765,"Seville has its fandango.Chicago has its trot.","Love Me Tonight"
"7",315207,318767,"Buenos - there is tango.Dresden - its gavotte.","Love Me Tonight"
"8",319168,323088,"No matter [...]cold, or wet, or dry,","Love Me Tonight"
"9",323546,327466,"each morning, like a baby,Paris starts to cry.","Love Me Tonight"
"10",332010,336010,"It has taxi horns and claxonsto scare the Anglosaxons,","Love Me Tonight"
"11",336472,338432,"that's the song of Paris.","Love Me Tonight"
"12",338973,342533,"It has men that send you postcardsmuch naughtier than most cards,","Love Me Tonight"
"13",342934,344854,"that's the song of Paris.","Love Me Tonight"
"14",345853,350013,"The noise is not delicious, butit makes you so ambitious.","Love Me Tonight"
"15",352316,356236,"You would sell your wife and daughter,for just one Latin quarter.","Love Me Tonight"
"16",356694,358614,"That's the song of Paris.","Love Me Tonight"
"17",373164,376884,"Bonjour Dubal!How's my old pal?","Love Me Tonight"
"18",377334,380454,"Bonjour, Maurice!How are you?","Love Me Tonight"
"19",381920,385640,"- How about Friday?- Friday is my day!","Love Me Tonight"
"20",386507,389427,"- Oh, what a man!- How are you?","Love Me Tonight"
"21",390468,394388,"- How's your bakery?- I need a beau.","Love Me Tonight"
"22",394846,398206,"- Where's your husband?- He needs the dough!","Love Me Tonight"
"23",398807,402327,"Hello, Mrs. Bendix!How's your appendix?","Love Me Tonight"
"24",402769,405689,"And what is more...How are you?","Love Me Tonight"
"25",407355,411075,"Bonjour, hello, sir.How is the grocer?","Love Me Tonight"
"26",411525,415045,"You owe ten francs,how are you?","Love Me Tonight"
"27",416111,419431,"Ah, how's my coy friend?Some other boyfriend?","Love Me Tonight"
"28",420072,423392,"- This is my wife!- How are you?","Love Me Tonight"
