"id","startTime","endTime","text","title"
"1",50301,54763,"What can you say abouta 25-year-old girl who died?","Love Story"
"2",56348,59351,"That she was beautiful and brilliant?","Love Story"
"3",60728,64148,"That she loved Mozart and Bach?","Love Story"
"4",64482,66984,"The Beatles?","Love Story"
"5",67193,69153,"And me?","Love Story"
"6",86170,89298,"- Do you have this book?- You have your own library.","Love Story"
"7",89507,92927,"- Answer my question.- Answer mine first.","Love Story"
"8",93260,95763,"We're allowed to usethe Radcliffe library.","Love Story"
"9",95971,98682,"I'm not talking legality,I'm talking ethics.","Love Story"
"10",98891,102436,"Harvard's got five million books,Radcliffe a few thousand.","Love Story"
"11",102645,106065,"I only want one. I've gotan hour exam tomorrow, damn it!","Love Story"
"12",106398,109944,"Please watch your profanity, preppy.","Love Story"
"13",111403,113989,"Why do you thinkI went to prep school?","Love Story"
"14",114198,118285,"- You look stupid and rich.- Actually, I'm smart and poor.","Love Story"
"15",118494,120663,"No, I'm smart and poor.","Love Story"
"16",120871,124625,"- Why are you so smart?- I won't have coffee with you.","Love Story"
"17",124959,128712,"- I wouldn't ask you.- That's what makes you stupid.","Love Story"
"18",132758,136303,"Comp. Lit. 105. Not bad.","Love Story"
"19",136512,142268,"Music 150. Not bad.Music 201, that's a graduate course.","Love Story"
"20",142476,145062,"- Renaissance polyphony.- What's polyphony?","Love Story"
"21",145271,147982,"Nothing sexual, preppy.","Love Story"
"22",148190,150901,"I told you, my name is Oliver.","Love Story"
"23",151110,153112,"- First or last?- First.","Love Story"
"24",153320,156740,"- Oliver what?- Barrett.","Love Story"
"25",156949,161328,"- Barrett like the poet?- Yeah, no relation.","Love Story"
"26",161537,165624,"- Barrett like the hall?- Yes.","Love Story"
"27",165833,168836,"I'm having coffeewith a Harvard building.","Love Story"
"28",169044,173215,"I'm not Barrett Hall. My greatgrandfather just gave it to Harvard.","Love Story"
"29",173424,176885,"So his not-so-great grandsoncould get in?","Love Story"
"30",177094,183017,"If you think I'm a loser, why did youbulldoze me into buying you coffee?","Love Story"
"31",183350,186562,"I like your body.","Love Story"
"32",193569,196572,"- I major in Social Studies.- It doesn't show.","Love Story"
"33",196780,200868,"- It's an honours programme.- I know you've got a few brains.","Love Story"
"34",201076,205330,"- Really?- You're hung up on me, aren't you?","Love Story"
"35",209918,212421,"- Jenny?- Yeah?","Love Story"
"36",212629,217134,"Listen, you Radcliffe bitch.There's a hockey game on Friday.","Love Story"
"37",217342,220262,"- So?- I want you to come.","Love Story"
"38",220471,224099,"Why would I goto a lousy hockey game?","Love Story"
"39",224308,227227,"- Because I'm playing.- For which side?","Love Story"
"40",266642,269770,"Two minutes for number seven.Holding.","Love Story"
"41",270729,275943,"Penalty. Barrett, Harvard.Two minutes. Holding.","Love Story"
"42",285410,288539,"Why are you herewhen your friends are playing?","Love Story"
"43",288872,291583,"I'm in the penalty box.","Love Story"
"44",291792,294503,"- What did you do?- I tried too hard.","Love Story"
"45",294711,297714,"- Is that a big disgrace?- I'm trying to concentrate.","Love Story"
"46",298048,300759,"- On what?- On how I'll total that bastard.","Love Story"
"47",300968,303554,"Come on, Harvard, let's go!","Love Story"
"48",303762,307224,"Are you a dirty player?Would you ever total me?","Love Story"
"49",307432,311812,"- I will right now if you don't shut up.- I'm leaving. Goodbye.","Love Story"
"50",321196,326076,"Barrett back in the game.Harvard have full strength.","Love Story"
"51",358317,363196,"And a goal. Ackerman.Assist, Barrett.","Love Story"
"52",363405,367159,"- Now I've seen a hockey game.- What did you like best?","Love Story"
"53",367367,370912,"- When you were on your ass.- Thanks for coming.","Love Story"
"54",371246,374041,"I didn't say you could kiss me.","Love Story"
"55",374374,377377,"- I was carried away.- I wasn't.","Love Story"
"56",381339,384051,"I may not call you for a few months,","Love Story"
"57",384384,387721,"or I might call youwhen I get back to my room.","Love Story"
"58",387929,391892,"- Bastard.- You can dish it out, but not take it.","Love Story"
"59",399274,401276,"- Hello, animals.- Hey, Ollie.","Love Story"
"60",401485,404279,"- What did you get?- An assist.","Love Story"
"61",404488,407741,"- Off Cavilleri?- None of your business.","Love Story"
"62",407949,411286,"- I'm your roommate!- Has Barrett got a new goodie?","Love Story"
"63",411495,416374,"Jenny Cavilleri.It's a music type from Rhode Island.","Love Story"
"64",416583,421505,"- I know her. Real tight-ass.- Plays piano for the Bach Society.","Love Story"
"65",421713,426802,"- What does she play with Barrett?- Probably hard to get.","Love Story"
"66",427135,429429,"Simpson. Up yours.","Love Story"
"67",430972,432766,"That proves it.","Love Story"
"68",450283,452452,"Hello, Jen?","Love Story"
"69",452661,458291,"What would you say if I told you...I think I'm in love with you?","Love Story"
"70",458625,465382,"Never say ""love"" if you don't mean it.You're a known quantity.","Love Story"
"71",465590,466842,"Meaning?","Love Story"
"72",467175,472264,"You're known for quantity.At Radcliffe, every hall is Barrett Hall.","Love Story"
"73",473515,479354,"- You've been checking up on me.- I won't dine outdoors with anybody.","Love Story"
"74",480605,484568,"- Am I just anybody?- What do you think, preppy?","Love Story"
"75",488655,492284,"You'll have to fend for yourselfthis weekend.","Love Story"
"76",493326,497289,"I'll be mixing it upwith Francis LaPierre.","Love Story"
"77",498540,501793,"- Very funny.- Are you jealous?","Love Story"
"78",502002,505755,"He's the captainof the Cornell hockey team.","Love Story"
"79",505964,509092,"You've been reading the sports page.","Love Story"
"80",515974,520020,"I wouldn't mindwatching you play against Cornell.","Love Story"
"81",520228,523565,"No. I'll be involved.","Love Story"
"82",523773,527527,"Oh, yeah. The All-Ivy title.","Love Story"
"83",534117,536619,"- More than the All-Ivy title?- A lot more.","Love Story"
"84",542250,547130,"Cornell goal.Score tied, 3-3.","Love Story"
"85",552761,555472,"Come on, man! Quit!","Love Story"
"86",563313,566733,"I'll kick your ass back to Montreal!","Love Story"
"87",572697,574449,"Get up!","Love Story"
"88",576242,579037,"You're out of the game, Barrett.Come on!","Love Story"
"89",580914,586044,"- Je vais te casser la gueule!- I'll break yours before mine!","Love Story"
"90",586252,589881,"Come on, Barrett, get off the ice!","Love Story"
"91",595011,598431,"You Montreal faggots!","Love Story"
"92",598640,601684,"What? Francis LaPierrestarted the fight!","Love Story"
"93",601893,604062,"- Get in!- Come on!","Love Story"
"94",604395,606898,"Five minutes for number seven. Fight.","Love Story"
"95",607107,612403,"Penalty. Barrett, Harvard.Five minutes for fighting.","Love Story"
"96",685518,688938,"You probably want a steak, son.","Love Story"
"97",689147,691774,"No, thanks. The doctor took care of it.","Love Story"
"98",691983,694986,"I meant for your stomach, Oliver.","Love Story"
"99",695820,701451,"- I'm supposed to eat with the team.- Oh, that's fine.","Love Story"
"100",701659,704704,"- Does your face hurt?- No, sir.","Love Story"
"101",706581,711169,"- Jack Wells should take a look at it.- That's not necessary.","Love Story"
"102",711377,715006,"- Jack's a specialist.- It's nothing special.","Love Story"
"103",716174,721262,"- My car's there. Can I give you a lift?- I'll walk you to your car.","Love Story"
"104",722513,725850,"Have you heard from the Law School?","Love Story"
"105",726059,729520,"I haven't exactly decidedon the Law School.","Love Story"
"106",729729,735360,"I was merely askingif the Law School had decided on you.","Love Story"
"107",735568,738154,"- No.- There really isn't any doubt.","Love Story"
"108",738363,742950,"- About what?- The school needs good men like you.","Love Story"
"109",743284,748373,"- They haven't got a hockey team.- You have other qualities, Oliver.","Love Story"
"110",750041,752752,"I'm sorry you had to see Harvard lose.","Love Story"
"111",752960,756005,"I came to see you play.","Love Story"
"112",757548,761094,"The Dean of the schoolis an old classmate...","Love Story"
"113",761302,763513,"That's very nice, sir.","Love Story"
"114",766849,770478,"- Goodbye.- Goodbye, sir.","Love Story"
"115",774565,777568,"- Give my best to Mother.- Yes, I will.","Love Story"
"116",801134,803636,"Briggs Hall. Sandy Davidson.","Love Story"
"117",803970,806139,"Jennifer Cavilleri.","Love Story"
"118",806347,809475,"You have a call.She's in the downstairs phone booth.","Love Story"
"119",809809,812937,"- Where is that?- Around the corner.","Love Story"
"120",815731,819819,"Would you please...For God's sake, Phil!","Love Story"
"121",820736,826159,"Yes. Yeah, yeah,for the million-and-oneth time, yeah!","Love Story"
"122",826492,830663,"Absolutely! Oh, I love you, too, Phil.","Love Story"
