"id","startTime","endTime","text","title"
"1",187604,188687,"- Radar!- Yes, sir.","MASH"
"2",188771,190646,"- Get a hold of Major Burns.- l guess l better call Major Burns.","MASH"
"3",190731,192064,"- Tell him we have to hold...- Tell him to put another","MASH"
"4",192150,193734,"- day surgeon on night shift.- ...a couple of surgeons","MASH"
"5",193818,194860,"over from the day shiftonto the night shift.","MASH"
"6",194943,196027,"l'll put in a call toGeneral Hammond in Seoul.","MASH"
"7",196111,197195,"Get General Hammond in Seoul,","MASH"
"8",197280,198530,"tell him we gotta havetwo new surgeons right away.","MASH"
"9",198615,199656,"l hope he sends usthose two new surgeons.","MASH"
"10",199740,200865,"We're sure gonna need them.","MASH"
"11",200949,203534,"- What was that, sir?- l gave everything to Radar.","MASH"
"12",203620,204745,"What?","MASH"
"13",284199,287619,"- What the hell do you think you're doing?- What? l'm just...","MASH"
"14",287704,290413,"Just because you're captain,don't think you run the joint.","MASH"
"15",290497,292415,"- Come on...- l run it.","MASH"
"16",292500,295168,"- Yeah, all right. l'm just supposed to...- l know what you're supposed to do.","MASH"
"17",295252,299255,"Your driver will be with you shortly.He's having his coffee now.","MASH"
"18",304928,306555,"Racist.","MASH"
"19",307055,311475,"Attention. The following men,report to the departure area.","MASH"
"20",311894,315646,"Carey, Michael S, Phelps, Robert A,","MASH"
"21",315731,320526,"Colbert T, Cleaver, Herschell B,","MASH"
"22",321153,322612,"Roosevelt, Charles B...","MASH"
"23",322697,324156,"- Goodbye, ladies. Thank you.- Bye-bye.","MASH"
"24",324240,326574,"- So long.- Roosevelt B,","MASH"
"25",327160,331538,"Govowska, Theodore G, Miller...","MASH"
"26",331747,335082,"-4077th MASH?- This is the jeep, yeah.","MASH"
"27",336043,337377,"All right.","MASH"
"28",339713,341423,"Okay, let's go, boy.","MASH"
"29",343843,345509,"Get my other bag.","MASH"
"30",346928,349389,"Yes, sir. Yes, sir.","MASH"
"31",372329,376124,"Schermerhorn! Get that son of a bitch!He just stole my jeep.","MASH"
"32",376959,380295,"Hey! Watch what the hell you're doing,will you?","MASH"
"33",388387,392139,"- What the hell...- What do you mean, it wasn't...","MASH"
"34",431514,435225,"- Where is she?- l couldn't stand it...","MASH"
"35",435309,438437,"- Not another. Another...- ...for my period...","MASH"
"36",438521,441064,"There you are, sir. The officers' mess.","MASH"
"37",441149,443649,"Perhaps you would liketo take a small repas.","MASH"
"38",444317,447653,"l don't think l could eat after that rideyou gave me. You want any of this?","MASH"
"39",447737,450115,"No, thank you, sir,but l could do with my lunch.","MASH"
