"id","startTime","endTime","text","title"
"1",44875,47002,"OK. Wind her up, boys!","Madagascar 3: Europe's Most Wanted"
"2",47177,49839,"It's Monte Carlo or bust.","Madagascar 3: Europe's Most Wanted"
"3",50013,51275,"- Struts.- Check.","Madagascar 3: Europe's Most Wanted"
"4",51448,52380,"- Flaps.- Check.","Madagascar 3: Europe's Most Wanted"
"5",52549,54278,"- Diamonds and gold.- Check.","Madagascar 3: Europe's Most Wanted"
"6",55218,58346,"We'll be back from our gambling spreein a couple weeks.","Madagascar 3: Europe's Most Wanted"
"7",58522,60456,"- Bye!- Or whenever the gold runs out.","Madagascar 3: Europe's Most Wanted"
"8",60624,61556,"- Buh-bye!- Good-bye.","Madagascar 3: Europe's Most Wanted"
"9",61725,63386,"All right! We'll be waiting for you!","Madagascar 3: Europe's Most Wanted"
"10",63960,66554,"Just kidding!We're never coming back!","Madagascar 3: Europe's Most Wanted"
"11",66730,68027,"Sorry! What was that?","Madagascar 3: Europe's Most Wanted"
"12",68198,70029,"Initiate warp drive.","Madagascar 3: Europe's Most Wanted"
"13",73870,76703,"Did they just saythey were never coming back?","Madagascar 3: Europe's Most Wanted"
"14",78341,79467,"Guys?","Madagascar 3: Europe's Most Wanted"
"15",83046,83876,"Marty?","Madagascar 3: Europe's Most Wanted"
"16",84047,85674,"Oh, goody, you're here!","Madagascar 3: Europe's Most Wanted"
"17",85849,87976,"Why don't you just chew on this?","Madagascar 3: Europe's Most Wanted"
"18",88151,89709,"I'm hungry.","Madagascar 3: Europe's Most Wanted"
"19",94758,96555,"I'm just messing with you.","Madagascar 3: Europe's Most Wanted"
"20",96726,99718,"I lost all feelingin this thing years ago.","Madagascar 3: Europe's Most Wanted"
"21",101064,103726,"Melman? Why do you look like that?","Madagascar 3: Europe's Most Wanted"
"22",104568,105865,"Look who's talking.","Madagascar 3: Europe's Most Wanted"
"23",106036,109027,"Gloria? Why are you guys so... elderly?","Madagascar 3: Europe's Most Wanted"
"24",109204,111934,"Now, when was the last timeyou looked in the mirror?","Madagascar 3: Europe's Most Wanted"
"25",112107,113165,"What?","Madagascar 3: Europe's Most Wanted"
"26",114109,114939,"No!","Madagascar 3: Europe's Most Wanted"
"27",115110,117340,"Wake up! Wake up, Ally-Al!","Madagascar 3: Europe's Most Wanted"
"28",117513,118502,"- Wake up!- Marty!","Madagascar 3: Europe's Most Wanted"
"29",119248,120112,"Marty, it was horrible.","Madagascar 3: Europe's Most Wanted"
"30",120282,121840,"That same nightmare again, huh?","Madagascar 3: Europe's Most Wanted"
"31",122017,125077,"We were stuck here in Africa,and we were all super-old and wrinkly...","Madagascar 3: Europe's Most Wanted"
"32",125254,127722,"Well, I aged well,but the rest of you looked terrible!","Madagascar 3: Europe's Most Wanted"
"33",127890,130882,"Relax, Alex.'Cause I got a surprise for you!","Madagascar 3: Europe's Most Wanted"
"34",131060,133528,"Is it the penguins?Have they come to take us home?","Madagascar 3: Europe's Most Wanted"
"35",133696,136460,"Nope. But it's the next best thing.","Madagascar 3: Europe's Most Wanted"
"36",136865,138264,"Another day bites the dust.","Madagascar 3: Europe's Most Wanted"
"37",138434,139423,"Come on, now!","Madagascar 3: Europe's Most Wanted"
"38",139602,141194,"Watch it. Watch yourself. Small divots!","Madagascar 3: Europe's Most Wanted"
"39",141370,145033,"Sorry, little incline there.Back up this hill.","Madagascar 3: Europe's Most Wanted"
"40",145441,149775,"A low-hanging branch,then just over this bluff and voil�!","Madagascar 3: Europe's Most Wanted"
"41",153749,155216,"Happy birthday, pal!","Madagascar 3: Europe's Most Wanted"
"42",157219,158243,"Whoa.","Madagascar 3: Europe's Most Wanted"
"43",162291,164782,"Wow! New York City.","Madagascar 3: Europe's Most Wanted"
"44",165294,166955,"Surprise!","Madagascar 3: Europe's Most Wanted"
"45",167630,170428,"Gloria! You're the Statue of Liberty!","Madagascar 3: Europe's Most Wanted"
"46",170599,172567,"Bring me your huddled masses, baby!","Madagascar 3: Europe's Most Wanted"
"47",172735,175101,"And, Melman,you're the Brooklyn Bridge!","Madagascar 3: Europe's Most Wanted"
"48",175270,176897,"Actually, I'm the Triboro Bridge.","Madagascar 3: Europe's Most Wanted"
"49",177072,179802,"Wow! You guys made this?","Madagascar 3: Europe's Most Wanted"
"50",179975,183843,"Yeah. From memory!From crazy, obsessive memory.","Madagascar 3: Europe's Most Wanted"
"51",185247,188341,"Hey! Fifth Avenue... with no traffic!","Madagascar 3: Europe's Most Wanted"
"52",188517,192510,"There's Times Square, with itsmodern-day corporate lack of character.","Madagascar 3: Europe's Most Wanted"
"53",193155,195419,"Nine Duane Reades on the same street!","Madagascar 3: Europe's Most Wanted"
"54",197993,199824,"And the zoo.","Madagascar 3: Europe's Most Wanted"
"55",199995,201986,"Wow, our home.","Madagascar 3: Europe's Most Wanted"
"56",202164,203756,"Look! There's a little me.","Madagascar 3: Europe's Most Wanted"
"57",204333,206494,"And little all of us-es!","Madagascar 3: Europe's Most Wanted"
"58",210773,214334,"Alex! Alex! Alex!","Madagascar 3: Europe's Most Wanted"
"59",230958,232619,"Oh, no!","Madagascar 3: Europe's Most Wanted"
"60",243337,247239,"You guys.You've both made and ruined my day.","Madagascar 3: Europe's Most Wanted"
"61",248142,249404,"Make a wish, sweetheart.","Madagascar 3: Europe's Most Wanted"
"62",253881,255473,"Your wish has come true!","Madagascar 3: Europe's Most Wanted"
"63",255650,257208,"Oh, yay!","Madagascar 3: Europe's Most Wanted"
"64",257552,259884,"My tummy is speaking to me!","Madagascar 3: Europe's Most Wanted"
"65",260488,261546,"Oh, gross!","Madagascar 3: Europe's Most Wanted"
"66",261723,264521,"I wouldn't eat that side of the cakeif I were you.","Madagascar 3: Europe's Most Wanted"
