"id","startTime","endTime","text","title"
"1",135802,137763,"Come on. Get your coat.We gotta go.","Maid in Manhattan"
"2",140390,143769,"-You have everything?-Yeah.","Maid in Manhattan"
"3",143936,145938,"Hurry up, sweetie. We're late.","Maid in Manhattan"
"4",150150,153487,"Ty. Today, puppy.","Maid in Manhattan"
"5",154905,157616,"You're killing me, Ty.Right now, you're killing Mommy.","Maid in Manhattan"
"6",157783,160160,"-Okay, let's go.-It's not my fault, Mom.","Maid in Manhattan"
"7",164289,166291,"All right. You want to doyour speech for me?","Maid in Manhattan"
"8",166458,168794,"Ty! Hello? That's better.","Maid in Manhattan"
"9",168961,171088,"You don't have to listento that 24 hours a day.","Maid in Manhattan"
"10",171255,173131,"Wait. It�s Simon and Garfunkel.","Maid in Manhattan"
"11",173298,176468,"That's why I tell you to tie your shoes.I know. I'm sorry. Oh, my God.","Maid in Manhattan"
"12",176635,179847,"-You can't just turn them off, Mom.-I understand, baby. Come on.","Maid in Manhattan"
"13",188313,190566,"-Careful of the puddle.-Why'd they break up?","Maid in Manhattan"
"14",190732,192818,"-Who?-Simon and Garfunkel.","Maid in Manhattan"
"15",193026,196780,"You got me.You can Google it at school.","Maid in Manhattan"
"16",205372,206957,"Let's go.","Maid in Manhattan"
"17",211170,213755,"Will I get in troubleif I didn't give my speech?","Maid in Manhattan"
"18",213922,215465,"Because I�m not really feeling it.","Maid in Manhattan"
"19",215632,218677,"What do you mean? You've beenworking all summer on that speech.","Maid in Manhattan"
"20",218886,221263,"-I can't wait to hear it.-It�s boring.","Maid in Manhattan"
"21",221430,225017,"Not to me or to grandmaor to your dad.","Maid in Manhattan"
"22",225184,227269,"I thought we were meeting him after.","Maid in Manhattan"
"23",227436,231773,"No way. He's coming, and then youguys are going camping. Remember?","Maid in Manhattan"
"24",231940,234651,"He's gonna be late,and then everyone will see.","Maid in Manhattan"
"25",237196,240782,"Look, he knows what time it starts.Don't worry, he'll be there.","Maid in Manhattan"
"26",244077,246079,"-Hey, look at me.-What?","Maid in Manhattan"
"27",246246,248790,"-You got something on your face there.-Where?","Maid in Manhattan"
"28",248957,251460,"-Right there.-Ma! Mom! Mom, no! Stop!","Maid in Manhattan"
"29",251627,253712,"There it is. I got it!","Maid in Manhattan"
"30",259676,262804,"-Hey, guys. How's it going?-Hey, Ty.","Maid in Manhattan"
"31",262971,266475,"What's up?The speech thing is at 4:00.","Maid in Manhattan"
"32",266642,269561,"I know. Come here.You got something on your face.","Maid in Manhattan"
"33",269728,271313,"-Mom!-What?","Maid in Manhattan"
"34",271480,275901,"-Please.-I�m sorry. Mr. Cool Guy.","Maid in Manhattan"
"35",277236,278987,"I love you.","Maid in Manhattan"
"36",282574,284451,"Have a good day.","Maid in Manhattan"
"37",339173,341466,"-Morning, Marisa.-What's up, Cora? How my diamonds?","Maid in Manhattan"
"38",341633,345554,"-They're hanging with your rubies.-I like the sound of that.","Maid in Manhattan"
"39",352686,356064,"-Just made it, Marisa.-I always do.","Maid in Manhattan"
"40",373415,377377,"-Good morning, Marisa.-What's up, Keef?","Maid in Manhattan"
"41",377544,381590,"How's the weather?Sunshine. That's nice.","Maid in Manhattan"
"42",381882,383342,"Anything good on?","Maid in Manhattan"
"43",387721,390849,"He opened the door for the paper.The wife just pushed him out.","Maid in Manhattan"
"44",391058,394394,"That nasty butt first thingin the morning, I�d kick him out too.","Maid in Manhattan"
"45",395062,398106,"Oh, my God. Wait a minute. He'sone of mine, the lactose intolerant.","Maid in Manhattan"
"46",398273,400067,"I like how you name the people.","Maid in Manhattan"
"47",400234,403237,"What do you call mebehind my back, I wonder.","Maid in Manhattan"
"48",404655,409576,"Yeah. Can I get a robe to theCharles Suite ASAP? Thank you.","Maid in Manhattan"
"49",409743,412704,"I call you God because you seeeverything and you still smile.","Maid in Manhattan"
"50",412871,417960,"-I�m cool with that. I surely am.-I�ll see you later, Keef.","Maid in Manhattan"
"51",421380,424716,"A Beresford maid is expedient.A Beresford maid is thorough.","Maid in Manhattan"
"52",424883,426885,"A Beresford maid serves with a smile.","Maid in Manhattan"
"53",427052,430264,"And above all, a Beresford maidstrives to be invisible.","Maid in Manhattan"
"54",430430,433767,"Maybe we can disappearone day altogether.","Maid in Manhattan"
"55",437062,438772,"You know what I just heard?","Maid in Manhattan"
"56",438939,441942,"Christina? History after the 1st.","Maid in Manhattan"
"57",442526,444653,"Christina kitchen orChristina assistant manager?","Maid in Manhattan"
"58",444820,446822,"Assistant manager.You know what that means?","Maid in Manhattan"
"59",446989,449449,"Somebody else is gonna bebusting my ass on the 2nd.","Maid in Manhattan"
"60",449616,452077,"Wrong. It means we're gonnaneed an assistant manager.","Maid in Manhattan"
"61",452244,457207,"-Yo, Barb, we still on for happy hour?-Ten hours and counting.","Maid in Manhattan"
"62",457374,458625,"Hey, Marisa, you here?","Maid in Manhattan"
"63",458792,460961,"Can I finish getting dressed,please? Thank you.","Maid in Manhattan"
"64",461128,463589,"You're the one who keepstalking about being a manager.","Maid in Manhattan"
"65",463755,467009,"All I�m saying is, it could be you.","Maid in Manhattan"
"66",467176,468969,"They're not gonna makea maid a manager.","Maid in Manhattan"
"67",469136,472472,"Why not? Today's a new day.Anything's possible.","Maid in Manhattan"
"68",472639,474433,"You know what I�m saying?","Maid in Manhattan"
"69",483400,487196,"Friday morning, people!Lots to do. Heads up.","Maid in Manhattan"
"70",487821,492701,"Mr. Bextrum has an announcementto make. Mr. Bextrum.","Maid in Manhattan"
"71",492868,496955,"Christina Howard's promotion createda vacancy that we've decided to fill...","Maid in Manhattan"
"72",497122,499875,"...with in-house personnel.","Maid in Manhattan"
"73",500042,503337,"-Perhaps one of our butlers.-Excuse me, Mr. Bextrum, sir?","Maid in Manhattan"
