"id","startTime","endTime","text","title"
"1",31440,34598,"Let us tell an old story anew,","Maleficent"
"2",34600,38468,"and we will see howwell you know it.","Maleficent"
"3",38759,40238,"Once upon a time,","Maleficent"
"4",40240,43639,"there were two kingdoms thatwere the worst of neighbors.","Maleficent"
"5",43640,46639,"So vast was the discord between them","Maleficent"
"6",46640,49359,"that it was said only a great hero","Maleficent"
"7",49359,52719,"or a terrible villain mightbring them together.","Maleficent"
"8",52719,56079,"In one kingdom livedfolk like you and me,","Maleficent"
"9",56079,59981,"with a vain and greedyking to rule over them.","Maleficent"
"10",60200,62158,"They were forever discontent,","Maleficent"
"11",62159,65789,"and envious of the wealthand beauty of their neighbors.","Maleficent"
"12",66239,68879,"For in the other kingdom, the Moors,","Maleficent"
"13",68879,73510,"lived every manner of strangeand wonderful creature.","Maleficent"
"14",73799,76359,"And they needed neitherking nor queen,","Maleficent"
"15",76359,78510,"but trusted in one another.","Maleficent"
"16",80680,84319,"In a great tree on agreat cliff in the Moors","Maleficent"
"17",84319,86799,"lived one such spirit.","Maleficent"
"18",86799,90269,"You might take her for a girl,","Maleficent"
"19",90280,93862,"but she was not just any girl.","Maleficent"
"20",94000,96866,"She was a fairy.","Maleficent"
"21",124200,126224,"There you go.","Maleficent"
"22",126719,128598,"And her name","Maleficent"
"23",128599,130465,"was Maleficent.","Maleficent"
"24",140039,142038,"Good morning, Mr. Chanterelle!","Maleficent"
"25",142039,144189,"I love your cap!","Maleficent"
"26",149240,151663,"No. No, don't do it!","Maleficent"
"27",156560,158061,"You missed me!","Maleficent"
"28",159240,161707,"- Good morning.- Good morning.","Maleficent"
"29",168920,170990,"Lovely work, girls!","Maleficent"
"30",187680,188878,"What's all the fuss about?","Maleficent"
"31",188879,189959,"The border guards have discov...","Maleficent"
"32",189960,191278,"Why do you get to tell her?I want to tell her!","Maleficent"
"33",191280,192318,"I want to!","Maleficent"
"34",192319,195318,"There are rules, Flittle. I tellthis time, you tell next time.","Maleficent"
