"id","startTime","endTime","text","title"
"1",149700,152498,"- S�. Bueno.- Family is everything.","Man on Fire"
"2",152603,154400,"No?","Man on Fire"
"3",154505,157906,"Now, do you love your son?","Man on Fire"
"4",158875,162641,"S�.","Man on Fire"
"5",169519,174115,"Now... do you understand?","Man on Fire"
"6",174223,178591,"You have a $10 million insurance policy.I know that.","Man on Fire"
"7",308082,310209,"Georgina!","Man on Fire"
"8",310317,313582,"Obey me, I will love you.Come on.","Man on Fire"
"9",313687,315450,"That's how it works, huh?","Man on Fire"
"10",315556,318719,"- Simple.- That's right.","Man on Fire"
"11",318826,320726,"Mwah.","Man on Fire"
"12",324864,328163,"She got a sister?","Man on Fire"
"13",328267,331464,"How's business?","Man on Fire"
"14",331571,334472,"The Japanese are here in a big way.","Man on Fire"
"15",335908,338399,"Cheap labor, factory space.","Man on Fire"
"16",338511,342469,"But they feel a lot safer livingover the border in El Paso.","Man on Fire"
"17",342581,345641,"I ferry them back and forth.They think I'm John Wayne.","Man on Fire"
"18",345751,347651,"- Ah.- Come on.","Man on Fire"
"19",352124,355355,"- I live like a king down here.- Yes, you do.","Man on Fire"
"20",359096,362259,"- You been workin'?- Yeah. No.","Man on Fire"
"21",362366,364425,"Nah. Been movin' around,you know.","Man on Fire"
"22",364535,368596,"Colombia, couple of places I can't name.Nothing catches my fancy.","Man on Fire"
"23",370474,373443,"Oh.","Man on Fire"
"24",373544,376103,"You think God will forgive usfor what we've done?","Man on Fire"
"25",376212,378772,"- No.- You don't?","Man on Fire"
"26",378882,383046,"Me either.","Man on Fire"
"27",383153,387954,"- How long you staying?- I don't know. I just... you know.","Man on Fire"
"28",388057,392015,"I wanted to see you, Ray,see how you're doin'.","Man on Fire"
"29",392127,394652,"You know, I came by on impulse.","Man on Fire"
"30",394763,398324,"Well, I could do with some impulse.","Man on Fire"
"31",408442,411468,"What happened?","Man on Fire"
"32",411579,413774,"Family paid the ransom...","Man on Fire"
"33",413881,417874,"then they sent the kid homeafter a couple of days...","Man on Fire"
"34",417985,420146,"minus an ear, of course.","Man on Fire"
"35",420254,423883,"Now every mother in Mexico City with a littlebit of money wants bigger and better bodyguards...","Man on Fire"
"36",423991,425958,"my own wife included.","Man on Fire"
"37",426059,429358,"I hate to break it to you,but she's right. She's right.","Man on Fire"
"38",431064,435330,"Look, Sammy, all my clients have, uh,kidnap and ransom insurance.","Man on Fire"
"39",435435,438666,"I have a policy. A.I.G.My dad gave it to me.","Man on Fire"
"40",438772,442036,"Yeah, I know.I got it for your dad.","Man on Fire"
"41",442141,445076,"But what are you gonna do in 60 dayswhen you can't renew it?","Man on Fire"
"42",445177,449443,"- You can't because you don't have a bodyguard.- I had to let Emilio go.","Man on Fire"
"43",449548,453177,"You gotta please Lisa.I mean, hey, ass like that's hard to find.","Man on Fire"
"44",455621,459886,"Look, a bodyguard'slike anything else.","Man on Fire"
"45",459991,463256,"You get what you pay for, okay?","Man on Fire"
"46",463361,466353,"You could do this.You get one that's got a decent r�sum�.","Man on Fire"
"47",466464,468796,"We're not looking forgoddamn Superman here, right?","Man on Fire"
"48",468900,471630,"Get someone cheaptill you renew the policy...","Man on Fire"
"49",471736,475102,"and then, uh...then fire the prick for whatever.","Man on Fire"
"50",475205,477264,"Incompetence.","Man on Fire"
"51",477374,481777,"All kidding aside, the most important thingis that your daughter goes back to school...","Man on Fire"
"52",481879,484848,"and that your wife gets to save face.","Man on Fire"
"53",484948,489749,"This way, you won't be the onlyunprotected family in the neighborhood.","Man on Fire"
"54",502365,505562,"That's right. A bodyguard.Your Spanish is good enough.","Man on Fire"
"55",505668,509068,"- You're crazy.- You even look the part.","Man on Fire"
"56",509170,511638,"In my state,I couldn't guard a corpse.","Man on Fire"
"57",511740,514538,"It's rich guys flashing their cash.It's all for show.","Man on Fire"
"58",514643,519774,"- Nothing's gonna happen. - Yeah? Youthink they'd hire a drunk, a has-been?","Man on Fire"
"59",521449,524747,"You have to keep it under control.","Man on Fire"
"60",524852,529619,"What if there was, you know, say,a kidnapping attempt? What do I do then?","Man on Fire"
"61",529723,533750,"You do your best. They're not gonna bepaying you enough to perform miracles.","Man on Fire"
"62",533861,536455,"- I don't know.- It's not exactly a scam, Crease.","Man on Fire"
"63",536563,540795,"- Even at half speed, you're pretty damn good.- Yeah.","Man on Fire"
"64",540901,543095,"Bodyguard's gotta be closeto people though.","Man on Fire"
"65",543202,546035,"He gotta talk all the time,and I'm no good at that.","Man on Fire"
"66",546139,549666,"You'll be the silent type.People are gonna appreciate that.","Man on Fire"
"67",556616,559482,"Bodyguard. So who's the guy?","Man on Fire"
"68",559584,562485,"Samuel Ramos. He's a young guy.","Man on Fire"
"69",562587,565385,"He owns one of the plants in Ju�rez.","Man on Fire"
"70",565490,567424,"Yeah?","Man on Fire"
"71",567526,570324,"The Jap car industry is in the toilet.","Man on Fire"
"72",570429,573364,"He's trying to persuade Fordto partner with him.","Man on Fire"
"73",573465,577332,"I think he's in trouble.His family lives in Mexico City.","Man on Fire"
"74",577435,579960,"He asked me if I knewanybody he could trust.","Man on Fire"
"75",581539,584531,"- And you thought of me.- Yeah.","Man on Fire"
"76",584642,588043,"Take a job, Crease.Breathe some air.","Man on Fire"
"77",588145,590511,"Then decide if you wantto stick around or not.","Man on Fire"
"78",590614,594709,"Besides, I'm glad to see you.I got nobody to talk to down here.","Man on Fire"
"79",602192,605093,"Listen, my wife wants someonepresentable and polite.","Man on Fire"
"80",607464,610990,"You'll be the fifth candidateshe sees this week.","Man on Fire"
"81",611100,612829,"Your r�sum�'s quite impressive.","Man on Fire"
"82",612935,617395,"Sixteen years of military experience,extensive counterterrorism work.","Man on Fire"
"83",617506,621067,"I'm surprised anybody could afford you.What's the catch?","Man on Fire"
"84",621176,623440,"I drink.","Man on Fire"
"85",623545,625535,"How does that affect you?","Man on Fire"
"86",625646,628114,"Well...","Man on Fire"
"87",628216,630343,"coordination, reaction time.","Man on Fire"
"88",630451,634217,"If top professionals try to kidnapyour daughter, I'll do the best I can...","Man on Fire"
"89",634322,637348,"but the service will beon par with the pay.","Man on Fire"
"90",638493,640518,"What if amateurs tried?","Man on Fire"
"91",640628,643755,"I'd probably kill 'em.Is that likely?","Man on Fire"
"92",643864,645832,"No.","Man on Fire"
"93",645932,648696,"No one is to know about your drinking.That includes my wife.","Man on Fire"
"94",675593,678357,"Lisa!","Man on Fire"
"95",680565,682465,"Lisa!","Man on Fire"
"96",693677,696578,"My wife, Lisa.And this is John Creasy.","Man on Fire"
"97",703620,705850,"- You're an American.- So are you.","Man on Fire"
"98",707890,709687,"It's all in there.","Man on Fire"
"99",712728,714662,"Would you like a drink?","Man on Fire"
"100",714764,717494,"Yes, uh, Jack and water'd be good.","Man on Fire"
"101",719068,722595,"- Have you done much of this kind of work before?- No, ma'am.","Man on Fire"
"102",722705,726470,"But he has a lot of experiencein related fields.","Man on Fire"
"103",728977,731673,"- You have a family, Mr. Creasy?- No.","Man on Fire"
"104",731780,733975,"Pita.","Man on Fire"
"105",734082,736050,"Pita.","Man on Fire"
"106",737385,739478,"- Thank you.- Yes, Mom?","Man on Fire"
"107",739588,741487,"Honey, this is, uh, Mr. Creasy.","Man on Fire"
"108",746660,749128,"In English, honey.","Man on Fire"
"109",749230,751858,"Um, do you wanna showMr. Creasy to his room?","Man on Fire"
"110",751966,755663,"- This way, Mr. Creasy.- Okay.","Man on Fire"
"111",763676,766076,"Thank you.","Man on Fire"
"112",773019,775816,"Just like that?","Man on Fire"
"113",775921,778321,"I think it's nice...","Man on Fire"
"114",778423,780891,"that he's an American.","Man on Fire"
"115",780993,785191,"I think it's terrific. You sure?","Man on Fire"
"116",787866,790164,"Thank you.","Man on Fire"
"117",790269,792896,"Thank you.","Man on Fire"
"118",793004,795472,"I feel better now.","Man on Fire"
"119",797375,800276,"- �Hola, Bruno!- �Buenas tardes!","Man on Fire"
"120",800378,802676,"That's Bruno, the gardener.","Man on Fire"
"121",802780,804839,"And, um, that's Maria, the cook.","Man on Fire"
"122",804949,807746,"- �Hola, Maria!- Hola, Pita.","Man on Fire"
"123",810020,814047,"We fixed the room up two weeks ago.It's nicer than before.","Man on Fire"
"124",817227,821061,"You've got a TV and C.D. Player.What kind of music do you like, Mr. Creasy?","Man on Fire"
"125",821164,823530,"I don't know.","Man on Fire"
"126",823633,826123,"- You don't know?- I don't know.","Man on Fire"
"127",826235,829398,"That's Bird.","Man on Fire"
"128",829505,832372,"Emilio forgot to take himwhen he left.","Man on Fire"
"129",833542,835874,"Emilio was my last bodyguard.","Man on Fire"
"130",837880,842111,"Have you protected a lot of childrenbefore, Mr. Creasy?","Man on Fire"
"131",842217,844981,"Creasy. You can call me Creasy.And no, you're the first.","Man on Fire"
"132",845086,846986,"Creasy.","Man on Fire"
"133",847088,849022,"Bye, Creasy.","Man on Fire"
"134",849123,851785,"So long.","Man on Fire"
"135",852894,854623,"Bye, Bird.","Man on Fire"
"136",859299,861631,"Ow.","Man on Fire"
"137",864605,868097,"- School tomorrow, peeps.- Does that mean we can get a dog?","Man on Fire"
"138",869509,871977,"Dad promised me onewhen I went back to school.","Man on Fire"
"139",872079,873774,"Yeah, we'll see.","Man on Fire"
"140",873880,877679,"If you get a dog,will you give up your bear?","Man on Fire"
"141",877783,881116,"You're getting too old for him.","Man on Fire"
"142",881220,884621,"- How'd you like Mr. Creasy?- Creasy.","Man on Fire"
"143",884724,887090,"He said to call him just Creasy.","Man on Fire"
"144",887193,889661,"- Uh-huh.- That isn't disrespectful, is it?","Man on Fire"
"145",889762,892059,"No, not if he asked you.","Man on Fire"
"146",892163,894996,"Here. There you go.","Man on Fire"
"147",902841,906641,"- He's like a bear too.- Yeah?","Man on Fire"
"148",906745,909042,"A big, sad bear.","Man on Fire"
"149",910681,914310,"- Is he sad?- I think. Or something.","Man on Fire"
"150",918122,920022,"- Good night, honey.- Night.","Man on Fire"
"151",923460,926724,"- Oh, can you get me some floss in the morning?- Floss?","Man on Fire"
"152",926829,930356,"- Yeah, the strawberry kind.- Oh, sure.","Man on Fire"
"153",932702,934727,"Good night, Bear.","Man on Fire"
"154",935838,937806,"Creasy Bear.","Man on Fire"
"155",971339,973671,"What's that one for?","Man on Fire"
"156",973774,975673,"La Virgin de Guadalupe.","Man on Fire"
"157",975775,980178,"Business. For Toyota, for Ford.","Man on Fire"
"158",980280,982908,"If one dies, maybe she canresurrect the other one.","Man on Fire"
"159",983016,985576,"I don't know.","Man on Fire"
"160",985685,988620,"She likes him.","Man on Fire"
