"id","startTime","endTime","text","title"
"1",156880,160475,"Mary Dinkle's eyes were the colourof muddy puddles.","Mary and Max"
"2",160560,162869,"Her birthmark, the colour of poo.","Mary and Max"
"3",174400,176516,"(Dogs bark)","Mary and Max"
"4",176640,181000,"It was Saturday afternoonand she was bored.","Mary and Max"
"5",181000,184959,"Mary wished she had a friendto play piggybacks with.","Mary and Max"
"6",196960,201351,"Mary's mood ring, which she'd foundin a cereal box, was grey","Mary and Max"
"7",201480,203680,"which, according to the chart,","Mary and Max"
"8",203680,210640,"meant she was either pensive,unconsciously ambitious or hungry.","Mary and Max"
"9",210640,214600,"Her only friends were 'The Noblets'from her favourite cartoon.","Mary and Max"
"10",214600,217920,"They weren't the real onesyou bought in the shops","Mary and Max"
"11",217920,222160,"but fake ones she had to make herselffrom shells, gumnuts, pompoms","Mary and Max"
"12",222160,227080,"and the chicken bones salvagedfrom Friday night's takeaway.","Mary and Max"
"13",227080,231080,"She had to make all her own toys,and her favourites were Shrinkies","Mary and Max"
"14",231080,235232,"potato chip packets thatshe had shrunk in the oven.","Mary and Max"
"15",239000,242160,"Mary's father, Noel Norman Dinkle,","Mary and Max"
"16",242160,245440,"worked in a factory,attaching the strings to tea bags.","Mary and Max"
"17",247000,249320,"At show and tell, she told the class","Mary and Max"
"18",249320,254440,"he could get as many free tea bagsas he wanted.","Mary and Max"
"19",254440,258200,"Her favourite tea bag was Earl Grey.","Mary and Max"
"20",258200,262360,"She loved saying ""Earl Grey""","Mary and Max"
"21",262360,267520,"and would like one day to marrysomeone called Earl Grey.","Mary and Max"
"22",269120,270951,"They would livein a castle in Scotland,","Mary and Max"
"23",271080,273560,"have 9 babies, 2 ducks...","Mary and Max"
"24",273560,275360,"..and a dog called Kevin.","Mary and Max"
"25",277760,281480,"Noel's hobby was to sit in his shedand drink Baileys lrish Cream","Mary and Max"
"26",281480,286480,"and stuff birds he'd foundon the side of the freeway.","Mary and Max"
"27",286480,293080,"Mary wished he'd spend more timewith her and less with his dead friends.","Mary and Max"
"28",293080,296720,"She also wished she hadsome brothers and sisters.","Mary and Max"
