"id","startTime","endTime","text","title"
"1",1000,4073,"Subtitles downloaded from Podnapisi.NET","Matrix Revolutions"
"2",79250,80219,"I got nothing, Sir.","Matrix Revolutions"
"3",80950,82750,"No sign of Niobe or Ghost.","Matrix Revolutions"
"4",83039,84810,"Nothin' but blue pills.","Matrix Revolutions"
"5",84900,86539,"Should we jack in and try to contact them?","Matrix Revolutions"
"6",86609,88810,"It won't matter, my gut says they're down.","Matrix Revolutions"
"7",88810,92250,"Then we should start back. No, if that ship can still fly, we need it.","Matrix Revolutions"
"8",92259,93609,"I was afraid you were gonna say that.","Matrix Revolutions"
"9",93620,97420,"Search every pipe, every hole, every crack we know. Sweep as wide as possible...","Matrix Revolutions"
"10",97530,98659,"...as fast as possible.","Matrix Revolutions"
"11",98890,100920,"Captain, these lines are crawling with calamari.","Matrix Revolutions"
"12",101109,103549,"The sooner we find them, the better.","Matrix Revolutions"
"13",109020,110659,"Thought you could use something to eat","Matrix Revolutions"
"14",111020,112060,"Thank you","Matrix Revolutions"
"15",113099,115099,"Any change?","Matrix Revolutions"
"16",116229,117829,"No.","Matrix Revolutions"
"17",119759,122859,"How's he? He's gonna be fine.","Matrix Revolutions"
"18",123430,125549,"At least until he wakes up.","Matrix Revolutions"
"19",126459,127349,"What do you mean?","Matrix Revolutions"
"20",127450,130400,"Captain has some questions for him.","Matrix Revolutions"
"21",130750,133020,"He had better have some good answers.","Matrix Revolutions"
"22",133080,134590,"You see these cuts?","Matrix Revolutions"
"23",135000,136270,"I think they're self-inflicted.","Matrix Revolutions"
"24",136289,138539,"Why? VDTs maybe.","Matrix Revolutions"
"25",138560,140479,"I don't know.","Matrix Revolutions"
"26",140490,142449,"But like I said...","Matrix Revolutions"
"27",142500,145229,"The answer had better be good.","Matrix Revolutions"
"28",146770,150120,"Roland, I'd like to run another search through the Matrix.","Matrix Revolutions"
"29",150120,151729,"For what?","Matrix Revolutions"
"30",151729,152770,"For Neo.","Matrix Revolutions"
"31",152870,156030,"How can he be in the Matrix, Sir? He's not plugged in.","Matrix Revolutions"
"32",156280,158360,"Please, for me.","Matrix Revolutions"
"33",168009,172280,"This is what keeps bothering me. What?","Matrix Revolutions"
"34",173689,177150,"His neural patterns don't read like someone who's in a coma.","Matrix Revolutions"
"35",177420,180050,"The strange thing is, I see these patterns all the time.","Matrix Revolutions"
"36",180099,181270,"Where?","Matrix Revolutions"
"37",181319,183830,"On someone jacked in.","Matrix Revolutions"
"38",194830,196500,"A big bubkis, nada.","Matrix Revolutions"
"39",197150,198110,"He's not in there.","Matrix Revolutions"
"40",198229,200719,"Sir, I got the projections. How long?","Matrix Revolutions"
"41",200969,203150,"Based on the point of entry and the past speed, it looks...","Matrix Revolutions"
"42",203150,205750,"...like the machines will be in Zion in just 20 hours.","Matrix Revolutions"
"43",205759,207829,"Jesus H. Christ.","Matrix Revolutions"
"44",208810,211210,"Alright lets move with a purpose.","Matrix Revolutions"
"45",211250,213699,"AK get upstairs, I want you on holographics.","Matrix Revolutions"
"46",213789,217170,"Mauser, I want forward and aft guns manned at all times.","Matrix Revolutions"
"47",217229,219710,"Make sure we're running on as few pads as possible.","Matrix Revolutions"
"48",219780,220360,"Yes, Sir.","Matrix Revolutions"
"49",220479,221360,"Hey! Hey!","Matrix Revolutions"
"50",221689,223370,"You got a call!","Matrix Revolutions"
"51",225039,227129,"Operator.","Matrix Revolutions"
"52",227689,229800,"It's Seraph.","Matrix Revolutions"
"53",231110,232770,"I bring word from the Oracle.","Matrix Revolutions"
"54",232780,234550,"You must come at once.","Matrix Revolutions"
