"id","startTime","endTime","text","title"
"1",35799,37164,"This is your lunch, OK?","Mean Girls"
"2",37368,39338,"Now, I put a dollar in thereso you can buy some milk.","Mean Girls"
"3",39536,41231,"You can ask one of the big kidswhere to do that.","Mean Girls"
"4",41439,43906,"You remember your phone number?I wrote it down for you, just in case.","Mean Girls"
"5",44107,46598,"Put it in your pocket,I don't want you to lose it.","Mean Girls"
"6",47078,49569,"OK? You ready?","Mean Girls"
"7",50280,52043,"I think so.","Mean Girls"
"8",54185,56118,"It's Cady's big day.","Mean Girls"
"9",56554,59545,"I guess it's natural for parents to cryon their kid's first day of school.","Mean Girls"
"10",59756,62418,"But, you know, this usuallyhappens when the kid is 5.","Mean Girls"
"11",62627,65959,"I'm 16 and until today,I was home-schooled.","Mean Girls"
"12",66162,69132,"I know what you're thinking.""Home-schooled kids are freaks.""","Mean Girls"
"13",69332,73962,"X-Y-L-O-C-A-R-P.Xylocarp.","Mean Girls"
"14",74170,76468,"Or that we're weirdly religiousor something.","Mean Girls"
"15",76740,81177,"And on the third day, God createdthe Remington bolt-achion rifle","Mean Girls"
"16",81379,83778,"so that Man could fight the dinosaurs.","Mean Girls"
"17",83980,85777,"And the homosexuals.","Mean Girls"
"18",85983,87382,"- Amen.- Amen.","Mean Girls"
"19",87585,88984,"But my family's totally normal.","Mean Girls"
"20",89186,92155,"Except for the fact that both myparents are research zoologists","Mean Girls"
"21",92456,94480,"and we've spent the last12 years in Africa.","Mean Girls"
"22",94792,96054,"I had a great life.","Mean Girls"
"23",96394,98623,"But then my mom got offered tenureat Northwestern University.","Mean Girls"
"24",98962,103194,"So it was goodbye Africaand hello high school.","Mean Girls"
"25",105503,107094,"I'm OK. Sorry.","Mean Girls"
"26",107305,108704,"I'll be careful.","Mean Girls"
"27",134598,135962,"Hi.","Mean Girls"
"28",136167,138032,"I don't know if anyonetold you about me.","Mean Girls"
"29",138235,140533,"I'm a new student here.My name is Cady Heron.","Mean Girls"
"30",140737,143604,"Talk to me againand I'll kick your ass.","Mean Girls"
"31",148079,151639,"You don't wanna sit there. KristenHadley's boyfriend is gonna sit there.","Mean Girls"
"32",152783,154647,"Hey, baby.","Mean Girls"
"33",161491,162719,"He farts a lot.","Mean Girls"
"34",172168,173864,"Hey, everybody.","Mean Girls"
