"id","startTime","endTime","text","title"
"1",48960,50598,"You got him! You got him!","Million Dollar Baby"
"2",64120,67237,"Only ever met one man I wouldn't want to fight.","Million Dollar Baby"
"3",67320,68673,"I can't stop that.","Million Dollar Baby"
"4",68760,70591,"Here. Get out of here, you useless tit.","Million Dollar Baby"
"5",70680,73797,"When I met him, he was alreadythe best cut man in the business.","Million Dollar Baby"
"6",73880,75074,"Can you stop it?","Million Dollar Baby"
"7",75160,78630,"Started training and managing in the '60s,but he never lost his gift.","Million Dollar Baby"
"8",78720,79755,"No.","Million Dollar Baby"
"9",87680,89511,"Let me have a look at him.","Million Dollar Baby"
"10",89600,91318,"He's fine. He's fine.","Million Dollar Baby"
"11",91400,93595,"Well, he ain't if you don't stop this bleeding.","Million Dollar Baby"
"12",93680,95159,"I'll give you one more round.","Million Dollar Baby"
"13",96200,97758,"Seconds out. Let's go.","Million Dollar Baby"
"14",97840,100035,"What do we do? Tell me what to do.","Million Dollar Baby"
"15",100120,102156,"You let him hit you.","Million Dollar Baby"
"16",104600,107433,"Sometimes there's just nothing you can do.","Million Dollar Baby"
"17",108200,110589,"Cut's too wide too close to the bone.","Million Dollar Baby"
"18",111920,113512,"Maybe you got a severed vein,","Million Dollar Baby"
"19",113600,116751,"or you just can't get the coagulant deep enough.","Million Dollar Baby"
"20",118640,121791,"There are all kindsof combinations you come up against","Million Dollar Baby"
"21",121880,124269,"down in the different layers of meat,","Million Dollar Baby"
"22",124360,126271,"and Frankie knew how to work every one.","Million Dollar Baby"
"23",151120,154032,"People love violence.","Million Dollar Baby"
"24",154560,157154,"They slow down at a car wreckto check for bodies.","Million Dollar Baby"
"25",157200,159475,"Same people claim to love boxing.","Million Dollar Baby"
"26",159560,162233,"They got no idea what it is.","Million Dollar Baby"
"27",162320,164470,"Boxing is about respect -","Million Dollar Baby"
"28",164560,166391,"getting it for yourself,","Million Dollar Baby"
"29",166480,169074,"and taking it away from the other guy.","Million Dollar Baby"
"30",173200,174872,"I'll warm up the car.","Million Dollar Baby"
"31",174960,176473,"Mr. Dunn?","Million Dollar Baby"
"32",176560,178551,"Hmm. I owe you money?","Million Dollar Baby"
"33",178640,179834,"No, sir.","Million Dollar Baby"
"34",179920,181273,"I know your mama?","Million Dollar Baby"
"35",181360,183316,"Don't rightly know, sir.","Million Dollar Baby"
"36",183400,184799,"Then what is it you want?","Million Dollar Baby"
"37",184880,187519,"I was on the undercard. I won my fight, too.","Million Dollar Baby"
"38",187600,188953,"Maggie Fitzgerald.","Million Dollar Baby"
"39",189040,191508,"Well, Maggie Fitzgerald, what's up?","Million Dollar Baby"
"40",191600,193113,"Did you happen to see it?","Million Dollar Baby"
"41",193200,195475,"- Nope.- I did pretty good.","Million Dollar Baby"
"42",195560,197915,"Thought you mightbe interested in training me.","Million Dollar Baby"
"43",198000,199718,"I don't train girls.","Million Dollar Baby"
"44",199800,203509,"Maybe you should.People see me fight say I'm pretty tough.","Million Dollar Baby"
"45",203600,206353,"Girlie, tough ain't enough.","Million Dollar Baby"
"46",219680,221477,"It's a mistake.","Million Dollar Baby"
"47",226480,228675,"Car should be able to back up, Frankie.","Million Dollar Baby"
"48",228760,231194,"Just push, will you?","Million Dollar Baby"
"49",231280,233271,"What did Hogan want?","Million Dollar Baby"
"50",233360,234873,"Offered us a title shot.","Million Dollar Baby"
"51",234960,238077,"- 'Bout time.- I turned him down flat.","Million Dollar Baby"
"52",238160,241948,"Two or three more fights, you'll be ready.","Million Dollar Baby"
"53",246000,249436,"Been two or three more fightsfor a long time now, Frankie.","Million Dollar Baby"
"54",249520,251954,"Look, Willie, you get one shot at the title.","Million Dollar Baby"
"55",252040,254031,"You lose it, it may not come around again.","Million Dollar Baby"
"56",254120,258113,"Now, two or three more fights,and we'll be ready.","Million Dollar Baby"
"57",258200,260156,"Whatever you say, Frankie.","Million Dollar Baby"
"58",261520,265399,"Frankie liked to saythat boxing is an unnatural act,","Million Dollar Baby"
"59",265480,268199,"that everything in boxing is backwards.","Million Dollar Baby"
"60",270360,272316,"Sometimes,","Million Dollar Baby"
"61",272400,274595,"best way to deliver a punch is step back.","Million Dollar Baby"
"62",283440,288639,"Well, do your best, Lord, to... protect Katy.","Million Dollar Baby"
"63",288720,290472,"Annie, too.","Million Dollar Baby"
"64",291600,294717,"Other than that... you know what I want.","Million Dollar Baby"
"65",294800,297439,"There's no use me repeating myself.","Million Dollar Baby"
"66",297520,302116,"But step back too far you ain't fightin' at all.","Million Dollar Baby"
"67",315720,317676,"Thank you for your prayers.","Million Dollar Baby"
"68",317760,319716,"- Bye.- Goodbye.","Million Dollar Baby"
"69",319800,322189,"Hey, Father, that was a great sermon.","Million Dollar Baby"
"70",322280,323679,"Made me weep.","Million Dollar Baby"
"71",323760,325432,"What's confusing you this week?","Million Dollar Baby"
"72",325520,327988,"Oh, it's the same old one God, three God thing.","Million Dollar Baby"
"73",328080,331197,"Frankie, most people figure outby kindergarten it's about faith.","Million Dollar Baby"
"74",331280,335671,"Is it sort of like Snap, Crackle and Popall rolled up in one big box?","Million Dollar Baby"
"75",335760,339878,"You're standing outside my churchcomparing God to Rice Krispies?","Million Dollar Baby"
"76",339960,343669,"You only come to Mass every day to wind meup. It's not going to happen this morning.","Million Dollar Baby"
"77",343760,344829,"Well, I'm confused.","Million Dollar Baby"
"78",344920,346273,"- No, you aren't.- Yes, I am.","Million Dollar Baby"
"79",346360,349238,"Then here's your answer: There's one God.","Million Dollar Baby"
"80",349320,351072,"Anything else? Cos I'm busy.","Million Dollar Baby"
"81",351160,353754,"- What about the Holy Ghost?- An expression of God's love.","Million Dollar Baby"
"82",353840,356229,"- And Jesus?- Son of God. Don't play stupid.","Million Dollar Baby"
"83",356320,359039,"Well, what is he, then?Does that make him a demigod?","Million Dollar Baby"
"84",359120,361509,"There are no demigods, you fuckin' pagan!","Million Dollar Baby"
"85",366480,368311,"Did you write to your daughter?","Million Dollar Baby"
"86",368400,369435,"Absolutely.","Million Dollar Baby"
"87",369520,372637,"Now you're lying to a priest.You know what? Take a day off.","Million Dollar Baby"
"88",372720,374676,"Don't come to Mass tomorrow.","Million Dollar Baby"
"89",383440,387956,"Some people'd say the mostimportant thing a fighter can have is heart.","Million Dollar Baby"
"90",389040,392316,"Frankie'd say,""Show me a fighter with nothing but a heart,","Million Dollar Baby"
"91",392400,395233,"and I'll show you a man waiting for a beating. ""","Million Dollar Baby"
"92",402960,406509,"Think I only ever met one fighterwho was all heart.","Million Dollar Baby"
"93",407600,409591,"My name's Dangerous Dillard","Million Dollar Baby"
"94",409680,413798,"Fightin' Flippo Bam-Bam Barchout of Broward County, Texas!","Million Dollar Baby"
"95",415440,418671,"Danger showed up a couple of years back.","Million Dollar Baby"
"96",419760,424629,"He'd come visiting LA with Ervel,his mama's new boyfriend.","Million Dollar Baby"
"97",424720,429748,"Apparently Ervel got lostand ended up back in Texas.","Million Dollar Baby"
"98",429840,434914,"Danger looked for him for about a week'fore he introduced himself.","Million Dollar Baby"
"99",436080,440995,"Hey. You know, I gots nothin' against niggers...","Million Dollar Baby"
"100",442480,444198,"Well, that's nice to hear.","Million Dollar Baby"
"101",444280,445633,"Yeah. Yeah.","Million Dollar Baby"
"102",445720,448871,"Lots of people where I comes from does,","Million Dollar Baby"
"103",448960,453909,"but my mama taught me not to cause hurtto no man, niggers or not.","Million Dollar Baby"
"104",454000,456958,"You got a nice mama.Anything else I can do for you?","Million Dollar Baby"
"105",457040,461079,"Just one of those questions,but Danger wanted to give it his best answer.","Million Dollar Baby"
