"id","startTime","endTime","text","title"
"1",38853,43232,"Well, Dmitri,every search for a hero...","Mission: Impossible II"
"2",43482,48320,"must begin with somethingthat every hero requires...","Mission: Impossible II"
"3",48405,50156,"a villain.","Mission: Impossible II"
"4",50406,55078,"Therefore, in the searchfor our hero, Bellerophon,","Mission: Impossible II"
"5",55328,57716,"we created a monster,","Mission: Impossible II"
"6",60000,61328,"Chimera.","Mission: Impossible II"
"7",65480,67882,"I beg you, Dmitri,come to Sydney...","Mission: Impossible II"
"8",68132,70885,"and accompany meto Atlanta immediately.","Mission: Impossible II"
"9",71135,74263,"However we travel,I must arrive at my destination...","Mission: Impossible II"
"10",74513,78001,"within 20 hours of departure.","Mission: Impossible II"
"11",89695,92115,"## Ring around the rosies #","Mission: Impossible II"
"12",92365,94992,"# A pocket full of posies #","Mission: Impossible II"
"13",95242,97662,"# Ashes, ashes #","Mission: Impossible II"
"14",97912,100875,"# They all fall down ##","Mission: Impossible II"
"15",109132,111585,"Folks, we'retwo-and-a-half hours from Atlanta.","Mission: Impossible II"
"16",111634,114972,"Look out your window now. We havea great view of the Rocky Mountains.","Mission: Impossible II"
"17",116621,120769,"You keep staring at that watch as ifyour life depended on it, Doctor.","Mission: Impossible II"
"18",121019,122771,"Oh, yes.","Mission: Impossible II"
"19",123421,125531,"I suppose I'm a bit anxious.","Mission: Impossible II"
"20",125981,127817,"You'll soon be with old friends.","Mission: Impossible II"
"21",128568,130887,"I'm with an old friend now, Dmitri.","Mission: Impossible II"
"22",132336,135008,"I'm sorry it couldn't beunder happier circumstances.","Mission: Impossible II"
"23",135258,139663,"I'm sorry too.You are sorry, and I am sorry.","Mission: Impossible II"
"24",143082,145752,"You don't know Gradskithought the world of you.","Mission: Impossible II"
"25",146002,149131,"Did he... know...","Mission: Impossible II"
"26",149781,152241,"before the endthat you two had succeeded?","Mission: Impossible II"
"27",152491,155161,"Yes, he knew. Just...","Mission: Impossible II"
"28",155711,157913,"Not in time to save him.","Mission: Impossible II"
"29",158463,159783,"No.","Mission: Impossible II"
"30",159933,165587,"After you've been infected with Chimerafor 20 hours, nothing can save you.","Mission: Impossible II"
"31",165838,168266,"Not even Bellerophon.","Mission: Impossible II"
"32",168917,173680,"You can carry themtogether... safely?","Mission: Impossible II"
"33",173729,174781,"Yes.","Mission: Impossible II"
"34",175932,180437,"And you'll get us to safe placewith them in Atlanta, thank God.","Mission: Impossible II"
"35",181187,184057,"This is your captain again.We've experienced a slight...","Mission: Impossible II"
"36",184108,186367,"but abrupt drop in cabin pressure.","Mission: Impossible II"
"37",186418,188945,"As a precaution,I've released the oxygen masks.","Mission: Impossible II"
"38",189197,192549,"- Please put them on and sit back, relax.","Mission: Impossible II"
