"id","startTime","endTime","text","title"
"1",30446,32914,"We've put an explosive chargein your head.","Mission: Impossible III"
"2",39121,40817,"Does that sound familiar?","Mission: Impossible III"
"3",44060,46256,"The Rabbit's Foot. Where is it?","Mission: Impossible III"
"4",47363,48990,"I gave it to you.","Mission: Impossible III"
"5",49131,52124,"Ethan, where's the Rabbit's Foot?","Mission: Impossible III"
"6",52802,56000,"Wait... What are you saying?That wasn't it?","Mission: Impossible III"
"7",56573,59770,"- What I gave you, was that...- I'm going to count to 10.","Mission: Impossible III"
"8",59875,63936,"You're going to tell mewhere the Rabbit's Foot is or she dies.","Mission: Impossible III"
"9",71987,74353,"Jules, it's going to be okay.","Mission: Impossible III"
"10",75525,78118,"It's going to be okay.Do you understand?","Mission: Impossible III"
"11",79262,80388,"One.","Mission: Impossible III"
"12",80664,83792,"You listen to me.I got exactly what you asked for.","Mission: Impossible III"
"13",83900,86164,"Did you want something else?","Mission: Impossible III"
"14",86703,88432,"If there was a misunderstanding,I will fix it.","Mission: Impossible III"
"15",88537,90438,"I can get it, whatever you want.","Mission: Impossible III"
"16",90539,91700,"Two.","Mission: Impossible III"
"17",92209,95234,"Listen. Talk to me. We can talk,","Mission: Impossible III"
"18",95579,97137,"like gentlemen.","Mission: Impossible III"
"19",99049,101073,"- Three.- God!","Mission: Impossible III"
"20",110259,112888,"All right. All right, all right.","Mission: Impossible III"
"21",114430,116921,"I know where the Rabbit's Foot is.","Mission: Impossible III"
"22",118134,119260,"I can help you.","Mission: Impossible III"
"23",119368,122031,"The way you helped meon the airplane?","Mission: Impossible III"
"24",122539,123801,"That way?","Mission: Impossible III"
"25",124307,126831,"You put the gun down.I'm not talking to you like this.","Mission: Impossible III"
"26",126942,129377,"That's your choice. Four.","Mission: Impossible III"
"27",130781,132338,"The Rabbit's Foot's in Paris.","Mission: Impossible III"
"28",132449,135179,"You want to know where in Paris?Then let her go.","Mission: Impossible III"
"29",135284,138378,"- 'Cause you will not...- It's not in Paris. Five.","Mission: Impossible III"
"30",140289,141917,"I can get it for you.","Mission: Impossible III"
"31",142025,143925,"But you kill her, you do this,you get nothing.","Mission: Impossible III"
"32",144026,146257,"- Six.- Are you listening to me?","Mission: Impossible III"
"33",146362,149526,"The only way you're goingto get what you want is for you to...","Mission: Impossible III"
"34",149633,151725,"- Do you think I'm playing?- Son of a bitch!","Mission: Impossible III"
"35",151835,154167,"Do you think I'm playing?You don't think I'll do it?","Mission: Impossible III"
"36",154271,156102,"Where is it? Where the hell is it?","Mission: Impossible III"
"37",156206,157673,"- Look at me.- Where the hell is it?","Mission: Impossible III"
"38",157774,160174,"- Stay with me.- Seven! Seven!","Mission: Impossible III"
"39",160310,164804,"I am going to kill you.I swear to God I'm going to kill you!","Mission: Impossible III"
"40",164948,166973,"- Eight!- No, please.","Mission: Impossible III"
"41",172222,175817,"Please. Don't do this. Just let her go.","Mission: Impossible III"
"42",177461,180759,"I promise you. I promise you.","Mission: Impossible III"
"43",180864,183526,"- I can figure out how to get whatever...- Nine.","Mission: Impossible III"
"44",184700,186828,"Listen to me. Listen to me.","Mission: Impossible III"
"45",188504,190301,"I want to help you.","Mission: Impossible III"
"46",190574,193134,"I want to help you getwhatever you want.","Mission: Impossible III"
"47",193242,196939,"But you got to do what's right.What you know is right.","Mission: Impossible III"
"48",203186,205813,"No. No.","Mission: Impossible III"
"49",209558,210616,"No.","Mission: Impossible III"
"50",210727,211594,"- Ten.- Don't!","Mission: Impossible III"
"51",211594,212151,"- Ten.- Don't!","Mission: Impossible III"
"52",250432,252366,"- What are you doing?- Your brother wants another one.","Mission: Impossible III"
"53",252468,254129,"Oh, God, no.Ethan, that's what we talked about...","Mission: Impossible III"
"54",254236,256204,"- I'm watching him. He's fine.- That's how it is with Rick.","Mission: Impossible III"
"55",256305,258865,"He's fine and then suddenly he's nakedand he's hugging everybody.","Mission: Impossible III"
"56",258975,261841,"- I'll take full responsibility for Rick.- You will? Full?","Mission: Impossible III"
"57",261944,264435,"- Well, mostly full.- It's a huge responsibility.","Mission: Impossible III"
"58",264548,266105,"It's going well, right?","Mission: Impossible III"
"59",266216,268514,"- It's going really well.- Yeah.","Mission: Impossible III"
"60",269653,271348,"Julia, your sister's here.","Mission: Impossible III"
"61",271788,274255,"- Give me a hug.- You look so beautiful.","Mission: Impossible III"
"62",274391,276449,"I don't know about that. So, is this him?","Mission: Impossible III"
"63",276560,279187,"- I hope so.- Oh, come here. Oh, gosh.","Mission: Impossible III"
"64",280062,281860,"All right. Mom's dying to see you.","Mission: Impossible III"
"65",281965,283990,"I can't believeyou guys came all the way to Virginia.","Mission: Impossible III"
"66",284100,285327,"Like we'd miss your engagement...","Mission: Impossible III"
"67",285435,289269,"When Julia called and told methat she was getting married,","Mission: Impossible III"
"68",289406,292375,"I had one thought,that it was just too bad","Mission: Impossible III"
"69",293442,296742,"that Daddy wasn't hereto walk her down the aisle.","Mission: Impossible III"
"70",297314,300077,"And then when Julia told me...Thanks, Mom.","Mission: Impossible III"
"71",300182,302651,"That Ethan doesn't havehis parents anymore, either,","Mission: Impossible III"
"72",302752,304548,"I got really sad.","Mission: Impossible III"
"73",304653,308817,"But it occurred to methat this is about starting a new family","Mission: Impossible III"
