"id","startTime","endTime","text","title"
"1",93110,94403,"Good evening.","Monsieur Verdoux"
"2",94611,96863,"As you see, my name is Henri Verdoux.","Monsieur Verdoux"
"3",97155,101200,"For 30 years, I was a bank clerk,until the Depression of 1930,","Monsieur Verdoux"
"4",101451,103869,"when I found myself unemployed.","Monsieur Verdoux"
"5",104036,108665,"Then I became occupied in liquidatingmembers of the opposite sex.","Monsieur Verdoux"
"6",108916,113628,"It was a strictly business enterpriseto support a home and family.","Monsieur Verdoux"
"7",113795,118507,"Let me assure you, the career ofa Bluebeard is by no means profitable.","Monsieur Verdoux"
"8",118799,123470,"Only a person with undaunted optimismwould embark on such a venture.","Monsieur Verdoux"
"9",123637,125639,"Unfortunately, I did.","Monsieur Verdoux"
"10",125805,127765,"What follows is history.","Monsieur Verdoux"
"11",163338,164297,"Jean?","Monsieur Verdoux"
"12",164506,168051,"- What?- Postman. Might be from your sister.","Monsieur Verdoux"
"13",168217,169302,"Yes, it might.","Monsieur Verdoux"
"14",169469,172012,"Can't you put that book down and see?","Monsieur Verdoux"
"15",172221,173222,"I can't.","Monsieur Verdoux"
"16",173430,175474,"Don't talk that way to your sister.","Monsieur Verdoux"
"17",175641,178018,"Close your mouth. It causes a draft.","Monsieur Verdoux"
"18",178268,181938,"- Do as you're told!- He won't do a thing, Phoebe.","Monsieur Verdoux"
"19",182146,184148,"- He should have to!- Who'll make me?","Monsieur Verdoux"
"20",184315,186650,"If your father was alive,he'd make you.","Monsieur Verdoux"
"21",187901,190946,"Keep your big feet to yourself,not all over the floor.","Monsieur Verdoux"
"22",191154,193114,"What about your two submarines?","Monsieur Verdoux"
"23",193323,194824,"Get up. Do as you're told!","Monsieur Verdoux"
"24",195033,197034,"Get your husband up. I'm reading.","Monsieur Verdoux"
"25",197243,199662,"Don't bother. I'll do it, Carlotta.","Monsieur Verdoux"
"26",206918,209045,"There. Now, look what you've done!","Monsieur Verdoux"
"27",209212,211964,"If you'd gone,it wouldn't have happened.","Monsieur Verdoux"
"28",212548,214842,"Alright, I'll answer it.","Monsieur Verdoux"
"29",216134,218887,"- Hold this.- Phoebe, be more careful.","Monsieur Verdoux"
"30",219095,220805,"It was an accident.","Monsieur Verdoux"
"31",221055,224058,"- Look where you're going.- You should both look!","Monsieur Verdoux"
"32",224308,228645,"- I did. Lena got in the way.- Alright, don't shriek.","Monsieur Verdoux"
"33",230730,232273,"Hey, what the -","Monsieur Verdoux"
"34",232524,235902,"- You old fool!- Don't insult me. I'm not your wife.","Monsieur Verdoux"
"35",236152,238529,"No, one's enough in this family.","Monsieur Verdoux"
"36",238737,241198,"If you don't like this family,you can go.","Monsieur Verdoux"
"37",242032,244409,"Don't worry, some day I'll do it.","Monsieur Verdoux"
"38",245869,249038,"- What is it, anyway?- From the Paris National Bank.","Monsieur Verdoux"
"39",256920,259172,"- I knew it.- Now what?","Monsieur Verdoux"
"40",259339,261758,"- The bank returned our letter.- Letter?","Monsieur Verdoux"
"41",261966,265845,"To Thelma. She's closed her accountand left no address.","Monsieur Verdoux"
"42",266053,268013,"- We should tell the police.- Why?","Monsieur Verdoux"
"43",268222,271600,"It's not like Thelmato cut herself off from her family.","Monsieur Verdoux"
"44",271850,274227,"Thelma can take care of herself.","Monsieur Verdoux"
"45",274394,276938,"A woman of 50 flitting off to Paris,","Monsieur Verdoux"
"46",277146,279690,"marrying a man she's known two weeks?","Monsieur Verdoux"
"47",279898,283860,"- Don't run to the police.- We've had no word in three months.","Monsieur Verdoux"
"48",284069,286404,"So what? She's on her honeymoon.","Monsieur Verdoux"
"49",286571,288448,"Hah! Honeymoon.","Monsieur Verdoux"
"50",288614,291534,"Who'd honeymoonthree months with Thelma?","Monsieur Verdoux"
"51",291742,295746,"I don't like her withdrawingall her money. That's not Thelma.","Monsieur Verdoux"
"52",295954,299791,"- He's got it all by now.- He'd have a job to get it from her.","Monsieur Verdoux"
"53",300041,302043,"Look what he's done already.","Monsieur Verdoux"
"54",302335,306755,"She's left home, sold her businessand married him, all in two weeks.","Monsieur Verdoux"
