"id","startTime","endTime","text","title"
"1",1000,4073,"Subtitles downloaded from Podnapisi.NET","Monsters University"
"2",59978,61228,"The neck bone's connected","Monsters University"
"3",61311,62689,"To the head bone","Monsters University"
"4",62771,65316,"The head bone's connectedto the horn bone","Monsters University"
"5",65400,67986,"The horn bone's right abovethe wing bones","Monsters University"
"6",73783,75325,"- I scared you!- No, you didn't.","Monsters University"
"7",75492,77370,"Okay! Remember our field trip rules,everyone.","Monsters University"
"8",77537,80164,"No pushing, no biting,and no fire breathing!","Monsters University"
"9",80706,82292,"What did I just say?","Monsters University"
"10",82542,83876,"Eighteen, nineteen...","Monsters University"
"11",83960,86170,"Okay, we're missing one.Who are we missing?","Monsters University"
"12",87838,89674,"Mike Wazowski.","Monsters University"
"13",90591,91676,"Thanks, Joe.","Monsters University"
"14",91760,93510,"Good luck finishingyour crossword puzzle.","Monsters University"
"15",93762,96680,"- Sorry, Michael. I didn't see you.- That's okay.","Monsters University"
"16",96847,99349,"When I was on the bus, I found a nickel!","Monsters University"
"17",99683,101102,"I wish I had pockets.","Monsters University"
"18",101269,104229,"Okay, everyone, partner up.Get your field trip buddy.","Monsters University"
"19",105481,108609,"Jeremy! You and me? Okay, no biggie.","Monsters University"
"20",108777,112739,"Hailey? No? Pairing up with Claire?Great choice. She's a good egg.","Monsters University"
"21",112906,114115,"Russell.","Monsters University"
"22",114783,116617,"Mike? Wazowski?","Monsters University"
"23",117534,118703,"We car-pool?","Monsters University"
"24",119662,121581,"- We're cousins.- Hey!","Monsters University"
"25",121664,123792,"Okay. Good catching up.","Monsters University"
"26",123957,126753,"Well, Michael, it looks likeit's you and me again.","Monsters University"
"27",132592,134218,"Come on, Karen. We're falling behind.","Monsters University"
"28",134301,135969,"Please don't call me Karen.","Monsters University"
"29",141391,142894,"Now, stay close together.","Monsters University"
"30",143186,145979,"We're entering a very dangerous area.","Monsters University"
"31",146146,148816,"Welcome to the Scare Floor.","Monsters University"
"32",153570,156156,"This is wherewe collect the Scream Energy","Monsters University"
"33",156324,158158,"to power our whole world.","Monsters University"
"34",158242,161454,"And can anyone tell mewhose job it is to go get that scream?","Monsters University"
"35",161746,163831,"- Scarers!- That's right!","Monsters University"
"36",163914,166334,"Now, which one of you cangive me the scariest roar?","Monsters University"
"37",166501,167627,"Me, me, me!","Monsters University"
"38",167835,171381,"Sir! Right here!Little green guy, two o'clock!","Monsters University"
"39",171463,173049,"No, it's like this.","Monsters University"
"40",173132,174466,"Hey, guys, watch this one.","Monsters University"
"41",174550,175550,"Hey, I got a really good...","Monsters University"
"42",192693,193902,"Whoa.","Monsters University"
"43",195445,197990,"Well, hey there, kids.Are you on a tour with your school?","Monsters University"
"44",198115,199116,"- Yeah!- Yes.","Monsters University"
"45",199283,203204,"We're here to learn about ScreamEnergy and what it takes to be a Scarer.","Monsters University"
"46",203454,207457,"Well, hey, you're in luck,because I just happen to be a Scarer.","Monsters University"
"47",207542,209544,"I learned everythingI know from my school,","Monsters University"
"48",209711,211378,"Monsters University.","Monsters University"
"49",211461,212713,"Whoa.","Monsters University"
"50",212963,214048,"It's the best Scaring School there is.","Monsters University"
"51",214132,216300,"You wish! Fear Tech's the best.","Monsters University"
"52",216634,220346,"Okay. You guys watch us and tell mewhich school's the best. All right?","Monsters University"
"53",220888,222014,"MU is.","Monsters University"
"54",224850,226144,"Let's go, everybody!","Monsters University"
"55",226227,227895,"West coast coming online.","Monsters University"
"56",227978,229604,"Scarers coming out.","Monsters University"
"57",229813,231064,"Oops. Stop right there.","Monsters University"
"58",231316,233067,"Don't cross over that safety line.","Monsters University"
"59",233151,235819,"Human children are extremely toxic.","Monsters University"
"60",236987,238489,"Look at that!","Monsters University"
"61",238656,240866,"Whoa! Hey, guys, watch the eye! Ow!","Monsters University"
"62",240991,242367,"Look at that! It's amazing!","Monsters University"
"63",242451,243661,"I know!","Monsters University"
"64",244245,245246,"Excuse me. Fellas.","Monsters University"
"65",245496,247748,"How about we dotallest in the back?","Monsters University"
"66",249584,252419,"Look, he's going to do a real Scare!","Monsters University"
"67",254921,257341,"- Cool. I want to be a Scarer.- Yeah. Me, too.","Monsters University"
"68",257466,258675,"Come on, guys. I want to see.","Monsters University"
"69",258884,262846,"Out of the way, Wazowski.You don't belong on a Scare Floor.","Monsters University"
"70",271521,273941,"Brian! Do not step over the line.","Monsters University"
"71",274024,276860,"Mrs. Graves,Michael went over the line.","Monsters University"
"72",278362,280197,"Michael!","Monsters University"
"73",316233,317901,"See? I told you. He's fine.","Monsters University"
"74",318151,320278,"Well, I thought I heard something.","Monsters University"
"75",345430,346514,"What?","Monsters University"
"76",350768,352519,"Are you okay?","Monsters University"
"77",352728,354689,"You could have gotten hurt!","Monsters University"
"78",355189,357524,"I don't understandhow this could happen!","Monsters University"
"79",359526,362697,"That was real dangerous, kid.I didn't even know you were in there.","Monsters University"
"80",366367,369704,"Wow. I didn't even knowyou were in there.","Monsters University"
"81",371581,372956,"Not bad, kid.","Monsters University"
"82",375125,377295,"Michael, what do you haveto say for yourself?","Monsters University"
"83",379963,382925,"How do I become a Scarer?","Monsters University"
"84",433100,434685,"Monsters University!Anybody getting off?","Monsters University"
"85",438689,440774,"Well, everyone,I don't mean to get emotional,","Monsters University"
"86",440858,443360,"but everything in my lifehas led to this moment.","Monsters University"
"87",443444,445153,"Let it not bejust the beginning of my dream","Monsters University"
"88",445237,446906,"but the beginning of all of our dreams.","Monsters University"
"89",446988,448949,"Gladys, promise meyou'll keep auditioning.","Monsters University"
"90",449033,451117,"Marie, Mr. Rightis out there somewhere.","Monsters University"
"91",451369,453495,"Phil, keep using the ointmenttill that thing goes away.","Monsters University"
"92",453745,456374,"I wish you all the best.Thank you all so much!","Monsters University"
"93",460545,463838,"I'm welling up with tears. Now, get off.","Monsters University"
"94",492867,494370,"Hello. How are you doing?","Monsters University"
"95",511721,513306,"Stroke! Stroke!","Monsters University"
"96",513596,514807,"Come on, put all you have into it!","Monsters University"
"97",515682,517183,"Stroke! Stroke!","Monsters University"
"98",519061,520520,"Okay! First thing on my list,","Monsters University"
"99",521272,522148,"get registered.","Monsters University"
"100",522230,524357,"Hey there, freshman. I'm Jay the R.A.,","Monsters University"
"101",524442,527235,"and I'm here to saythat registration is thataway!","Monsters University"
"102",527320,530155,"- Okay, Jay.- Have a great first day.","Monsters University"
"103",530447,533075,"Hey, I'm Kay!Here's your orientation packet.","Monsters University"
"104",533283,534368,"Thanks, Kay.","Monsters University"
"105",534618,537330,"You can drop your bags off hereand get your picture taken with Trey.","Monsters University"
"106",537538,539123,"- Say hooray!- Hooray!","Monsters University"
"107",539749,541042,"I can't believe it.","Monsters University"
"108",541292,544253,"I'm officially a college student!","Monsters University"
"109",544336,546087,"Okay, everyone, I'm Fay,","Monsters University"
"110",546172,549633,"and I'll be giving you yourorientation tour on this perfect day!","Monsters University"
"111",554096,556057,"Here are the labs where students learn","Monsters University"
"112",556139,558308,"to design and build the doorsto the Human World.","Monsters University"
"113",565106,567692,"Looks like the professor isabout to test a door!","Monsters University"
"114",576534,580163,"The MU cafeteria serves a full buffet,three meals a day.","Monsters University"
"115",581039,584418,"I personally believe we havesome of the best chefs in the world.","Monsters University"
"116",586253,588672,"- Yeah!- Yeah!","Monsters University"
"117",589173,591884,"The campus offersa wide variety of majors,","Monsters University"
"118",591966,596679,"but the crown jewel of MUis the Scaring School.","Monsters University"
"119",610735,612696,"Welcome to the Debate Team.We're happy to have you.","Monsters University"
"120",612779,614823,"I disagree for the following reasons.","Monsters University"
"121",614907,616408,"True happinessis a theoretical construct...","Monsters University"
"122",616491,621288,"Hey there! Keep your eye on the skyat the Astronomy Club!","Monsters University"
"123",626043,627836,"Hey, hey, hey!Come join the Improv Club.","Monsters University"
"124",627919,630172,"You'll wish you were a...Never... Always...","Monsters University"
"125",630255,631256,"Ah, dang it!","Monsters University"
"126",631548,635177,"MU's Greek Council.We sponsor the annual Scare Games.","Monsters University"
"127",635845,637138,"The Scare what now?","Monsters University"
"128",637221,640474,"The Scare Games!A super-intense Scaring competition!","Monsters University"
"129",640557,643476,"They're crazy dangerous,so anything could happen.","Monsters University"
"130",643561,646355,"A bunch of guys wentto the hospital last year!","Monsters University"
"131",646730,648941,"- You could totally die.- And it's worth it.","Monsters University"
"132",649316,651985,"You get a chance to provethat you are the best!","Monsters University"
"133",652861,653946,"Cool.","Monsters University"
"134",654904,655905,"Wazowski, Room 319.","Monsters University"
"135",657658,659576,"You know, your roommateis a Scaring major, too.","Monsters University"
"136",661077,663496,"""Hello, I'm your roommate.""Oh, that's too bland.","Monsters University"
"137",663581,665499,"Don't force it. Just let it happen.","Monsters University"
"138",665582,669753,"Your lifelong best friendis right behind this door.","Monsters University"
"139",676927,678553,"Hey there. I'm your roomie.","Monsters University"
"140",678636,680264,"Name's Randy Boggs. Scaring major.","Monsters University"
"141",680597,683100,"Mike Wazowski, Scaring major.","Monsters University"
"142",683392,685059,"I can tell we're going to bebest chums, Mike.","Monsters University"
"143",685144,688313,"Take whichever bed you want.I wanted you to have first dibs.","Monsters University"
"144",689606,690941,"You just disappeared.","Monsters University"
"145",691192,694485,"Sorry. If I do that in Scaring class,I'll be a joke.","Monsters University"
"146",694570,697239,"No, it's totally great. You got to use it.","Monsters University"
"147",697322,698698,"- Really?- Yeah, but lose the glasses.","Monsters University"
"148",698782,700451,"They give it away.","Monsters University"
"149",709168,710211,"Okay!","Monsters University"
"150",710418,713213,"Unpack. Check. Hang posters. Check.","Monsters University"
