"id","startTime","endTime","text","title"
"1",92493,94006,"Bull's-eye.","Mother!"
"2",95893,98532,"-It's dead as a doornail around here.-Yeah.","Mother!"
"3",98733,102282,"How about seeing a picture, Rocky?There's one at the Academy on 14th.","Mother!"
"4",102453,104250,"-Yeah, what?-Covered Wagon.","Mother!"
"5",104413,106085,"It's new, just come out.","Mother!"
"6",106253,108813,"-You got any dough?-No. You got any?","Mother!"
"7",108973,110247,"No.","Mother!"
"8",110413,113803,"Oh, look. There's Rocky Sullivan.Walk right by him like we don't see him.","Mother!"
"9",113973,116851,"Hey, Rocky,there's Laury Martin coming.","Mother!"
"10",117093,118242,"So what?","Mother!"
"11",118733,120485,"Oh, my books, they're coming loose.","Mother!"
"12",120933,123766,"Say, that ain't a bad-looking doll,that one in the middle.","Mother!"
"13",124133,126806,"-The one with the pretzel legs.-He means you, Laury.","Mother!"
"14",126973,129965,"-Why, the fresh---Don't be so smart-alecky, Rocky.","Mother!"
"15",130133,133170,"-Go on. Beat it, pigtails.-Trying to show off, ain't you?","Mother!"
"16",133333,136803,"-Scram, before I wipe the street with you.-You better wipe your nose first.","Mother!"
"17",136973,140090,"-ls that so? I'll fix you.-You better scram. You know the Rocky.","Mother!"
"18",140253,142528,"-Come on.-Leave me alone, I can handle him.","Mother!"
"19",142693,145924,"Wait till I get down there. I'll fix you.","Mother!"
"20",146333,149291,"-I'll slap you down.-Oh! Why, you, you--","Mother!"
"21",149453,151364,"Shut up.","Mother!"
"22",151533,154093,"Come on. Let's get out of here,dig up some corn.","Mother!"
"23",154253,158292,"You won't get away with that, Rocky.I'll get even someday. You just wait.","Mother!"
"24",172293,174727,"Say, maybe this winter we canhop a freight to Florida.","Mother!"
"25",174893,177202,"They say you can go swimming there,even in January.","Mother!"
"26",177373,180285,"Sure, we can even hop one to Californiaif we wanted to.","Mother!"
"27",180453,184162,"Look here, ""Rubelin Coal Company,Pittsburgh, Pennsylvania. ""","Mother!"
"28",184413,188167,"It's too bad it ain't winter. We couldgrab a couple bags of those coals.","Mother!"
"29",188333,191245,"""Everwrite Fountain Pen Company. ""I wonder what's in there.","Mother!"
"30",191413,192812,"Come on. Let's take a look.","Mother!"
"31",195093,198722,"It's loaded full of cases.Fountain pens. Hundreds of them.","Mother!"
"32",199213,202250,"-We can break that easy.-We shouldn't, we don't need those pens.","Mother!"
"33",202413,205166,"-It ain't like stealing coal to keep warm.-We can sell them.","Mother!"
"34",205333,207801,"Now, listen.What we don't take, we ain't got.","Mother!"
"35",207973,210851,"Look around. See what you can findto break that lock.","Mother!"
"36",228653,230928,"All right, whoever's in here,come on out.","Mother!"
"37",231893,233212,"Come on out, I say!","Mother!"
"38",238853,241413,"-What's the trouble?-Just a couple of kids. I heard them.","Mother!"
"39",241573,242892,"Come on out of there.","Mother!"
"40",243533,245728,"Come on, you hoodlums.You won't get away.","Mother!"
"41",246173,250086,"-Come out, or I'll come in after you.-Let's make a break for it, Jerry, now.","Mother!"
"42",279973,281964,"Come on, Rocky! Jump!","Mother!"
"43",298613,299841,"Hi, Snowflakes.","Mother!"
"44",300253,301766,"-Hi, Jerry.-Hello.","Mother!"
"45",301933,304163,"What do you hear? What do you say?Sit down.","Mother!"
"46",304333,306642,"-How they treating you, Rocky?-Like a prince.","Mother!"
"47",306813,310203,"I get three square meals and real butteron my bread. What a life.","Mother!"
"48",311053,314125,"-ls that a bad cut on your eye?-Not bad. Just a few stitches.","Mother!"
"49",314293,317968,"I thought you knocked your eye out.You coming to my trial tomorrow?","Mother!"
"50",318893,321646,"Rocky, I've been worrying aboutthis all last night.","Mother!"
"51",321813,325328,"-I can't let you take the whole blame.-Pipe down, want the flapper to hear?","Mother!"
"52",325493,329122,"Now get this. You got away, didn't you?Okay. I wanna be a sucker.","Mother!"
"53",329293,333047,"But, Rocky, maybe if they thoughtI was in on it, they'd go easier on you.","Mother!"
"54",333213,338162,"In a pig's eye. Just because you can runfaster, you don't gotta eat yourseIf.","Mother!"
"55",338333,342087,"-But it ain't fair to you, Rocky.-Look, so they send me up. So what?","Mother!"
"56",342253,345768,"What've I got to lose? The old man's gottroubles enough without me. Forget it.","Mother!"
"57",345933,348367,"-I got caught, and you got away.-But you, Rocky.","Mother!"
"58",348533,352048,"Supposing I was the one who gotcaught, you wouldn't keep quiet.","Mother!"
"59",352213,355125,"-You'd make them send you up too.-What do you think I am?","Mother!"
"60",355293,357853,"-I'd lay dead just like you're gonna do.-You would?","Mother!"
"61",358013,361972,"Sure. Always remember,don't be a sucker.","Mother!"
"62",427173,429892,"I'm pulling every string I can.I'm seeing the right people.","Mother!"
"63",430053,434365,"-I can get you off with about three years.-You talk like I can do it in a handstand.","Mother!"
"64",434533,437969,"That ain't no picnic. You'll be outsidehaving it soft on cushions.","Mother!"
"65",438133,441921,"It's tough. I'm not gonna mark time.I'll scout around, make connections.","Mother!"
"66",442093,445005,"-Not only for me, for both of us.-Why should I take the fall?","Mother!"
"67",445173,448722,"There's no other way out. Be sensible.If they get me, I'll be disbarred.","Mother!"
"68",448893,451726,"They'll check my vauIt boxand grab the 100 grand.","Mother!"
"69",451973,454089,"You don't want to lose that dough,do you?","Mother!"
"70",455053,457692,"All right, Frazier.It's my rap, and I'll take it. . .","Mother!"
"71",457893,461966,". . .but it's my 100 grand, and I'll takethat, too, the day I get out. Look. . . .","Mother!"
"72",462413,465769,"I know you're a smart lawyer,very smart. . .","Mother!"
"73",466453,468171,". . .but don't get smart with me.","Mother!"
"74",621693,623331,"Very good, boys. That's all.","Mother!"
"75",635813,638407,"Wait till I get you outside, mug face.I'll immobilize you.","Mother!"
"76",638573,640643,"Yeah? You and your old maid!","Mother!"
"77",652133,653771,"Come in.","Mother!"
"78",657613,658887,"What's on your mind, son?","Mother!"
"79",659093,661926,"Not very much, Father. It's just beenbothering me for 1 5 years.","Mother!"
"80",662093,664323,"What did you do with thosefountain pens you stole?","Mother!"
"81",664493,666370,"-Rocky! You old---Jerry, glad to see you.","Mother!"
"82",666533,669206,"-What do you hear? What do you say?-I'm glad to see you.","Mother!"
"83",669373,670488,"Good to see you.","Mother!"
"84",670693,672046,"Fifteen years.","Mother!"
"85",673053,674247,"Hasn't changed a bit.","Mother!"
"86",674413,676244,"You remember Father Boyle'sold sacristy.","Mother!"
"87",676413,680042,"Remember it? He used to stand rightwhere you are and boil the tar out of me.","Mother!"
"88",680253,684451,"Gosh, 1 5 years. It doesn't seem possibleI haven't seen you in that length of time.","Mother!"
"89",684613,686331,"-I've seen you.-You have? Where?","Mother!"
"90",686493,688848,"I was there when you madethe 90-yard run against NYU.","Mother!"
"91",689013,692608,"-Why didn't you come back and see me?-Some people were waiting for me.","Mother!"
"92",692773,696652,"-Oh. Well, I got a kick coming, though.-You have? What?","Mother!"
"93",696813,699805,"-Why haven't you written to me?-You know how it is, Jerry.","Mother!"
"94",699973,703522,"I changed my address and numberso often, you had no way to answer me.","Mother!"
"95",703693,707322,"You know what happens to letterswritten in the stir. Everybody reads them.","Mother!"
"96",707493,709927,"When I was inside, nothing happened.When I was out. . .","Mother!"
"97",710093,712129,". . .it was all there to readon the front page.","Mother!"
"98",712293,714727,"Yes, I read all the papers.","Mother!"
"99",715053,717487,"-You certainly make a good-looking priest.-Thanks.","Mother!"
"100",717653,720929,"Your mother always wanted you to do it,but what finally decided you?","Mother!"
"101",721093,723891,"Well, I was riding along on the topof a bus. . .","Mother!"
"102",724053,727363,"-. . .looking down, passing the cathedral.-That gave you the idea, huh?","Mother!"
"103",727813,731203,"That's funny, I got an idea on the topof a bus once. Got me six years.","Mother!"
"104",732253,734562,"I was around while you weresinging with the kids. . .","Mother!"
"105",734733,736928,". . .and I kept thinking of you and me20 years ago.","Mother!"
"106",737133,738486,"-With Father Boyle.-Yeah.","Mother!"
"107",738653,741167,"Remember slipping ""Merry Oldsmobile""into the hymnbook?","Mother!"
"108",741333,743722,"-How could I forget it?-How'd it go?","Mother!"
"109",744093,748484,"Lead, kindly lightAmid the encircling gloom","Mother!"
"110",748653,752692,"Lead thou me on, for the night is darkAnd I am far from--","Mother!"
"111",753293,756524,"-Did a lot of crazy things in those days.-Certainly did. Certainly did.","Mother!"
"112",757653,759211,"Come in.","Mother!"
"113",760013,763892,"Father, you're supposed to be down atthe store. The fellas are waiting for you.","Mother!"
