"id","startTime","endTime","text","title"
"1",66316,68401,"Hello, folks at home.","Mr. Deeds"
"2",68485,71404,"Here I am,100 yards from the top of Mount Everest.","Mr. Deeds"
"3",71488,75074,"Yet there's a part of methat can't wait to end this silly vacation","Mr. Deeds"
"4",75159,78578,"and get back to workwhere the real challenges await.","Mr. Deeds"
"5",79663,82165,"Shouldn't you take your ageinto consideration, sir?","Mr. Deeds"
"6",82249,84333,"After all, you're 82 years old.","Mr. Deeds"
"7",84626,86043,"Am I 82?","Mr. Deeds"
"8",86128,89422,"These numbers mean nothing to me.My journey through life has just begun.","Mr. Deeds"
"9",90174,91674,"Sir! Sir!","Mr. Deeds"
"10",92301,95052,"- Oota tells me the storm's getting worse.- Very, very bad.","Mr. Deeds"
"11",95137,98097,"We must abandon our ascent andproceed down the mountain immediately.","Mr. Deeds"
"12",98182,101184,"We're so very close to the top,Mr. Puffy-Jacket-Man.","Mr. Deeds"
"13",101935,105563,"I'm heading down now, sir.I advise you to do the same.","Mr. Deeds"
"14",105647,106939,"All right, so be it.","Mr. Deeds"
"15",107024,110860,"See you at the staff meeting on Monday.And I'll bring the Krispy Kremes!","Mr. Deeds"
"16",129630,132715,"There, once again,the sad footage we've been watching all day.","Mr. Deeds"
"17",133467,137887,"A beloved visionary who turned a singleradio station into a global media empire.","Mr. Deeds"
"18",137971,141474,"Preston Blake, dead at 82. More after this.","Mr. Deeds"
"19",146146,148064,"You're watchingthe Blake Broadcasting Network.","Mr. Deeds"
"20",148148,150858,"The stock of Blake Media,the parent company of this network,","Mr. Deeds"
"21",150943,153528,"plunged this morningon the news of Blake's death,","Mr. Deeds"
"22",153612,157824,"but bounced back after a statementby Blake's longtime number 2, Chuck Cedar.","Mr. Deeds"
"23",157908,160117,"And all the king's horsesand all the king's men","Mr. Deeds"
"24",160202,163621,"couldn't save Preston Blakefrom becoming a human popsicle.","Mr. Deeds"
"25",163705,165665,"And sources indicate that Blake,","Mr. Deeds"
"26",165749,168709,"who was single and had no children,did not leave a will.","Mr. Deeds"
"27",169419,175258,"So, who inherits Blake's 49% stake inthe company's stock valued at $40 billion?","Mr. Deeds"
"28",175342,177677,"We'll discuss that with people closeto Preston Blake,","Mr. Deeds"
"29",177761,179679,"including his longtime barber","Mr. Deeds"
"30",179763,183766,"on tomorrow's Inside Access.Until then, I'm Mac McGrath.","Mr. Deeds"
"31",185769,187603,"- Are we clear?- Clear!","Mr. Deeds"
"32",187938,190523,"Babe? Where's Babe?","Mr. Deeds"
"33",190607,193276,"I'm gonna come over thereand I'm gonna choke you to death.","Mr. Deeds"
"34",193360,195111,"- I gotta go.- Freaking barber!","Mr. Deeds"
"35",195195,196654,"That's the best you could get me, huh?","Mr. Deeds"
"36",196738,199699,"People tell everything to their barbers, Mac.","Mr. Deeds"
"37",199783,203119,"I mean, he's been his closest confidantfor more than 20 years.","Mr. Deeds"
"38",203203,205288,"Babe, I'm not putting this guy on the air.","Mr. Deeds"
"39",205372,207081,"You get me something betterand you get it quick.","Mr. Deeds"
"40",207165,208791,"Or it's your ass.","Mr. Deeds"
"41",213213,214881,"Did we find this heir yet?","Mr. Deeds"
"42",214965,218009,"We should be getting that informationvia fax any minute now.","Mr. Deeds"
"43",218093,223264,"I have lawyers looking through birth recordsin all 50 states, Puerto Rico, and Guam.","Mr. Deeds"
"44",223348,225099,"In fact, we have a little pool going.","Mr. Deeds"
"45",225392,227852,"Guam's paying off at 1,000 to 1.","Mr. Deeds"
"46",228520,230062,"Is this a joke to you?","Mr. Deeds"
"47",231148,234609,"Some genetic lottery winnernow controls the fate of this company.","Mr. Deeds"
"48",234693,238404,"- No, no. I agree. It's troubling.- Troubling?","Mr. Deeds"
"49",238488,240239,"Your beard is troubling.","Mr. Deeds"
"50",240532,244911,"Your pipe is troubling.Your yellow teeth are really troubling.","Mr. Deeds"
"51",244995,248664,"But if I lose control of this company,it'll be catastrophic.","Mr. Deeds"
"52",254421,256964,"Does anyone know a Dr. Mendlesohn?","Mr. Deeds"
"53",258050,260343,"Congratulations, you have a spastic colon.","Mr. Deeds"
"54",261637,263846,"That would explain a lot.","Mr. Deeds"
"55",278737,280488,"""Longfellow Deeds.""","Mr. Deeds"
"56",286787,289413,"Chuck, I think we're there.","Mr. Deeds"
"57",291375,293042,"My God, it's all green.","Mr. Deeds"
"58",298882,302677,"Wow. Look at that thing.Fighter pilot on your left.","Mr. Deeds"
"59",304304,305805,"God, I've got that sucker.","Mr. Deeds"
"60",320654,321946,"You guys lost?","Mr. Deeds"
"61",322030,324824,"We're looking for somebody.Longfellow Deeds.","Mr. Deeds"
"62",325075,327326,"Wow. Is that Deeds' first name?","Mr. Deeds"
"63",327411,329996,"Well, if the Deeds you're referring tois Longfellow Deeds,","Mr. Deeds"
"64",330080,332081,"then yes, that is Deeds' first name.","Mr. Deeds"
"65",332624,335501,"Well, I don't know Deeds' first name.Maybe it's Greg.","Mr. Deeds"
"66",335794,336961,"Maybe it's Longfellow.","Mr. Deeds"
"67",337337,339171,"Maybe. But I don't know.","Mr. Deeds"
"68",339256,341674,"I know another guy named Greg.You want me to call him up?","Mr. Deeds"
"69",341758,344844,"No. Thank you.Please, just tell us where Deeds lives.","Mr. Deeds"
"70",345137,347680,"All right,don't get all hyperactive on me, buddy.","Mr. Deeds"
