"id","startTime","endTime","text","title"
"1",1000,4074,"Subtitles downloaded from Podnapisi.NET","Mr. Holland's Opus"
"2",169434,172850,"Senator Barry Goldwateris campaigning in Colorado.","Mr. Holland's Opus"
"3",172938,178063,"The Warren Commission, almost a fullyear after the Kennedy assassination...","Mr. Holland's Opus"
"4",179946,183232,"- Glenn, it's time.- No, just a little more.","Mr. Holland's Opus"
"5",183324,187536,"If you don't get up right now,I'm gonna cut one of your piano strings.","Mr. Holland's Opus"
"6",187621,189614,"Ugh...","Mr. Holland's Opus"
"7",189706,192162,"- What time is it?- Quarter to seven.","Mr. Holland's Opus"
"8",193169,195874,"- A quarter to seven!- Mm-hm.","Mr. Holland's Opus"
"9",195963,198040,"Oh, God.","Mr. Holland's Opus"
"10",198925,201167,"Does the sun really come out this early?","Mr. Holland's Opus"
"11",201261,206137,"It was a surprise to me, too. I tooka picture in case it never happens again.","Mr. Holland's Opus"
"12",206225,210472,"- Nobody gets up this early.- Oh, yes, they do.","Mr. Holland's Opus"
"13",210563,214395,"Come on, come on, come on.Please, please, please, please, please!","Mr. Holland's Opus"
"14",214484,218316,"- Come on, come on, come on, come on.- No, no, no! This is a stupid idea.","Mr. Holland's Opus"
"15",218405,221240,"Oh, this is definitely not my scene, Iris.","Mr. Holland's Opus"
"16",221909,225954,"It's just a gig. If it doesn't work,you can try something else.","Mr. Holland's Opus"
"17",226747,229702,"- What time am I supposed to be there?- 7.30.","Mr. Holland's Opus"
"18",229792,231869,"7.30!","Mr. Holland's Opus"
"19",232504,236798,"What kind of people like togo to work at 7.30 in the morning?","Mr. Holland's Opus"
"20",245477,247553,"One, two, three","Mr. Holland's Opus"
"21",249272,252439,"Oh, that�s how elementary","Mr. Holland's Opus"
"22",253027,255103,"It's gonna be","Mr. Holland's Opus"
"23",256906,259480,"Come on, let�s fall in love","Mr. Holland's Opus"
"24",259575,262612,"- It's easy- It's so easy","Mr. Holland's Opus"
"25",262704,266832,"Like taking candy from a baby","Mr. Holland's Opus"
"26",268252,272084,"- A, B, C- A, B, C","Mr. Holland's Opus"
"27",272173,275091,"Falling in love with you was","Mr. Holland's Opus"
"28",275802,277878,"Easy for me","Mr. Holland's Opus"
"29",279639,282178,"And you can do it, too","Mr. Holland's Opus"
"30",282267,285352,"- It's easy- It's so easy","Mr. Holland's Opus"
"31",285437,288807,"Like taking candy from a baby","Mr. Holland's Opus"
"32",288900,293229,"Hi. I'm Glenn Holland.I'm the new music teacher.","Mr. Holland's Opus"
"33",293655,295446,"Vice Principal Wolters.","Mr. Holland's Opus"
"34",296783,298860,"Holy cow!","Mr. Holland's Opus"
"35",300788,302448,"- A Corvair.- Yeah.","Mr. Holland's Opus"
"36",302540,305411,"I take it you didn't readRalph Nader's book.","Mr. Holland's Opus"
"37",305501,308621,"Well, unless Ralphis willing to buy me a new car,","Mr. Holland's Opus"
"38",308713,312248,"I'm gonna have to stick with this oneuntil the wheels fall off.","Mr. Holland's Opus"
"39",312342,315676,"Well, you may not have towait that long. Heh-heh.","Mr. Holland's Opus"
"40",317473,320178,"- Have a nice day.- Thanks.","Mr. Holland's Opus"
"41",320268,323222,"- It's easy- It's so easy","Mr. Holland's Opus"
"42",323313,327477,"Like taking candy from a baby","Mr. Holland's Opus"
"43",327985,330061,"You look lost, Mr. Holland.","Mr. Holland's Opus"
"44",331572,334407,"Helen Jacobs. Remember? I hired you.","Mr. Holland's Opus"
"45",334492,336781,"Oh!","Mr. Holland's Opus"
"46",336869,342576,"Of course you did. I'm sorry. It was notthat I'm lost. I was just looking for the...","Mr. Holland's Opus"
"47",342667,346748,"- Well, yes, of course I'm lost.- What an auspicious beginning.","Mr. Holland's Opus"
"48",347339,349416,"This way.","Mr. Holland's Opus"
"49",349925,353425,"Your first day as a teacher,Mr. Holland. Excited?","Mr. Holland's Opus"
"50",353513,356799,"Nervous. Boy, I never thought I'd be here.","Mr. Holland's Opus"
"51",356892,359098,"No? Why not?","Mr. Holland's Opus"
"52",359186,362637,"Well... like most people,I only got my teaching certificate","Mr. Holland's Opus"
"53",362731,365187,"so I'd have something to fall back on.","Mr. Holland's Opus"
"54",365276,368194,"This isn't a drive-in, Mr. Claridge.Hands off!","Mr. Holland's Opus"
"55",368279,372740,"You know, Mr. Holland, I don't thinkof teaching as a fallback position.","Mr. Holland's Opus"
"56",372826,375780,"- No, no...- I grow nervous around people who do.","Mr. Holland's Opus"
"57",375871,378956,"I'm... I'm really very happyto be here. Really.","Mr. Holland's Opus"
"58",379041,384747,"Good. You'll drop by my office later on.I have a list of students You'll be advising.","Mr. Holland's Opus"
"59",384839,389585,"Advising? Can I ask whenI'm supposed to be doing this advising?","Mr. Holland's Opus"
"60",389678,393806,"that's for you and the student to arrange.You meet your orchestra when?","Mr. Holland's Opus"
"61",393891,395967,"Fifth period.","Mr. Holland's Opus"
"62",397228,399470,"- Are they any good?- They try hard.","Mr. Holland's Opus"
"63",399564,403609,"By the way, I'll need a completelesson plan from you by Friday.","Mr. Holland's Opus"
"64",404194,406400,"- Right.- For September and October.","Mr. Holland's Opus"
"65",406488,407686,"Right.","Mr. Holland's Opus"
"66",447742,452036,"All right. People, come on,let's take our seats a little quicker, please.","Mr. Holland's Opus"
"67",452122,455990,"A little quicker. We're losing time.Come on in, come on in.","Mr. Holland's Opus"
"68",456085,458161,"My name is Mr. Holland.","Mr. Holland's Opus"
"69",459338,463799,"This, of course, is a title of courtesythat I will extend back to you -","Mr. Holland's Opus"
"70",464052,467753,"""Mr."" or ""Miss"",as the circumstances allow.","Mr. Holland's Opus"
"71",467848,469924,"Welcome to Music Appreciation.","Mr. Holland's Opus"
"72",470017,475557,"This is a class in which we will bestudying the history of music.","Mr. Holland's Opus"
"73",475648,479942,"Um, who would like to give mea definition of what music is?","Mr. Holland's Opus"
"74",481738,483814,"Any music. What do you think?","Mr. Holland's Opus"
"75",484908,490449,"What do they think that music isin... in general? What do they think?","Mr. Holland's Opus"
"76",490539,492616,"Anybody?","Mr. Holland's Opus"
"77",494377,496453,"Nobody?","Mr. Holland's Opus"
"78",497005,501466,"OK. Let's, uh... let's go to the text.","Mr. Holland's Opus"
"79",502302,506846,"And we turn to page, um... four.","Mr. Holland's Opus"
"80",506933,515606,"And we read that ""Music is soundin melodic or harmonic combinations,","Mr. Holland's Opus"
"81",515692,518480,"whether producedby voice or instrument.""","Mr. Holland's Opus"
"82",519905,521982,"Now, questions?","Mr. Holland's Opus"
"83",523034,525359,"Anybody... at all?","Mr. Holland's Opus"
"84",528373,530330,"No?","Mr. Holland's Opus"
"85",530417,531366,"Hm?","Mr. Holland's Opus"
"86",531460,533203,"Good.","Mr. Holland's Opus"
"87",533295,535252,"All righty, uh...","Mr. Holland's Opus"
"88",535339,542470,"Now, I just... you know, I just...want you all to relax, have a little fun.","Mr. Holland's Opus"
"89",542555,545391,"We're not here to impress each other.","Mr. Holland's Opus"
"90",545475,548049,"OK. All right, let's get ready.","Mr. Holland's Opus"
"91",550356,552432,"Everyone? Come on.","Mr. Holland's Opus"
"92",555486,557978,"You ready?","Mr. Holland's Opus"
"93",558531,560608,"OK, here we go.","Mr. Holland's Opus"
"94",608462,610205,"It was good.","Mr. Holland's Opus"
"95",610297,613049,"Miss Aronson.Would you stand up, please?","Mr. Holland's Opus"
"96",613926,615800,"Stand up, please.","Mr. Holland's Opus"
"97",615887,621094,"Is that skirt regulation length?On your knees, both of you, right now.","Mr. Holland's Opus"
"98",622310,626474,"I thought so. Come with me to theprincipal's office. You are going home.","Mr. Holland's Opus"
"99",626565,629139,"You can come backwhen you're dressed properly.","Mr. Holland's Opus"
"100",629235,631062,"- You're not being fair.- I am.","Mr. Holland's Opus"
"101",631153,634190,"If I allow you to do it,everyone is allowed to do it.","Mr. Holland's Opus"
"102",634282,636571,"- Hi.- Hi.","Mr. Holland's Opus"
"103",638870,640947,"Come on, out of my way.","Mr. Holland's Opus"
"104",643292,646744,"- Teachers don't wait.- Pardon me?","Mr. Holland's Opus"
"105",646837,649874,"High school is not a democracy.Teachers don't wait.","Mr. Holland's Opus"
"106",649966,652173,"Bill Meister. Phys ed.","Mr. Holland's Opus"
"107",652260,655012,"- Glenn Holland. Music teacher.- Hi.","Mr. Holland's Opus"
"108",658851,661971,"- There you go.- Oh, my God!","Mr. Holland's Opus"
"109",662063,666143,"- What is this?- It's Monday. It's Turkey Spam Surprise.","Mr. Holland's Opus"
"110",666734,668858,"You could mortar walls with it.","Mr. Holland's Opus"
"111",668945,671982,"Word of advice: always bring a bag lunch.","Mr. Holland's Opus"
"112",672074,674647,"- Where's yours?- I ate it in second period.","Mr. Holland's Opus"
"113",674743,677863,"Sylvie! don't tease me. I need extra.","Mr. Holland's Opus"
"114",678456,681125,"So what have you been doin'for the last ten years?","Mr. Holland's Opus"
"115",681209,684329,"I've been playing music.Been on the road.","Mr. Holland's Opus"
"116",684421,689795,"You know, um... clubs and weddingsand bar mitzvahs. That sort of thing.","Mr. Holland's Opus"
"117",689885,693930,"Wait a minute. I bet you meta ton of chicks in those clubs, huh?","Mr. Holland's Opus"
"118",694015,697514,"So you're in these clubs,there are all these women there...","Mr. Holland's Opus"
"119",697602,700307,"- Why'd you become a teacher?- Well...","Mr. Holland's Opus"
"120",700397,703268,"Actually, I started teachingbecause I was hoping","Mr. Holland's Opus"
"121",703358,707736,"it would give me some free time to dosome composing. I'm a composer.","Mr. Holland's Opus"
"122",711242,714030,"- What? what's so funny?- Oh, the free time.","Mr. Holland's Opus"
"123",716289,719872,"Glenn, I can't rememberthe last time I had that was free.","Mr. Holland's Opus"
"124",746072,748149,"I've got it all figured out.","Mr. Holland's Opus"
"125",748241,751527,"With your salary, plus what I take inwith the photography,","Mr. Holland's Opus"
"126",751620,754158,"in four years we should haveenough for you to quit","Mr. Holland's Opus"
"127",754248,759623,"and do nothing but compose musicand become famous and make us rich.","Mr. Holland's Opus"
"128",759712,763082,"- I'll never make it.- I made us $32 today.","Mr. Holland's Opus"
"129",763175,767469,"Big deal. I made 32 kidssleep with their eyes open.","Mr. Holland's Opus"
"130",767554,769631,"Oh, right there! Yeah.","Mr. Holland's Opus"
"131",770683,773221,"Right there. Yeah.","Mr. Holland's Opus"
