"id","startTime","endTime","text","title"
"1",282910,284946,"Freddy, go and find a cab.","My Fair Lady"
"2",285510,287626,"Do you want me to catch pneumonia?","My Fair Lady"
"3",298670,301468,"Don't just stand there, Freddy.Go and find a cab.","My Fair Lady"
"4",301750,304025,"All right, I'll get one.","My Fair Lady"
"5",319110,322147,"Look where you're goin', dear.Look where you're goin'!","My Fair Lady"
"6",322270,323464,"I'm so sorry.","My Fair Lady"
"7",323830,327345,"Two bunches o' violets trod in the mud.A full day's wages.","My Fair Lady"
"8",328990,331709,"-Freddy, go and find a cab.-Yes, Mother.","My Fair Lady"
"9",334630,336427,"He's your son, is he?","My Fair Lady"
"10",336510,338705,"If you'd done your dutyas a mother should...","My Fair Lady"
"11",338790,342578,"...you wouldn't let 'im spoil a poor girl'sflow'rs and run away without payin'.","My Fair Lady"
"12",342670,344501,"Go about your business, my girl.","My Fair Lady"
"13",344590,347263,"And you wouldn't go offwithout payin', either.","My Fair Lady"
"14",347630,350303,"Two bunches o' violets trod in the mud.","My Fair Lady"
"15",353030,355783,"Sir, is there any sign of it stopping?","My Fair Lady"
"16",355870,358259,"I'm afraid not. It's worse than before.","My Fair Lady"
"17",358510,360626,"If it's worse, it's a sign it's nearly over.","My Fair Lady"
"18",360710,363383,"Cheer up, Capt'n,buy a flow'r off a poor girl.","My Fair Lady"
"19",363470,364823,"I'm sorry, I haven't any change.","My Fair Lady"
"20",364910,367424,"I can change 'alf a crown.Take this for tuppence.","My Fair Lady"
"21",367510,369899,"I told you, I'm awfully sorry.Wait a minute.","My Fair Lady"
"22",369990,373062,"Oh, yes. Here's three ha' pence,if that's any use to you.","My Fair Lady"
"23",373150,374469,"Thank you, sir.","My Fair Lady"
"24",382030,384339,"You be careful.Better give 'im a flower for it.","My Fair Lady"
"25",384430,386307,"There's a bloke here behind that pillar...","My Fair Lady"
"26",386390,389109,"...takin' down every blessed wordyou're sayin'.","My Fair Lady"
"27",392470,395030,"I ain't done nothin' wrongby speakin' to the gentleman.","My Fair Lady"
"28",395110,397749,"I've a right to sell flow'rsif I keep off the curb.","My Fair Lady"
"29",397830,399900,"I'm a respectable girl, so help me.","My Fair Lady"
"30",400070,403426,"I never spoke to him except to ask himto buy a flow'r off me.","My Fair Lady"
"31",403510,405944,"-What's the bloomin' noise?-A tec's takin' her down.","My Fair Lady"
"32",406030,407782,"I'm makin' an honest livin'.","My Fair Lady"
"33",407870,409781,"Who's doing all that shouting?","My Fair Lady"
"34",411550,414348,"Sir, don't let 'im charge me.You dunno what it means to me.","My Fair Lady"
"35",414430,417308,"They'll take away me characterand drive me on the streets...","My Fair Lady"
"36",417390,418982,"...for speakin' to gentlemen.","My Fair Lady"
"37",419070,422779,"There, there. Who's hurting you,you silly girl? What'd you take me for?","My Fair Lady"
"38",422870,424623,"On my Bible oath, I never spoke a word.","My Fair Lady"
"39",424711,426542,"Shut up! Do I look like a policeman?","My Fair Lady"
"40",426631,429828,"Why'd ya take down me words?'Ow do I know you took me down right?","My Fair Lady"
"41",429911,432300,"You just show mewhat you wrote ab'ut me.","My Fair Lady"
"42",439791,441907,"That ain't proper writin'. I can't read it.","My Fair Lady"
"43",441991,442901,"I can.","My Fair Lady"
"44",442991,446870,"'""l say, Capt'n,now buy a flow'r off a poor girl.'""","My Fair Lady"
"45",450031,452420,"Oh, it's cause I called him '""Capt'n.'""","My Fair Lady"
"46",452991,457064,"I meant no 'arm. Sir, don't let him laya charge against me for a word like that.","My Fair Lady"
"47",457151,460427,"I'll make no charge.Really, sir, if you are a detective...","My Fair Lady"
"48",460511,463503,"...you needn't protect meagainst molestation from young women...","My Fair Lady"
"49",463591,464467,"...until I ask you.","My Fair Lady"
"50",464551,466826,"Anyone could tell the girl meant no harm.","My Fair Lady"
"51",466911,469869,"He ain't no tec. He's a gentleman.Look at his boots.","My Fair Lady"
"52",469951,471862,"How are all your people down at Selsey?","My Fair Lady"
"53",471951,474340,"Who told you my peoplecome from Selsey?","My Fair Lady"
"54",474431,475910,"Never mind, they do.","My Fair Lady"
"55",476511,480265,"How do you come to be up so far east?You were born in Lisson Grove.","My Fair Lady"
"56",481191,484422,"What 'arm is therein my leavin' Lisson Grove?","My Fair Lady"
"57",484551,487623,"It weren't fit for pigs to live.I had to pay four and six a week.","My Fair Lady"
"58",487711,489383,"Live where you like but stop that noise!","My Fair Lady"
"59",489471,492861,"Come, come, he can't touch you.You've a right to live where you please.","My Fair Lady"
"60",492951,494748,"I'm a good girl, I am.","My Fair Lady"
"61",495271,497580,"-Where do I come from?-Hawkestone.","My Fair Lady"
"62",497711,500305,"Who said I didn't?Blimey, you know everything, you do.","My Fair Lady"
"63",500391,503428,"You, sir, do you thinkyou could find me a taxi?","My Fair Lady"
"64",503711,505508,"Madam, it's stopped raining.","My Fair Lady"
"65",505591,507980,"You can get a motorbus to Hampton Court.","My Fair Lady"
"66",508591,509740,"Isn't that where you live?","My Fair Lady"
"67",509831,511469,"What impertinence!","My Fair Lady"
"68",511911,515301,"Tell 'im where he comes from,if you wanta go fortune-telling.","My Fair Lady"
"69",517351,520024,"Cheltenham, Harrow...","My Fair Lady"
"70",521111,522908,"...Cambridge and...","My Fair Lady"
"71",524871,525906,"...lndia?","My Fair Lady"
"72",525991,527140,"Quite right.","My Fair Lady"
"73",527471,529701,"He ain't a tec, he's a bloomin' busybody.","My Fair Lady"
"74",529791,532510,"Do you do this sort of thingfor a living at a music hall?","My Fair Lady"
"75",532591,534627,"I have thought of it.Perhaps I will one day.","My Fair Lady"
"76",534711,537908,"He's no gentleman, he ain't,to interfere with a poor girl!","My Fair Lady"
"77",537991,539629,"How do you do it, may I ask?","My Fair Lady"
"78",539711,544387,"Simple phonetics. The science of speech.That's my profession. Also my hobby.","My Fair Lady"
"79",544831,547789,"Anyone can spot an lrishmanor a Yorkshireman by his brogue...","My Fair Lady"
"80",547871,549907,"...but I can place a man within six miles.","My Fair Lady"
"81",549991,553700,"I can place 'im within two miles in London.Sometimes within two streets.","My Fair Lady"
"82",553791,556464,"Ought to be ashamed of 'imself,unmanly coward.","My Fair Lady"
"83",556551,558348,"-Is there a living in that?-Oh, yes.","My Fair Lady"
"84",558431,561628,"Let him mind his own businessand leave a poor girl alone.","My Fair Lady"
"85",562111,564579,"Cease this detestableboohooing instantly...","My Fair Lady"
"86",564671,567424,"...or else seek the shelterof some other place of worship!","My Fair Lady"
"87",568191,570944,"I have a right to be here if I like,same as you!","My Fair Lady"
"88",571231,573870,"A woman who utters such disgusting,depressing noises...","My Fair Lady"
"89",573951,576385,"...has no right to be anywhere,no right to live.","My Fair Lady"
"90",576471,578189,"Remember, you're a human with a soul...","My Fair Lady"
"91",578271,580831,"...and the divine gift of articulate speech.","My Fair Lady"
"92",580991,583869,"Your native language is the languageof Shakespeare and...","My Fair Lady"
"93",583951,587944,"...Milton and the Bible. Don't sit therecrooning like a bilious pigeon.","My Fair Lady"
"94",590231,592506,"'""Look at her, a prisoner of the gutters","My Fair Lady"
"95",593311,595586,"'""Condemned by every syllable she utters","My Fair Lady"
"96",596591,599059,"'""By right she should be taken out and hung","My Fair Lady"
"97",599631,602509,"'""For the cold-blooded murderof the English tongue'""","My Fair Lady"
"98",604631,606269,"Heavens, what a sound!","My Fair Lady"
"99",606351,608501,"'""This is what the British population","My Fair Lady"
"100",608951,611260,"'""Calls an elementary education'""","My Fair Lady"
"101",611711,614225,"Come, sir, I think you've pickeda poor example.","My Fair Lady"
"102",614311,615539,"Did l?","My Fair Lady"
"103",616151,619700,"'""Hear them down in Soho SquareDropping H's everywhere","My Fair Lady"
"104",619871,622226,"'""Speaking English any way they like","My Fair Lady"
"105",623071,624902,"'""Hey, you, sir, did you go to school?","My Fair Lady"
"106",624991,626583,"'""What ya tike me for, a fool?","My Fair Lady"
"107",626671,629185,"'""No one taught him 'take' instead of 'tike'","My Fair Lady"
"108",630431,633741,"'""Hear a Yorkshireman, or worseHear a Cornishman converse","My Fair Lady"
"109",633831,636106,"'""l'd rather hear a choir singing flat","My Fair Lady"
"110",637191,640388,"'""Chickens cackling in a barnJust like this one","My Fair Lady"
"111",640511,641785,"'""Garn!","My Fair Lady"
"112",642031,643305,"'""Garn!","My Fair Lady"
"113",643791,646385,"'""l ask you, sir, what sort of word is that?","My Fair Lady"
"114",646951,649749,"'""lt's 'aoow' and 'garn'that keep her in her place","My Fair Lady"
"115",650231,652620,"'""Not her wretched clothes and dirty face","My Fair Lady"
"116",654031,657182,"'""Why can't the Englishteach their children how to speak?","My Fair Lady"
"117",657471,660668,"'""This verbal class distinctionby now should be antique","My Fair Lady"
"118",661071,664188,"'""lf you spoke as she does, sir,instead of the way you do","My Fair Lady"
"119",664591,666980,"'""Why, you might be selling flowers, too'""","My Fair Lady"
"120",667191,668180,"I beg your pardon.","My Fair Lady"
"121",668271,671468,"'""An Englishman's way of speakingabsolutely classifies him","My Fair Lady"
"122",671871,675307,"'""The moment he talks he makessome other Englishman despise him","My Fair Lady"
"123",675551,678270,"'""One common languageI'm afraid we'll never get","My Fair Lady"
"124",678631,681703,"'""Oh, why can't the English learn to...","My Fair Lady"
