"id","startTime","endTime","text","title"
"1",85200,88000,"No, but you've hadone postponement already.","My Favorite Wife"
"2",88200,90000,"All right.All right.","My Favorite Wife"
"3",90200,93000,"The case is postponed till next Thursday.","My Favorite Wife"
"4",93200,96000,"- Now, that'll be the 26th.- Thank you, Your Honor.","My Favorite Wife"
"5",96200,98200,"- Be here.- Thank you, Your Honor.","My Favorite Wife"
"6",98400,101200,"Are the parties readyin the matter of Ellen Arden?","My Favorite Wife"
"7",101400,102799,"Yes, here.","My Favorite Wife"
"8",109799,111200,"- Good morning.- Good morning.","My Favorite Wife"
"9",111400,113599,"- It'll be very kind of you...- Just a moment.","My Favorite Wife"
"10",114400,118000,"- Wasn't I supposed to marry somebody?- Why, yes. Yes, Your Honor.","My Favorite Wife"
"11",118200,121200,"Well, let's get it over with.This can wait.","My Favorite Wife"
"12",121200,124200,"This is a very complicated case,this Arden matter.","My Favorite Wife"
"13",124400,127400,"- Yes, but, Your Honor...- Yes, it's very complicated.","My Favorite Wife"
"14",127599,129800,"- If Your Honor please...- Your Honor.","My Favorite Wife"
"15",130000,131800,"Wait a minute. What?","My Favorite Wife"
"16",132599,135199,"- Says what?- She's dead.","My Favorite Wife"
"17",135400,137000,"What's that?","My Favorite Wife"
"18",137000,139000,"Who's dead?","My Favorite Wife"
"19",142000,145000,"Oh, that's sad. That's very sad.","My Favorite Wife"
"20",145199,147000,"If Your Honor please...","My Favorite Wife"
"21",147199,148800,"- You're Arden?- Yes.","My Favorite Wife"
"22",149000,150400,"That's what I thought.","My Favorite Wife"
"23",150599,155800,"Well, Mr. Arden, as I understand it,your wife, Ellen Wagstaff Arden...","My Favorite Wife"
"24",156000,158800,"...was a member ofan anthropological expedition...","My Favorite Wife"
"25",159000,162599,"- ...shipwrecked off the coast of lndochina.- Yes, Your Honor.","My Favorite Wife"
"26",162800,167599,"Now, what was she doing on an expedition?Mother of two infant children.","My Favorite Wife"
"27",167800,170199,"You'll find the circumstances in my brief.","My Favorite Wife"
"28",170199,175800,"""Said Ellen Wagstaff Arden was engaged asa photographer for a three-month period.""","My Favorite Wife"
"29",176000,179599,"You see, in the first place,we were gonna take the trip together...","My Favorite Wife"
"30",179800,184800,"...but I got involved in a case and couldn'tleave. We talked it over, and she decided...","My Favorite Wife"
"31",185000,187199,"...to travel alone. She needed a change.","My Favorite Wife"
"32",187400,191400,"- Tough time with the children, teething...- Just the facts. Never mind teething.","My Favorite Wife"
"33",191599,194199,"- Yes.- You're a lawyer. Stick to the facts.","My Favorite Wife"
"34",194400,197000,"Yes, Your Honor.They're in my brief, sir.","My Favorite Wife"
"35",197199,201000,"- Well, let me read it. Stop interrupting.- Yes, Your Honor.","My Favorite Wife"
"36",201400,204000,"When did you say the ship went down?","My Favorite Wife"
"37",204199,208000,"Page seven, in September the 3rd, 1 932.It's page seven, here.","My Favorite Wife"
"38",208000,211000,"Never mind, never mind. I'll find it.","My Favorite Wife"
"39",215000,219400,"- No, sir. Page seven. This is page four.- I know it's four. I know that.","My Favorite Wife"
"40",222000,225199,"Oh, here it is. Page seven.","My Favorite Wife"
"41",227000,228400,"That...","My Favorite Wife"
"42",229000,232000,"""Last seen enteringone of the lifeboats when...""","My Favorite Wife"
"43",232199,235199,"I can't see. ""When a wave...""","My Favorite Wife"
"44",235199,239000,"Oh, that's very sad. Very sad.","My Favorite Wife"
"45",239199,242599,"What the...? Hey. Young woman.","My Favorite Wife"
"46",243199,247599,"What do you think you're doing?Put that confounded mirror away.","My Favorite Wife"
"47",247800,250800,"- Do you want to blind me?- I'm very sorry.","My Favorite Wife"
"48",252000,254400,"Ought to wash her face instead of paint it.","My Favorite Wife"
"49",254599,258399,"You know there's such a thingas contempt of court, don't you?","My Favorite Wife"
"50",258399,260399,"Don't let me get after you.","My Favorite Wife"
"51",261000,263600,"- Now, where was I?- Page seven, the shipwreck.","My Favorite Wife"
"52",263800,267000,"What efforts did you maketo trace your wife?","My Favorite Wife"
"53",267000,271000,"Page eight. I went to Bangkokand interviewed all available survivors...","My Favorite Wife"
"54",271199,274000,"...who agreed thatEllen Wagstaff Arden had been...","My Favorite Wife"
"55",274199,277600,"""Swept overboard before aidcould reach her. Deposition...""","My Favorite Wife"
"56",277800,279000,"Quiet.","My Favorite Wife"
"57",279199,282000,"- Yes, but I can explain...- There's nothing to explain.","My Favorite Wife"
"58",282199,284399,"Nothing to explain at all.","My Favorite Wife"
"59",285199,288600,"Testimony's here. Sworn affidavits.","My Favorite Wife"
"60",289199,291600,"No evidence to the contrary.The law is clear.","My Favorite Wife"
"61",292399,297000,"I hereby pronounce Ellen Wagstaff Ardenlegally dead.","My Favorite Wife"
"62",297399,299600,"Wasn't I supposed to marry somebody?","My Favorite Wife"
"63",299800,303199,"- Yes, sir. Us.- What? What's that?","My Favorite Wife"
