"id","startTime","endTime","text","title"
"1",43320,46895,"Okay, it's happening.It's spontaneous.","Neighbors"
"2",46920,49454,"This... Who saw this coming?I did not see this coming.","Neighbors"
"3",49479,51774,"Okay, okay, okay.Okay, let's do it.","Neighbors"
"4",51799,54295,"Okay. It's happening.It's totally happening.","Neighbors"
"5",54320,55454,"Whoo!","Neighbors"
"6",55479,58655,"What a twist.Yeah. Okay.","Neighbors"
"7",58679,60454,"This is so spontaneous.","Neighbors"
"8",60479,61655,"We're having sex one minute...","Neighbors"
"9",61679,63134,"Who knows what'sgonna happen next?","Neighbors"
"10",63159,64734,"Who knows what we'll bedoing in 10 minutes?","Neighbors"
"11",64760,66807,"Okay.This is crazy!","Neighbors"
"12",66920,67974,"We're doing this onthe dining room...","Neighbors"
"13",68000,69763,"I've never had sex on a diningroom chair in my whole life.","Neighbors"
"14",69879,71335,"This is amazing.","Neighbors"
"15",71359,72614,"I'm taking you toBoner Town, bitch.","Neighbors"
"16",72640,74614,"Don't call me ""bitch!""Okay. I'm sorry.","Neighbors"
"17",74640,77007,"I'm taking you toBoner Town, love. Okay.","Neighbors"
"18",79480,81561,"Baby? Baby?","Neighbors"
"19",82319,83335,"She's totallyfucking looking at us.","Neighbors"
"20",83359,84575,"Hey, baby.","Neighbors"
"21",84599,86734,"She knows what's happening.","Neighbors"
"22",86760,88814,"She totally knowswhat's happening.","Neighbors"
"23",88840,90814,"She can't see anything.She just sees shapes.","Neighbors"
"24",90840,93734,"She sees shapes fucking each other,is what she sees. She can...","Neighbors"
"25",93759,95615,"She's fine.She just sees shapes.","Neighbors"
"26",95640,96694,"It's like bouncing balls.","Neighbors"
"27",96719,98295,"My bouncing balls.","Neighbors"
"28",98319,99935,"She's fine. She's fine.You know what?","Neighbors"
"29",99960,101454,"Let me turn her around.Let me turn her around.","Neighbors"
"30",101479,103575,"Okay. Okay.","Neighbors"
"31",103599,105814,"Hey, sweetie.Hey, little girl.","Neighbors"
"32",105840,109534,"Gonna turn around now.Gonna look at the wall now.","Neighbors"
"33",109560,110655,"Let's go.","Neighbors"
"34",110680,113159,"Okay. There you go.Love you, sweetie. Okay.","Neighbors"
"35",114159,116174,"Okay! Let's do it.","Neighbors"
"36",116200,117200,"We're back.We're back in business.","Neighbors"
"37",117359,118375,"Okay. Okay.","Neighbors"
"38",118400,121721,"We are back.It's happening. Okay.","Neighbors"
"39",123159,126694,"God. She keepsturning... Turn around.","Neighbors"
"40",126719,129055,"Just look that way.Just turn around.","Neighbors"
"41",129080,130175,"Why is she... Okay.","Neighbors"
"42",130199,131655,"I think it's over.","Neighbors"
"43",131680,132735,"We still did that.","Neighbors"
"44",132759,135574,"I'm sorry.Okay. We still did that.","Neighbors"
"45",135599,137534,"Hello.","Neighbors"
"46",137560,138606,"What are you doingin your Jumperoo?","Neighbors"
"47",138719,139854,"This never happened.","Neighbors"
"48",139879,141694,"We're gonna finish that.We will finish that.","Neighbors"
"49",141719,143534,"FYI, we're gonnado it in every room.","Neighbors"
"50",143560,145534,"And this time,I'm going to ejaculate.","Neighbors"
"51",145560,147210,"Just because we havea house and a baby","Neighbors"
"52",147319,148844,"doesn't mean thatwe're old people.","Neighbors"
"53",148960,150375,"No. Fuck old people.","Neighbors"
"54",150400,152055,"Old people don'tfuck like we just did.","Neighbors"
"55",152079,153694,"Baby, I nearly came.","Neighbors"
"56",153719,155215,"This is like The Brady Bunch.","Neighbors"
"57",155240,157454,"I know! What'snice about the house","Neighbors"
"58",157479,160534,"is that it looks like everypenny we have is inside of it.","Neighbors"
"59",160560,161890,"So, at least it looks like it.","Neighbors"
"60",162000,163375,"It's legitimate, right?","Neighbors"
"61",163400,164925,"Neighbors. Hey.Hi.","Neighbors"
"62",166759,168574,"Hey.Gay couple.","Neighbors"
"63",168599,170329,"There's a gay couple.Gay couple.","Neighbors"
"64",170439,172329,"They seem like a nice couple.They're so happy.","Neighbors"
"65",172439,173935,"That's awesome!Dream!","Neighbors"
"66",173960,175775,"It is. Well,it's the second dream.","Neighbors"
"67",175800,179055,"First dream, Taco Bell opens next door.That would be fucking dope.","Neighbors"
"68",179079,180735,"Hi!Hi!","Neighbors"
"69",180759,183330,"Hey. It's a fabulousneighborhood.","Neighbors"
"70",185639,187375,"She's awake.Really?","Neighbors"
"71",187400,189134,"She's awake.Okay.","Neighbors"
"72",189159,190294,"Okay.Well, bye.","Neighbors"
"73",190319,191366,"Okay. Bye. Love you.","Neighbors"
"74",191479,192534,"Love you. Bye.Have a good day.","Neighbors"
"75",192560,193615,"Can I come?","Neighbors"
"76",193639,194721,"Kidding.","Neighbors"
"77",194840,197280,"No, we'll have a great day! We'llhave a great day. Okay. Bye!","Neighbors"
"78",197800,198800,"I love you!","Neighbors"
"79",200280,202094,"Mac attack.","Neighbors"
"80",202120,203121,"Hey!","Neighbors"
"81",203240,204295,"Hey, there he is.","Neighbors"
"82",204319,205414,"Hey.","Neighbors"
"83",205439,207655,"I need thatMendelson file by 4:00.","Neighbors"
"84",207680,208935,"Okay, yeah.","Neighbors"
"85",208960,212254,"And this is not your Bro, thisis your boss talking.","Neighbors"
"86",212280,213854,"I'll have it to youby 3:30. How's that?","Neighbors"
"87",213879,215414,"Mac!Okay.","Neighbors"
"88",215439,216441,"Mac!","Neighbors"
"89",216560,217615,"What?","Neighbors"
"90",217639,218971,"Wait. Hold on.","Neighbors"
"91",219479,220605,"Whoo!","Neighbors"
"92",220759,221807,"Okay!","Neighbors"
"93",223560,225295,"Jeez, it's so far.","Neighbors"
"94",225319,229882,"Hey, we gotta go work on thatthing we were discussing.","Neighbors"
"95",230000,232055,"What thing?What's going on?","Neighbors"
"96",232079,235163,"We have to go workon that joint file.","Neighbors"
"97",235479,236735,"Of course. The joint file.","Neighbors"
"98",236759,238175,"You guys are doing a joint file?","Neighbors"
"99",238199,239295,"We have a joint file together.","Neighbors"
"100",239319,240935,"Yeah. We're prettydeep into it. It's tight.","Neighbors"
"101",240960,242814,"It's pretty thick.It's a big file.","Neighbors"
"102",242840,244649,"Pretty fat file.It's dank.","Neighbors"
"103",244759,245974,"We should blaze throughit, probably. Yeah.","Neighbors"
"104",246000,249294,"Yeah, we gotta file thatfor the THC Corporation.","Neighbors"
"105",249319,250685,"Okay.","Neighbors"
"106",250800,252131,"Because we are in the weeds.","Neighbors"
"107",253840,255974,"How's Stella?She's a cute baby.","Neighbors"
"108",256000,257014,"It's nice.","Neighbors"
"109",257040,259615,"I think I realized for the firstsix months, everything is fucked.","Neighbors"
"110",259639,261055,"Everything changes completely.Yeah.","Neighbors"
"111",261079,263774,"You're like, ""My life is over!Everything's different!""","Neighbors"
"112",263800,265375,"""Everything I could do,I can't do anymore.""","Neighbors"
"113",265399,268334,"But now, I realize that that'sall gonna go back to normal.","Neighbors"
"114",268360,270334,"You sure about that?She can start drinking soon.","Neighbors"
"115",270360,273134,"They make these little strips thattest your tit milk for alcohol.","Neighbors"
"116",273159,274495,"She puts them on her tits?","Neighbors"
"117",274519,276615,"Yeah, she puts them on her tits.Her tits are huge right now.","Neighbors"
"118",276639,278134,"Are they really?But I can't touch them.","Neighbors"
"119",278159,280055,"She won't even let me seethem, is what's fucked up.","Neighbors"
"120",280079,281134,"What?When we have sex,","Neighbors"
"121",281159,282654,"she leaves a wife-beater on.","Neighbors"
"122",282680,284454,"It's like having sexwith Tony Soprano.","Neighbors"
"123",284480,285534,"You're the goomahin this situation.","Neighbors"
"124",285560,286560,"Yeah, it's fucked up.","Neighbors"
"125",286680,288855,"You are the only one of our friendsthat has a house and a kid.","Neighbors"
