"id","startTime","endTime","text","title"
"1",101613,106129,"(man) Why should the Falls drag medown here at 5 o'clock in the morning?","Niagara"
"2",106213,109967,"To show me how big they areand how small l am?","Niagara"
"3",110173,113210,"To remind me they canget along without any help?","Niagara"
"4",113293,116922,"All right, so they've proved it. But why not?","Niagara"
"5",117013,120130,"They've had 10,000 years to get independent.","Niagara"
"6",120213,123046,"What's so wonderful about that?","Niagara"
"7",123133,127092,"l suppose l could, too,only it might take a little more time.","Niagara"
"8",183813,185804,"(key turns in lock)","Niagara"
"9",217333,219324,"Rose?","Niagara"
"10",220933,222332,"Rose?","Niagara"
"11",276213,277407,"(bells chiming a tune)","Niagara"
"12",299853,301411,"- Good morning.- Good morning.","Niagara"
"13",301493,304246,"- What is your destination in Canada?- Niagara Falls.","Niagara"
"14",304333,307291,"- What's the name of the place?- The Rainbow Cabins.","Niagara"
"15",307373,309568,"- What is your name?- Mr and Mrs Ray Cutler.","Niagara"
"16",309653,312008,"- And where do you live?- Toledo, Ohio.","Niagara"
"17",312093,313651,"- Where were you born?- Toledo.","Niagara"
"18",313733,315849,"- And where were you born?- Seattle.","Niagara"
"19",315933,319084,"Are you bringing in anythingbesides personal belongings?","Niagara"
"20",319173,320322,"No.","Niagara"
"21",320413,323086,"- How long do you plan to be here?- Three days.","Niagara"
"22",323173,325562,"- Honeymooners?- That's right.","Niagara"
"23",326293,328966,"That isn't liquor you have in that case, is it?","Niagara"
"24",329053,332329,"Uh, books. l'm goingto catch up on my reading.","Niagara"
"25",332413,334404,"Reading?","Niagara"
"26",339853,341286,"Fine thing.","Niagara"
"27",341373,345685,"l tell him we're on our honeymoon andyou drag out a copy of Winston Churchill.","Niagara"
"28",345773,347604,"He must think l'm pretty hot.","Niagara"
"29",347693,351447,"You should have told himwe're on a delayed honeymoon.","Niagara"
"30",351533,356243,"Delayed or not, we agreed to treat itlike a regular one, didn't we?","Niagara"
"31",357093,360768,"l'm game. lt'll be just as goodas a regular honeymoon.","Niagara"
"32",360853,362923,"Well, it should be better.","Niagara"
"33",363013,365402,"l've got my union card now.","Niagara"
"34",375893,378487,"- Hi.- Hi. We're the Cutlers.","Niagara"
"35",378573,381167,"- We wired for reservations.- Oh, yeah.","Niagara"
"36",383253,386290,"Let's see now. The Cutlers, huh?","Niagara"
"37",386373,388762,"Room overlooking the Falls. Cabin B.","Niagara"
"38",388853,391970,"Look, honey. You can see it from here!","Niagara"
"39",392053,395125,"- The Falls are that way.- He means the Shredded Wheat plant.","Niagara"
"40",395213,398125,"l work for 'em, but l'm seeingthe joint for the first time,","Niagara"
"41",398213,401125,"where breakfast foodbecame a national institution.","Niagara"
"42",401213,404125,"Why don't they have that downin that book of yours?","Niagara"
"43",404213,407046,"- Say, has there been a call for me?- A call? Nope.","Niagara"
"44",407133,412002,"l'd better phone over and tell 'em l'm here.Have him show you the cabin, honey.","Niagara"
"45",412093,414687,"- There's a phone in my office.- Thank you.","Niagara"
"46",421773,424128,"Oh, it's a beautiful view.","Niagara"
"47",424213,427410,"- Cabin B is ours?- The folks in there haven't checked out yet.","Niagara"
"48",427493,429529,"Then we can't move in.","Niagara"
"49",429613,431843,"Come on. l told them last night.","Niagara"
"50",432173,435370,"Hello? l wonder if l couldtalk to Mr Kettering, please.","Niagara"
"51",435453,438365,"Well, this is Ray Cutlerfrom the Toledo branch.","Niagara"
"52",438453,441172,"No, l'm not speaking from Toledo.l'm here in Niagara.","Niagara"
"53",441253,444245,"Mr Kettering wrote me to getin touch with him when l arrived.","Niagara"
"54",444333,448372,"l'm the guy that won the cash prize forthe most imaginative sales campaign.","Niagara"
"55",450533,452410,"(knocking)","Niagara"
"56",452493,455246,"- (cabin owner) Are you there, Mrs Loomis?- Shh!","Niagara"
"57",458893,461487,"Stop knocking. My husband's asleep.What is it?","Niagara"
"58",461773,465209,"The new folks are here. You weresupposed to be out this morning.","Niagara"
"59",466853,468844,"Just a second.","Niagara"
"60",485253,489531,"l'm awfully sorry about the cabin, butmy husband hasn't been feeling too well.","Niagara"
"61",489613,493003,"Please don't make me move him.He's finally fallen asleep.","Niagara"
"62",493093,497245,"- First good sleep he's had in over a week.- ls he sick, Mrs Loomis?","Niagara"
"63",497333,501292,"Well, he's not quite himself.He just sits around and...","Niagara"
"64",501373,507005,"Last night he got up and wandered aroundsomewhere at 3 or 4 o'clock. l was frantic.","Niagara"
"65",507493,511168,"- Have you seen a doctor?- Yes. Lately we've seen quite a few.","Niagara"
