"id","startTime","endTime","text","title"
"1",73656,76742,"Gentlemen, we are in danger. There is a storm coming.","Night at the Museum: Secret of the Tomb"
"2",76909,78661,"My men are terrified. We must leave.","Night at the Museum: Secret of the Tomb"
"3",78829,81371,"That tomb is here somewhere. I can feel it.","Night at the Museum: Secret of the Tomb"
"4",81539,83081,"Please, Robert, it's been two months!","Night at the Museum: Secret of the Tomb"
"5",83250,84417,"Archie, I'm not stopping!","Night at the Museum: Secret of the Tomb"
"6",84501,85626,"Dad!","Night at the Museum: Secret of the Tomb"
"7",85835,87670,"What's going on with this wind, Pop?","Night at the Museum: Secret of the Tomb"
"8",87837,89087,"C.J, go wait in the truck.","Night at the Museum: Secret of the Tomb"
"9",89256,90423,"I don't want to just wait in the truck.","Night at the Museum: Secret of the Tomb"
"10",90507,91841,"I said go! Windows up!","Night at the Museum: Secret of the Tomb"
"11",93384,94384,"Robert!","Night at the Museum: Secret of the Tomb"
"12",94469,95469,"Mr. Fredericks! What?","Night at the Museum: Secret of the Tomb"
"13",110027,111027,"Ah!","Night at the Museum: Secret of the Tomb"
"14",122581,126125,"Help!","Night at the Museum: Secret of the Tomb"
"15",159492,160742,"C.J?","Night at the Museum: Secret of the Tomb"
"16",160911,161953,"Are you all right?","Night at the Museum: Secret of the Tomb"
"17",162120,163120,"Yeah, I'm fine!","Night at the Museum: Secret of the Tomb"
"18",163288,164747,"I'm coming down!","Night at the Museum: Secret of the Tomb"
"19",166667,167667,"Yes!","Night at the Museum: Secret of the Tomb"
"20",171254,172879,"I looked for the tomb of Ahkmenrah for 20 years,","Night at the Museum: Secret of the Tomb"
"21",172965,173965,"and what do you do?","Night at the Museum: Secret of the Tomb"
"22",174132,175925,"You fall right into it!","Night at the Museum: Secret of the Tomb"
"23",176926,178927,"Amir, start loading the trucks.","Night at the Museum: Secret of the Tomb"
"24",179096,180096,"Mr. Fredericks...","Night at the Museum: Secret of the Tomb"
"25",180430,181430,"there is no time.","Night at the Museum: Secret of the Tomb"
"26",181598,183181,"The storm is almost upon us.","Night at the Museum: Secret of the Tomb"
"27",183349,184474,"Then you'd better hurry.","Night at the Museum: Secret of the Tomb"
"28",184768,186269,"Come on. Everybody works.","Night at the Museum: Secret of the Tomb"
"29",194694,196653,"Hey! What's the matter with you? Huh?","Night at the Museum: Secret of the Tomb"
"30",198990,200866,"He said, ""We must leave this place immediately.","Night at the Museum: Secret of the Tomb"
"31",202326,203995,"""If anyone disturbs this tomb...","Night at the Museum: Secret of the Tomb"
"32",206038,207038,"""the end will come.""","Night at the Museum: Secret of the Tomb"
"33",211795,213879,"""The end will come.""","Night at the Museum: Secret of the Tomb"
"34",221471,223014,"We load the trucks.","Night at the Museum: Secret of the Tomb"
"35",241657,244826,"I can't help feeling we're making a terrible mistake!","Night at the Museum: Secret of the Tomb"
"36",245037,247705,"We're not making a mistake, we're making history!","Night at the Museum: Secret of the Tomb"
"37",247872,249039,"Don't worry!","Night at the Museum: Secret of the Tomb"
"38",249206,251417,"C.J! Let's go!","Night at the Museum: Secret of the Tomb"
