"id","startTime","endTime","text","title"
"1",57799,59006,"(EVE BITING INTO APPLE)","Noah"
"2",81000,82683,"(GROWLING)","Noah"
"3",125599,128842,"LAMECH: From Adam to Seth,from Seth to Enosh,","Noah"
"4",129280,133443,"Enosh to Kenan,Kenan to Mahalalel","Noah"
"5",133960,137725,"to my father, Methuselah,then to me.","Noah"
"6",138479,141050,"Today, that birthrightpasses to you,","Noah"
"7",142240,143365,"Noah.","Noah"
"8",143800,145484,"My son.","Noah"
"9",158199,160680,"The Creator made Adamin His image,","Noah"
"10",160759,163331,"and then placedthe world in his care.","Noah"
"11",164280,168682,"This is your work now.Your responsibility.","Noah"
"12",171280,175170,"May you walkalongside The Creator in righteousness.","Noah"
"13",181479,183129,"So I say to you...","Noah"
"14",183520,184850,"YOUNG TUBAL-CAIN:The Shrine of Seth!","Noah"
"15",185479,186925,"Men.","Noah"
"16",187199,188531,"Hide.","Noah"
"17",196599,198522,"YOUNG TUBAL-CAIN:We mine here.","Noah"
"18",201879,204450,"The ground is richwith tzohar.","Noah"
"19",206159,209163,"This is The Creator's land.What are you doing?","Noah"
"20",209360,210407,"(GRUNTS)","Noah"
"21",211360,212599,"YOUNG TUBAL-CAIN:The Creator?","Noah"
"22",212920,214968,"My mines run dry.","Noah"
"23",215120,217805,"My city withersand must be fed.","Noah"
"24",217960,219883,"And what has He done?","Noah"
"25",221719,223050,"He cursed usto struggle","Noah"
"26",223159,225322,"by the sweat ofour brow to survive!","Noah"
"27",225800,228086,"Damned if I don't doeverything it takes","Noah"
"28",228159,229650,"to do just that.","Noah"
"29",229759,230920,"(SPITS)","Noah"
"30",232159,235323,"Damned if I don't takewhat I want.","Noah"
"31",243800,246962,"This relic belongs tothe descendants of Cain now.","Noah"
"32",248120,249929,"The line of Seth ends here.","Noah"
"33",250800,251961,"-(GROANS)-(GASPS)","Noah"
"34",256639,259483,"It is ours. Now dig!","Noah"
"35",315360,316406,"NOAH: Ham.","Noah"
"36",317680,319011,"What are you doing?","Noah"
"37",319519,321009,"It's pretty.","Noah"
"38",322920,324206,"You see thoseother flowers?","Noah"
"39",325040,326564,"How they're attachedto the ground?","Noah"
"40",327160,328764,"That's where they should be.","Noah"
"41",329879,331608,"They have a purpose.","Noah"
"42",331920,333081,"They sprout.","Noah"
"43",333759,335045,"And they bloom.","Noah"
"44",335240,337766,"The wind takes their seedsand more flowers grow.","Noah"
"45",338680,340920,"We only collectwhat we can use, and what we need.","Noah"
"46",341600,342886,"Do you understand?","Noah"
"47",363800,364880,"Shem.","Noah"
"48",365600,366761,"Ham.","Noah"
"49",368079,369365,"Let's go.","Noah"
"50",372240,374242,"(ANIMAL SCREECHING)","Noah"
"51",377600,379204,"(WHIMPERING)","Noah"
