"id","startTime","endTime","text","title"
"1",136845,140556,"Even if you accept the belief that thehigh Trendex means a rising sales curve...","North by Northwest"
"2",140723,142015,"- Mr. Thornhill.- Good night.","North by Northwest"
"3",142183,144643,"- Say hello to the missus.- We're not talking.","North by Northwest"
"4",144811,146520,"My recommendation is still the same.","North by Northwest"
"5",146688,149731,"Spread the good wordin as many small-time segments as we can.","North by Northwest"
"6",149899,153861,"Let the opposition have their high ratingswhile we cry all the way to the bank.","North by Northwest"
"7",154028,156196,"Why don't we colonizeat the Colony next week?","North by Northwest"
"8",156364,158991,"Let me hear from you, Sam.Uh, happy thoughts, et cetera.","North by Northwest"
"9",159159,160617,"You better walk me to the Plaza.","North by Northwest"
"10",160785,163704,"- I didn't put a coat on.- Use your blood sugar, child. Come on.","North by Northwest"
"11",164414,165622,"- Next?- Gretchen Sabinson.","North by Northwest"
"12",165790,169126,"Oh, yes. Send her a box of candyfrom Blum's, $10. You know the kind.","North by Northwest"
"13",169294,171628,"Each piece wrapped in gold paper.She'll like that.","North by Northwest"
"14",171796,173255,"She'll think she's eating money.","North by Northwest"
"15",173423,176091,"Just say to her:""Darling, I count the days, the hours...""","North by Northwest"
"16",176259,178135,"- You sent that one last time.- I did?","North by Northwest"
"17",178303,182347,"Well, put: ""Something for your sweet tooth,baby, and all your other sweet parts.""","North by Northwest"
"18",182515,184600,"- I know.- Could we take a cab, Mr. Thornhill?","North by Northwest"
"19",184767,186810,"- For two blocks?- You're late and I'm tired.","North by Northwest"
"20",186978,189521,"That's your trouble, Maggie,you don't eat properly.","North by Northwest"
"21",189689,191148,"Here. Taxi.","North by Northwest"
"22",191774,194276,"I have a very sick woman here.You don't mind, do you?","North by Northwest"
"23",194444,195903,"- Well, no.- Thank you very much.","North by Northwest"
"24",196070,197112,"Perfectly all right.","North by Northwest"
"25",197947,201158,"- First stop, the Plaza. Don't throw the flag.- Poor man.","North by Northwest"
"26",201326,203410,"Oh, come, come, come.I made him a happy man.","North by Northwest"
"27",203578,207789,"- I made him feel like a good Samaritan.- He knew you were lying.","North by Northwest"
"28",207957,211126,"Ah, in the world of advertising,there's no such thing as a lie.","North by Northwest"
"29",211294,215255,"There's only the expedient exaggeration.You ought to know that.","North by Northwest"
"30",215423,218258,"- Say, do I look heavyish to you?- What?","North by Northwest"
"31",218426,219843,"I feel heavyish.","North by Northwest"
"32",220011,222512,"Put a note on my desk in the morning:""Think thin.""","North by Northwest"
"33",222680,224473,"""Think thin.""","North by Northwest"
"34",224641,227559,"- Better make it the 59th Street entrance.- Okay.","North by Northwest"
"35",228311,230437,"Oh. Soon as you get back,call my mother.","North by Northwest"
"36",230605,233148,"Remind her we've got those theater ticketsfor tonight.","North by Northwest"
"37",233316,235067,"Dinner at 21, 7:00.","North by Northwest"
"38",235235,239154,"I'll have had two martinis at the Oak Bar,so she needn't bother to sniff my breath.","North by Northwest"
"39",239322,242157,"- She doesn't do that.- Sure she does. Like a bloodhound.","North by Northwest"
"40",242325,245827,"Bigelow at 10:30 is your first tomorrow,the Skin Glow rehearsal at noon...","North by Northwest"
"41",245995,247996,"...then lunch with Falcon and his wife.","North by Northwest"
"42",248164,250457,"- Oh, yeah. Where was that?- Larry and Arnold's, 1:00.","North by Northwest"
"43",250625,252584,"- Oh.- Will you check in later?","North by Northwest"
"44",252752,253794,"Absolutely not.","North by Northwest"
"45",255129,257714,"Here, driver, take this ladyback where she belongs.","North by Northwest"
"46",257882,259883,"- Right.- That ought to cover it.","North by Northwest"
"47",260760,263136,"- Don't forget, call my mother right away.- I won't.","North by Northwest"
"48",263304,266181,"- Good night, Mr. Thornhill.- Good night, sweetie.","North by Northwest"
"49",268851,272020,"Oh, wait, Maggie. You can't call her.She's at Mrs...","North by Northwest"
"50",294043,295377,"- Good evening.- Good evening.","North by Northwest"
"51",295545,297963,"I'm looking for Mr. Weltnerand two other gentlemen.","North by Northwest"
"52",298131,299881,"Yes, sir. Right this way.","North by Northwest"
"53",301134,302175,"- Herman.- Roger.","North by Northwest"
"54",302343,304011,"- I'm a little late.- Roger Thornhill.","North by Northwest"
"55",304178,305637,"- Fanning Nelson.- How do you do?","North by Northwest"
"56",305805,307347,"- How do you do?- Larry Wade.","North by Northwest"
"57",307515,310559,"- We got a little head start here.- Oh, that won't last long.","North by Northwest"
"58",310727,315230,"I was telling Larry and Fanning you may beslow on starting but there's nobody faster.","North by Northwest"
"59",315398,318817,"- What's the matter? You've got the fidgets.- I just did something stupid.","North by Northwest"
"60",318985,322571,"I told my secretary to call Mother.I realized she won't be able to reach her.","North by Northwest"
"61",322739,325699,"- Why not?- She's playing bridge at one of her cronies'.","North by Northwest"
"62",325867,328285,"- Your secretary?- No. My mother.","North by Northwest"
"63",328453,331496,"One of those new apartments.Wet paint and no telephone yet.","North by Northwest"
"64",331664,333915,"- George Kaplan.- Perhaps if I send her a telegram.","North by Northwest"
"65",334083,335709,"- Mr. George Kaplan?- Boy.","North by Northwest"
"66",342050,344301,"- Kaplan.- I've got to get off a wire immediately.","North by Northwest"
"67",344469,346762,"Could you send it for meif I write it out for you?","North by Northwest"
"68",346929,349431,"Oh, I'm not permitted to do that, sir,but if you'll follow me.","North by Northwest"
"69",349599,352434,"- Oh. Will you excuse me, gentlemen?- Go right ahead.","North by Northwest"
"70",355938,357814,"- Right through there, sir.- Yeah, thanks.","North by Northwest"
"71",357982,359649,"Thank you, sir.","North by Northwest"
"72",361611,363111,"Wait, what's that supposed to be?","North by Northwest"
"73",363279,366740,"The car's waiting outside.You will walk between us saying nothing.","North by Northwest"
"74",366908,369076,"- What are you talking about?- Let's go.","North by Northwest"
"75",369243,372287,"Let's go where? Who...? Who are you?","North by Northwest"
"76",372455,374539,"Mere errand boyscarrying concealed weapons.","North by Northwest"
"77",374707,378668,"His is pointed at your heart. So, please,no errors of judgment, I beg of you.","North by Northwest"
"78",378836,380629,"What is this, a joke or something?","North by Northwest"
"79",380797,384132,"- Yes, a joke. We will laugh in the car.- Come.","North by Northwest"
"80",384300,385801,"But this is ridiculous.","North by Northwest"
"81",406906,409950,"Don't tell me where we're going,surprise me.","North by Northwest"
"82",411828,414496,"You know, I left some friends back therein the Oak Bar.","North by Northwest"
"83",414664,416540,"They're going to think I'm awfully rude.","North by Northwest"
"84",416707,419501,"I mean, uh, couldn't we stop offat a drugstore for a moment...","North by Northwest"
"85",419669,423922,"...so that I could explainI'm being, uh, kidnapped?","North by Northwest"
"86",424090,426675,"Well, that is what's happening, isn't it?","North by Northwest"
"87",435977,437394,"Locked.","North by Northwest"
"88",450032,452033,"Who's Townsend?","North by Northwest"
"89",453744,455328,"Really?","North by Northwest"
"90",455496,457205,"Interesting.","North by Northwest"
"91",501417,503168,"- Where is he?- Upstairs, dressing.","North by Northwest"
"92",503336,505754,"- Tell him I'm here.- The dinner guests are expected.","North by Northwest"
"93",505922,507964,"Never mind that. Say to him: ""Kaplan.""","North by Northwest"
"94",508132,510383,"By the way,what are we having for dessert?","North by Northwest"
"95",510551,512135,"- Is anyone in the library?- No.","North by Northwest"
"96",512303,513762,"This way.","North by Northwest"
"97",524941,526107,"You will wait here.","North by Northwest"
"98",526275,529194,"Well, don't hurry.I'll catch up on my reading.","North by Northwest"
"99",571904,572946,"Good evening.","North by Northwest"
"100",596512,599556,"Not what I expected. A little taller.","North by Northwest"
"101",600016,602350,"A little more polished than the others.","North by Northwest"
"102",603227,606187,"Oh, I'm so glad you're pleased,Mr. Townsend.","North by Northwest"
"103",606355,609691,"But I'm afraid just as obvious.","North by Northwest"
"104",610318,613153,"What the devil is all this about?Why was I brought here?","North by Northwest"
"105",615364,617866,"Games? Must we?","North by Northwest"
"106",619118,620869,"Not that I mind a case of abduction...","North by Northwest"
"107",621037,623663,"...but I have ticketsfor the theater this evening.","North by Northwest"
"108",623831,628376,"To a show I was looking forward to. And Iget unreasonable about things like that.","North by Northwest"
"109",628544,632505,"With such expert play-acting,you make this very room a theater.","North by Northwest"
"110",633633,637135,"Oh, Leonard,have you met our distinguished guest?","North by Northwest"
"111",638721,640513,"He's a well-tailored one, isn't he?","North by Northwest"
"112",641057,644559,"My secretary is a great admirerof your methods, Mr. Kaplan.","North by Northwest"
"113",644727,648813,"- Elusiveness, however misguided...- Wait a minute. Wait, wait.","North by Northwest"
"114",648981,651941,"- Did you call me ""Kaplan""?- I know you're a man of many names...","North by Northwest"
"115",652109,654819,"...but I'm perfectly willing to acceptyour current choice.","North by Northwest"
"116",654987,656154,"Current choice?","North by Northwest"
"117",656322,659616,"My name is Thornhill. Roger Thornhill.It's never been anything else.","North by Northwest"
"118",659784,661326,"Of course.","North by Northwest"
"119",661911,665705,"Your friends picked up the wrong packagewhen they bundled me out here in the car.","North by Northwest"
"120",665873,667749,"Do sit down, Mr. Kaplan.","North by Northwest"
"121",668209,671336,"I told you, I'm not Kaplan,whoever he is. I'm...","North by Northwest"
"122",671504,673046,"- Excuse me.- Yes?","North by Northwest"
"123",673214,674422,"The guests are here, dear.","North by Northwest"
"124",674590,677759,"Look after them. I'll bewith you in a few minutes.","North by Northwest"
"125",679553,681596,"Now, shall we get down to business?","North by Northwest"
"126",681764,682931,"I'm all for that.","North by Northwest"
"127",683099,686434,"Simply, I'd like you to tell mehow much you know of our arrangements...","North by Northwest"
"128",686602,688728,"...and how you've come bythis information.","North by Northwest"
"129",688896,691439,"- I don't expect to get this for nothing.- Of course not.","North by Northwest"
"130",691607,695068,"Don't misunderstand, I don't expect youto fall in with this suggestion...","North by Northwest"
"131",695236,699739,"...but the least I can do is afford youthe opportunity of surviving the evening.","North by Northwest"
"132",702952,704911,"What the devil is that supposed to mean?","North by Northwest"
"133",705079,707706,"Why don't you surprise me,Mr. Kaplan, and say yes?","North by Northwest"
"134",707873,710709,"- I've already told you...- We know where you're headed for.","North by Northwest"
"135",710876,711960,"I know where I'm headed.","North by Northwest"
"136",712128,716464,"I'm headed for the Winter Garden Theater inNew York, and I think I'd better get going.","North by Northwest"
"137",724974,727100,"Townsend,you're making a serious mistake.","North by Northwest"
"138",727518,731312,"This is not going to leadto a very happy conclusion, Mr. Kaplan.","North by Northwest"
"139",731480,734482,"- I'm not Kaplan.- I do wish you'd reconsider.","North by Northwest"
"140",734650,739237,"We also know your contact in Pittsburghsince Jason committed suicide.","North by Northwest"
"141",739405,742657,"What contact?I've never even been in Pittsburgh.","North by Northwest"
"142",743325,746661,"On June the 16th, you checkedinto the Sherwyn Hotel in Pittsburgh...","North by Northwest"
"143",746829,749789,"...as Mr. George Kaplanof Berkeley, California.","North by Northwest"
"144",749957,752834,"A week later, you registeredat the Benjamin Franklin Hotel...","North by Northwest"
"145",753002,754753,"...as Mr. George Kaplan of Pittsburgh.","North by Northwest"
"146",754920,757338,"On August 11th,you stayed at the Statler in Boston.","North by Northwest"
"147",757506,761176,"August the 29th, George Kaplan of Bostonregistered at the Whittier in Detroit.","North by Northwest"
"148",761343,763511,"At present, you are registeredin room 796...","North by Northwest"
"149",763679,766765,"...at the Plaza Hotel in New Yorkas Mr. George Kaplan of Detroit.","North by Northwest"
"150",766932,768016,"- Really?- In two days...","North by Northwest"
"151",768184,771436,"...you are due at the Ambassador Eastin Chicago.","North by Northwest"
"152",771604,775273,"And then at the Sheraton-Johnson Hotelin Rapid City, South Dakota.","North by Northwest"
"153",775441,777358,"- Not me.- There's very little sense...","North by Northwest"
"154",777526,781362,"...in maintaining that you're deceiving usany more than we're deceiving you.","North by Northwest"
"155",781530,784532,"I don't suppose it would do any goodto show you ID cards...","North by Northwest"
"156",784700,788787,"- ...a driver's license, things like that?- They provide you with such good ones.","North by Northwest"
"157",789705,792332,"It's getting late. I have guests.","North by Northwest"
"158",792500,795919,"Do you intend to cooperate with us?I'd like a simple yes or no.","North by Northwest"
"159",796086,797295,"A simple no.","North by Northwest"
"160",797463,801382,"For the simple reason I simply don't knowwhat you're talking about.","North by Northwest"
"161",805387,807430,"Give Mr. Kaplan a drink, Leonard.","North by Northwest"
"162",807598,809307,"A pleasant journey, sir.","North by Northwest"
"163",820611,826991,"- Scotch? Rye? Bourbon? Vodka?- Nothing. I'll take a quick ride back to town.","North by Northwest"
"164",827159,828910,"Oh, that has been arranged.","North by Northwest"
"165",829078,832413,"But first, a libation.","North by Northwest"
"166",832581,833665,"Bourbon.","North by Northwest"
"167",834250,837168,"You drink it.I've had enough stimulation for one day.","North by Northwest"
"168",837336,842507,"It'll be easier if you take this yourself.Otherwise, it'll be necessary for us to insist.","North by Northwest"
"169",855938,857605,"Cheers.","North by Northwest"
"170",905779,908072,"Don't worry about me, fellas.I'll take the bus.","North by Northwest"
"171",1079995,1081329,"Thanks for the lift, fellas.","North by Northwest"
"172",1081497,1084207,"I want this man examined for drivingwhile intoxicated.","North by Northwest"
"173",1084374,1085666,"- Really?- Yeah.","North by Northwest"
"174",1085834,1089587,"You see, they tried to kill me.He won't listen to me.","North by Northwest"
"175",1089755,1091923,"In a big house, they tried to kill me.","North by Northwest"
"176",1092091,1095218,"- All right, let's just go inside.- I don't wanna go inside.","North by Northwest"
"177",1095385,1099263,"- Somebody call the police.- Come on. Come on now.","North by Northwest"
"178",1099431,1100890,"Okay.","North by Northwest"
"179",1108982,1110399,"Sit down.","North by Northwest"
"180",1111151,1112693,"I don't wanna sit.","North by Northwest"
"181",1113237,1115154,"Perfectly all right. See?","North by Northwest"
"182",1115322,1119367,"We'll get them. We'll throw the bookat them. Assault and kidnapping.","North by Northwest"
"183",1119535,1123037,"Assault with a gun, and a bourbon,and a sports car. We'll get them.","North by Northwest"
"184",1123205,1126958,"You'll be all right after a good night'ssleep. We got a nice cell all made up.","North by Northwest"
"185",1127126,1131838,"- I don't want a cell. I want a policeman.- The car was just reported stolen.","North by Northwest"
"186",1132172,1135341,"- Uh-huh.- A Mrs. Babson up on Twining Road.","North by Northwest"
"187",1135509,1139679,"- I got to call someone. Where's the phone?- You're allowed one call.","North by Northwest"
"188",1139847,1142431,"- Over here.- Oh, thanks.","North by Northwest"
"189",1142599,1144976,"You better make it your lawyer.","North by Northwest"
"190",1145561,1147728,"Butterfield 8-1-0-9-8.","North by Northwest"
"191",1147896,1149897,"What am I, a telephone operator?","North by Northwest"
"192",1150065,1152608,"Butterfield 8-1 -0-9-8.","North by Northwest"
