"id","startTime","endTime","text","title"
"1",22840,24400,"So stay with us becauselater this afternoon,","Notting Hill"
"2",24480,27280,"we're lucky enoughto be talking to Anna Scott,","Notting Hill"
"3",27360,29200,"Hollywood's biggest star by far.","Notting Hill"
"4",29440,32400,"Miss Scott's latest filmis once again topping the charts.","Notting Hill"
"5",36600,41080,"# She may be the faceI can't forget #","Notting Hill"
"6",41160,45080,"# A trace of pleasure or regret #","Notting Hill"
"7",45160,48920,"# May be my treasure or the price #","Notting Hill"
"8",49000,51280,"# I have to pay #","Notting Hill"
"9",51320,54280,"# She may be the mirror #","Notting Hill"
"10",54360,56200,"# Of my dream #","Notting Hill"
"11",56280,59600,"# A smile reflected in a stream #","Notting Hill"
"12",59640,63120,"# She may not be what she may seem #","Notting Hill"
"13",63160,68560,"# inside her shell #","Notting Hill"
"14",68640,73040,"# She who always seemsso happy in a crowd #","Notting Hill"
"15",73120,76720,"# Whose eyes can beso private and so proud #","Notting Hill"
"16",76760,82400,"# No one's allowedto see them when they cry #","Notting Hill"
"17",82480,87280,"# She may be the lovethat cannot hope to last #","Notting Hill"
"18",87360,91600,"# May come to mefrom shadows of the past #","Notting Hill"
"19",91640,94680,"# That I'll remember till the day #","Notting Hill"
"20",94760,96720,"# I die #","Notting Hill"
"21",96760,101440,"# She may be the reason I survive #","Notting Hill"
"22",101520,105040,"# The why and wherefore I'm alive #","Notting Hill"
"23",105080,108200,"# The one I'll care forthrough the rough #","Notting Hill"
"24",108280,110520,"# And ready years #","Notting Hill"
"25",110600,115480,"# Me, I'll take her laughterand her tears #","Notting Hill"
"26",115560,119000,"# And make them all my souvenirs #","Notting Hill"
"27",119080,122360,"# For where she goes I've got to be #","Notting Hill"
"28",122400,125480,"# The meaning of my life is #","Notting Hill"
"29",125560,128240,"# She #","Notting Hill"
"30",128280,134160,"# She #","Notting Hill"
"31",134200,140080,"# Oh, she #","Notting Hill"
"32",140240,140920,"Of course I've seen her films...","Notting Hill"
"33",140920,142400,"Of course I've seen her films...","Notting Hill"
"34",142480,144760,"and always thoughtshe was, well, fabulous.","Notting Hill"
"35",144840,147640,"But, you know, a million, million milesfrom the world I live in...","Notting Hill"
"36",147720,152200,"which is here, Notting Hill,my favorite bit of London.","Notting Hill"
"37",152280,156200,"There's the market on weekdays sellingevery fruit and vegetable known to man.","Notting Hill"
"38",156280,159280,"Rock hard bananas,five for a pound!","Notting Hill"
"39",159360,162040,"The tattoo parlorwith a guy outside who got drunk...","Notting Hill"
"40",162080,165400,"and now can't rememberwhy he chose ""I love Ken.""","Notting Hill"
"41",165480,168034,"The radical hairdresserswhere everyone comes out","Notting Hill"
"42",168035,169720,"looking like the Cookie Monster,","Notting Hill"
"43",169760,171920,"whether they want to or not.","Notting Hill"
"44",171960,174000,"And then, suddenly,it's the weekend,","Notting Hill"
"45",174040,176640,"and from break of day hundredsof stalls appear out of nowhere,","Notting Hill"
"46",176720,179280,"filling Portobello Road,right up to Notting Hill Gate.","Notting Hill"
"47",179320,182760,"And wherever you look thousands ofpeople are buying millions of antiques,","Notting Hill"
"48",182840,187760,"some genuine and some...not quite so genuine.","Notting Hill"
"49",187840,191400,"And what's great is that lots of friendshave ended up in this part of London.","Notting Hill"
"50",191480,194840,"That's Tony, for example,architect turned chef,","Notting Hill"
"51",194920,198200,"who recently invested all the moneyhe ever earned in a new restaurant.","Notting Hill"
"52",198280,201320,"And so, this is whereI spend my days and years...","Notting Hill"
"53",201400,205080,"in this small village in the middle ofthe city in a house with a blue door...","Notting Hill"
"54",205120,208440,"that my wife and I bought togetherbefore she left me for a man...","Notting Hill"
"55",208520,211000,"who looked exactly like Harrison Ford.","Notting Hill"
"56",211080,213920,"And where I lead a strange half-lifewith a lodger called--","Notting Hill"
"57",214000,215840,"Spike!","Notting Hill"
"58",219520,223720,"You couldn't help me with an incredibleimportant decision, could you?","Notting Hill"
"59",223800,225762,"Is this important incomparison to, let's say,","Notting Hill"
"60",225763,227640,"whether they shouldcancel Third World debt?","Notting Hill"
"61",227720,230720,"That's right. I am at last going outon a date with the great Janine,","Notting Hill"
"62",230800,233000,"and I just wanna be sureI've picked the right T-shirt.","Notting Hill"
"63",233080,235880,"- What are the choices?- Well, wait for it.","Notting Hill"
"64",242920,246120,"First there's this one.Cool, huh?","Notting Hill"
"65",246280,250440,"Yeah, it might make it hardto strike a really romantic note.","Notting Hill"
"66",250480,252360,"Point taken.Don't despair.","Notting Hill"
"67",252400,256000,"If it's romance we're looking for,I believe I have just the thing.","Notting Hill"
"68",260040,263800,"Yeah, well, there again, she might notthink you had true love on your mind.","Notting Hill"
"69",263880,266760,"Right.Just one more.","Notting Hill"
"70",272200,274560,"True love here I come.","Notting Hill"
"71",279400,283640,"Well, yeah. Yeah, that's--that's, um, perfect.","Notting Hill"
"72",283720,286560,"Great. Thanks.","Notting Hill"
"73",286640,289800,"- Wish me luck.- Good luck.","Notting Hill"
"74",294960,297440,"And so it was just anotherhopeless Wednesday,","Notting Hill"
"75",297520,300160,"as I walked the thousand yardsthrough the market to work,","Notting Hill"
"76",300240,302364,"never suspecting that this was the day","Notting Hill"
"77",302365,304600,"that was gonna changemy life forever.","Notting Hill"
"78",304680,308000,"This is work, by the way,my little travel bookshop,","Notting Hill"
"79",309040,312000,"- Morning, Martin.- Morning, Monsignor.","Notting Hill"
"80",312040,314960,"which, um, well, sells travel books,","Notting Hill"
"81",315040,318280,"and to be frank with you,doesn't always sell many of those.","Notting Hill"
"82",321800,325200,"Classic.Profit from major sales push,","Notting Hill"
"83",325280,328240,"minus 347 pounds.","Notting Hill"
"84",329760,333240,"Shall l, uh,go and get you a cappuccino?","Notting Hill"
"85",333320,336160,"- You know, ease the pain a bit.- Yeah, yeah.","Notting Hill"
"86",336240,339200,"Better make it a half.All I can afford.","Notting Hill"
"87",339280,343920,"Get your logic.Demi-cappu coming right up.","Notting Hill"
"88",367120,369440,"Um, can I help you at all?","Notting Hill"
"89",370760,373920,"No, thanks.I'll just... look around.","Notting Hill"
"90",374960,377680,"Fine.","Notting Hill"
"91",382920,386000,"Uh, that book's really not great.","Notting Hill"
"92",386080,388528,"Just in case, you know,browsing turned to buying.","Notting Hill"
"93",388529,389920,"You'd be wasting your money.","Notting Hill"
"94",390000,392400,"But if it's Turkeyyou're interested in,","Notting Hill"
"95",392480,395360,"um, this one, on the other hand,is very good.","Notting Hill"
"96",395440,399520,"Um, I think the man who wrote it hasactually been to Turkey, which helps.","Notting Hill"
"97",399560,403320,"Um, there's alsoa very amusing incident with a kebab,","Notting Hill"
"98",403400,406040,"um, which is oneof many amusing incidents.","Notting Hill"
"99",406120,408000,"Thanks.I'll think about it.","Notting Hill"
"100",408040,410480,"Or, in the bigger hardback variety,there's--","Notting Hill"
"101",410560,414440,"I'm sorry.Can you just give me a second?","Notting Hill"
"102",417480,419600,"Excuse me.","Notting Hill"
"103",419680,421600,"- Yes?- Bad news.","Notting Hill"
"104",421680,423080,"What?","Notting Hill"
"105",423120,426560,"We've got a security camerain this bit of the shop.","Notting Hill"
"106",426640,427840,"So?","Notting Hill"
"107",427920,430560,"So I saw you put that bookdown your trousers.","Notting Hill"
"108",431880,435920,"- What book?- The one down your trousers.","Notting Hill"
"109",436000,438480,"I don't have a bookdown my trousers.","Notting Hill"
"110",438560,440440,"Right.","Notting Hill"
"111",440520,442720,"I tell you what.Um, I'll call the police, and, um,","Notting Hill"
"112",442760,446440,"if I'm wrong about the whole""book down the trousers"" scenario,","Notting Hill"
"113",446520,447880,"I really apologize.","Notting Hill"
"114",447960,453120,"Okay. What if... I didhave a book down my trousers?","Notting Hill"
"115",453160,455920,"Well, ideally,when I went back to the desk,","Notting Hill"
"116",456000,460880,"you'd remove the Cadogan Guideto Bali from your trousers...","Notting Hill"
"117",460960,464000,"and either wipe itand put it back or buy it.","Notting Hill"
"118",464080,466400,"I'll see you in a sec.","Notting Hill"
"119",466440,468840,"I'm sorry about that.","Notting Hill"
"120",468880,471320,"No, it's fine.","Notting Hill"
