"id","startTime","endTime","text","title"
"1",1000,4073,"Subtitles downloaded from Podnapisi.NET","Oblivion"
"2",40880,43963,"Earth, before the war.","Oblivion"
"3",45600,48728,"New York, before I was born.","Oblivion"
"4",49840,53844,"A place I've only seen pictures of.","Oblivion"
"5",54359,55600,"I know you...","Oblivion"
"6",55880,57722,"But we've never met.","Oblivion"
"7",59159,60764,"I'm with you...","Oblivion"
"8",61719,64325,"But I don't know your name.","Oblivion"
"9",66239,70768,"I know I'm dreaming.But it feels like more than that.","Oblivion"
"10",72439,74760,"It feels like a memory.","Oblivion"
"11",77039,79087,"How can that be?","Oblivion"
"12",88879,92168,"March 14th, 2077.","Oblivion"
"13",92359,95408,"Five years since the mandatory memory wipe.","Oblivion"
"14",95560,98530,"And I'm still haunted by these dreams.","Oblivion"
"15",101479,103960,"Victoria and I were assigned together.","Oblivion"
"16",104159,108484,"In two weeks, our mission here will be finished,and we'll join the others.","Oblivion"
"17",109280,112170,"But the questions I ask, she doesn't.","Oblivion"
"18",112319,115323,"The things I wonder about, she won't.","Oblivion"
"19",116599,120365,"It's been half a centurysince the scavengers destroyed our moon.","Oblivion"
"20",120519,125003,"Forced to leave their own dying planet,they came to take ours.","Oblivion"
"21",125159,128323,"Without the moon,the Earth was thrown into chaos.","Oblivion"
"22",128520,130841,"Earthquakes toppled cities within hours.","Oblivion"
"23",131520,134330,"Tsunamis wiped out what remained.","Oblivion"
"24",134479,136527,"Then came the invasion.","Oblivion"
"25",137439,139681,"We did what we had to do.","Oblivion"
"26",140199,142282,"We used the nukes.","Oblivion"
"27",143840,147447,"We won the war, but lost the planet.","Oblivion"
"28",147639,151645,"Left it contaminated.Most of it uninhabitable.","Oblivion"
"29",152920,156640,"What remained of humanityhad to leave the Earth.","Oblivion"
"30",157120,160841,"We built the Tet, our mission control.","Oblivion"
"31",160960,164361,"A temporary space stationbefore the migration to Titan,","Oblivion"
"32",164560,166562,"Saturn's largest moon.","Oblivion"
"33",166719,168289,"Everyone's there now.","Oblivion"
"34",168879,171929,"Well, almost everyone.","Oblivion"
"35",172639,176645,"Until our tour is complete,Vika and I do our job.","Oblivion"
"36",176800,178403,"We protect the hydro rigs,","Oblivion"
"37",178560,180483,"which convert Earth's sea water","Oblivion"
"38",180599,182568,"into fusion energy for the new colony.","Oblivion"
"39",182719,185165,"The survival of humanity depends on it.","Oblivion"
"40",190479,191719,"Thank you for the coffee.","Oblivion"
"41",191919,195969,"Remnants of the scavenger armycontinue to disrupt the operation.","Oblivion"
"42",196240,198526,"They attack our drones at night,","Oblivion"
"43",198639,200926,"and try to kill me during the day.","Oblivion"
"44",201319,204243,"There's still fight in them,but I don't know why.","Oblivion"
"45",205680,208159,"Mission says we have done well.","Oblivion"
"46",208520,212002,"That we are an effective team.","Oblivion"
"47",221920,224206,"Vika's my communications officer.","Oblivion"
"48",224360,226361,"She keeps an eye on me.","Oblivion"
"49",227159,229207,"I handle drone maintenance.","Oblivion"
"50",229759,232286,"The drones watch everything.","Oblivion"
"51",233280,237126,"Vika can't wait to go.Me, I'm not so sure.","Oblivion"
"52",238960,241122,"I can't shake the feeling that Earth,","Oblivion"
"53",241240,243401,"in spite of all that's happened...","Oblivion"
"54",243560,246165,"Earth is still my home.","Oblivion"
"55",271759,273841,"Jack Harper, Tech-49.","Oblivion"
"56",300600,303000,"Morning, Bob.","Oblivion"
"57",310480,311845,"Tower, comm check.","Oblivion"
"58",312040,314850,"Drone Maintenance Technician 49,hydro rig support.","Oblivion"
"59",315040,317930,"All Bubbleship systems are green.","Oblivion"
"60",318079,319127,"I'm good to go.","Oblivion"
"61",319279,321567,"Copy, Tech-49, you're cleared.Be careful out there.","Oblivion"
"62",321720,323687,"- Always am.- No, you're not.","Oblivion"
"63",324120,327841,"Yeah, you're right.I gotta work on that.","Oblivion"
"64",336319,338401,"All right, Tet's coming online in 30 seconds.","Oblivion"
"65",338560,341723,"Relaying hydro rig coordinates now.Confirm visual.","Oblivion"
"66",346360,349682,"I got 'em. Hydro rigs are sucking seawater.","Oblivion"
"67",351199,352247,"You got 'em, Bob?","Oblivion"
"68",355040,356882,"Drone 185 looks good.","Oblivion"
"69",363920,365684,"Jack, we've got two drones down.","Oblivion"
"70",367240,368240,"Shit.","Oblivion"
"71",368399,370004,"Stand by, Mission coming online.","Oblivion"
"72",372000,374081,"And we have Tet contact.","Oblivion"
"73",376759,378091,"Morning, boss.","Oblivion"
"74",379360,381442,"Tower 49, this is Mission Control.","Oblivion"
"75",381600,383682,"How y'all doing this lovely morning?","Oblivion"
"76",383839,388004,"Another day in paradise, Sally.Uploading data now.","Oblivion"
"77",388240,391721,"49 mission log.Day 1642, hydro rig support.","Oblivion"
"78",391879,393769,"- I have two...- You have two drones offline.","Oblivion"
"79",393920,395762,"Perimeter's compromised.","Oblivion"
"80",395920,398730,"Copy that, relaying to Tech.Stand by.","Oblivion"
"81",399759,403605,"Jack, 166 is down in Grid 37.","Oblivion"
"82",404279,405566,"Linking to beacon now.","Oblivion"
"83",405800,407961,"You'll go there first.","Oblivion"
"84",408120,410771,"Got it. On my way.","Oblivion"
"85",412920,415321,"Mission, Tech-49 is en routeto Grid 37 now.","Oblivion"
"86",415480,417528,"Can you plug that hole with Drone 109?","Oblivion"
"87",417680,421127,"Negative, 109 is in the dock.Still waiting for parts.","Oblivion"
"88",421439,423601,"Jack better find those dronesand get 'em flying.","Oblivion"
"89",423759,425966,"Those rigs can't be exposed overnight.","Oblivion"
"90",427120,428120,"Copy that.","Oblivion"
"91",450199,453090,"Tower, didn't he fix 166 recently?","Oblivion"
"92",453240,455048,"Jack has fixed all the drones recently.","Oblivion"
"93",455199,456884,"And, if we had the partsthat we've been asking for,","Oblivion"
"94",457040,458529,"we wouldn't be runninga skeleton crew down here.","Oblivion"
