"id","startTime","endTime","text","title"
"1",1000,4074,"Subtitles downloaded from Podnapisi.NET","Odd Man Out"
"2",184916,186790,"Hello, Granny.","Odd Man Out"
"3",189875,192749,"I know you're clear up to that point.","Odd Man Out"
"4",192791,196707,"After that, make your own wayto the main street.","Odd Man Out"
"5",196750,201874,"Turn right to bring you to the backof Northumberland Street post office.","Odd Man Out"
"6",201916,205790,"Then drive straight acrossthe parade ground to the park.","Odd Man Out"
"7",205833,209790,"- How is it, Johnny?- Fine. The orders haven't changed.","Odd Man Out"
"8",209833,214582,"- The weather's good.- Snow later but we'll be back by then.","Odd Man Out"
"9",214625,218124,"Dennis, I was sayingwe'll go the way we planned.","Odd Man Out"
"10",218166,222082,"Queen's Bridge, Bedford Street,Shaftesbury Square.","Odd Man Out"
"11",222125,226540,"It's a bit longer but it bringsthe car into a better position.","Odd Man Out"
"12",226583,229582,"There's no hurry.","Odd Man Out"
"13",229625,232624,"There's time for a cup of tea.","Odd Man Out"
"14",234833,237665,"- Is the car all right?- She's OK.","Odd Man Out"
"15",237708,240749,"- Is it a nice clean one?- With decent tyres?","Odd Man Out"
"16",240791,244415,"- I picked a good one.- One day, you might have your own!","Odd Man Out"
"17",244458,248082,"- I wouldn't mind having this one.- How much petrol?","Odd Man Out"
"18",248125,250624,"- Three gallons.- Half will do us.","Odd Man Out"
"19",250666,254124,"- We might have to...- No. We'll be back by five.","Odd Man Out"
"20",254166,256374,"I'll have the car there at twenty to.","Odd Man Out"
"21",256416,259165,"- I'll be on the bridge.- I'll be at the car sales room.","Odd Man Out"
"22",259208,261582,"- Any tea?- Everything settled?","Odd Man Out"
"23",261625,264624,"- Yes. They're leaving soon.- I heard that.","Odd Man Out"
"24",264666,268082,"- You hear everything.- Or I can put it together.","Odd Man Out"
"25",268125,271874,"- Pour in the milk.- Will he be coming back, me darling?","Odd Man Out"
"26",271916,276915,"I've watched you grow up and I knowwhat's in your heart for that boy.","Odd Man Out"
"27",276958,279665,"Maybe you knowwhat's in his heart too.","Odd Man Out"
"28",279708,283374,"- Did you sell me coupons?- No time to talk about that.","Odd Man Out"
"29",283416,287290,"I want three bob a piecefor the clothing ones.","Odd Man Out"
"30",287333,291915,"You can have the meat ones if yougive me a few points for me sweets.","Odd Man Out"
"31",293000,297165,"We're district managersmaking a report. Friday's their day.","Odd Man Out"
"32",297208,302374,"- What do managers talk about?- Oh...goods on order, export market.","Odd Man Out"
"33",302416,306624,"I'll be where we said with the pram.Has nothing changed?","Odd Man Out"
"34",306666,308665,"No. We'll be there, Maureen.","Odd Man Out"
"35",308708,312665,"You're to take the moneyto Hannigan. He'll distribute it.","Odd Man Out"
"36",312708,313999,"Right.","Odd Man Out"
"37",314041,317207,"No more worriestill your man's out of prison.","Odd Man Out"
