"id","startTime","endTime","text","title"
"1",453370,457748,"Is it worth the waiting forIf we live till 94?","Oliver!"
"2",458041,462503,"All we ever get is gruel","Oliver!"
"3",462712,467174,"Every day we say our prayerWill they change the bill of fare?","Oliver!"
"4",467384,471595,"Still we get the same old gruel!","Oliver!"
"5",471930,476100,"There's not a crustNot a crumb can we find","Oliver!"
"6",476226,480604,"Can we beg, can we borrow or cadge","Oliver!"
"7",480772,485568,"But there's nothing to stop usfrom getting a thrill","Oliver!"
"8",485652,492449,"When we all close our eyes and imagine","Oliver!"
"9",492576,495619,"Food, glorious food!","Oliver!"
"10",495954,498914,"Hot sausage and mustard!","Oliver!"
"11",499082,505421,"While we're in the moodCold jelly and custard!","Oliver!"
"12",506089,512011,"Peas, pudding and saveloys!What next is the question","Oliver!"
"13",512429,519018,"Rich gentlemen have it, boysIndigestion!","Oliver!"
"14",520604,522313,"Food!","Oliver!"
"15",522439,525441,"We're anxious to try it","Oliver!"
"16",525775,528652,"Three banquets a day","Oliver!"
"17",528945,531280,"Our favorite diet!","Oliver!"
"18",532032,536619,"Just picture a great big steakFried, roasted or stewed","Oliver!"
"19",536703,539079,"Oh, food!Wonderful food!","Oliver!"
"20",539164,542124,"Marvelous food!Glorious food!","Oliver!"
"21",545962,548964,"Food, glorious food!","Oliver!"
"22",549132,551842,"Don't care what it looks like","Oliver!"
"23",552135,555429,"Burnt, underdone, crude","Oliver!"
"24",555513,558349,"Don't care what the cook's like","Oliver!"
"25",558808,561727,"Just thinking of growing fat","Oliver!"
"26",562020,564897,"Our senses go reeling","Oliver!"
"27",565232,570986,"One moment of knowing thatFull-up feeling!","Oliver!"
"28",571696,574323,"Food, glorious food!","Oliver!"
"29",574658,577076,"What wouldn't we give for","Oliver!"
"30",577535,580079,"That extra bit more","Oliver!"
"31",580538,583332,"That's all that we live for","Oliver!"
"32",583500,587753,"Why should we be fated toDo nothing but brood","Oliver!"
"33",587837,590256,"Oh, foodMagical food","Oliver!"
"34",590340,593342,"Wonderful foodMarvelous food","Oliver!"
"35",593551,596345,"Heavenly foodBeautiful food","Oliver!"
"36",597430,604603,"Glorious food!","Oliver!"
"37",631965,635217,"For what you are about to receive","Oliver!"
"38",635552,640973,"May the Lord make you truly thankful","Oliver!"
"39",642809,648564,"Amen","Oliver!"
"40",728395,731313,"Please, sir, I want some more.","Oliver!"
"41",732649,733816,"What?","Oliver!"
"42",735693,736902,"Please, sir,","Oliver!"
"43",738488,741532,"I want some more.","Oliver!"
"44",743243,744701,"More?","Oliver!"
"45",747664,749123,"-Catch him!-Snatch him!","Oliver!"
"46",749207,750582,"-Hold him!-Scold him!","Oliver!"
"47",750667,752000,"Pounce him! Trounce him!","Oliver!"
"48",752085,753335,"Pick him up and bounce him!","Oliver!"
"49",786035,788120,"Wait!","Oliver!"
"50",789122,792749,"Before we take the lad to task","Oliver!"
"51",793042,799715,"May I be so curious as to askhis name?","Oliver!"
"52",800300,803427,"Oliver","Oliver!"
"53",803803,805888,"Oliver Twist, Mr. Bumble.","Oliver!"
"54",805972,809725,"-You named him so yourself.-So that's who he is!","Oliver!"
"55",815899,820444,"Oliver! Oliver!Never before has a boy wanted more!","Oliver!"
"56",820570,822488,"Oliver! Oliver!","Oliver!"
"57",822572,824948,"Won't ask for morewhen he knows what's in store","Oliver!"
"58",825074,829578,"There's a dark, thin, windingStairway without any banister","Oliver!"
"59",829746,831955,"Which we'll throw him down","Oliver!"
"60",832081,835042,"And feed him on cockroachesServed in a canister","Oliver!"
"61",835126,837294,"Oliver! Oliver!","Oliver!"
"62",837420,839630,"What will he dowhen he's turned black and blue?","Oliver!"
"63",839756,844259,"He will rue the daySomebody named him Oliver!","Oliver!"
"64",845011,849765,"Oliver, OliverNever before has a boy wanted more!","Oliver!"
"65",849849,852100,"Oliver! Oliver!","Oliver!"
"66",852185,854686,"Won't ask for morewhen he knows what's in store","Oliver!"
"67",856606,861109,"There's a long, thin, windingStairway without any banister","Oliver!"
"68",861361,863487,"Which we'll throw him down","Oliver!"
"69",863613,866490,"And feed him on cockroachesServed in a canister","Oliver!"
"70",866616,868909,"Oliver! Oliver!","Oliver!"
"71",868993,872496,"What, heavens pray, will the governors say?","Oliver!"
"72",872789,878168,"They will lay the blameOn the one who named him","Oliver!"
"73",880171,884216,"Oliver!","Oliver!"
"74",913496,915205,"-Out!-Out!","Oliver!"
"75",930888,935267,"One boy","Oliver!"
"76",935351,938854,"Boy for sale","Oliver!"
"77",938938,942232,"He's going cheap","Oliver!"
"78",942317,943650,"How much, then?","Oliver!"
"79",943776,946486,"Only seven guineas","Oliver!"
"80",946571,947613,"How much?","Oliver!"
"81",948156,953368,"That or thereabout","Oliver!"
"82",963379,967549,"Fine boy","Oliver!"
"83",967634,971178,"Boy for sale","Oliver!"
"84",971262,975932,"He's yours to keep","Oliver!"
"85",976017,980604,"For 1,000 pennies","Oliver!"
"86",980688,984691,"You can work it out","Oliver!"
"87",984776,987736,"That's four pounds, three and fourSlightly under four guineas","Oliver!"
"88",987820,989446,"Knocked down from seven guineas","Oliver!"
"89",989530,990947,"Three pounds, ten shillings.","Oliver!"
"90",991032,993367,"Three pounds what, sir?","Oliver!"
"91",993785,997037,"Certainly not, sir","Oliver!"
"92",1005630,1010717,"Any advance on three pounds ten, then?","Oliver!"
"93",1012679,1017724,"Going","Oliver!"
"94",1019560,1024690,"Gone","Oliver!"
"95",1025400,1032614,"I could not sayHe isn't very greedy","Oliver!"
"96",1034117,1036243,"I dare not","Oliver!"
"97",1036494,1043041,"I'd be telling you a tale","Oliver!"
"98",1043543,1048004,"One boy","Oliver!"
"99",1048089,1051842,"Boy for sale","Oliver!"
"100",1051926,1055554,"Come take a peek","Oliver!"
"101",1056889,1063019,"Have you ever seenas nice a boy","Oliver!"
"102",1063187,1070485,"for sale?","Oliver!"
"103",1078828,1082330,"-How much did you say?-Only three guineas, Mr. Sowerberry.","Oliver!"
"104",1082498,1086001,"-A bargain, if ever there was one.-I was looking for a boy.","Oliver!"
"105",1086210,1089171,"All right, bring him in, Mr. Bumble.Bring him in.","Oliver!"
"106",1090506,1091548,"Ah, my love.","Oliver!"
"107",1091841,1095135,"I said we might consider taking this boy","Oliver!"
"108",1095219,1097345,"to help in the shop.","Oliver!"
"109",1098347,1101016,"Dear me. He's very small.","Oliver!"
"110",1101851,1106605,"Oh, he is rather small, there's no denying,but he'll grow, Mrs. Sowerberry. He'll grow.","Oliver!"
"111",1106689,1109691,"I daresay he will.On our vittles and our drink!","Oliver!"
"112",1109776,1112861,"These workhouse boysalways cost more than they're worth.","Oliver!"
"113",1112945,1115655,"-Where did he come from?-Mother came to us destitute.","Oliver!"
"114",1115740,1118658,"She brings a child into the world,takes one look at him and promptly dies","Oliver!"
"115",1118743,1121036,"without leaving so muchas a forwarding name and address.","Oliver!"
