"id","startTime","endTime","text","title"
"1",142500,151204,"""I feel like I'm not out of bed yet","On the Town"
"2",162310,165888,"""The sun is warm","On the Town"
"3",166479,171475,"""But my blanket's warmer","On the Town"
"4",172652,175062,"""Sleep","On the Town"
"5",175489,183032,"""Sleep in your lady's arms","On the Town"
"6",184163,193512,"""Sleep in your lady's arms""","On the Town"
"7",206391,209343,"- Let's go! Get the lead out!- Come on.","On the Town"
"8",217526,219929,"- ""New York, New York- New York, New York","On the Town"
"9",220028,221555,"""New York, New York","On the Town"
"10",221656,225359,"""It's a wonderful town""","On the Town"
"11",225992,229111,"- Hey, fellas! What's the big rush?- We've only got 24 hours.","On the Town"
"12",229454,230980,"We never been here before.","On the Town"
"13",231081,235242,"What could happen to you in one day?What do you think you're going to do?","On the Town"
"14",235752,238153,"""New York, New York'sA wonderful town","On the Town"
"15",238253,242407,"""The Bronx is up and the Battery's downThe people ride in a hole in the ground","On the Town"
"16",242508,246586,"""New York, New YorkIt's a wonderful town!""","On the Town"
"17",275747,279867,"""The famous places to visit are so manyOr so the guidebooks say","On the Town"
"18",280168,283946,"""I told my grandpa I wouldn't miss on anyAnd we've got just one day","On the Town"
"19",284045,287365,"""Got to see the whole townRight from Yonkers on down to the Bay","On the Town"
"20",287466,288533,"""In just one day","On the Town"
"21",288634,290952,"""New York, New York'sA wonderful town","On the Town"
"22",291052,295290,"""The Bronx is up and the Battery's downThe people ride in a hole in the ground","On the Town"
"23",295389,299552,"""New York, New YorkIt's a wonderful town","On the Town"
"24",337220,339747,"""We've sailed the seasAnd we've been the world over","On the Town"
"25",339848,341499,"""We've been to Mandalay","On the Town"
"26",341598,344043,"""We've seen the sphinxAnd seen the Cliffs of Dover","On the Town"
"27",344143,345418,"""But we can safely say","On the Town"
"28",345519,348797,"""The most fabulous sightIs New York in the light of the day","On the Town"
"29",348896,349923,"""Our only day","On the Town"
"30",350023,352425,"""New York, New York'sA wonderful town","On the Town"
"31",352526,356596,"""The Bronx is up and the Battery's downThe people ride in a hole in the ground","On the Town"
"32",356696,360858,"""New York, New YorkIt's a wonderful town","On the Town"
"33",368290,372485,"""Manhattan women are all in silk and satinOr so the fellows say","On the Town"
"34",372586,374904,"""There's just one thing necessaryin Manhattan","On the Town"
"35",375004,376531,"""When you've got just one day","On the Town"
"36",376630,379701,"""Gotta pick up a dateMaybe seven or eight on your way","On the Town"
"37",379800,380869,"""In just one day","On the Town"
"38",380968,383245,"""New York, New York'sA wonderful town","On the Town"
"39",383346,387500,"""The Bronx is up and the Battery's downThe people ride in a hole in the ground","On the Town"
"40",387600,389800,"""New York, New York","On the Town"
"41",391894,395055,"""It's a wonderful town!""","On the Town"
"42",398942,401971,"It's 9:30 already. The day's goneand we haven't seen a thing.","On the Town"
"43",402071,404055,"I got the rest of the day figured out.","On the Town"
"44",404156,407401,"9:45, the New York City Hall.10:00, the Cloisters.","On the Town"
"45",407534,410396,"10:15, the Planetarium.10:30, the Aquarium.","On the Town"
"46",410495,412238,"10:45, the Natural...","On the Town"
"47",412581,413649,"Hey, fellas!","On the Town"
"48",413749,416610,"Hey, fellas! Aren't we gonna doany more sightseeing?","On the Town"
"49",416709,420321,"I never been any place but Peoria.I wanna take in the beauties of New York.","On the Town"
"50",420420,421863,"And I wanna take 'em out.","On the Town"
"51",421963,425533,"Back where I come fromall the dames are covered with coal dust.","On the Town"
"52",425634,428545,"Wow! Get a load of that!","On the Town"
"53",429012,433048,"- Not bad.- Not bad! Get him! ""Mr. Particular!""","On the Town"
"54",433225,435377,"Who you got waitin' for you?Ava Gardner?","On the Town"
"55",435476,439297,"Listen! I'm gonna take my timetill I find me a real New York glamour girl.","On the Town"
"56",439396,441048,"I got a line that mows 'em down.","On the Town"
"57",441149,443843,"Home in Meadowville, it lands methe cream of the crop.","On the Town"
"58",443942,446846,"Meadowville? You may be a big shotin Meadowville...","On the Town"
"59",446946,450432,"but don't forget the whole town could fitin that manhole over there.","On the Town"
"60",450531,452183,"Yeah? And so could you!","On the Town"
"61",452283,453268,"- Yeah?- Yeah!","On the Town"
"62",453367,456437,"Hey, fellas! Break it up.We're wasting the whole day.","On the Town"
"63",456538,459481,"Why can't we pick up datesand sightsee at the same time?","On the Town"
"64",459581,463235,"See? Look, 10:30, the Aquarium.Then 10:45...","On the Town"
"65",463336,467081,"Sure, why not?Ozzie, I got the whole day figured out.","On the Town"
"66",467255,469240,"10:30, ""Hello!""","On the Town"
"67",469341,471201,"""Oh, hello!""","On the Town"
"68",471300,472244,"10:45...","On the Town"
