"id","startTime","endTime","text","title"
"1",66340,68884,"Think she'll get over thisaway?","Open Range"
"2",72430,74265,"Might.","Open Range"
"3",74307,76434,"Best bed them down.","Open Range"
"4",130865,132533,"Come on, Tig.","Open Range"
"5",173658,175660,"There she goes.","Open Range"
"6",180582,182793,"Looks like we're in for it.","Open Range"
"7",201395,203063,"You see them?","Open Range"
"8",206109,209737,"Can't see them.Can't hear them.","Open Range"
"9",209778,212239,"You ever seen one this bad?","Open Range"
"10",212282,214826,"Not since Noah and the flood.","Open Range"
"11",214908,219622,"Well, you should know, Boss,since you was there.","Open Range"
"12",219663,221750,"What did you say?","Open Range"
"13",221832,225754,"He said, ""You should knowsince you was there. ""","Open Range"
"14",231343,234220,"Well, even thatwasn't this damn wet.","Open Range"
"15",234304,235722,"One thing's certain.","Open Range"
"16",235805,240810,"Noah never shoveled as much bullfrom them he had aboard.","Open Range"
"17",240894,243813,"Let's rustle up some grub.","Open Range"
"18",243897,245857,"Mose?","Open Range"
"19",245941,247442,"Hey!","Open Range"
"20",249987,251613,"- That hurt?- Yeah.","Open Range"
"21",251655,253699,"Mose, still got them cards?","Open Range"
"22",253782,255784,"Yeah, I got them.","Open Range"
"23",255868,259245,"Get them out, and let's have usa game after breakfast.","Open Range"
"24",271926,273219,"Button!","Open Range"
"25",274887,276806,"Pull them plates under here.","Open Range"
"26",279934,284063,"You gonna play them cards, Mose,or stare a hole through them?","Open Range"
"27",284146,286273,"Don't rush me.","Open Range"
"28",289485,291904,"I'll take four.","Open Range"
"29",291989,295032,"Oh, for pity's sakes.""Take four. ""","Open Range"
"30",301581,304876,"All right, that's it.","Open Range"
"31",304918,306211,"I'm out.","Open Range"
"32",307586,309256,"Me too.","Open Range"
"33",314511,317556,"A man's trustis a valuable thing, Button.","Open Range"
"34",317639,320684,"You don't want to lose itfor a handful of cards.","Open Range"
"35",378160,381245,"Well, at least it ain't raining.","Open Range"
"36",383040,386417,"Get yourself dressed, Button.Help Mose get things cleaned up.","Open Range"
"37",386459,390089,"Then you walk outand look for them horses.","Open Range"
"38",402976,406355,"Looks like you could usea little muscle there, Charley.","Open Range"
"39",410317,413654,"You just keep on like you are.","Open Range"
"40",413737,416907,"You'll get your chancesoon enough.","Open Range"
"41",421870,424666,"No need to askfor more chores, Mose.","Open Range"
"42",424748,426875,"Every man's got to pullhis weight.","Open Range"
"43",426960,430088,"Yeah, but my weightis half of yours.","Open Range"
"44",433717,437303,"You know, it's hard to figureCharley sometimes.","Open Range"
"45",437344,439723,"I ain't even sureif he likes me.","Open Range"
"46",439805,441807,"He likes you.","Open Range"
"47",442892,448356,"You know, Boss had some pauseabout hiring me on.","Open Range"
"48",448398,452444,"Too big to get around on horsesand work them cows.","Open Range"
"49",452527,455238,"Afraid I'd eat too much.","Open Range"
"50",455321,457198,"It was Charleythat talked him into it,","Open Range"
"51",457282,459701,"and I ain't one to takea man's confidence lightly.","Open Range"
"52",459784,460994,"You know I ain't, either.","Open Range"
"53",461037,463914,"I know you ain't, but it's bestto keep remembering it","Open Range"
"54",463997,465499,"if you want respect","Open Range"
"55",465540,468669,"when you're riding with menlike Charley and Boss.","Open Range"
"56",499450,501203,"Button, pull.","Open Range"
"57",502411,503622,"Pull it.","Open Range"
"58",503704,505873,"Button!","Open Range"
"59",505916,507209,"Button!","Open Range"
"60",507249,510878,"Quit playing with that dogand pull the wagon!","Open Range"
"61",516259,517802,"Pull it!","Open Range"
"62",523725,526561,"- Pull!- Oh, yeah!","Open Range"
"63",526603,529314,"Yeah.That's it.","Open Range"
"64",539783,541868,"Hey, hey!Look at that!","Open Range"
"65",573526,576237,"Old Boss sure can cowboy,can't he?","Open Range"
"66",577363,578823,"Yeah.","Open Range"
"67",578865,581201,"Broke the mold after him.","Open Range"
"68",595506,597426,"Main bunch is workingtowards water.","Open Range"
"69",597508,599260,"We'll go up-country,find the rest,","Open Range"
"70",599344,601095,"and we'll push them there.","Open Range"
"71",603514,605351,"Look at that.","Open Range"
"72",607353,609938,"A couple of damn kids.","Open Range"
"73",610022,611315,"Anyway, once we get them,","Open Range"
"74",611357,614360,"we can start driving them backcloser to camp.","Open Range"
"75",614442,616904,"It'll be a whilebefore we see another town.","Open Range"
"76",616987,619656,"Could use supplies,coffee and such.","Open Range"
"77",620824,621909,"Mose!","Open Range"
"78",621992,623535,"Ow!","Open Range"
"79",623619,625037,"Mose!","Open Range"
"80",629792,632795,"You'll have to ride backto that town we passed.","Open Range"
"81",632878,634630,"When you want me to go?","Open Range"
"82",634714,636549,"Tonight.","Open Range"
"83",636632,638593,"I'll go.","Open Range"
"84",638676,639844,"I can go.","Open Range"
"85",639886,642597,"How long you figure, Charley?","Open Range"
"86",642680,645934,"Without cows slowing things,maybe one day there, one back.","Open Range"
"87",646017,647559,"Sounds about right.","Open Range"
"88",647644,648852,"Come on, Boss.","Open Range"
"89",648895,650063,"I can do it.","Open Range"
"90",650145,651690,"Sure you can, boy.","Open Range"
"91",651773,653315,"Just don't knowif that town's ready","Open Range"
"92",653400,656528,"to have youturned loose on it just yet.","Open Range"
"93",657821,659155,"English!","Open Range"
"94",659239,660865,"Damn! Shit!","Open Range"
"95",660949,662575,"Bullshit!","Open Range"
"96",736151,738987,"By God, if you're gonna pickyour feet like a monkey,","Open Range"
"97",739029,741239,"you do it downwind.","Open Range"
"98",744159,747496,"Swear to God, old Tigtakes better care of herself.","Open Range"
"99",748914,750165,"Starting to thinkit was a mistake","Open Range"
"100",750248,752459,"not getting you on in some townto learn a trade.","Open Range"
"101",752501,755004,"I don't like towns.Never liked them.","Open Range"
"102",755045,757715,"Oh, you're just saying that'cause you heard me say it.","Open Range"
"103",757798,759758,"Get yourself a tradeand set up in a town.","Open Range"
"104",759841,761718,"You'll always havea roof over your head,","Open Range"
"105",761802,762887,"a bed up off the ground,","Open Range"
"106",762969,765972,"and food no further awaythan a caf�.","Open Range"
"107",766723,768768,"Ain't that so, Charley?","Open Range"
"108",771728,773106,"That was a big help.","Open Range"
"109",773188,775358,"Might as well be talkingto this horse.","Open Range"
"110",776359,779153,"Put your boot on, Button.Let's go to work.","Open Range"
"111",781823,784867,"Course, if you was to livein a town...","Open Range"
"112",786035,788245,"You'd have to clean up some.","Open Range"
"113",789372,791833,"Otherwise, no onecould stand the stink.","Open Range"
"114",802010,804387,"What you do that for?!","Open Range"
"115",810811,813021,"Cheating at cards.","Open Range"
"116",819278,820529,"Cheating.","Open Range"
"117",820611,822780,"I apologized to you for that!","Open Range"
"118",823907,826785,"Eh, Boss?I apologized to him for that.","Open Range"
"119",826869,829496,"Evidently he ain't over it yet.","Open Range"
"120",848891,851560,"It's getting dark, Boss.","Open Range"
"121",851644,855147,"He could have got hurtbetween that town and the camp.","Open Range"
"122",855231,857608,"Probably just taking his time.","Open Range"
"123",857649,860486,"Don't suppose he got intoa poker game, do you?","Open Range"
"124",860570,863781,"Wouldn't gambleyour money, Boss.","Open Range"
"125",863865,867494,"What if he's lying out therewaiting for us to come along?","Open Range"
"126",867577,871289,"We'd never find him tonight.Now, come on down from there.","Open Range"
"127",871373,873123,"He's worried.","Open Range"
"128",873208,875377,"- You worried?- Yeah, I'm worried.","Open Range"
"129",875460,879173,"Been worried since yesterday.Should have sent me.","Open Range"
"130",879255,881341,"Mose can look out for himself.","Open Range"
"131",881424,883426,"Then why ain't he here with us?","Open Range"
"132",883468,886347,"Well, you never waswanting to go to towns.","Open Range"
"133",886429,888765,"Well, I don't want to go nowneither.","Open Range"
"134",888808,891686,"But we better find him,wherever he is.","Open Range"
"135",894729,896399,"All right.","Open Range"
"136",896481,899694,"You and me strike out early.Button can watch the outfit.","Open Range"
"137",899776,904031,"Button, come on down from thereand get supper a-working.","Open Range"
"138",914792,917461,"Most likely be backbefore suppertime.","Open Range"
"139",917503,919463,"But three sets of eyes,it's better than two.","Open Range"
"140",919505,922591,"- You stay with the wagon.- Come on, Boss.","Open Range"
"141",922675,923926,"No one is gonna bother it.","Open Range"
"142",924010,927096,"We haven't seen a single personsince we set up the camp.","Open Range"
"143",927179,930266,"I always feel betterif someone's close around.","Open Range"
"144",930349,934228,"You been working hard,deserve a little loafing time.","Open Range"
"145",934311,936188,"Stay right here.","Open Range"
"146",939233,940694,"Stay, Tig.","Open Range"
"147",940776,941862,"Wants to go.","Open Range"
"148",941944,944530,"She acts like she does,but she don't.","Open Range"
"149",944614,948285,"Still got the heart,not the legs.","Open Range"
"150",949535,952039,"You keep that rifle close.","Open Range"
"151",1022777,1026573,"Always liked me a sidearmwith some heft.","Open Range"
"152",1026615,1030410,"Took this off a man who couldn'tpay all he owed for some cows.","Open Range"
"153",1030452,1032286,"Damn fine weapon.","Open Range"
"154",1033789,1036834,"Always noticed you favorsomething light, don't you?","Open Range"
"155",1058772,1062109,"Set it right down.Thank you.","Open Range"
"156",1112285,1113662,"Hello!","Open Range"
"157",1119001,1121461,"- Howdy.- Howdy.","Open Range"
"158",1121545,1124506,"Like to feed and water them,curry them down with saddles on.","Open Range"
"159",1124590,1127677,"Okay, that'll be four bits each.","Open Range"
"160",1127718,1130179,"- There you go.- Thank you.","Open Range"
"161",1131138,1132640,"Not planning on staying long?","Open Range"
"162",1132723,1134934,"Long as it takes to findwho we're looking for.","Open Range"
"163",1135017,1137103,"Maybe I can help you gents.","Open Range"
"164",1137186,1139522,"I been here since Harmonvillewas Fort Harmon","Open Range"
"165",1139563,1141733,"and we still had soldiersto chase off Indians.","Open Range"
"166",1141816,1145444,"I know everybody in townand for miles beyond.","Open Range"
"167",1145528,1149532,"Big man needing a haircut,about 30.","Open Range"
"168",1149616,1151867,"That's his rig right there.","Open Range"
"169",1155871,1159208,"Oh, yeah.Know who you're talking about.","Open Range"
"170",1159251,1160918,"Very friendly young fella.","Open Range"
"171",1161003,1163880,"Looks like he's been living outof saddlebags most of his life.","Open Range"
"172",1163921,1165923,"Got his horse in the corral.","Open Range"
"173",1166008,1167426,"Ride with you, does he?","Open Range"
"174",1167467,1169261,"Know where we can find him?","Open Range"
"175",1169344,1170762,"Yeah.","Open Range"
"176",1170804,1172556,"Yeah, he's up in the jailhouse.","Open Range"
"177",1172597,1175726,"He got into itwith some cattlemen","Open Range"
"178",1175809,1177102,"over at the general store.","Open Range"
"179",1177185,1178854,"- Some cattlemen.- Yeah.","Open Range"
"180",1178937,1180564,"Busted them up pretty bad, too,","Open Range"
"181",1180647,1182524,"before Marshal Poole came up","Open Range"
"182",1182607,1184735,"and hit him over the headwith his gun barrel.","Open Range"
"183",1184776,1188238,"Yeah, he's lucky hedidn't get shot in the back.","Open Range"
"184",1188280,1190323,"You might want to keep thatin mind","Open Range"
"185",1190407,1192451,"when you're talkingto Marshal Poole.","Open Range"
"186",1192534,1194327,"Saddle his horse.","Open Range"
"187",1194411,1195704,"That cover what he owes?","Open Range"
"188",1195788,1196956,"Oh, yeah.","Open Range"
"189",1197039,1199959,"Name's Percy if you should needanything else.","Open Range"
"190",1200001,1201460,"Much obliged.","Open Range"
"191",1201544,1203086,"Hold on.","Open Range"
"192",1213639,1215350,"How long you had him here?","Open Range"
"193",1215433,1218436,"I brought him in hereyesterday afternoon.","Open Range"
"194",1218519,1220938,"It wasn't easygetting him into the cell.","Open Range"
"195",1220980,1222106,"Why is that?","Open Range"
"196",1222148,1224859,"Goddamn bear.Size of it.","Open Range"
"197",1227111,1230990,"Evening.Name's Boss Spearman.","Open Range"
"198",1231032,1233077,"This here's Charley Waite.","Open Range"
"199",1233159,1234787,"Evening.","Open Range"
"200",1235371,1236913,"Believe you havea friend of ours.","Open Range"
"201",1236996,1240166,"Name's Mose Harrison.","Open Range"
"202",1240250,1242210,"Yeah, I got him here.","Open Range"
"203",1242294,1246298,"He started a fightin the general store.","Open Range"
"204",1246381,1250219,"Mose don't start fights,just finishes them.","Open Range"
"205",1250302,1253681,"I just said he started it.You said he didn't.","Open Range"
"206",1253722,1255182,"Maybe you're calling me a liar.","Open Range"
"207",1255224,1257059,"You got a charge against him?","Open Range"
"208",1257141,1258894,"I got plenty.","Open Range"
"209",1258977,1262021,"Inciting a fight.Disturbing the peace.","Open Range"
"210",1262106,1264901,"Creating a public nuisance.Take your pick.","Open Range"
"211",1264983,1266860,"Hear tell he got hitover the head.","Open Range"
"212",1269697,1271156,"He'll be fine.","Open Range"
"213",1271198,1273867,"Well, I come to get him.","Open Range"
"214",1273952,1278707,"Well, you pay the fines,and you can have him.","Open Range"
"215",1278789,1283712,"How does $50 each offense sound?","Open Range"
"216",1283752,1285714,"Like robbery.","Open Range"
"217",1288549,1290259,"Lot of money.","Open Range"
"218",1290343,1293013,"Oh, yes, a lot of money.","Open Range"
"219",1293888,1296432,"I been waiting for you,Mr. Spearman.","Open Range"
"220",1296516,1299185,"My name's Denton Baxter.","Open Range"
"221",1299269,1301104,"Be your men Mose tussled with.","Open Range"
"222",1301187,1302856,"That's right.","Open Range"
"223",1302939,1305567,"You know, folksin Fort Harmon country","Open Range"
"224",1305650,1309279,"don't take to free grazersor free grazing.","Open Range"
"225",1309363,1312449,"They hate them more than theyused to hate the Indians.","Open Range"
"226",1312532,1316537,"I expect by ""folks,""you mean ranchers like yourself.","Open Range"
"227",1318371,1320541,"I got the biggest spread around.","Open Range"
"228",1320583,1322710,"Bigger than any three or fourput together.","Open Range"
"229",1322792,1324879,"Built it up with me owntwo hands,","Open Range"
"230",1324919,1326756,"piece by piece,","Open Range"
"231",1326796,1329132,"along with this town.","Open Range"
"232",1329215,1330885,"And there ain't nofree-graze cattle","Open Range"
"233",1330967,1333678,"gonna take the feedoff my cattle on this range.","Open Range"
"234",1333763,1335389,"Free graze is legal.","Open Range"
"235",1335430,1337683,"Times change, Mr. Spearman.","Open Range"
"236",1337767,1341771,"Most folks change with them.A few holdouts never do.","Open Range"
"237",1343897,1345107,"You know, a few years back,","Open Range"
"238",1345190,1347902,"a free-graze outfitcame through.","Open Range"
"239",1347943,1351030,"One night,the cattle got stampeded,","Open Range"
"240",1351113,1354325,"the wagons caught on fire,and one of those boys","Open Range"
"241",1354408,1357286,"was shot off his horsein the middle of it all.","Open Range"
"242",1357370,1359706,"Shot in the back, was he?","Open Range"
"243",1364210,1368006,"Your man's horse and rigare at the livery barn.","Open Range"
"244",1368089,1370592,"You can take him with youwhen you leave tonight.","Open Range"
"245",1370675,1373220,"And come sunrise,you hitch up your wagon","Open Range"
"246",1373303,1375389,"and get your damnfree-graze cattle moving","Open Range"
"247",1375472,1379141,"and keep them moving till you'reout of Fort Harmon country!","Open Range"
"248",1380309,1383063,"Now, you let Mr. Spearmanfetch his man","Open Range"
"249",1383146,1385565,"so he can be on his way.","Open Range"
"250",1404918,1406962,"Charley.","Open Range"
"251",1411675,1413260,"- Mose.","Open Range"
"252",1413344,1415805,"Mose.","Open Range"
"253",1419141,1422770,"Looks like someone's put theboots to him after he was down.","Open Range"
"254",1422854,1424187,"Does it?","Open Range"
"255",1429694,1431696,"Mose, you gotta get up.","Open Range"
"256",1431738,1436034,"Charley, I'm glad to see you.","Open Range"
"257",1437326,1439370,"I don't much like this town.","Open Range"
"258",1442165,1444001,"Here you go.","Open Range"
"259",1445626,1448047,"Boy, they really lit into him.","Open Range"
"260",1448087,1449547,"You got a doctor in this town?","Open Range"
"261",1449590,1451633,"Yeah.Doc Barlow.","Open Range"
"262",1451716,1454178,"It's the house up behindthe barn by the church.","Open Range"
"263",1454219,1455929,"Look for a picket fence.","Open Range"
"264",1456012,1458515,"He's got a sign out front.","Open Range"
"265",1460225,1463353,"Oh, my.Bring him right in.","Open Range"
"266",1468525,1470611,"Lay him down in there.","Open Range"
"267",1480705,1482956,"I'll fetch the doctor.","Open Range"
"268",1483040,1485542,"Get his legs, Boss.","Open Range"
"269",1485585,1487419,"Easy, easy.","Open Range"
"270",1488880,1490798,"Good.","Open Range"
"271",1497806,1499265,"I'm Dr. Barlow.","Open Range"
