"id","startTime","endTime","text","title"
"1",116590,120590,"www.titlovi.com","Ordet"
"2",123590,124557,"Father.","Ordet"
"3",127560,129084,"Yes, what is it?","Ordet"
"4",129295,131092,"Johannes is out on the dunes again.","Ordet"
"5",131297,132855,"Is he? Oh no!","Ordet"
"6",133633,135123,"I'll go and look for him.","Ordet"
"7",135368,137666,"I'll come with you.I'll come too.","Ordet"
"8",178077,179271,"What's the matter?","Ordet"
"9",180647,182137,"- It's your brother.- Johannes?","Ordet"
"10",182348,183178,"No, Anders.","Ordet"
"11",183383,185408,"Anders? So there's trouble with Johannes again.","Ordet"
"12",185618,187415,"- Yes.- I'd better go with them.","Ordet"
"13",187620,190919,"Yes, I suppose so.Poor fellow!","Ordet"
"14",191291,192121,"Do you mean Johannes?","Ordet"
"15",192325,196819,"Yes. Don't you think one should pity him? 27, and incurably mad.","Ordet"
"16",197030,199157,"I don't know.Perhaps he's happy as he is.","Ordet"
"17",199365,200889,"You can't think that.","Ordet"
"18",203369,204700,"Put on something warm.","Ordet"
"19",204904,205996,"Yes, all right.","Ordet"
"20",214247,215714,"Your father's going, too.","Ordet"
"21",216082,217709,"Yes. I'm ready now.","Ordet"
"22",218685,220778,"I'll have some hot coffee for you.","Ordet"
"23",221387,223082,"Yes, we'll need it.","Ordet"
"24",267634,272037,"Woe unto you, hypocrites...","Ordet"
"25",274240,278802,"unto you, and you...","Ordet"
"26",282348,283781,"and you.","Ordet"
"27",286319,291723,"Woe unto you for your lack of faith!","Ordet"
"28",292892,301927,"Woe unto you who do not believe in me, the risen Christ,","Ordet"
"29",302168,312840,"who was sent to you by Him who made the heavens and the earth.","Ordet"
"30",314047,321579,"Verily I say unto you,the day of judgment is at hand.","Ordet"
"31",323323,331731,"God has summoned me to prophesybefore His face.","Ordet"
"32",334734,338898,"Woe unto him that does not believe...","Ordet"
"33",340573,347169,"for only those who have faith shall enter","Ordet"
"34",347513,350004,"into the Kingdom of Heaven.","Ordet"
"35",352885,355012,"Amen.","Ordet"
"36",394060,395220,"Is Johannes...?","Ordet"
"37",395528,396187,"Yes.","Ordet"
"38",441274,444573,"What good does all this do, Johannes?","Ordet"
"39",446179,449148,"I am the light of the world...","Ordet"
"40",450450,454409,"but the darkness does not comprehend it.","Ordet"
"41",456289,459820,"I have come unto mine own,","Ordet"
"42",460026,464725,"but mine own do not receive me.","Ordet"
"43",499131,501122,"What are the candles for?","Ordet"
"44",507473,513639,"That my light may shine in the darkness.","Ordet"
"45",566132,568066,"I feel sorry for him.","Ordet"
"46",568334,569198,"He's completely crazy.","Ordet"
"47",569402,570334,"Oh, Mikkel!","Ordet"
"48",570536,572299,"He goes around thinking he's Jesus.","Ordet"
"49",572972,575566,"Will he ever be sane again?","Ordet"
"50",576342,580540,"It's all that studyingthat has turned his head.","Ordet"
"51",580780,581678,"Yes.","Ordet"
"52",588454,590285,"He should never have been made to study.","Ordet"
"53",592024,594686,"I did it because he had a talent for it.","Ordet"
"54",594894,596953,"You wanted to have a parson in the family.","Ordet"
"55",597163,602032,"No, Mikkel, that's not true,there are parsons enough.","Ordet"
"56",602234,607035,"What we need is someonewho can shake people up.","Ordet"
"57",608374,612804,"With Johannes's special abilitiesI thought he might be the spark","Ordet"
"58",613212,617672,"that could fire Christendom again from this farm.","Ordet"
"59",618918,626347,"I prayed so earnestly that it be he,the prophet that should come.","Ordet"
"60",626559,628390,"The reformer?","Ordet"
"61",628794,634562,"The renewer, yes. I prayed so ardently for it.","Ordet"
"62",635835,639236,"But you see what has come of it.","Ordet"
"63",642775,646541,"Well, I suppose we'd better go back to bed. Goodnight, father.","Ordet"
"64",647079,649070,"Goodnight, my boy.","Ordet"
"65",650316,651340,"Goodnight, father.","Ordet"
"66",651684,653276,"Goodnight, Anders.","Ordet"
"67",653486,656046,"I'll just go and have a look at the sow.","Ordet"
"68",665197,668655,"Johannes will be himself again.","Ordet"
"69",669502,678410,"I've hoped and hoped he might,but he'll never get any better.","Ordet"
"70",678644,680134,"Why don't you believe so?","Ordet"
"71",680546,684915,"Miracles don't happen any more.","Ordet"
"72",686185,690713,"Nothing is impossible, if one prays to Him for it.","Ordet"
"73",690923,694825,"I have prayed and prayed and prayed, Inger.","Ordet"
"74",695094,696925,"Then you must go on praying...","Ordet"
"75",698364,704462,"for Jesus has promised what we pray to Him for, He will give us.","Ordet"
"76",704670,711132,"I know, Inger, I know. But what good have all my prayers done?","Ordet"
"77",711343,714710,"How do you know what your prayersmay have set in motion?","Ordet"
"78",717049,724080,"Pray, and go on praying, however little you feel it helps...","Ordet"
"79",727693,729490,"Goodnight, little granddad.","Ordet"
"80",729695,736123,"Goodnight, Inger. I think I'll sit here a little while longer.","Ordet"
"81",737870,739303,"Yes, all right.","Ordet"
"82",742742,744073,"Goodnight.","Ordet"
"83",758057,760287,"I feel so sorry for your father.","Ordet"
"84",761060,762618,"I'm sorry for Johannes.","Ordet"
"85",762828,765661,"So am I, but...","Ordet"
"86",766732,767994,"But what?","Ordet"
"87",768234,771762,"Johannes is perhaps closer to Godthan the rest of us,","Ordet"
"88",772004,773437,"but your father...","Ordet"
"89",773773,776640,"I can't stand all his righteousness.","Ordet"
"90",776842,778503,"I think you are being unfair.","Ordet"
"91",778711,780804,"He has also been unfair to me.","Ordet"
"92",781981,784313,"He has never reproached you.","Ordet"
"93",784517,788817,"No, he kept quiet. But I could feel what he was thinking.","Ordet"
"94",789421,791150,"I saw the look in his eyes","Ordet"
"95",791357,794349,"when I kept away from all the godliness here on the farm.","Ordet"
"96",795194,799255,"But Mikkel, you believe in God,don't you?","Ordet"
"97",800666,803533,"You know how I feel about all that, Inger.","Ordet"
"98",803736,805363,"That you have no faith?","Ordet"
"99",805571,807732,"Not even faith in faith.","Ordet"
"100",808641,812304,"But you have something else,something more important.","Ordet"
