"id","startTime","endTime","text","title"
"1",48340,52457,"He even tookthe Gramophone on safari.","Out of Africa"
"2",54767,56462,"Three rifles...","Out of Africa"
"3",56572,60484,"supplies for a month and Mozart.","Out of Africa"
"4",63773,66924,"He began our friendshipwith a gift.","Out of Africa"
"5",68611,70442,"And later...","Out of Africa"
"6",70614,73048,"not long before Tsavo...","Out of Africa"
"7",73242,75118,"he gave me another.","Out of Africa"
"8",75286,77594,"An incredible gift.","Out of Africa"
"9",77787,82418,"A glimpse of the worldthrough God's eye.","Out of Africa"
"10",82710,84700,"And I thought...","Out of Africa"
"11",84879,88632,"""Yes, I see.","Out of Africa"
"12",88882,90838,"This is the wayit was intended.""","Out of Africa"
"13",95598,97430,"I've written aboutall the others...","Out of Africa"
"14",97600,99637,"not because I loved them less...","Out of Africa"
"15",99811,104487,"but becausethey were clearer, easier.","Out of Africa"
"16",105777,107733,"He was waiting for me there.","Out of Africa"
"17",111490,115847,"But I've gone ahead of my story.He'd have hated that.","Out of Africa"
"18",116121,119033,"Denys loved to heara story told well.","Out of Africa"
"19",120959,123679,"You see...","Out of Africa"
"20",123879,125790,"I had a farm in Africa...","Out of Africa"
"21",125965,129275,"at the foot of the Ngong Hills.","Out of Africa"
"22",129509,131818,"But it began before that.","Out of Africa"
"23",132013,134322,"It really began in Denmark.","Out of Africa"
"24",141814,144170,"And there I knew two brothers.","Out of Africa"
"25",144360,147989,"One was my lover,and one was my friend.","Out of Africa"
"26",148239,151389,"- It's too cold for champagne.- It's too cold for anything but.","Out of Africa"
"27",157039,158996,"You said you'd be at Klampenborg.","Out of Africa"
"28",159167,161680,"I thought I'd come,but then I didn't.","Out of Africa"
"29",163881,165473,"Was it fun?","Out of Africa"
"30",170012,172445,"Tanne?","Out of Africa"
"31",172639,175028,"Tanne, come on.","Out of Africa"
"32",175225,177501,"It's not as though you loved him.","Out of Africa"
"33",177687,179802,"You'd like to be a baroness,that's all.","Out of Africa"
"34",179980,181937,"- He lied to me.- Of course.","Out of Africa"
"35",182109,184747,"Would you be in bedwith him otherwise?","Out of Africa"
"36",184944,187777,"My brother's only dull,but not stupid.","Out of Africa"
"37",191786,193060,"Pretend it's Hans.","Out of Africa"
"38",196832,198471,"- Where would you go?- Anywhere.","Out of Africa"
"39",198626,202413,"America. Ceylon.I would even go to Australia.","Out of Africa"
"40",203340,207730,"Well, perhaps not Australia.But I've got to be away from here.","Out of Africa"
"41",208010,209966,"I'll give you all I've got.","Out of Africa"
"42",210139,215259,"That should get you into town.God, it was fun.","Out of Africa"
"43",215561,218519,"- You could marry me.- I have to marry a virgin.","Out of Africa"
"44",218730,220847,"I can't stand criticism.","Out of Africa"
"45",221025,222742,"For the money, I mean.","Out of Africa"
"46",225487,226603,"Probably.","Out of Africa"
"47",227574,230691,"Bror, listen to me.I've got no life at all.","Out of Africa"
"48",230911,233105,"They wouldn't teach meanything useful.","Out of Africa"
"49",233288,236802,"Now I've failed to marry.You know the punishment for that.","Out of Africa"
"50",237042,239078,"""Miss Dinesen's at home.""","Out of Africa"
"51",239252,242961,"You've gone through all your money.You're off seducing the servant girls.","Out of Africa"
"52",243216,244933,"We're a pair, you and I.","Out of Africa"
"53",246301,248451,"I mean, at least we're friends.","Out of Africa"
"54",248638,251311,"We might be all right.And if we weren't...","Out of Africa"
"55",251515,253312,"at least we'dhave been somewhere.","Out of Africa"
"56",253477,256548,"You don't thinkyou're being too romantic?","Out of Africa"
"57",264738,266889,"Am I supposedto think you're serious?","Out of Africa"
"58",270745,273338,"I had a farm in Africa.","Out of Africa"
"59",275667,278579,"I had a farm in Africa...","Out of Africa"
"60",278795,281992,"at the foot of Ngong Hills.","Out of Africa"
"61",284677,286826,"I had a farm in Africa.","Out of Africa"
"62",461199,463350,"- Good morning.- Have you had trouble?","Out of Africa"
"63",463534,465446,"Now and then. Have you?","Out of Africa"
"64",465620,467451,"No. I'm travelling to Nairobi.","Out of Africa"
"65",467622,469454,"Well, you caughtthe right train.","Out of Africa"
"66",472461,474372,"Get away! Shoo! Shoo!","Out of Africa"
"67",476257,478646,"That's all my crystal.My Limoges.","Out of Africa"
"68",480345,482255,"They didn't knowit was Limoges.","Out of Africa"
"69",485850,487682,"So you plan to stay, then?","Out of Africa"
"70",487853,490572,"I've come out to marry Baron Blixen.Do you know him?","Out of Africa"
"71",490773,494129,"- Bror? Yes.- We plan to start a dairy.","Out of Africa"
"72",495862,498295,"Are you quite famous?They stopped the train for you.","Out of Africa"
"73",498490,501242,"It's rude not to here.","Out of Africa"
"74",501451,504329,"A dairy. Isn't it a bit soonfor milk at the door?","Out of Africa"
"75",508082,510153,"- Aren't you boarding?- No, I'm going on.","Out of Africa"
"76",510336,511848,"On? To where?","Out of Africa"
"77",512004,515474,"Mention the ivory to Berkeley Cole.Bror knows him.","Out of Africa"
"78",515716,517672,"I'm Baroness Blixen!","Out of Africa"
"79",517844,519163,"Not yet.","Out of Africa"
"80",520889,522720,"Finch Hatton, Denys!","Out of Africa"
"81",527812,530451,"Msabu, I am Farah Aden.","Out of Africa"
"82",530649,532048,"We can go now.","Out of Africa"
"83",532192,534831,"- Where is Baron Blixen?- He's at Muthaiga.","Out of Africa"
"84",535028,536860,"Please, come.","Out of Africa"
"85",546332,548163,"Where is Muthaiga?","Out of Africa"
"86",548335,550724,"Muthaiga is a clubwhere British go for drinking.","Out of Africa"
"87",551547,553105,"Please.","Out of Africa"
"88",560764,565360,"Listen. On the train are my crateswith china and crystal.","Out of Africa"
"89",565644,567794,"- Do you know china?- Yes, msabu.","Out of Africa"
"90",567980,569971,"China, it can break.","Out of Africa"
"91",615072,616471,"Stay.","Out of Africa"
"92",630130,632803,"Excuse me.I'm looking for Baron Blixen.","Out of Africa"
"93",633009,634567,"Rajiv.","Out of Africa"
"94",641768,645522,"- Yes. I wondered if you might...- Memsahibs must not be here.","Out of Africa"
"95",647399,649993,"- I'm simply looking...- Memsahibs must not be here.","Out of Africa"
"96",659495,661486,"Where have you been?","Out of Africa"
"97",661664,664259,"- Where have you been?- Arranging things.","Out of Africa"
"98",664458,666528,"How was the trip?You can tell me later.","Out of Africa"
"99",668004,670837,"- Would you like to change?- My luggage is still on the train.","Out of Africa"
"100",671049,674565,"Room ""D,"" head of the stairs.I haven't done anything about a ring.","Out of Africa"
"101",674803,676794,"- Do you care?- Did you think I wouldn't come?","Out of Africa"
"102",676972,679806,"I didn't think you'd want to spendthe money. You will love it here.","Out of Africa"
"103",680018,682248,"Servants are wonderful.Shall we get a drink?","Out of Africa"
"104",682437,684268,"We've got almost one hourbefore the wedding.","Out of Africa"
"105",684438,685918,"One hour?","Out of Africa"
