"id","startTime","endTime","text","title"
"1",36703,39035,"Oh, no!","Over the Hedge"
"2",39105,40902,"Come on!","Over the Hedge"
"3",57557,59149,"Come on, baby.","Over the Hedge"
"4",60493,62358,"Grab it!","Over the Hedge"
"5",71771,73602,"All right.","Over the Hedge"
"6",78278,79802,"What...?","Over the Hedge"
"7",94894,96384,"Vincent.","Over the Hedge"
"8",97630,100394,"No, no, bad idea. Bad idea!","Over the Hedge"
"9",179979,181674,"Just take what you need.","Over the Hedge"
"10",181748,184808,"Just take what you need.","Over the Hedge"
"11",205205,206194,"What's...?","Over the Hedge"
"12",236769,238168,"RJ?","Over the Hedge"
"13",238938,240064,"No?","Over the Hedge"
"14",240139,242369,"The moon's not full.","Over the Hedge"
"15",242442,245036,"You woke me up a week early?","Over the Hedge"
"16",247780,249873,"Oh, no.","Over the Hedge"
"17",249949,255012,"Don't tell me you're dumb enoughto actually try and steal my stuff.","Over the Hedge"
"18",255088,258182,"RJ, I'm gonna have to kill you.","Over the Hedge"
"19",258258,261193,"Please, I'm just a desperate guytrying to feed his family.","Over the Hedge"
"20",261261,264094,"- You don't have a family.- I meant a family of one.","Over the Hedge"
"21",264163,267621,"OK, wait, wait, wait, wait!Look, it's still in the cave.","Over the Hedge"
"22",267700,270533,"So, technically, not stolen.","Over the Hedge"
"23",270970,271959,"Oh, no!","Over the Hedge"
"24",273206,274434,"No!","Over the Hedge"
"25",279212,280509,"Slow!","Over the Hedge"
"26",282415,284246,"Stop!","Over the Hedge"
"27",286619,288382,"That was close.","Over the Hedge"
"28",295862,298160,"Vincent, wait! I can get it all back!","Over the Hedge"
"29",299132,302067,"That's right!If you eat me, you'd have to do it.","Over the Hedge"
"30",302135,303898,"But I can get it. All of it!","Over the Hedge"
"31",304637,307800,"- My red wagon?- Redder!","Over the Hedge"
"32",307874,310775,"- The blue cooler?- Blue cooler. On my list!","Over the Hedge"
"33",310843,312208,"- Gotta be blue?- Yes!","Over the Hedge"
"34",312278,315213,"And I want my Spuddies.I love those things.","Over the Hedge"
"35",315281,319115,"'Cause with a Spuddie,enough just isn't enough.","Over the Hedge"
"36",319185,322086,"So true. Painfully true.And I'll tell you what.","Over the Hedge"
"37",322155,324988,"I'm gonna get you the giant picnic pack,family-fun size.","Over the Hedge"
"38",325058,327959,"- They have that?- I'm pretty sure.","Over the Hedge"
"39",328995,332055,"All right, RJ. I'm going back to sleep.","Over the Hedge"
"40",332131,334827,"When that moon is full, I'm waking up.","Over the Hedge"
"41",334901,339497,"And all my stuff had betterbe right back where it was.","Over the Hedge"
"42",339572,343064,"But that's just one week!That's impossible for one guy!","Over the Hedge"
"43",343142,345269,"A week's perfect. I'll get some helpers.","Over the Hedge"
"44",345345,349714,"Full moon, all my stuff.And don't even think about running away.","Over the Hedge"
"45",349782,354651,"Because if you do,I will hunt you down and kill you.","Over the Hedge"
"46",357824,361590,"OK! OK, buddy! You just rest easy,all right, 'cause I'm on it.","Over the Hedge"
"47",361661,367065,"Hey, in a week from now, we'regonna be laughing about this thing.","Over the Hedge"
"48",461260,463820,"Oh, boy, that's cold! That's cold!","Over the Hedge"
"49",463896,466797,"The one place I didn't have a shell.","Over the Hedge"
"50",477176,479269,"Wow.","Over the Hedge"
"51",486385,487875,"Spring.","Over the Hedge"
"52",487954,490582,"That means there's only274 days left till winter.","Over the Hedge"
"53",490656,493454,"Everybody, wake up! Hibernation's over.","Over the Hedge"
"54",493526,495016,"Oh, morning!","Over the Hedge"
"55",495094,497756,"- Morning, Hammy.- I gotta go wee-wee!","Over the Hedge"
"56",497830,500060,"Not in the lake we drink from!","Over the Hedge"
"57",500132,502726,"Let's go, all right, the rest of you.It's spring!","Over the Hedge"
"58",502802,504667,"That means we gotta get to work.","Over the Hedge"
"59",504737,507797,"Finished. No, wait!","Over the Hedge"
"60",507874,510866,"Come on, everybody. Wake up.Don't make me come in there.","Over the Hedge"
"61",510943,512308,"Ya'll better listen.","Over the Hedge"
"62",512378,516314,"I've been holding something inall winter, and I'm about to let it out.","Over the Hedge"
"63",516382,519112,"- I'm up, I'm up!- She means it. Let's go!","Over the Hedge"
"64",519852,520841,"Thank you, Stella.","Over the Hedge"
"65",520920,524219,"Oh, I can clear a room, Verne.Come on, that much I can do.","Over the Hedge"
"66",524290,526520,"- Good morning.- Good morning, everyone!","Over the Hedge"
"67",526592,529823,"- How'd you guys sleep?- Just a super-duper morning.","Over the Hedge"
"68",529896,531295,"Oh, jeepers.","Over the Hedge"
"69",531364,534697,"Whoa, not lookin' so goodaround the eyes there, hon.","Over the Hedge"
"70",534767,537201,"Bucky and Quillo were upevery three or four weeks.","Over the Hedge"
"71",537270,538703,"And Spike kept poking me.","Over the Hedge"
"72",538771,540739,"Yeah. Well, he's kinda pokey.","Over the Hedge"
"73",540806,542706,"He's the sharpest of the bunch there.","Over the Hedge"
"74",542775,545209,"You know what?How 'bout I take the day shift?","Over the Hedge"
"75",545278,547075,"Oh, Lou, that'd be just super.","Over the Hedge"
"76",547146,551412,"All right, kids, you heard your mother,and now you listen to me. Shape up.","Over the Hedge"
"77",552985,554316,"Oh, boy.","Over the Hedge"
"78",554387,556355,"This is what I was afraid of.","Over the Hedge"
"79",556422,559755,"Where's the food? Is there any left?I'm hungry, so is there any left?","Over the Hedge"
"80",559825,564159,"We ate all the food, Hammy. During thewinter? We gotta go get some more now.","Over the Hedge"
"81",564230,566425,"Oh, right!I buried some nuts in the woods.","Over the Hedge"
"82",566499,568831,"I know where they are.I'll be right back. Bye!","Over the Hedge"
"83",573906,576397,"- That's enough.- Dad, it was just snow.","Over the Hedge"
"84",576475,578705,"But it could have been a predator.","Over the Hedge"
"85",578778,581110,"Isn't playing dead a little... weak?","Over the Hedge"
"86",581180,583671,"Heather, how many times must I say it?","Over the Hedge"
"87",583749,586274,"Playing possum is what we do.","Over the Hedge"
"88",586352,588786,"We die so that we live!","Over the Hedge"
"89",588854,590981,"I'm the boss of you, OK? So calm down.","Over the Hedge"
"90",591057,594493,"That's what we need to find youthis year, don't you know? A good fella.","Over the Hedge"
"91",594560,598291,"- A good fella? A good fella?- Jeepers, here we go.","Over the Hedge"
"92",598364,600298,"Why does everyone think I need a man?","Over the Hedge"
"93",600366,602800,"I look like a nestand smell like a swamp.","Over the Hedge"
"94",602868,605166,"So when you find a fella who's decent,","Over the Hedge"
"95",605237,608502,"good with kidsand has no sense of smell, call me.","Over the Hedge"
"96",616549,618181,"- Hello?- I don't care who started it.","Over the Hedge"
"97",618216,619813,"- Hello?- I don't care who started it.","Over the Hedge"
"98",621387,622615,"Oh, look, food.","Over the Hedge"
"99",622688,626055,"Well, I think you know what this means.","Over the Hedge"
"100",626125,628491,"- Verne.- Just a minute, Hammy.","Over the Hedge"
"101",628561,632497,"This means we were nine berriesaway from starvation.","Over the Hedge"
"102",633099,634794,"Sorry. That was a little intense.","Over the Hedge"
"103",634867,637392,"I meant really serious hunger pains.","Over the Hedge"
"104",637470,638994,"Verne!","Over the Hedge"
"105",639071,642040,"- Not finished, Hammy.- Morning, Lou, Penny.","Over the Hedge"
"106",642108,644167,"- Thanks.- Hey, kids.","Over the Hedge"
"107",644243,646211,"- What I want to tell you is...- Verne!","Over the Hedge"
"108",646278,649509,"I'm not done, Hammy.If you have to go again, just go.","Over the Hedge"
"109",649582,652415,"OK. So all I'm sayingis we cut it a little close.","Over the Hedge"
"110",652485,655283,"So this year we needto make sure that we fill the log...","Over the Hedge"
"111",655354,658653,"- All the way to the top.- Exactly. All the way to the top.","Over the Hedge"
"112",658724,660988,"- Because what are we?- Foragers!","Over the Hedge"
"113",661060,664188,"- And what do we forage?- Food!","Over the Hedge"
"114",664263,666663,"- Right.- Super, Verne, really super.","Over the Hedge"
"115",666732,668597,"OK, Hammy.","Over the Hedge"
"116",668668,670033,"- What is it?- What is what?","Over the Hedge"
"117",670102,671592,"What is it you want to tell me?","Over the Hedge"
"118",673139,675699,"What was it, what was it,what was it, what was it?","Over the Hedge"
"119",675775,677936,"Wait. Right on the tip of my tongue.Oh, yeah!","Over the Hedge"
"120",678010,680274,"There's a weird thingI've never seen before.","Over the Hedge"
"121",680346,682610,"It's really scary. Follow me.","Over the Hedge"
"122",684450,687851,"OK. Meeting calledon account of weird scary thing.","Over the Hedge"
"123",687920,689387,"Let's go.","Over the Hedge"
"124",691390,692857,"Foragers...","Over the Hedge"
"125",694627,696492,"Hammy, what weird thing?","Over the Hedge"
"126",696562,700658,"Oh. That weird thing.","Over the Hedge"
"127",727760,729955,"It never ends!","Over the Hedge"
"128",733966,735433,"Hey!","Over the Hedge"
"129",737069,739367,"It never ends that way too!","Over the Hedge"
"130",739438,741201,"- Jeepers, Lou.- Whoa.","Over the Hedge"
"131",741273,743434,"Yeah, jeepers is the word there, hon.","Over the Hedge"
"132",743509,746706,"- I've never seen anything like this.- Man, that's big.","Over the Hedge"
"133",749982,752246,"- What is this thing?- Heather, no!","Over the Hedge"
"134",752318,755515,"- I'm scared.- Me too, Mama.","Over the Hedge"
"135",755588,758557,"It's OK, it's just a...What is this thing, Lou?","Over the Hedge"
"136",758624,762082,"I... Well, it's a... It's... Verne?","Over the Hedge"
