"id","startTime","endTime","text","title"
"1",15493,19190,"Welcome home, Hunter.This is your house.","Paranormal Activity 2"
"2",19330,22993,"Gonna look out of that window.There's your front door.","Paranormal Activity 2"
"3",24236,25260,"Hi, Dad.","Paranormal Activity 2"
"4",25403,27394,"How are you?","Paranormal Activity 2"
"5",28140,29198,"- Happy.- Hi, little man.","Paranormal Activity 2"
"6",29341,30466,"We got to keep him outof the sun, too, OK?","Paranormal Activity 2"
"7",30609,32600,"Yeah. How are you feeling?","Paranormal Activity 2"
"8",32743,35042,"Guess who changedthe first, like, 15 diapers?","Paranormal Activity 2"
"9",35179,36476,"- This guy, right here.- Wait, wait.","Paranormal Activity 2"
"10",36615,38673,"Guess who was in labor for a day?","Paranormal Activity 2"
"11",38817,39942,"- This girl.- I've been in labor for...","Paranormal Activity 2"
"12",40085,41347,"- Hi.- That's your mama.","Paranormal Activity 2"
"13",41485,44420,"Hi. Hunter, this is Martine,your new nanny.","Paranormal Activity 2"
"14",44555,46250,"She will probablyfix your dirty diapers","Paranormal Activity 2"
"15",46390,47380,"- because I won't.- Can I see?","Paranormal Activity 2"
"16",47526,48890,"Yes.","Paranormal Activity 2"
"17",49027,50892,"Oh, my goodness. Look at this.","Paranormal Activity 2"
"18",51029,52496,"- He's cute, right?- Isn't he adorable?","Paranormal Activity 2"
"19",52631,55929,"He's kind of smooshy looking.I'm not gonna lie.","Paranormal Activity 2"
"20",56067,57625,"He's just newborn,he's a newborn...","Paranormal Activity 2"
"21",57768,60430,"Seriously, the cutest baby ever,next to me. Second to me.","Paranormal Activity 2"
"22",60572,62402,"Just touch him andcuddle him all day long.","Paranormal Activity 2"
"23",62540,64269,"You see how tiny he is?","Paranormal Activity 2"
"24",65611,67772,"Do you mind if I take him?Not if he's sleeping,","Paranormal Activity 2"
"25",67912,69881,"but I want to take himon a tour of the house.","Paranormal Activity 2"
"26",70015,72313,"OK. He's not sleeping.","Paranormal Activity 2"
"27",72450,75352,"That's Abby.Gonna be your best friend.","Paranormal Activity 2"
"28",75486,77387,"Bye, sweetie.","Paranormal Activity 2"
"29",77521,81150,"This is a fireplace.This is how Mommy seduced Daddy...","Paranormal Activity 2"
"30",81293,83989,"- Oh.- ...and that's how we got you.","Paranormal Activity 2"
"31",84129,86359,"And that's why you're watchingthis video at 25.","Paranormal Activity 2"
"32",86498,87965,"This is your room.","Paranormal Activity 2"
"33",90534,92162,"There's your crib.It's a little sparse right now.","Paranormal Activity 2"
"34",92304,93634,"Just got somecaterpillar action going on.","Paranormal Activity 2"
"35",93771,96865,"""Hunter."" See? Pretty cool.","Paranormal Activity 2"
"36",97009,99341,"This is your sister's trashed room.","Paranormal Activity 2"
"37",99478,101673,"- No, I'll check with him.- Oh, there she is.","Paranormal Activity 2"
"38",101813,103973,"Wassup, brotherfrom another mother?","Paranormal Activity 2"
"39",104115,105674,"- What?- No, Hunter's in...","Paranormal Activity 2"
"40",105817,109685,"You're never allowed to come inhere, ever. Unless I invite you.","Paranormal Activity 2"
"41",109820,111311,"In which case, it's gonna bethe best day of your life.","Paranormal Activity 2"
"42",111456,113616,"By the way, that's my bathroom.Don't ever go in there.","Paranormal Activity 2"
"43",113658,116491,"That's half your bathroom. It's actuallymy bathroom, 'cause I bought it.","Paranormal Activity 2"
"44",117935,119162,"All that is mine.Don't pee on my seat!","Paranormal Activity 2"
"45",120646,122442,"This is the living roomthat no one ever uses.","Paranormal Activity 2"
"46",122480,124710,"Hey, somebody leftthe front door open!","Paranormal Activity 2"
"47",126551,129384,"Nice.Don't do that, OK?","Paranormal Activity 2"
"48",129521,133151,"This is my first man cave.That's where all my genius ideas come.","Paranormal Activity 2"
"49",133292,134691,"This is the second man cave,","Paranormal Activity 2"
"50",134826,136954,"where we're gonna watchChargers games together.","Paranormal Activity 2"
"51",137096,139758,"This is my 50-inch monster.","Paranormal Activity 2"
"52",139899,141423,"Look at that. It's beautiful.","Paranormal Activity 2"
"53",145137,147401,"I don't even knowif I swaddled him right.","Paranormal Activity 2"
"54",148507,149769,"It's just... Yeah.","Paranormal Activity 2"
"55",152978,155605,"Hi, baby boy. Hi.","Paranormal Activity 2"
"56",155747,156908,"Hi.","Paranormal Activity 2"
"57",158683,161914,"- He smells good.- Yes.","Paranormal Activity 2"
"58",163421,165480,"You're just like Daddy.","Paranormal Activity 2"
"59",166091,168615,"You make poops all the time.","Paranormal Activity 2"
"60",173731,175393,"- Is that good?- Si.","Paranormal Activity 2"
"61",175533,177001,"OK.","Paranormal Activity 2"
"62",177135,181835,"Is a special baby. Si?","Paranormal Activity 2"
"63",184143,187169,"- Thank you.- That is so cute.","Paranormal Activity 2"
"64",187312,188644,"I'll get it!","Paranormal Activity 2"
"65",193451,196012,"- Hey! Let me see this baby.- Hi!","Paranormal Activity 2"
"66",196155,197281,"- Aunt Katie!- Where is he?","Paranormal Activity 2"
"67",197423,198855,"He's upstairs.","Paranormal Activity 2"
"68",200592,202116,"Hi.","Paranormal Activity 2"
"69",204096,207896,"Hi. Hi.","Paranormal Activity 2"
"70",208033,211092,"You are so precious.","Paranormal Activity 2"
"71",212503,213993,"Hi.","Paranormal Activity 2"
"72",215608,218235,"I already love you so much.","Paranormal Activity 2"
"73",218377,220311,"- My sister did good.- Yeah.","Paranormal Activity 2"
"74",220445,221969,"You probably had a littlepart in it, I don't know.","Paranormal Activity 2"
"75",222114,223546,"- Very little.- Hi.","Paranormal Activity 2"
"76",225384,228114,"It's her boyfriend.Yeah, he's a big boy, just like his...","Paranormal Activity 2"
"77",228253,230449,"Kinda just eating cookies.","Paranormal Activity 2"
"78",230588,232614,"Hello, baby.","Paranormal Activity 2"
