"id","startTime","endTime","text","title"
"1",3629,5755,"Peanuts! Roasted!","Parenthood"
"2",7299,10760,"Freshly roasted!Get your peanuts!","Parenthood"
"3",16058,18476,"Roasted! Red hot!","Parenthood"
"4",19937,21354,"Hot peanuts!","Parenthood"
"5",22981,26109,"Red hots! How aboutsome red hot peanuts?","Parenthood"
"6",26193,28528,"Peanuts!Get your peanuts here!","Parenthood"
"7",29238,30988,"Go, go, go, go!","Parenthood"
"8",33409,34492,"Safe!","Parenthood"
"9",36620,41249,"Now battingfor the Cardinals,
number 14, Stanley Boyer.","Parenthood"
"10",45671,46671,"Come on!","Parenthood"
"11",51927,53553,"We missed four innings.","Parenthood"
"12",54304,57056,"Well, like I said,I had to stop
and do some business.","Parenthood"
"13",57141,58766,"Here, sit down.","Parenthood"
"14",60144,62395,"Hey, you, usher, come here.Can I talk to you a second?","Parenthood"
"15",62479,63438,"Yes, sir.","Parenthood"
"16",63522,65898,"Can you watch him?Sure, no problem.","Parenthood"
"17",65983,67066,"I'll be back.","Parenthood"
"18",68485,71070,"Gil, this is Stan.He's gonna watch you
for a while.","Parenthood"
"19",71155,72697,"I have some friendsI'm meeting.","Parenthood"
"20",72781,75867,"I'll meet you right here, huh?For the ninth inning.
Have fun, kid.","Parenthood"
"21",75951,79162,"Programs here!Get your programs! Programs!","Parenthood"
"22",80122,84000,"Programs here!Get your programs! Programs!","Parenthood"
"23",84752,87003,"So, Gilly,big baseball fan?","Parenthood"
"24",87337,90506,"Kind of.Yeah?
Dad bring you here a lot?","Parenthood"
"25",91341,94761,"Once a year on my birthday.Then he pays an usher
to watch me.","Parenthood"
"26",96638,98181,"Oh, I see.","Parenthood"
"27",100017,102310,"Look, you haveto understand.","Parenthood"
"28",102394,105772,"My father,in his own childhood,","Parenthood"
"29",105856,108357,"was withouta positive male influence.","Parenthood"
"30",108942,110193,"Huh?","Parenthood"
"31",110277,112987,"His own fatherkicked him out
when he was 15,","Parenthood"
"32",113572,117492,"so my Dad was taughtto see child-raising
as a job, a burden,","Parenthood"
"33",118660,121621,"a prison,rather than a playground.","Parenthood"
"34",123540,125374,"Do you understandwhat I'm saying?","Parenthood"
"35",125918,127168,"You don't talk like a kid.","Parenthood"
"36",127252,129796,"Yeah, well,I'm not really a kid.
You're not a duck.","Parenthood"
"37",129880,132215,"This is a memoryof when I was a kid.","Parenthood"
"38",132299,135676,"I'm 35 now.I have kids of my own.","Parenthood"
"39",137012,139222,"You don't reallyeven exist.","Parenthood"
"40",139890,142934,"You're an amalgam.A what?","Parenthood"
"41",143811,148189,"A combinationof several ushers my dad
left me with over the years.","Parenthood"
"42",149107,152902,"I've combined theminto one memory.
Why?","Parenthood"
"43",153153,155988,"This was a greatsymbolic moment
of my life,","Parenthood"
"44",156073,158032,"my father dumping mewith you.","Parenthood"
"45",158283,161536,"It's why I sworethings would be
different with my kids.","Parenthood"
"46",162371,163496,"That's my dream.","Parenthood"
"47",163872,166249,"Strong, happy,confident kids.","Parenthood"
"48",167459,171045,"That's great. That's great.You know,
you got a lovely family,","Parenthood"
"49",171129,173548,"and I'm a goddamn amalgam.","Parenthood"
"50",174466,175591,"Gil?","Parenthood"
"51",178095,180680,"Who's that?That's my wife.","Parenthood"
"52",181890,183057,"Nice.","Parenthood"
"53",183642,184767,"Gil.","Parenthood"
"54",185602,188521,"Yeah?The game's over, honey.","Parenthood"
"55",189815,193150,"The St. LouisCardinals wish to thank you
for attending today's game.","Parenthood"
