"id","startTime","endTime","text","title"
"1",295044,296336,"What the hell?","Paris, Texas"
"2",302218,304177,"Hey.","Paris, Texas"
"3",309225,312686,"You know which side of the border you're on?","Paris, Texas"
"4",312770,315230,"You got a name, boy?","Paris, Texas"
"5",316441,319151,"Guess...","Paris, Texas"
"6",319235,322154,"somethin' must havecut your tongue off.","Paris, Texas"
"7",324365,326366,"Either that, or...","Paris, Texas"
"8",328411,333332,"you've got somethin'... to hide.","Paris, Texas"
"9",333416,337085,"Ah.","Paris, Texas"
"10",337170,339087,"Never can tell.","Paris, Texas"
"11",341883,345844,"You hear me plain enough.","Paris, Texas"
"12",350224,352142,"Ah.","Paris, Texas"
"13",354437,356438,"""Walter R. Henderson.""","Paris, Texas"
"14",359108,361276,"Now, I want to ask youone last question.","Paris, Texas"
"15",363529,366531,"You see this here card?","Paris, Texas"
"16",366616,368617,"Is it you?","Paris, Texas"
"17",369911,372621,"Or a relative of yours?","Paris, Texas"
"18",374832,378210,"Well, I'm gonna call up this number...","Paris, Texas"
"19",378294,381797,"and see if they can tell me who you are.","Paris, Texas"
"20",381881,385884,"I ain't got beds enoughto be puttin' up mutes.","Paris, Texas"
"21",393559,397270,"Operator, I need a line out, please.","Paris, Texas"
"22",399565,402526,"Los Angeles, California.","Paris, Texas"
"23",402610,404611,"Area code -","Paris, Texas"
"24",412620,415122,"Uh, what?","Paris, Texas"
"25",415206,419418,"Well, can you - Can you tell me the exactlocation of your hospital down there?","Paris, Texas"
"26",421087,423463,"Uh, where the hell's that?","Paris, Texas"
"27",425258,428218,"Oh, okay. All right.Yeah, um -","Paris, Texas"
"28",428302,431138,"Okay, I'll be there.I'll get there as fast as I can.","Paris, Texas"
"29",431222,434808,"Just - Will you tell himthat I'm coming, okay? Okay.","Paris, Texas"
"30",440523,443275,"Steven, I think you will have to change that.","Paris, Texas"
"31",443359,444317,"This section right here?","Paris, Texas"
"32",444402,446153,"Yeah, because it's in the copy.","Paris, Texas"
"33",446237,448780,"Anne, honey?","Paris, Texas"
"34",448865,452784,"- I just got the strangest phone call.- Who from?","Paris, Texas"
"35",452869,456830,"From some hospital in South Texas -a place called Terlingua.","Paris, Texas"
