"id","startTime","endTime","text","title"
"1",65629,68563,"All of life is a coming home.","Patch Adams"
"2",68632,72897,"Salesmen, secretaries, coal miners,beekeepers, sword swallowers,","Patch Adams"
"3",72968,74903,"all of us.","Patch Adams"
"4",74971,78236,"All the restless heartsof the world...","Patch Adams"
"5",78307,81242,"all tryingto find a way home.","Patch Adams"
"6",83447,86847,"It's hard to describewhat I felt like then.","Patch Adams"
"7",86917,90353,"Picture yourself walkingfor days in a driving snow.","Patch Adams"
"8",90420,93354,"You don't even knowyou're walking in circles,","Patch Adams"
"9",93423,96358,"the heaviness of your legsin the drifts;","Patch Adams"
"10",96426,98792,"your shoutsdisappearing into the wind.","Patch Adams"
"11",98861,101091,"How small you can feel.","Patch Adams"
"12",101164,103962,"How far away home can be.","Patch Adams"
"13",121117,123143,"Home.","Patch Adams"
"14",123219,126656,"The dictionary defines itas both a place of origin...","Patch Adams"
"15",126722,128782,"and a goal or destination.","Patch Adams"
"16",130227,132161,"And the storm?","Patch Adams"
"17",132228,134992,"The storm was all in my mind.","Patch Adams"
"18",135064,137329,"Or, as the poet Dante put it...","Patch Adams"
"19",137401,141098,"""In the middle of the journey of my lifeI found myself in a dark wood...","Patch Adams"
"20",141170,143604,"for I had lostthe right path. ""","Patch Adams"
"21",144740,147538,"Eventually I would findthe right path...","Patch Adams"
"22",147610,150443,"but in the most unlikely place.","Patch Adams"
"23",182278,184212,"How many fingersdo you see?","Patch Adams"
"24",184281,186715,"You crazy-Stop sneakin' up on me like that.","Patch Adams"
"25",186782,188512,"How many?","Patch Adams"
"26",188585,191212,"-Four.-Four?","Patch Adams"
"27",191288,193722,"Four?","Patch Adams"
"28",193789,195723,"Another idiot.","Patch Adams"
"29",196893,198951,"You gon' love it here.","Patch Adams"
"30",200030,202463,"Got a new one, Jane.Hunter Adams.","Patch Adams"
"31",202532,205466,"Self-committed. Suicidal.Slate him with Dr. Prack.","Patch Adams"
"32",205534,207468,"All right.","Patch Adams"
