"id","startTime","endTime","text","title"
"1",120253,122551,"No, I won't go out.I'll never, never go out!","Peter Ibbetson"
"2",122622,124055,"Now, my dear.","Peter Ibbetson"
"3",124424,125948,"But I don't wantto go out, Mother.","Peter Ibbetson"
"4",126025,128357,"Now, tell Motherwhat's the matter this time.","Peter Ibbetson"
"5",128428,130555,"I don't want to go outbecause she's out there.","Peter Ibbetson"
"6",130630,131756,"Gogo!","Peter Ibbetson"
"7",132765,135256,"What's thisterrible quarrel about?","Peter Ibbetson"
"8",135535,136968,"I'm building a wagon, Mother.","Peter Ibbetson"
"9",137036,138128,"Yes?","Peter Ibbetson"
"10",138204,140069,"And she wantsto build a dollhouse.","Peter Ibbetson"
"11",140140,142233,"Well, why don't you makea wagon","Peter Ibbetson"
"12",142375,144570,"and why doesn't shebuild a doll's house?","Peter Ibbetson"
"13",144644,146305,"Because she's gotall the boards.","Peter Ibbetson"
"14",146379,147937,"Won't she divide the boards?","Peter Ibbetson"
"15",148014,149538,"But that won't do any good.","Peter Ibbetson"
"16",149616,150742,"I need them.","Peter Ibbetson"
"17",150817,152751,"I need all the boards.","Peter Ibbetson"
"18",153386,154648,"A wagon...","Peter Ibbetson"
"19",154787,156812,"a wagon needsa lot of boards.","Peter Ibbetson"
"20",156956,158981,"A dollhousedoesn't need many.","Peter Ibbetson"
"21",159125,160990,"A dollhousedoesn't even need anything.","Peter Ibbetson"
"22",161060,162550,"Why doesn't it need anything?","Peter Ibbetson"
"23",162629,164961,"Because it isn'tworth anything.","Peter Ibbetson"
"24",165031,167898,"Gogo, you must not annoyyour mother anymore.","Peter Ibbetson"
"25",167967,170060,"Run out and play, dear.Please.","Peter Ibbetson"
"26",170570,172367,"All right, I'll go,","Peter Ibbetson"
"27",174207,175902,"but I'll neverspeak to her again","Peter Ibbetson"
"28",175975,177636,"as long as I live.","Peter Ibbetson"
"29",181981,184245,"And they were allmy boards, Mother.","Peter Ibbetson"
"30",184317,185579,"They were in my yard,","Peter Ibbetson"
"31",185652,187279,"and he came overand took them.","Peter Ibbetson"
"32",187353,188513,"And what did you do?","Peter Ibbetson"
"33",188588,189885,"I took them back.","Peter Ibbetson"
"34",189956,190980,"Oh, but, darling,","Peter Ibbetson"
"35",191057,192888,"you must be generousand share your boards.","Peter Ibbetson"
"36",192959,195621,"I did, Mother,but he wants them all!","Peter Ibbetson"
"37",195695,197686,"Now, dear, be nice to Gogo.","Peter Ibbetson"
"38",197830,199923,"You knowhis mother's very ill.","Peter Ibbetson"
"39",200500,202968,"Now, please run out and playand make up with him.","Peter Ibbetson"
"40",203036,206028,"I'll go out, but I'llnever make up with him.","Peter Ibbetson"
"41",206206,208003,"I neverwant to see him again,","Peter Ibbetson"
"42",208141,210075,"forever andever and ever.","Peter Ibbetson"
"43",211010,213535,"He's nasty. He's selfish.","Peter Ibbetson"
"44",213947,217713,"He's... he's just an old person!","Peter Ibbetson"
"45",225992,227459,"Gogo!","Peter Ibbetson"
"46",253720,254880,"Hello.","Peter Ibbetson"
"47",255521,256852,"Oh, hello.","Peter Ibbetson"
"48",259559,261993,"I'll give youjust one more board.","Peter Ibbetson"
"49",262662,264687,"This one. A big one. See?","Peter Ibbetson"
"50",265098,266998,"What good is one board?","Peter Ibbetson"
"51",267267,269758,"But it's such a big one.You can split it.","Peter Ibbetson"
"52",269836,272566,"And anyway, you can makeyour wagon smaller.","Peter Ibbetson"
"53",275508,277373,"You don't knowanything about a wagon.","Peter Ibbetson"
"54",277443,278569,"If you weren't selfish,","Peter Ibbetson"
"55",278645,280169,"you'd help mebuild a doll house!","Peter Ibbetson"
"56",280246,281270,"A dollhouse!","Peter Ibbetson"
