"id","startTime","endTime","text","title"
"1",1000,4074,"Subtitles downloaded from Podnapisi.NET","Peter Pan"
"2",35869,38705,"The second star to the right","Peter Pan"
"3",38789,42584,"Shines in the night for you","Peter Pan"
"4",42668,45879,"To tell you that the dreams you plan","Peter Pan"
"5",45963,49800,"Really can come true","Peter Pan"
"6",50384,53220,"The second star to the right","Peter Pan"
"7",53303,57766,"Shines with a light so rare","Peter Pan"
"8",57849,61645,"And if it's Never Land you need","Peter Pan"
"9",61728,65774,"Its light will lead you there","Peter Pan"
"10",65983,68819,"Twinkle, twinkle little star","Peter Pan"
"11",68902,73073,"So we'll know where you are","Peter Pan"
"12",73156,77160,"Gleaming in the skies above","Peter Pan"
"13",77244,79871,"Lead us to the land","Peter Pan"
"14",79955,84418,"We dream of","Peter Pan"
"15",84501,88839,"And when our journey is through","Peter Pan"
"16",88922,91425,"Each time we say","Peter Pan"
"17",91508,94469,"Good night","Peter Pan"
"18",94678,100434,"We'll thank the little star that shines","Peter Pan"
"19",101476,105689,"The second from","Peter Pan"
"20",105772,109276,"The right","Peter Pan"
"21",113572,116116,"All this has happened before.","Peter Pan"
"22",116199,119244,"And it will all happen again.","Peter Pan"
"23",119328,122331,"But this time it happened in London.","Peter Pan"
"24",125083,128045,"It happened on a quiet streetin Bloomsbury.","Peter Pan"
"25",129588,134092,"That corner house over there isthe home of the Darling family.","Peter Pan"
"26",134551,137179,"And Peter Pan chosethis particular house","Peter Pan"
"27",137262,140557,"because there were people herewho believed in him.","Peter Pan"
"28",141016,142851,"There was Mrs Darling.","Peter Pan"
"29",144561,148482,"George, dear, do hurry. We mustn'tbe late for the party, you know.","Peter Pan"
"30",148565,152736,"Mrs Darling believed that Peter Panwas the spirit of youth.","Peter Pan"
"31",153111,154363,"But Mr Darling...","Peter Pan"
"32",154446,158909,"Mary, unless I find my cuff linkswe don't go to the party.","Peter Pan"
"33",159284,163330,"And if we don't go to the party, I cannever show my face in the office again.","Peter Pan"
"34",163413,164998,"And if I can never...","Peter Pan"
"35",165248,168627,"Well, Mr Darling was a practical man.","Peter Pan"
"36",169503,172464,"The boys, however, John and Michael,","Peter Pan"
"37",172923,175300,"believed Peter Pan was a real person","Peter Pan"
"38",175592,178804,"and made him the heroof all their nursery games.","Peter Pan"
"39",178887,180931,"Blast you, Peter Pan!","Peter Pan"
"40",183058,186978,"Take that! Give up, Captain Hook?Give up?","Peter Pan"
"41",187062,189856,"Never! I'll teach you to cut off me hand!","Peter Pan"
"42",189940,192943,"Oh, no, John. It was the left hand.","Peter Pan"
"43",193485,195570,"Yes. Thank you, Wendy.","Peter Pan"
"44",195654,199116,"Wendy, the eldest, not only believed,","Peter Pan"
"45",199783,202369,"she was the supremeauthority on Peter Pan","Peter Pan"
"46",202452,204371,"and all his marvellous adventures.","Peter Pan"
"47",204454,208125,"Nana, must we always takethat nasty tonic?","Peter Pan"
"48",208291,211128,"Nana, the nursemaid, being a dog,","Peter Pan"
"49",211712,214214,"kept her opinions to herself","Peter Pan"
"50",214297,217801,"and viewed the whole affairwith a certain tolerance.","Peter Pan"
"51",224891,226143,"Take that!","Peter Pan"
"52",226518,229479,"Insolent boy! I'll slash you to ribbons!","Peter Pan"
"53",229563,232482,"And I'll cut you to pieces.","Peter Pan"
"54",235318,238738,"-Careful, Michael, my glasses.-I'm sorry, John.","Peter Pan"
"55",239573,241616,"You'll never leave this ship alive!","Peter Pan"
"56",241700,243452,"Oh, yes, I will.","Peter Pan"
"57",243994,245412,"Take that!","Peter Pan"
"58",251418,254921,"Scuttle me bones, boy,I'll slit your gizzard.","Peter Pan"
"59",255589,257382,"Oh, no, you won't.","Peter Pan"
"60",257466,260260,"Back, back, back, you villain!","Peter Pan"
"61",260677,263972,"-Insolent pup!-Wicked pirate!","Peter Pan"
"62",264973,266141,"I got ya.","Peter Pan"
"63",266224,268685,"You didn't either.You never touched me.","Peter Pan"
"64",269186,272856,"Take that and that! And that!","Peter Pan"
"65",272939,275108,"Boys, boys, less noise, please.","Peter Pan"
"66",277944,280947,"-Oh, hello, Father.-You old bilge rat.","Peter Pan"
"67",281031,283658,"What? Now, see here, Michael...","Peter Pan"
"68",283742,287579,"Not you, Father.You see, he's Peter Pan.","Peter Pan"
"69",287662,290624,"-And John's Captain Hook.-Yes, yes, of course.","Peter Pan"
"70",291458,293001,"Have you seen my cuff...","Peter Pan"
"71",293668,296171,"Nana, for goodness sake!","Peter Pan"
"72",296463,298715,"Where are those cuff links?","Peter Pan"
"73",299591,303512,"-Cuff links, Father?-Yes, the gold ones.","Peter Pan"
"74",303929,306973,"Michael, the buried treasure.Where is it?","Peter Pan"
"75",307057,309142,"-I don't know.-The map then.","Peter Pan"
"76",309476,312187,"-Where's the treasure map?-It got lost.","Peter Pan"
"77",312270,315565,"-Good heavens, my shirt front!-Hurray! You found it!","Peter Pan"
"78",315649,317984,"-You found it!-Yes, so I have.","Peter Pan"
"79",318068,321363,"And hereafter... Don't paw me, Michael.","Peter Pan"
"80",321530,323615,"This is my last clean...","Peter Pan"
"81",323907,324991,"No!","Peter Pan"
"82",325909,327160,"No!","Peter Pan"
"83",327244,329704,"George, dear,we must hurry or we'll be...","Peter Pan"
"84",329788,333542,"-Mary, look!-George.","Peter Pan"
"85",333625,336503,"-It's only chalk, Father.-Why, Michael.","Peter Pan"
"86",336586,339798,"It's not his fault. It's in the story.","Peter Pan"
"87",340382,343176,"-And Wendy says...-Wendy? Story?","Peter Pan"
"88",343635,347055,"I might have known. Wendy!","Peter Pan"
"89",347931,350642,"-Wendy!-Yes, Father?","Peter Pan"
"90",350725,353812,"-Would you kindly ex...-Oh, Mother!","Peter Pan"
"91",353937,357107,"-You look simply lovely.-Thank you, dear.","Peter Pan"
"92",357190,359276,"-Wendy.-Just my old gown made over.","Peter Pan"
"93",359359,363029,"-But it did turn out rather nicely...-Mary, if you don't mind.","Peter Pan"
"94",363113,366950,"Why, Father,what have you done to your shirt?","Peter Pan"
"95",367200,369494,"What have I...","Peter Pan"
"96",371204,373832,"Now, George, really. It comes right off.","Peter Pan"
"97",373915,378420,"That's no excuse.Wendy, haven't I warned you?","Peter Pan"
"98",378503,381047,"Stuffing the boys' headswith a lot of silly stories.","Peter Pan"
"99",381131,383592,"-Oh, but they aren't.-I say they are!","Peter Pan"
"100",383967,386428,"Captain Crook! Peter Pirate!","Peter Pan"
"101",386511,388013,"Peter Pan, Father.","Peter Pan"
"102",388096,391141,"Pan! Pirate! Poppycock!","Peter Pan"
"103",391224,393184,"-No, Father.-You don't understand.","Peter Pan"
"104",393268,397939,"Absolute poppycock!And let me tell you, this ridiculous...","Peter Pan"
"105",398023,399232,"Now, George.","Peter Pan"
"106",399316,401401,"""Now, George"".","Peter Pan"
"107",401818,403987,"""Now, George""!","Peter Pan"
"108",404070,406740,"Well, ""Now, George"", will have his say!","Peter Pan"
"109",406823,408074,"Please, dear.","Peter Pan"
"110",408158,410452,"Mary, the child's growing up.","Peter Pan"
"111",411202,413455,"It's high timeshe had a room of her own.","Peter Pan"
"112",413538,415081,"-Father!-George","Peter Pan"
