"id","startTime","endTime","text","title"
"1",47119,49270,"Reynolds has mademy dreams come true.","Phantom Thread"
"2",52000,54673,"And I have given him whathe desires most in return.","Phantom Thread"
"3",56840,57875,"And what's that?","Phantom Thread"
"4",62280,63634,"Every piece of me.","Phantom Thread"
"5",67319,69436,"He's a verydemanding man, isn't he?","Phantom Thread"
"6",73079,75037,"Must be quite a challengeto be with him.","Phantom Thread"
"7",75879,76870,"Yes.","Phantom Thread"
"8",78519,80396,"Maybe he's the mostdemanding man.","Phantom Thread"
"9",174360,175474,"Morning, ladies.","Phantom Thread"
"10",180039,181552,"- Morning.- Morning, madam.","Phantom Thread"
"11",182520,183555,"Good morning, ladies.","Phantom Thread"
"12",205639,207550,"- Morning, Biddy.- Morning, Mr. Woodcock.","Phantom Thread"
"13",208400,210231,"- Morning, Nana.- Morning, Mr. Woodcock.","Phantom Thread"
"14",210319,211435,"- Pippa.- Morning, sir.","Phantom Thread"
"15",255639,256788,"Try these.","Phantom Thread"
"16",259959,262634,"Reynolds. They're delicious.","Phantom Thread"
"17",264800,266312,"Remember I told you, Johanna“.","Phantom Thread"
"18",267319,268754,"No more stodgy things?","Phantom Thread"
"19",271519,272590,"I didn't know that.","Phantom Thread"
"20",276159,277957,"You may have told itto someone else.","Phantom Thread"
"21",288720,291360,"- Morning.- Morning, my old so-and-so.","Phantom Thread"
"22",310759,312238,"Where have you gone, Reynolds?","Phantom Thread"
"23",316000,320437,"There's nothing I can say to getyour attention aimed back at me.","Phantom Thread"
"24",321560,322709,"Is there?","Phantom Thread"
"25",325720,329394,"I cannot begin my daywith a confrontation, please.","Phantom Thread"
"26",330920,332672,"I'm delivering the dress today.","Phantom Thread"
"27",333720,336677,"And I can't take up spacewith a confrontation.","Phantom Thread"
"28",336800,339154,"I simply don't havetime for confrontations.","Phantom Thread"
"29",376360,379112,"Good morning, Countess.Good morning, Cyril.","Phantom Thread"
"30",380120,381269,"Good morning, Peter.","Phantom Thread"
"31",394680,396670,"Who is this beautiful stranger?","Phantom Thread"
"32",398639,401028,"I need to see youfar more often, Henrietta.","Phantom Thread"
"33",402959,406749,"- I am very excited.- I am, too. Come in.","Phantom Thread"
"34",443240,444389,"Exquisite.","Phantom Thread"
"35",474000,475034,"Yes?","Phantom Thread"
"36",475360,476634,"Let's take it for a walk.","Phantom Thread"
"37",492000,493115,"Beautiful work, ladies.","Phantom Thread"
"38",493240,494798,"- Thank you very much.- Thank you.","Phantom Thread"
"39",495560,496913,"It's beautiful, Reynolds.","Phantom Thread"
"40",500000,501752,"Worth everythingwe've been through.","Phantom Thread"
"41",504959,507031,"I feel like it willgive me courage.","Phantom Thread"
"42",525039,527110,"Ladies and gentlemen,take your seats, please.","Phantom Thread"
"43",535159,537389,"- Evening, Stephen. Is she here?- Yes, sir.","Phantom Thread"
"44",561759,563557,"What do you wantto do about Johanna?","Phantom Thread"
"45",567360,569874,"I mean, she's lovely,but the time has come.","Phantom Thread"
"46",572559,573754,"And she's getting fat,","Phantom Thread"
"47",573840,576798,"sitting around waiting for youto fall in love with her again.","Phantom Thread"
"48",580320,581879,"I'll give her the October dress.","Phantom Thread"
"49",584200,585235,"If that's all right.","Phantom Thread"
"50",592879,594756,"I have an unsettled feeling,","Phantom Thread"
