"id","startTime","endTime","text","title"
"1",85040,86706,"What we see...","Picnic at Hanging Rock"
"2",88125,89414,"...and what we seem...","Picnic at Hanging Rock"
"3",91582,92789,"...are but a dream.","Picnic at Hanging Rock"
"4",96290,97914,"A dream within a dream.","Picnic at Hanging Rock"
"5",179540,182498,"'Meet me, love, when day is ending. '","Picnic at Hanging Rock"
"6",184750,188373,"'I love thee for thy highborn grace,","Picnic at Hanging Rock"
"7",188415,191581,"'Thy deep and lustrous eye,","Picnic at Hanging Rock"
"8",191625,194956,"'For the sweet meaning of thy brow,","Picnic at Hanging Rock"
"9",195000,198706,"'and for thy bearing so high. '","Picnic at Hanging Rock"
"10",198750,200498,"Six","Picnic at Hanging Rock"
"11",200540,202789,"and seven","Picnic at Hanging Rock"
"12",202832,205914,"and eight","Picnic at Hanging Rock"
"13",205957,208414,"and nine","Picnic at Hanging Rock"
"14",208457,210914,"and ten","Picnic at Hanging Rock"
"15",210957,213164,"and eleven.","Picnic at Hanging Rock"
"16",214665,216331,"'I love thee","Picnic at Hanging Rock"
"17",216375,218498,"'Not because thou art fair,","Picnic at Hanging Rock"
"18",218540,222373,"'Softer than down, smoother than air,","Picnic at Hanging Rock"
"19",222415,225664,"'Nor for the cupids that do lie","Picnic at Hanging Rock"
"20",225707,228623,"'In either corner of thine eye.","Picnic at Hanging Rock"
"21",228665,232123,"'Wouldst thou then knowwhat it might be?","Picnic at Hanging Rock"
"22",232165,236081,"'Tis I love thee 'cause thou lov'st me. '","Picnic at Hanging Rock"
"23",295915,299165,"# See the little horse,","Picnic at Hanging Rock"
"24",299207,302956,"# My little horse,","Picnic at Hanging Rock"
"25",303000,308624,"# Trotting down the paddockOn his fine white feet","Picnic at Hanging Rock"
"26",308665,312499,"# Black horse, white horse,","Picnic at Hanging Rock"
"27",312540,315374,"# Brown horse, grey","Picnic at Hanging Rock"
"28",315415,321415,"# Trotting down the paddockOn a bright, sunny day. #","Picnic at Hanging Rock"
"29",323250,327540,"Someday, Sara, you shall have tocome home with me to the station.","Picnic at Hanging Rock"
"30",327582,328790,"To Queensland.","Picnic at Hanging Rock"
"31",329500,332790,"And meet my sweet, funny familyfor yourself.","Picnic at Hanging Rock"
"32",334500,335831,"Would you like that?","Picnic at Hanging Rock"
"33",343125,344915,"You must learn to love...","Picnic at Hanging Rock"
"34",345915,350249,"...someone else apart from me, Sara.","Picnic at Hanging Rock"
"35",352875,354956,"I won't be here much longer.","Picnic at Hanging Rock"
"36",362875,364040,"What do you think?","Picnic at Hanging Rock"
"37",364083,368040,"Miranda, somebody had the nerve to sendMiss McCraw a card on squared paper","Picnic at Hanging Rock"
"38",368083,369665,"covered with tiny sums.","Picnic at Hanging Rock"
"39",374915,376956,"Girls! Girls!","Picnic at Hanging Rock"
"40",377000,380415,"Unless you all deport yourselveswith rather more grace","Picnic at Hanging Rock"
"41",380457,382331,"and considerably less noise,","Picnic at Hanging Rock"
"42",382375,385831,"Mrs. Appleyard will see to it thatnone of you go to Hanging Rock today.","Picnic at Hanging Rock"
"43",385875,387456,"Bonjour, Miss Lumley.","Picnic at Hanging Rock"
"44",387500,389831,"Good morning, Mademoiselle de Poitiers.","Picnic at Hanging Rock"
"45",393707,397749,"I believe Mrs. Appleyard has decidedyou're not to go on the picnic, Sara.","Picnic at Hanging Rock"
"46",399332,401374,"That makes two of us.","Picnic at Hanging Rock"
"47",403665,405165,"Off you go!","Picnic at Hanging Rock"
"48",406540,408040,"To St Valentine!","Picnic at Hanging Rock"
"49",430083,435540,"# Frčre Jacques, Frčre Jacques,Dormez-vous... #","Picnic at Hanging Rock"
"50",443290,446456,"Tais-toi, Irma.Miss McCraw vient d'arriver.","Picnic at Hanging Rock"
"51",446500,450331,"- She wants algebra today.- Today?","Picnic at Hanging Rock"
"52",481583,484540,"- Good morning, girls.- Good morning, Mrs. Appleyard.","Picnic at Hanging Rock"
"53",484583,486206,"Well, young ladies,","Picnic at Hanging Rock"
"54",486250,489499,"we are indeed fortunate in the weatherfor our picnic to Hanging Rock.","Picnic at Hanging Rock"
"55",489540,490956,"I have instructed Mademoiselle","Picnic at Hanging Rock"
"56",491000,495124,"that as the day is likely to be warm,you may remove your gloves","Picnic at Hanging Rock"
"57",495165,498081,"once the drag has passed through Woodend.","Picnic at Hanging Rock"
"58",498125,501706,"You will partake of luncheonat the picnic grounds near the rock.","Picnic at Hanging Rock"
"59",501750,506915,"Once again let me remind you thatthe rock itself is extremely dangerous","Picnic at Hanging Rock"
"60",506957,511040,"and you are therefore forbidden any tomboyfoolishness in the matter of exploration,","Picnic at Hanging Rock"
"61",511082,512539,"even on the lower slopes.","Picnic at Hanging Rock"
