"id","startTime","endTime","text","title"
"1",27253,31882,"When you wish upon a star","Pinocchio"
"2",31966,36845,"Makes no difference who you are","Pinocchio"
"3",36971,41058,"Anything your heart desires","Pinocchio"
"4",41142,47064,"Will come to you","Pinocchio"
"5",47148,51610,"If your heart is in your dream","Pinocchio"
"6",51694,56490,"No request is too extreme","Pinocchio"
"7",56616,62120,"When you wish upon a star","Pinocchio"
"8",62246,66625,"As dreamers do","Pinocchio"
"9",67710,71588,"Fate is kind","Pinocchio"
"10",71672,76468,"She brings to those who love","Pinocchio"
"11",76552,80847,"The sweet fulfillment of","Pinocchio"
"12",80973,87437,"Their secret longing","Pinocchio"
"13",91734,97322,"Like a bolt out ofthe blue","Pinocchio"
"14",97406,99449,"Fate steps in","Pinocchio"
"15",99534,104996,"And sees you through","Pinocchio"
"16",105123,111795,"When you wish upon a star","Pinocchio"
"17",111879,115173,"Your dreams","Pinocchio"
"18",115299,122264,"Come true","Pinocchio"
"19",123933,125016,"Pretty.","Pinocchio"
"20",126310,128979,"I'll bet a lot of you folksdon't believe that,","Pinocchio"
"21",129063,132149,"about a wish coming true, do you?","Pinocchio"
"22",132233,134151,"Well, I didn't either.","Pinocchio"
"23",134235,137737,"Of course, I'm just a cricketsinging my way from hearth to hearth,","Pinocchio"
"24",137864,141366,"but let me tell youwhat made me change my mind.","Pinocchio"
"25",151586,153962,"One night a long time...","Pinocchio"
"26",155006,158383,"Pardon me.Wait till I fix this thing.","Pinocchio"
"27",158467,159676,"There.","Pinocchio"
"28",159760,163305,"One night a long time ago,","Pinocchio"
"29",163431,166391,"my travels took meto a quaint little village.","Pinocchio"
"30",166517,168476,"It was a beautiful night.","Pinocchio"
"31",168603,170729,"The stars were shining like diamonds,","Pinocchio"
"32",170813,173899,"high above the roofsofthat sleepy old town.","Pinocchio"
"33",174025,176693,"Pretty as a picture.","Pinocchio"
"34",180865,183033,"As I wanderedalong the crooked streets,","Pinocchio"
"35",183117,185202,"there wasn't a soul to be seen.","Pinocchio"
"36",185286,187913,"The only sign of lifewas a lighted window","Pinocchio"
"37",187997,191583,"in the shop of a wood-carvernamed Geppetto.","Pinocchio"
"38",191667,194586,"So I hopped over...","Pinocchio"
"39",199008,200967,"...and looked in.","Pinocchio"
"40",201093,205847,"It was a shame to see a nicecheerful fire like that going to waste.","Pinocchio"
"41",205973,207474,"So what do I do?","Pinocchio"
"42",209227,210769,"I go in!","Pinocchio"
"43",214982,217400,"I looked around.","Pinocchio"
"44",219320,221780,"Of course, being ina strange place like that,","Pinocchio"
"45",221864,224115,"I didn't know what to expect.","Pinocchio"
"46",224242,227160,"A cricket can't betoo careful, you know.","Pinocchio"
"47",230456,234459,"Soon as I saw there was no one about,I made myself at home.","Pinocchio"
"48",253104,257274,"As I stood there warming my...... myself, I took a look around.","Pinocchio"
"49",257358,260986,"Well, sir, you never saw such a place.","Pinocchio"
"50",261112,264030,"The most fantastic clocksyou ever laid your eyes on,","Pinocchio"
"51",264156,266449,"and all carved out ofwood.","Pinocchio"
"52",266534,270495,"And cute little music boxes,each one a work of art.","Pinocchio"
"53",270579,272789,"And shelf after shelf oftoys and...","Pinocchio"
"54",274250,276501,"And then something else caught my eye.","Pinocchio"
"55",276585,278336,"A puppet!","Pinocchio"
"56",278462,282799,"You know, one of those marionettethings, all strings and joints.","Pinocchio"
"57",288889,291099,"Cute little fellow.","Pinocchio"
"58",293102,294185,"Going up?","Pinocchio"
"59",298399,300358,"Good piece ofwood too.","Pinocchio"
"60",300484,305613,"Well, now, it won't take much longer.","Pinocchio"
"61",305740,309701,"Just a little more paintand he's all finished.","Pinocchio"
"62",312747,315206,"I think he'll be all right.","Pinocchio"
"63",315333,318043,"Don't you, Figaro?","Pinocchio"
"64",352495,353578,"Beg pardon.","Pinocchio"
"65",359293,364756,"See? That makes a big difference.","Pinocchio"
"66",364882,367717,"Very good.","Pinocchio"
"67",367802,370720,"Very, very good.","Pinocchio"
"68",372348,376142,"Well, you can't please everybody.","Pinocchio"
"69",378687,382690,"Now I have just the name for you.","Pinocchio"
"70",382817,384776,"Pinocchio!","Pinocchio"
"71",385986,387946,"Do you like it, Figaro?","Pinocchio"
